vincolo,duale,famiglia
"bilancio[111CA,2012]",-2.467273092e-05,bilancio
"bilancio[113FF,2012]",-7.304405308e-05,bilancio
"bilancio[211,2012]",-1.386680829e-05,bilancio
"bilancio[212,2012]",-2.662613269e-05,bilancio
"bilancio[213,2012]",-3.361537695e-05,bilancio
"bilancio[22,2012]",-2.875835409e-05,bilancio
"bilancio[23,2012]",-0.0001067185895,bilancio
"bilancio[321,2012]",-5.388260217e-05,bilancio
"bilancio[327,2012]",-4.159505362e-05,bilancio
"bilancio[331,2012]",-2.900437024e-05,bilancio
"bilancio[332,2012]",-4.41483791e-05,bilancio
"bilancio[333,2012]",-3.549371109e-05,bilancio
"bilancio[334,2012]",-2.982217095e-05,bilancio
"bilancio[335,2012]",-3.515474458e-05,bilancio
"bilancio[3361MV,2012]",-3.013681742e-05,bilancio
"bilancio[3364OT,2012]",-3.093277549e-05,bilancio
"bilancio[337,2012]",-5.666956412e-05,bilancio
"bilancio[339,2012]",-3.841660911e-05,bilancio
"bilancio[311FT,2012]",-3.444533079e-05,bilancio
"bilancio[313TT,2012]",-4.711875709e-05,bilancio
"bilancio[315AL,2012]",-7.185164935e-05,bilancio
"bilancio[322,2012]",-3.684828788e-05,bilancio
"bilancio[323,2012]",-5.506439498e-05,bilancio
"bilancio[324,2012]",-1.380000571e-05,bilancio
"bilancio[325,2012]",-2.148265861e-05,bilancio
"bilancio[326,2012]",-3.801097541e-05,bilancio
"bilancio[42,2012]",-3.448141491e-05,bilancio
"bilancio[441,2012]",-4.681285506e-05,bilancio
"bilancio[445,2012]",-9.035714363e-05,bilancio
"bilancio[452,2012]",-9.274336637e-05,bilancio
"bilancio[4A0,2012]",-6.522954758e-05,bilancio
"bilancio[481,2012]",-3.382280041e-05,bilancio
"bilancio[482,2012]",-3.396464e-05,bilancio
"bilancio[483,2012]",-3.754672067e-05,bilancio
"bilancio[484,2012]",-5.1574774e-05,bilancio
"bilancio[485,2012]",-6.34688014e-05,bilancio
"bilancio[486,2012]",-2.344492462e-05,bilancio
"bilancio[487OS,2012]",-5.92684185e-05,bilancio
"bilancio[493,2012]",-6.299828831e-05,bilancio
"bilancio[511,2012]",-3.085193406e-05,bilancio
"bilancio[512,2012]",-2.91883463e-05,bilancio
"bilancio[513,2012]",-2.825254975e-05,bilancio
"bilancio[514,2012]",-3.407318546e-05,bilancio
"bilancio[521CI,2012]",-3.537780428e-05,bilancio
"bilancio[523,2012]",-3.120686777e-05,bilancio
"bilancio[524,2012]",-3.708472256e-05,bilancio
"bilancio[525,2012]",-3.606961873e-05,bilancio
"bilancio[HS,2012]",-0.0002907588127,bilancio
"bilancio[ORE,2012]",-3.856738417e-05,bilancio
"bilancio[532RL,2012]",-3.244364637e-05,bilancio
"bilancio[5411,2012]",-3.618506731e-05,bilancio
"bilancio[5415,2012]",-4.305449132e-05,bilancio
"bilancio[5412OP,2012]",-4.282260473e-05,bilancio
"bilancio[55,2012]",-4.033648353e-05,bilancio
"bilancio[561,2012]",-8.502795723e-05,bilancio
"bilancio[562,2012]",-5.027485868e-05,bilancio
"bilancio[61,2012]",-7.145739312e-05,bilancio
"bilancio[621,2012]",-5.845872848e-05,bilancio
"bilancio[622,2012]",-6.135508515e-05,bilancio
"bilancio[623,2012]",-0.000109726781,bilancio
"bilancio[624,2012]",-0.0001193105529,bilancio
"bilancio[711AS,2012]",-3.45604677e-05,bilancio
"bilancio[713,2012]",-7.253881977e-05,bilancio
"bilancio[721,2012]",-6.879422977e-05,bilancio
"bilancio[722,2012]",-9.850312808e-05,bilancio
"bilancio[81,2012]",-7.245510153e-05,bilancio
"bilancio[GFGD,2012]",-2.99535263e-05,bilancio
"bilancio[GFGN,2012]",-4.988156508e-05,bilancio
"bilancio[GFE,2012]",-5.697882913e-05,bilancio
"bilancio[GSLG,2012]",-6.234178764e-05,bilancio
"bilancio[GSLE,2012]",-5.347504393e-05,bilancio
"bilancio[111CA,2013]",-4.147494434e-05,bilancio
"bilancio[113FF,2013]",-0.0001031908017,bilancio
"bilancio[211,2013]",-1.935803055e-05,bilancio
"bilancio[212,2013]",-3.457943699e-05,bilancio
"bilancio[213,2013]",-3.991519297e-05,bilancio
"bilancio[22,2013]",-3.655409241e-05,bilancio
"bilancio[23,2013]",-7.519947608e-05,bilancio
"bilancio[321,2013]",-7.635348599e-05,bilancio
"bilancio[327,2013]",-5.805623783e-05,bilancio
"bilancio[331,2013]",-3.796767638e-05,bilancio
"bilancio[332,2013]",-6.176057764e-05,bilancio
"bilancio[333,2013]",-4.987963096e-05,bilancio
"bilancio[334,2013]",-4.096517716e-05,bilancio
"bilancio[335,2013]",-4.720624904e-05,bilancio
"bilancio[3361MV,2013]",-4.024497662e-05,bilancio
"bilancio[3364OT,2013]",-4.270130886e-05,bilancio
"bilancio[337,2013]",-7.864830372e-05,bilancio
"bilancio[339,2013]",-5.486671589e-05,bilancio
"bilancio[311FT,2013]",-5.003530053e-05,bilancio
"bilancio[313TT,2013]",-6.24786903e-05,bilancio
"bilancio[315AL,2013]",0,bilancio
"bilancio[322,2013]",-5.068363889e-05,bilancio
"bilancio[323,2013]",-7.485377544e-05,bilancio
"bilancio[324,2013]",-1.354258088e-05,bilancio
"bilancio[325,2013]",-2.95246297e-05,bilancio
"bilancio[326,2013]",-5.274285192e-05,bilancio
"bilancio[42,2013]",-5.39124457e-05,bilancio
"bilancio[441,2013]",-7.283131672e-05,bilancio
"bilancio[445,2013]",-0.0001302892851,bilancio
"bilancio[452,2013]",-0.000132356142,bilancio
"bilancio[4A0,2013]",-9.341891967e-05,bilancio
"bilancio[481,2013]",-4.321181947e-05,bilancio
"bilancio[482,2013]",-4.409929416e-05,bilancio
"bilancio[483,2013]",-4.505100428e-05,bilancio
"bilancio[484,2013]",-6.933940755e-05,bilancio
"bilancio[485,2013]",-8.368007012e-05,bilancio
"bilancio[486,2013]",-3.046130483e-05,bilancio
"bilancio[487OS,2013]",-8.033964805e-05,bilancio
"bilancio[493,2013]",-8.59711401e-05,bilancio
"bilancio[511,2013]",-4.13935823e-05,bilancio
"bilancio[512,2013]",-4.030766827e-05,bilancio
"bilancio[513,2013]",-3.586057851e-05,bilancio
"bilancio[514,2013]",-4.303684149e-05,bilancio
"bilancio[521CI,2013]",-5.218508027e-05,bilancio
"bilancio[523,2013]",-4.537899096e-05,bilancio
"bilancio[524,2013]",-5.443761803e-05,bilancio
"bilancio[525,2013]",-4.930602504e-05,bilancio
"bilancio[HS,2013]",-0.0001809532672,bilancio
"bilancio[ORE,2013]",-5.388493963e-05,bilancio
"bilancio[532RL,2013]",-4.565225562e-05,bilancio
"bilancio[5411,2013]",-5.155863004e-05,bilancio
"bilancio[5415,2013]",-6.062391818e-05,bilancio
"bilancio[5412OP,2013]",-5.944426237e-05,bilancio
"bilancio[55,2013]",-5.597898127e-05,bilancio
"bilancio[561,2013]",-0.0001187309601,bilancio
"bilancio[562,2013]",-6.970386058e-05,bilancio
"bilancio[61,2013]",-9.99992609e-05,bilancio
"bilancio[621,2013]",-8.095070223e-05,bilancio
"bilancio[622,2013]",-8.402399826e-05,bilancio
"bilancio[623,2013]",-0.0001510371037,bilancio
"bilancio[624,2013]",-0.0001738750147,bilancio
"bilancio[711AS,2013]",-4.910481426e-05,bilancio
"bilancio[713,2013]",-9.834878556e-05,bilancio
"bilancio[721,2013]",-9.461876278e-05,bilancio
"bilancio[722,2013]",-0.0001376206456,bilancio
"bilancio[81,2013]",-0.0001010491992,bilancio
"bilancio[GFGD,2013]",-3.920987907e-05,bilancio
"bilancio[GFGN,2013]",-6.883247774e-05,bilancio
"bilancio[GFE,2013]",-7.903831457e-05,bilancio
"bilancio[GSLG,2013]",-8.425140249e-05,bilancio
"bilancio[GSLE,2013]",-6.09193018e-05,bilancio
"bilancio[111CA,2014]",-4.520033408e-05,bilancio
"bilancio[113FF,2014]",-9.183463756e-05,bilancio
"bilancio[211,2014]",-1.792622083e-05,bilancio
"bilancio[212,2014]",-3.262472086e-05,bilancio
"bilancio[213,2014]",-4.05155529e-05,bilancio
"bilancio[22,2014]",-3.447870442e-05,bilancio
"bilancio[23,2014]",-6.539643309e-05,bilancio
"bilancio[321,2014]",-7.378991995e-05,bilancio
"bilancio[327,2014]",-5.295952985e-05,bilancio
"bilancio[331,2014]",-3.555991231e-05,bilancio
"bilancio[332,2014]",-5.657333504e-05,bilancio
"bilancio[333,2014]",-4.7267373e-05,bilancio
"bilancio[334,2014]",-4.286351308e-05,bilancio
"bilancio[335,2014]",-4.521383994e-05,bilancio
"bilancio[3361MV,2014]",-4.096050247e-05,bilancio
