anno,industria,x,x_oss
2012,111CA,504.1694205,404.166
2012,113FF,56.82917916,46.892
2012,211,373.148573,362.616
2012,212,133.2290507,124.611
2012,213,24.66664842,126.19
2012,22,476.3709831,461.578
2012,23,1393.104922,1075.477
2012,321,108.5386305,80.398
2012,327,119.5552892,99.294
2012,331,300.7611832,269.218
2012,332,387.9616525,343.079
2012,333,337.4493055,404.552
2012,334,283.6460522,354.253
2012,335,134.8242194,122.794
2012,3361MV,541.7165311,516.699
2012,3364OT,289.6669207,290.815
2012,337,60.3531999,65.729
2012,339,151.8144303,156.592
2012,311FT,996.4177157,895.874
2012,313TT,60.90114742,51.802
2012,315AL,27.53370264,19.244
2012,322,195.5933257,179.235
2012,323,80.77725354,83.081
2012,324,923.5914722,833.174
2012,325,875.8097304,794.029
2012,326,243.6040147,216.486
2012,42,1660.340044,1655.028
2012,441,211.2939213,221.875
2012,445,208.0875842,207.679
2012,452,210.1526781,210.838
2012,4A0,763.6603979,763.319
2012,481,189.4178851,195.415
2012,482,87.42852327,79.141
2012,483,51.39935532,50.023
2012,484,313.6334475,297.774
2012,485,50.36633191,50.992
2012,486,43.57708774,36.442
2012,487OS,186.8791811,187.233
2012,493,108.0717007,108.888
2012,511,237.0996705,296.233
2012,512,97.52959922,131.699
2012,513,674.4345255,733.128
2012,514,188.043304,221.543
2012,521CI,762.040125,761.619
2012,523,475.6702118,478.47
2012,524,807.4244885,798.591
2012,525,117.0283588,117.259
2012,HS,1726.663,1726.663
2012,ORE,1055.061637,889.093
2012,532RL,296.3922224,298.617
2012,5411,332.4054806,306.935
2012,5415,218.6289581,354.223
2012,5412OP,870.7133133,1123.861
2012,55,465.5525925,478.846
2012,561,645.9274931,661.562
2012,562,85.45883037,83.564
2012,61,301.6311394,309.61
2012,621,867.120376,869.254
2012,622,705.9740622,709.379
2012,623,208.5473768,208.979
2012,624,169.3616094,169.679
2012,711AS,135.3296871,144.767
2012,713,119.5021244,119.836
2012,721,213.5695496,214.978
2012,722,611.397834,613.983
2012,81,575.38101,576.029
2012,GFGD,670.353195,676.303
2012,GFGN,366.5363717,370.378
2012,GFE,98.17938579,98.913
2012,GSLG,1942.964887,1947.062
2012,GSLE,306.6483871,298.57
2013,111CA,337.1557309,420.0646127
2013,113FF,39.97231009,48.1981787
2013,211,319.3896721,391.494883
2013,212,119.2617424,118.9735655
2013,213,187.911398,125.8668437
2013,22,474.9860197,466.0971225
2013,23,1765.363502,1128.512488
2013,321,90.98747671,83.89403777
2013,327,104.8149376,102.9350132
2013,331,176.2450658,278.3293753
2013,332,276.7026152,348.5399126
2013,333,234.106689,391.446297
2013,334,281.4803954,355.2192175
2013,335,105.5496416,123.7550645
2013,3361MV,323.162073,550.3998909
2013,3364OT,212.6605079,299.0793759
2013,337,59.88911099,66.59806607
2013,339,125.7009511,165.9540944
2013,311FT,824.8853112,913.0265358
2013,313TT,38.11019711,53.18469398
2013,315AL,1.006173028,18.89724949
2013,322,150.511993,179.9165585
2013,323,69.86878802,82.72247182
2013,324,803.610158,863.2053806
2013,325,670.5101313,823.2479886
2013,326,176.1958889,219.7654445
2013,42,1489.786376,1721.203425
2013,441,250.3352163,245.1925543
2013,445,215.4595178,207.6042028
2013,452,225.1009856,215.2028244
2013,4A0,863.1129732,799.0861312
2013,481,200.1450361,202.4961396
2013,482,69.64228946,80.11151624
2013,483,50.12478355,50.56052114
2013,484,273.2293971,304.5854531
2013,485,55.53112198,54.63903366
2013,486,30.88309308,36.73040608
2013,487OS,180.6475027,190.8201192
2013,493,108.4872398,111.7750646
2013,511,222.4004556,310.9524895
2013,512,97.78161034,136.619994
2013,513,714.3494615,749.7202742
2013,514,201.8174449,240.2347354
2013,521CI,788.0310671,777.0406913
2013,523,486.3036919,474.2308528
2013,524,867.9789815,827.3564829
2013,525,141.4001089,135.5303097
2013,HS,1826.754242,1743.029863
2013,ORE,1241.70946,960.4627846
2013,532RL,313.1082331,315.3567273
