vincolo,duale,famiglia
"bilancio[111CA,2012]",-3.964973827e-05,bilancio
"bilancio[113FF,2012]",-9.110564272e-05,bilancio
"bilancio[211,2012]",-1.633942245e-05,bilancio
"bilancio[212,2012]",-3.196034748e-05,bilancio
"bilancio[213,2012]",-3.654382579e-05,bilancio
"bilancio[22,2012]",-3.384064092e-05,bilancio
"bilancio[23,2012]",-0.0001041981942,bilancio
"bilancio[321,2012]",-6.798168456e-05,bilancio
"bilancio[327,2012]",-5.301047959e-05,bilancio
"bilancio[331,2012]",-3.677269518e-05,bilancio
"bilancio[332,2012]",-5.563571566e-05,bilancio
"bilancio[333,2012]",-4.457554669e-05,bilancio
"bilancio[334,2012]",-3.820677155e-05,bilancio
"bilancio[335,2012]",-4.420098956e-05,bilancio
"bilancio[3361MV,2012]",-3.635676066e-05,bilancio
"bilancio[3364OT,2012]",-3.908372613e-05,bilancio
"bilancio[337,2012]",-7.129320093e-05,bilancio
"bilancio[339,2012]",-4.910014654e-05,bilancio
"bilancio[311FT,2012]",-4.645964531e-05,bilancio
"bilancio[313TT,2012]",-5.797861518e-05,bilancio
"bilancio[315AL,2012]",-0.0001853741925,bilancio
"bilancio[322,2012]",-4.603013536e-05,bilancio
"bilancio[323,2012]",-6.884200483e-05,bilancio
"bilancio[324,2012]",-1.156006109e-05,bilancio
"bilancio[325,2012]",-2.648165263e-05,bilancio
"bilancio[326,2012]",-4.680245221e-05,bilancio
"bilancio[42,2012]",-4.846107986e-05,bilancio
"bilancio[441,2012]",-6.914950713e-05,bilancio
"bilancio[445,2012]",-0.0001154681153,bilancio
"bilancio[452,2012]",-0.0001213782142,bilancio
"bilancio[4A0,2012]",-8.529252689e-05,bilancio
"bilancio[481,2012]",-4.068570348e-05,bilancio
"bilancio[482,2012]",-4.067282279e-05,bilancio
"bilancio[483,2012]",-4.541988689e-05,bilancio
"bilancio[484,2012]",-6.309682204e-05,bilancio
"bilancio[485,2012]",-7.737882421e-05,bilancio
"bilancio[486,2012]",-2.840941811e-05,bilancio
"bilancio[487OS,2012]",-7.262761636e-05,bilancio
"bilancio[493,2012]",-7.725805021e-05,bilancio
"bilancio[511,2012]",-3.823709965e-05,bilancio
"bilancio[512,2012]",-3.604807683e-05,bilancio
"bilancio[513,2012]",-3.460622477e-05,bilancio
"bilancio[514,2012]",-4.196382295e-05,bilancio
"bilancio[521CI,2012]",-4.378293906e-05,bilancio
"bilancio[523,2012]",-3.845791655e-05,bilancio
"bilancio[524,2012]",-4.543941914e-05,bilancio
"bilancio[525,2012]",-4.427151215e-05,bilancio
"bilancio[HS,2012]",-0.0002221989726,bilancio
"bilancio[ORE,2012]",-4.579182909e-05,bilancio
"bilancio[532RL,2012]",-4.044444209e-05,bilancio
"bilancio[5411,2012]",-4.482686001e-05,bilancio
"bilancio[5415,2012]",-5.346559313e-05,bilancio
"bilancio[5412OP,2012]",-5.301304188e-05,bilancio
"bilancio[55,2012]",-4.988784015e-05,bilancio
"bilancio[561,2012]",-0.0001054757857,bilancio
"bilancio[562,2012]",-6.165637892e-05,bilancio
"bilancio[61,2012]",-8.841131869e-05,bilancio
"bilancio[621,2012]",-7.231709689e-05,bilancio
"bilancio[622,2012]",-7.57287128e-05,bilancio
"bilancio[623,2012]",-0.000136112943,bilancio
"bilancio[624,2012]",-0.0001478348577,bilancio
"bilancio[711AS,2012]",-4.285896184e-05,bilancio
"bilancio[713,2012]",-8.924796704e-05,bilancio
"bilancio[721,2012]",-8.532967218e-05,bilancio
"bilancio[722,2012]",-0.0001226251848,bilancio
"bilancio[81,2012]",-9.108129681e-05,bilancio
"bilancio[GFGD,2012]",-3.607889621e-05,bilancio
"bilancio[GFGN,2012]",-6.128990551e-05,bilancio
"bilancio[GFE,2012]",-6.963639729e-05,bilancio
"bilancio[GSLG,2012]",-7.653317222e-05,bilancio
"bilancio[GSLE,2012]",-6.094407795e-05,bilancio
"bilancio[111CA,2013]",-4.145158311e-05,bilancio
"bilancio[113FF,2013]",-0.000102778494,bilancio
"bilancio[211,2013]",-1.936488179e-05,bilancio
