anno,industria,x,x_oss
2012,111CA,464.405758,404.166
2012,113FF,52.04446823,46.892
2012,211,383.4555693,362.616
2012,212,126.7462378,124.611
2012,213,22.74428656,126.19
2012,22,473.5147106,461.578
2012,23,1393.104922,1075.477
2012,321,101.6767846,80.398
2012,327,112.9904158,99.294
2012,331,274.3416461,269.218
2012,332,364.8007154,343.079
2012,333,324.1578631,404.552
2012,334,306.3241218,354.253
2012,335,128.1755364,122.794
2012,3361MV,520.4468949,516.699
2012,3364OT,280.2199708,290.815
2012,337,65.68816214,65.729
2012,339,150.3435127,156.592
2012,311FT,943.2135069,895.874
2012,313TT,55.30213975,51.802
2012,315AL,18.09794275,19.244
2012,322,185.6787104,179.235
2012,323,80.01039643,83.081
2012,324,992.6983136,833.174
2012,325,824.7956105,794.029
2012,326,227.6413408,216.486
2012,42,1650.390099,1655.028
2012,441,218.147952,221.875
2012,445,207.6978669,207.679
2012,452,210.9984566,210.838
2012,4A0,777.5558658,763.319
2012,481,189.6000042,195.415
2012,482,83.79202258,79.141
2012,483,50.75434031,50.023
2012,484,307.9132991,297.774
2012,485,50.52233539,50.992
2012,486,41.92997017,36.442
2012,487OS,186.472556,187.233
2012,493,108.5692179,108.888
2012,511,271.0278316,296.233
2012,512,99.01194377,131.699
2012,513,688.950313,733.128
2012,514,195.4273159,221.543
2012,521CI,762.011502,761.619
2012,523,475.4539443,478.47
2012,524,806.3103182,798.591
2012,525,117.0347467,117.259
2012,HS,1726.663,1726.663
2012,ORE,1055.836867,889.093
2012,532RL,296.3907905,298.617
2012,5411,333.4047487,306.935
2012,5415,255.1688598,354.223
2012,5412OP,905.8600678,1123.861
2012,55,466.8222764,478.846
2012,561,650.8547498,661.562
2012,562,85.2300904,83.564
2012,61,303.0437431,309.61
2012,621,867.3760656,869.254
2012,622,706.386372,709.379
2012,623,208.5534867,208.979
2012,624,169.3736489,169.679
2012,711AS,140.1696683,144.767
2012,713,119.6069696,119.836
2012,721,214.0333136,214.978
2012,722,612.1261682,613.983
2012,81,575.313563,576.029
2012,GFGD,671.2922331,676.303
2012,GFGN,367.2315118,370.378
2012,GFE,98.29835361,98.913
2012,GSLG,1944.096713,1947.062
2012,GSLE,305.8349417,298.57
2013,111CA,358.7866773,420.0646127
2013,113FF,43.19138878,48.1981787
2013,211,272.9954553,391.494883
2013,212,110.5821645,118.9735655
2013,213,26.17656878,125.8668437
2013,22,477.2649628,466.0971225
2013,23,1944.974603,1128.512488
2013,321,100.0866347,83.89403777
2013,327,112.8147377,102.9350132
2013,331,179.8269207,278.3293753
2013,332,288.8870287,348.5399126
2013,333,193.7574397,391.446297
2013,334,239.6764788,355.2192175
2013,335,111.6542783,123.7550645
2013,3361MV,262.230608,550.3998909
2013,3364OT,201.8687451,299.0793759
2013,337,50.61137198,66.59806607
2013,339,112.2412883,165.9540944
2013,311FT,853.861594,913.0265358
2013,313TT,40.39333027,53.18469398
2013,315AL,0.9851419482,18.89724949
2013,322,155.1912571,179.9165585
2013,323,71.06188864,82.72247182
2013,324,827.2463406,863.2053806
2013,325,697.2451419,823.2479886
2013,326,182.2664174,219.7654445
2013,42,1422.432357,1721.203425
2013,441,239.8047927,245.1925543
2013,445,215.4043178,207.6042028
2013,452,224.3717167,215.2028244
2013,4A0,858.5197655,799.0861312
2013,481,199.8064746,202.4961396
2013,482,70.38002604,80.11151624
2013,483,50.42835464,50.56052114
2013,484,270.0212393,304.5854531
2013,485,55.53102192,54.63903366
2013,486,32.05467456,36.73040608
2013,487OS,178.8416678,190.8201192
2013,493,106.6398047,111.7750646
2013,511,239.6955546,310.9524895
2013,512,96.7025374,136.619994
2013,513,710.8068828,749.7202742
2013,514,204.5836093,240.2347354
2013,521CI,786.4724735,777.0406913
2013,523,481.4433249,474.2308528
2013,524,862.8536684,827.3564829
2013,525,141.2023975,135.5303097
2013,HS,1826.790824,1743.029863
2013,ORE,1296.332419,960.4627846
2013,532RL,309.4474716,315.3567273
2013,5411,335.9298396,297.716879
2013,5415,255.3085269,369.3379096
2013,5412OP,887.2555895,1131.560509
2013,55,438.7743477,488.6777069
2013,561,663.334444,681.2134559
2013,562,88.88919432,85.47727804
2013,61,317.2784243,312.3842837
2013,621,902.2451592,865.5747508
2013,622,746.7779008,718.0263465
2013,623,220.6524846,211.6676564
2013,624,178.6367866,171.2084374
2013,711AS,143.7946935,148.7714629
2013,713,127.9931909,122.9797275
2013,721,229.1091949,221.7037595
2013,722,648.8111541,625.6137757
2013,81,589.516338,574.6962508
2013,GFGD,627.6578449,633.1510606
2013,GFGN,357.1398521,360.5372605
2013,GFE,90.3701061,93.45068235
2013,GSLG,1971.348615,1962.204783
2013,GSLE,317.048507,302.5492615
2014,111CA,437.1159568,426.9591743
2014,113FF,48.58071047,53.00329593
2014,211,330.9825592,426.7537306
2014,212,95.49900108,122.4624409
2014,213,21.32114572,159.7072121
2014,22,495.4980798,472.1610722
2014,23,714.110693,1191.792556
2014,321,61.81481552,84.86816984
2014,327,80.837236,107.0695856
2014,331,199.1023008,278.4018351
2014,332,270.002401,355.5833421
