vincolo,duale,famiglia
"bilancio[111CA,2012]",-2.721190842e-05,bilancio
"bilancio[113FF,2012]",-8.844698272e-05,bilancio
"bilancio[211,2012]",-1.627284407e-05,bilancio
"bilancio[212,2012]",-3.144541903e-05,bilancio
"bilancio[213,2012]",-3.578628784e-05,bilancio
"bilancio[22,2012]",-3.389977236e-05,bilancio
"bilancio[23,2012]",-0.000112645397,bilancio
"bilancio[321,2012]",-6.44765573e-05,bilancio
"bilancio[327,2012]",-4.960563767e-05,bilancio
"bilancio[331,2012]",-3.408021734e-05,bilancio
"bilancio[332,2012]",-5.266970401e-05,bilancio
"bilancio[333,2012]",-4.21314317e-05,bilancio
"bilancio[334,2012]",-3.556711993e-05,bilancio
"bilancio[335,2012]",-4.175458056e-05,bilancio
"bilancio[3361MV,2012]",-3.54270797e-05,bilancio
"bilancio[3364OT,2012]",-3.668093207e-05,bilancio
"bilancio[337,2012]",-6.78994333e-05,bilancio
"bilancio[339,2012]",-4.586366494e-05,bilancio
"bilancio[311FT,2012]",-4.032457693e-05,bilancio
"bilancio[313TT,2012]",-5.635995829e-05,bilancio
"bilancio[315AL,2012]",-8.68155852e-05,bilancio
"bilancio[322,2012]",-4.38239067e-05,bilancio
"bilancio[323,2012]",-6.629752625e-05,bilancio
"bilancio[324,2012]",-1.579428244e-05,bilancio
"bilancio[325,2012]",-2.517638684e-05,bilancio
"bilancio[326,2012]",-4.530372432e-05,bilancio
"bilancio[42,2012]",-4.044596676e-05,bilancio
"bilancio[441,2012]",-5.434037573e-05,bilancio
"bilancio[445,2012]",-0.0001089450575,bilancio
"bilancio[452,2012]",-0.0001113602783,bilancio
"bilancio[4A0,2012]",-7.818848698e-05,bilancio
"bilancio[481,2012]",-4.078099296e-05,bilancio
"bilancio[482,2012]",-4.057979661e-05,bilancio
"bilancio[483,2012]",-4.520184571e-05,bilancio
"bilancio[484,2012]",-6.233762499e-05,bilancio
"bilancio[485,2012]",-7.651118974e-05,bilancio
"bilancio[486,2012]",-2.785035295e-05,bilancio
"bilancio[487OS,2012]",-7.155144915e-05,bilancio
"bilancio[493,2012]",-7.608349839e-05,bilancio
"bilancio[511,2012]",-3.736484099e-05,bilancio
"bilancio[512,2012]",-3.538905809e-05,bilancio
"bilancio[513,2012]",-3.411376547e-05,bilancio
"bilancio[514,2012]",-4.125168353e-05,bilancio
"bilancio[521CI,2012]",-4.283984111e-05,bilancio
"bilancio[523,2012]",-3.774806952e-05,bilancio
"bilancio[524,2012]",-4.500911316e-05,bilancio
"bilancio[525,2012]",-4.353389609e-05,bilancio
"bilancio[HS,2012]",-0.0002314270123,bilancio
"bilancio[ORE,2012]",-4.5624548e-05,bilancio
"bilancio[532RL,2012]",-3.918814935e-05,bilancio
"bilancio[5411,2012]",-4.388223086e-05,bilancio
"bilancio[5415,2012]",-5.220885976e-05,bilancio
"bilancio[5412OP,2012]",-5.184281872e-05,bilancio
"bilancio[55,2012]",-4.891051644e-05,bilancio
"bilancio[561,2012]",-0.0001033961489,bilancio
"bilancio[562,2012]",-6.088443953e-05,bilancio
"bilancio[61,2012]",-8.67179169e-05,bilancio
"bilancio[621,2012]",-7.096822086e-05,bilancio
"bilancio[622,2012]",-7.442255557e-05,bilancio
"bilancio[623,2012]",-0.0001333489474,bilancio
"bilancio[624,2012]",-0.0001449552668,bilancio
"bilancio[711AS,2012]",-4.18920597e-05,bilancio
"bilancio[713,2012]",-8.754613264e-05,bilancio
"bilancio[721,2012]",-8.349471773e-05,bilancio
"bilancio[722,2012]",-0.0001195270877,bilancio
"bilancio[81,2012]",-8.75339081e-05,bilancio
"bilancio[GFGD,2012]",-3.611395064e-05,bilancio
"bilancio[GFGN,2012]",-6.0531738e-05,bilancio
"bilancio[GFE,2012]",-6.903368014e-05,bilancio
"bilancio[GSLG,2012]",-7.549076057e-05,bilancio
"bilancio[GSLE,2012]",-6.240822141e-05,bilancio
"bilancio[111CA,2013]",-5.209958709e-05,bilancio
"bilancio[113FF,2013]",-0.0001299025643,bilancio
"bilancio[211,2013]",-2.435352588e-05,bilancio
"bilancio[212,2013]",-4.351793954e-05,bilancio
"bilancio[213,2013]",-5.023296237e-05,bilancio
"bilancio[22,2013]",-4.598384057e-05,bilancio
"bilancio[23,2013]",-9.443407951e-05,bilancio
"bilancio[321,2013]",-9.610750544e-05,bilancio
"bilancio[327,2013]",-7.306951861e-05,bilancio
"bilancio[331,2013]",-4.778452956e-05,bilancio
"bilancio[332,2013]",-7.773230116e-05,bilancio
"bilancio[333,2013]",-6.278303573e-05,bilancio
"bilancio[334,2013]",-5.155776805e-05,bilancio
"bilancio[335,2013]",-5.941948703e-05,bilancio
"bilancio[3361MV,2013]",-5.064903415e-05,bilancio
"bilancio[3364OT,2013]",-5.374322653e-05,bilancio
"bilancio[337,2013]",-9.898935264e-05,bilancio
"bilancio[339,2013]",-6.905584681e-05,bilancio
"bilancio[311FT,2013]",-6.294344522e-05,bilancio
"bilancio[313TT,2013]",-7.862964161e-05,bilancio
"bilancio[315AL,2013]",0,bilancio
"bilancio[322,2013]",-6.378251004e-05,bilancio
"bilancio[323,2013]",-9.419102818e-05,bilancio
"bilancio[324,2013]",-1.703636883e-05,bilancio
"bilancio[325,2013]",-3.714549703e-05,bilancio
"bilancio[326,2013]",-6.637315043e-05,bilancio
"bilancio[42,2013]",-6.780442081e-05,bilancio
"bilancio[441,2013]",-9.163121151e-05,bilancio
"bilancio[445,2013]",-0.0001639456496,bilancio
"bilancio[452,2013]",-0.0001665678384,bilancio
"bilancio[4A0,2013]",-0.0001174924866,bilancio
"bilancio[481,2013]",-5.438765193e-05,bilancio
"bilancio[482,2013]",-5.550220469e-05,bilancio
"bilancio[483,2013]",-5.670658353e-05,bilancio
"bilancio[484,2013]",-8.724573997e-05,bilancio
"bilancio[485,2013]",-0.0001053155703,bilancio
"bilancio[486,2013]",-3.830668671e-05,bilancio
"bilancio[487OS,2013]",-0.0001011041041,bilancio
"bilancio[493,2013]",-0.0001080260288,bilancio
"bilancio[511,2013]",-5.211102588e-05,bilancio
"bilancio[512,2013]",-5.070089373e-05,bilancio
"bilancio[513,2013]",-4.509565075e-05,bilancio
"bilancio[514,2013]",-5.486411567e-05,bilancio
"bilancio[521CI,2013]",-6.568470518e-05,bilancio
"bilancio[523,2013]",-5.768423296e-05,bilancio
"bilancio[524,2013]",-6.812142198e-05,bilancio
"bilancio[525,2013]",-6.235208294e-05,bilancio
"bilancio[HS,2013]",-7.684210667e-05,bilancio
"bilancio[ORE,2013]",-6.63266362e-05,bilancio
"bilancio[532RL,2013]",-5.741289448e-05,bilancio
"bilancio[5411,2013]",-6.480083756e-05,bilancio
"bilancio[5415,2013]",-7.629994472e-05,bilancio
"bilancio[5412OP,2013]",-7.481680024e-05,bilancio
"bilancio[55,2013]",-7.042268895e-05,bilancio
"bilancio[561,2013]",-0.0001491724241,bilancio
"bilancio[562,2013]",-8.771326686e-05,bilancio
"bilancio[61,2013]",-0.0001257956241,bilancio
"bilancio[621,2013]",-0.0001018330488,bilancio
"bilancio[622,2013]",-0.0001056994073,bilancio
"bilancio[623,2013]",-0.0001899989819,bilancio
"bilancio[624,2013]",-0.000218792658,bilancio
"bilancio[711AS,2013]",-6.173393297e-05,bilancio
"bilancio[713,2013]",-0.0001237237722,bilancio
"bilancio[721,2013]",-0.0001190932908,bilancio
"bilancio[722,2013]",-0.000173177388,bilancio
"bilancio[81,2013]",-0.0001271252389,bilancio
"bilancio[GFGD,2013]",-4.935219937e-05,bilancio
"bilancio[GFGN,2013]",-8.662853013e-05,bilancio
"bilancio[GFE,2013]",-9.947084502e-05,bilancio
"bilancio[GSLG,2013]",-0.0001060512736,bilancio
"bilancio[GSLE,2013]",-7.663642061e-05,bilancio
"bilancio[111CA,2014]",-6.355897467e-05,bilancio
"bilancio[113FF,2014]",-0.000125062579,bilancio
"bilancio[211,2014]",-2.258840344e-05,bilancio
"bilancio[212,2014]",-4.298077371e-05,bilancio
"bilancio[213,2014]",-4.779228883e-05,bilancio
"bilancio[22,2014]",-4.533965059e-05,bilancio
"bilancio[23,2014]",-8.490203666e-05,bilancio
"bilancio[321,2014]",-9.814185606e-05,bilancio
"bilancio[327,2014]",-7.120917097e-05,bilancio
"bilancio[331,2014]",-4.62006187e-05,bilancio
"bilancio[332,2014]",-7.450652019e-05,bilancio
"bilancio[333,2014]",-6.136450177e-05,bilancio
"bilancio[334,2014]",-6.092769461e-05,bilancio
"bilancio[335,2014]",-5.875021797e-05,bilancio
"bilancio[3361MV,2014]",-4.951969988e-05,bilancio
"bilancio[3364OT,2014]",-5.155024814e-05,bilancio
"bilancio[337,2014]",-9.464404101e-05,bilancio
"bilancio[339,2014]",-6.706807617e-05,bilancio
"bilancio[311FT,2014]",-6.605955613e-05,bilancio
"bilancio[313TT,2014]",-7.487512749e-05,bilancio
"bilancio[315AL,2014]",-6.384301103e-08,bilancio
"bilancio[322,2014]",-6.282489176e-05,bilancio
"bilancio[323,2014]",-8.881045378e-05,bilancio
"bilancio[324,2014]",-1.575763176e-05,bilancio
"bilancio[325,2014]",-3.779151104e-05,bilancio
"bilancio[326,2014]",-6.544259936e-05,bilancio
"bilancio[42,2014]",-6.763350928e-05,bilancio
"bilancio[441,2014]",-9.132599767e-05,bilancio
"bilancio[445,2014]",-0.0001620755156,bilancio
"bilancio[452,2014]",-0.00016309447,bilancio
"bilancio[4A0,2014]",-0.0001157256194,bilancio
"bilancio[481,2014]",-5.754560738e-05,bilancio
"bilancio[482,2014]",-5.249477958e-05,bilancio
"bilancio[483,2014]",-5.774415989e-05,bilancio
"bilancio[484,2014]",-8.425549338e-05,bilancio
"bilancio[485,2014]",-9.922369118e-05,bilancio
"bilancio[486,2014]",-3.426344563e-05,bilancio
"bilancio[487OS,2014]",-0.0001013908712,bilancio
"bilancio[493,2014]",-0.0001026676767,bilancio
"bilancio[511,2014]",-5.745380582e-05,bilancio
"bilancio[512,2014]",-4.773413454e-05,bilancio
"bilancio[513,2014]",-5.308364087e-05,bilancio
"bilancio[514,2014]",-5.700940121e-05,bilancio
"bilancio[521CI,2014]",-6.573737795e-05,bilancio
"bilancio[523,2014]",-6.307348445e-05,bilancio
"bilancio[524,2014]",-5.789799817e-05,bilancio
"bilancio[525,2014]",-6.386261822e-05,bilancio
"bilancio[HS,2014]",-8.965355673e-05,bilancio
"bilancio[ORE,2014]",-5.725417614e-05,bilancio
"bilancio[532RL,2014]",-6.049747911e-05,bilancio
"bilancio[5411,2014]",-6.020910352e-05,bilancio
"bilancio[5415,2014]",-7.423748043e-05,bilancio
"bilancio[5412OP,2014]",-7.29660703e-05,bilancio
"bilancio[55,2014]",-6.872319993e-05,bilancio
"bilancio[561,2014]",-0.0001383320334,bilancio
"bilancio[562,2014]",-8.609742318e-05,bilancio
"bilancio[61,2014]",-0.0001222283525,bilancio
"bilancio[621,2014]",-9.7308898e-05,bilancio
"bilancio[622,2014]",-0.0001017577641,bilancio
"bilancio[623,2014]",-0.0001766672715,bilancio
"bilancio[624,2014]",-0.0002041002215,bilancio
"bilancio[711AS,2014]",-5.818370389e-05,bilancio
"bilancio[713,2014]",-0.0001228263812,bilancio
"bilancio[721,2014]",-0.0001173242833,bilancio
"bilancio[722,2014]",-0.0001640855289,bilancio
"bilancio[81,2014]",-0.0001205350262,bilancio
"bilancio[GFGD,2014]",-4.567005628e-05,bilancio
"bilancio[GFGN,2014]",-8.059935866e-05,bilancio
"bilancio[GFE,2014]",-9.30064855e-05,bilancio
"bilancio[GSLG,2014]",-9.967863586e-05,bilancio
"bilancio[GSLE,2014]",-7.191740287e-05,bilancio
"bilancio[111CA,2015]",-5.597878226e-05,bilancio
"bilancio[113FF,2015]",-8.083866522e-05,bilancio
"bilancio[211,2015]",-1.220751416e-05,bilancio
"bilancio[212,2015]",-3.053202957e-05,bilancio
"bilancio[213,2015]",-3.560599326e-05,bilancio
"bilancio[22,2015]",-4.795093696e-05,bilancio
"bilancio[23,2015]",-5.435994314e-05,bilancio
"bilancio[321,2015]",-6.205437552e-05,bilancio
"bilancio[327,2015]",-4.843707095e-05,bilancio
"bilancio[331,2015]",-3.23877508e-05,bilancio
"bilancio[332,2015]",-4.943016287e-05,bilancio
"bilancio[333,2015]",-4.338379624e-05,bilancio
"bilancio[334,2015]",-5.037074168e-05,bilancio
"bilancio[335,2015]",-3.810312993e-05,bilancio
"bilancio[3361MV,2015]",-4.425413324e-05,bilancio
"bilancio[3364OT,2015]",-4.410637861e-05,bilancio
"bilancio[337,2015]",-5.936729126e-05,bilancio
"bilancio[339,2015]",-5.444210264e-05,bilancio
"bilancio[311FT,2015]",-5.336596843e-05,bilancio
"bilancio[313TT,2015]",-5.086095121e-05,bilancio
"bilancio[315AL,2015]",-7.03851261e-05,bilancio
"bilancio[322,2015]",-5.490704575e-05,bilancio
"bilancio[323,2015]",-5.717542966e-05,bilancio
"bilancio[324,2015]",-1.496243835e-05,bilancio
"bilancio[325,2015]",-4.319307087e-05,bilancio
"bilancio[326,2015]",-5.19128429e-05,bilancio
"bilancio[42,2015]",-5.10990494e-05,bilancio
"bilancio[441,2015]",-7.069961601e-05,bilancio
"bilancio[445,2015]",-0.0001060059803,bilancio
"bilancio[452,2015]",-0.0001039991096,bilancio
"bilancio[4A0,2015]",-7.629582106e-05,bilancio
"bilancio[481,2015]",-4.067422065e-05,bilancio
"bilancio[482,2015]",-3.365709543e-05,bilancio
"bilancio[483,2015]",-4.782715817e-05,bilancio
"bilancio[484,2015]",-5.502384719e-05,bilancio
"bilancio[485,2015]",-6.513346582e-05,bilancio
"bilancio[486,2015]",-4.401812583e-05,bilancio
"bilancio[487OS,2015]",-6.432376153e-05,bilancio
"bilancio[493,2015]",-6.740578255e-05,bilancio
"bilancio[511,2015]",-6.254791286e-05,bilancio
"bilancio[512,2015]",-2.873704638e-05,bilancio
"bilancio[513,2015]",-4.323487872e-05,bilancio
"bilancio[514,2015]",-4.308850379e-05,bilancio
"bilancio[521CI,2015]",-5.01302538e-05,bilancio
"bilancio[523,2015]",-4.281644455e-05,bilancio
"bilancio[524,2015]",-3.639201427e-05,bilancio
"bilancio[525,2015]",-4.568949205e-05,bilancio
"bilancio[HS,2015]",-0.0002671274714,bilancio
"bilancio[ORE,2015]",-5.133633816e-05,bilancio
"bilancio[532RL,2015]",-5.166065636e-05,bilancio
"bilancio[5411,2015]",-3.810526432e-05,bilancio
"bilancio[5415,2015]",-5.138087058e-05,bilancio
"bilancio[5412OP,2015]",-4.97137776e-05,bilancio
"bilancio[55,2015]",-4.559600719e-05,bilancio
"bilancio[561,2015]",-8.356190539e-05,bilancio
"bilancio[562,2015]",-6.06060399e-05,bilancio
"bilancio[61,2015]",-7.718659182e-05,bilancio
"bilancio[621,2015]",-5.837904408e-05,bilancio
"bilancio[622,2015]",-6.284248983e-05,bilancio
"bilancio[623,2015]",-0.0001021822742,bilancio
"bilancio[624,2015]",-0.0001184427764,bilancio
"bilancio[711AS,2015]",-4.972772003e-05,bilancio
"bilancio[713,2015]",-7.659997861e-05,bilancio
"bilancio[721,2015]",-7.398045898e-05,bilancio
"bilancio[722,2015]",-9.991664156e-05,bilancio
"bilancio[81,2015]",-7.760310211e-05,bilancio
"bilancio[GFGD,2015]",-2.828062122e-05,bilancio
"bilancio[GFGN,2015]",-4.715685233e-05,bilancio
"bilancio[GFE,2015]",-5.25807384e-05,bilancio
"bilancio[GSLG,2015]",-5.751103143e-05,bilancio
"bilancio[GSLE,2015]",-4.492290978e-05,bilancio
"bilancio[111CA,2016]",-1.648033006e-05,bilancio
"bilancio[113FF,2016]",-1.284172894e-05,bilancio
"bilancio[211,2016]",-2.994896681e-05,bilancio
"bilancio[212,2016]",0,bilancio
"bilancio[213,2016]",0,bilancio
"bilancio[22,2016]",-1.917953423e-05,bilancio
"bilancio[23,2016]",0,bilancio
"bilancio[321,2016]",-1.518993509e-06,bilancio
"bilancio[327,2016]",-8.808469928e-07,bilancio
"bilancio[331,2016]",0,bilancio
"bilancio[332,2016]",-1.409305461e-05,bilancio
"bilancio[333,2016]",0,bilancio
"bilancio[334,2016]",-2.255185788e-05,bilancio
"bilancio[335,2016]",-1.456032024e-05,bilancio
"bilancio[3361MV,2016]",-9.018563314e-06,bilancio
"bilancio[3364OT,2016]",-1.561434282e-05,bilancio
"bilancio[337,2016]",-8.30334369e-06,bilancio
"bilancio[339,2016]",-1.854198253e-05,bilancio
"bilancio[311FT,2016]",-2.118833979e-05,bilancio
"bilancio[313TT,2016]",-1.085448825e-05,bilancio
"bilancio[315AL,2016]",-6.876301505e-06,bilancio
"bilancio[322,2016]",-2.954997412e-05,bilancio
"bilancio[323,2016]",-1.987824993e-05,bilancio
"bilancio[324,2016]",-1.953017134e-05,bilancio
"bilancio[325,2016]",-4.037605851e-05,bilancio
"bilancio[326,2016]",-2.595956885e-05,bilancio
"bilancio[42,2016]",-1.420667039e-05,bilancio
"bilancio[441,2016]",-2.557232107e-05,bilancio
"bilancio[445,2016]",-2.01882275e-05,bilancio
"bilancio[452,2016]",-2.113270902e-05,bilancio
"bilancio[4A0,2016]",-1.916412904e-05,bilancio
"bilancio[481,2016]",-2.097272055e-05,bilancio
"bilancio[482,2016]",-7.587693224e-06,bilancio
"bilancio[483,2016]",-2.045622951e-05,bilancio
"bilancio[484,2016]",-1.599044394e-05,bilancio
"bilancio[485,2016]",-1.814706761e-05,bilancio
"bilancio[486,2016]",-3.772477787e-05,bilancio
"bilancio[487OS,2016]",-1.491617524e-05,bilancio
"bilancio[493,2016]",-1.301211817e-05,bilancio
"bilancio[511,2016]",-5.063691e-06,bilancio
"bilancio[512,2016]",-5.057829786e-05,bilancio
"bilancio[513,2016]",-3.780575237e-05,bilancio
"bilancio[514,2016]",-1.602608972e-05,bilancio
"bilancio[521CI,2016]",-2.610800943e-05,bilancio
"bilancio[523,2016]",-1.18890186e-05,bilancio
"bilancio[524,2016]",-1.221438325e-05,bilancio
"bilancio[525,2016]",-1.514618825e-05,bilancio
"bilancio[HS,2016]",-0.00053417435,bilancio
"bilancio[ORE,2016]",-8.494190264e-06,bilancio
"bilancio[532RL,2016]",-2.826608754e-05,bilancio
"bilancio[5411,2016]",-7.039970005e-06,bilancio
"bilancio[5415,2016]",-5.89202699e-06,bilancio
"bilancio[5412OP,2016]",-1.702576014e-05,bilancio
"bilancio[55,2016]",-1.24801745e-05,bilancio
"bilancio[561,2016]",-1.186132055e-05,bilancio
"bilancio[562,2016]",-2.255742836e-05,bilancio
"bilancio[61,2016]",-1.565824529e-05,bilancio
"bilancio[621,2016]",-1.196559216e-05,bilancio
"bilancio[622,2016]",-1.361576178e-05,bilancio
"bilancio[623,2016]",-9.628861371e-06,bilancio
"bilancio[624,2016]",-8.122649546e-06,bilancio
"bilancio[711AS,2016]",-2.694012983e-05,bilancio
"bilancio[713,2016]",-1.735326633e-05,bilancio
"bilancio[721,2016]",-2.208094436e-05,bilancio
"bilancio[722,2016]",-1.501389185e-05,bilancio
"bilancio[81,2016]",-1.681769601e-05,bilancio
"bilancio[GFGD,2016]",-4.685765583e-06,bilancio
"bilancio[GFGN,2016]",-4.326955699e-06,bilancio
"bilancio[GFE,2016]",-6.227281135e-06,bilancio
"bilancio[GSLG,2016]",-6.096958904e-06,bilancio
"bilancio[GSLE,2016]",-8.4940815e-06,bilancio
