vincolo,duale,famiglia
"bilancio[111CA,2012]",-2.558097541e-05,bilancio
"bilancio[113FF,2012]",-7.582145384e-05,bilancio
"bilancio[211,2012]",-1.429367967e-05,bilancio
"bilancio[212,2012]",-2.75010057e-05,bilancio
"bilancio[213,2012]",-3.288799918e-05,bilancio
"bilancio[22,2012]",-2.967840904e-05,bilancio
"bilancio[23,2012]",-0.0001073098296,bilancio
"bilancio[321,2012]",-5.590597776e-05,bilancio
"bilancio[327,2012]",-4.313837355e-05,bilancio
"bilancio[331,2012]",-3.006170429e-05,bilancio
"bilancio[332,2012]",-4.579483934e-05,bilancio
"bilancio[333,2012]",-3.682135988e-05,bilancio
"bilancio[334,2012]",-3.09497394e-05,bilancio
"bilancio[335,2012]",-3.647010314e-05,bilancio
"bilancio[3361MV,2012]",-3.124860859e-05,bilancio
"bilancio[3364OT,2012]",-3.209286013e-05,bilancio
"bilancio[337,2012]",-5.880204516e-05,bilancio
"bilancio[339,2012]",-3.986533135e-05,bilancio
"bilancio[311FT,2012]",-3.573222898e-05,bilancio
"bilancio[313TT,2012]",-4.887870851e-05,bilancio
"bilancio[315AL,2012]",-7.45757831e-05,bilancio
"bilancio[322,2012]",-3.820785218e-05,bilancio
"bilancio[323,2012]",-5.71379373e-05,bilancio
"bilancio[324,2012]",-1.422249098e-05,bilancio
"bilancio[325,2012]",-2.226139554e-05,bilancio
"bilancio[326,2012]",-3.942138876e-05,bilancio
"bilancio[42,2012]",-3.578724451e-05,bilancio
"bilancio[441,2012]",-4.860772353e-05,bilancio
"bilancio[445,2012]",-9.377638705e-05,bilancio
"bilancio[452,2012]",-9.627917652e-05,bilancio
"bilancio[4A0,2012]",-6.770039479e-05,bilancio
"bilancio[481,2012]",-3.507710867e-05,bilancio
"bilancio[482,2012]",-3.51472358e-05,bilancio
"bilancio[483,2012]",-3.893578329e-05,bilancio
"bilancio[484,2012]",-5.350886791e-05,bilancio
"bilancio[485,2012]",-6.576111605e-05,bilancio
"bilancio[486,2012]",-2.423203302e-05,bilancio
"bilancio[487OS,2012]",-6.145394687e-05,bilancio
"bilancio[493,2012]",-6.531298376e-05,bilancio
"bilancio[511,2012]",-3.201701553e-05,bilancio
"bilancio[512,2012]",-3.029061845e-05,bilancio
"bilancio[513,2012]",-2.930352783e-05,bilancio
"bilancio[514,2012]",-3.53551159e-05,bilancio
"bilancio[521CI,2012]",-3.670117552e-05,bilancio
"bilancio[523,2012]",-3.236934739e-05,bilancio
"bilancio[524,2012]",-3.848679558e-05,bilancio
"bilancio[525,2012]",-3.740001458e-05,bilancio
