anno,industria,x,x_oss
2012,111CA,463.3077753,404.166
2012,113FF,51.87502291,46.892
2012,211,406.4698308,362.616
2012,212,137.2737674,124.611
2012,213,144.5135884,126.19
2012,22,473.334928,461.578
2012,23,1393.104922,1075.477
2012,321,101.1226371,80.398
2012,327,112.9734126,99.294
2012,331,275.6434433,269.218
2012,332,365.4175141,343.079
2012,333,362.5875475,404.552
2012,334,292.8542563,354.253
2012,335,126.2958214,122.794
2012,3361MV,481.6738241,516.699
2012,3364OT,291.397351,290.815
2012,337,63.34810242,65.729
2012,339,142.7618804,156.592
2012,311FT,941.6804087,895.874
2012,313TT,54.79943878,51.802
2012,315AL,17.84793329,19.244
2012,322,184.5694165,179.235
2012,323,79.16260375,83.081
2012,324,967.6469079,833.174
2012,325,823.7048626,794.029
2012,326,227.1508684,216.486
2012,42,1631.198021,1655.028
2012,441,215.7954915,221.875
2012,445,207.6585235,207.679
2012,452,210.622851,210.838
2012,4A0,771.7994912,763.319
2012,481,189.5484739,195.415
2012,482,83.71310075,79.141
2012,483,50.8323913,50.023
2012,484,306.2593607,297.774
2012,485,50.51504293,50.992
2012,486,41.90393578,36.442
2012,487OS,185.5817204,187.233
2012,493,107.7446232,108.888
2012,511,233.3138943,296.233
2012,512,98.44348103,131.699
2012,513,683.546346,733.128
2012,514,190.9990253,221.543
2012,521CI,762.3155533,761.619
2012,523,478.5896939,478.47
2012,524,814.5568894,798.591
2012,525,117.0824126,117.259
2012,HS,1726.663,1726.663
2012,ORE,1055.563637,889.093
2012,532RL,298.6124407,298.617
2012,5411,334.1952251,306.935
2012,5415,223.6229043,354.223
2012,5412OP,913.8033628,1123.861
2012,55,465.869679,478.846
2012,561,647.9652397,661.562
2012,562,85.64529786,83.564
2012,61,302.8071732,309.61
2012,621,867.2635235,869.254
2012,622,706.2499466,709.379
2012,623,208.5511971,208.979
2012,624,169.3654015,169.679
2012,711AS,139.7046164,144.767
2012,713,119.5800939,119.836
2012,721,213.9707643,214.978
2012,722,612.1394825,613.983
2012,81,575.4803446,576.029
2012,GFGD,671.2455038,676.303
2012,GFGN,367.0441213,370.378
2012,GFE,97.99801074,98.913
2012,GSLG,1943.777303,1947.062
