vincolo,duale,famiglia
"bilancio[111CA,2012]",-2.385903076e-05,bilancio
"bilancio[113FF,2012]",-7.170606608e-05,bilancio
"bilancio[211,2012]",-1.360084958e-05,bilancio
"bilancio[212,2012]",-2.615669605e-05,bilancio
"bilancio[213,2012]",-3.340836211e-05,bilancio
"bilancio[22,2012]",-2.829891185e-05,bilancio
"bilancio[23,2012]",-0.00010659349,bilancio
"bilancio[321,2012]",-5.279975488e-05,bilancio
"bilancio[327,2012]",-4.075858136e-05,bilancio
"bilancio[331,2012]",-2.835405927e-05,bilancio
"bilancio[332,2012]",-4.324059507e-05,bilancio
"bilancio[333,2012]",-3.472364279e-05,bilancio
"bilancio[334,2012]",-2.919522326e-05,bilancio
"bilancio[335,2012]",-3.439653645e-05,bilancio
"bilancio[3361MV,2012]",-2.94295367e-05,bilancio
"bilancio[3364OT,2012]",-3.02529135e-05,bilancio
"bilancio[337,2012]",-5.553807352e-05,bilancio
"bilancio[339,2012]",-3.762179492e-05,bilancio
"bilancio[311FT,2012]",-3.362684548e-05,bilancio
"bilancio[313TT,2012]",-4.616722499e-05,bilancio
"bilancio[315AL,2012]",-7.050507949e-05,bilancio
"bilancio[322,2012]",-3.608953977e-05,bilancio
"bilancio[323,2012]",-5.401773531e-05,bilancio
"bilancio[324,2012]",-1.346472772e-05,bilancio
"bilancio[325,2012]",-2.098833735e-05,bilancio
"bilancio[326,2012]",-3.722835826e-05,bilancio
"bilancio[42,2012]",-3.366680497e-05,bilancio
"bilancio[441,2012]",-4.560327015e-05,bilancio
"bilancio[445,2012]",-8.866635393e-05,bilancio
"bilancio[452,2012]",-9.091086961e-05,bilancio
"bilancio[4A0,2012]",-6.39389466e-05,bilancio
"bilancio[481,2012]",-3.320462823e-05,bilancio
"bilancio[482,2012]",-3.338785734e-05,bilancio
"bilancio[483,2012]",-3.685481868e-05,bilancio
"bilancio[484,2012]",-5.063796144e-05,bilancio
"bilancio[485,2012]",-6.240593273e-05,bilancio
"bilancio[486,2012]",-2.306334734e-05,bilancio
"bilancio[487OS,2012]",-5.823206328e-05,bilancio
"bilancio[493,2012]",-6.191488408e-05,bilancio
"bilancio[511,2012]",-3.02975962e-05,bilancio
"bilancio[512,2012]",-2.866994024e-05,bilancio
"bilancio[513,2012]",-2.774589249e-05,bilancio
"bilancio[514,2012]",-3.34629946e-05,bilancio
"bilancio[521CI,2012]",-3.475915415e-05,bilancio
"bilancio[523,2012]",-3.065932459e-05,bilancio
"bilancio[524,2012]",-3.642901405e-05,bilancio
"bilancio[525,2012]",-3.543708932e-05,bilancio
"bilancio[HS,2012]",-0.0002961937358,bilancio
"bilancio[ORE,2012]",-3.799202858e-05,bilancio
"bilancio[532RL,2012]",-3.185520098e-05,bilancio
"bilancio[5411,2012]",-3.555222155e-05,bilancio
"bilancio[5415,2012]",-4.228525174e-05,bilancio
"bilancio[5412OP,2012]",-4.205256169e-05,bilancio
"bilancio[55,2012]",-3.962591035e-05,bilancio
"bilancio[561,2012]",-8.353382108e-05,bilancio
"bilancio[562,2012]",-4.937296052e-05,bilancio
"bilancio[61,2012]",-7.021497942e-05,bilancio
"bilancio[621,2012]",-5.742792475e-05,bilancio
"bilancio[622,2012]",-6.027455418e-05,bilancio
"bilancio[623,2012]",-0.000107809542,bilancio
"bilancio[624,2012]",-0.0001172194557,bilancio
"bilancio[711AS,2012]",-3.395608263e-05,bilancio
"bilancio[713,2012]",-7.129603366e-05,bilancio
"bilancio[721,2012]",-6.758657015e-05,bilancio
"bilancio[722,2012]",-9.676089484e-05,bilancio
"bilancio[81,2012]",-7.113111297e-05,bilancio
"bilancio[GFGD,2012]",-2.942676382e-05,bilancio
"bilancio[GFGN,2012]",-4.901401735e-05,bilancio
"bilancio[GFE,2012]",-5.597896478e-05,bilancio
"bilancio[GSLG,2012]",-6.126446848e-05,bilancio
"bilancio[GSLE,2012]",-5.276343402e-05,bilancio
"bilancio[111CA,2013]",-4.104648686e-05,bilancio
"bilancio[113FF,2013]",-0.0001021404086,bilancio
"bilancio[211,2013]",-1.916615687e-05,bilancio
"bilancio[212,2013]",-3.422880104e-05,bilancio
"bilancio[213,2013]",-3.973948022e-05,bilancio
"bilancio[22,2013]",-3.617906726e-05,bilancio
"bilancio[23,2013]",-7.444722205e-05,bilancio
"bilancio[321,2013]",-7.557529326e-05,bilancio
"bilancio[327,2013]",-5.746318611e-05,bilancio
"bilancio[331,2013]",-3.757841428e-05,bilancio
"bilancio[332,2013]",-6.113021687e-05,bilancio
"bilancio[333,2013]",-4.937001282e-05,bilancio
"bilancio[334,2013]",-4.054723355e-05,bilancio
"bilancio[335,2013]",-4.672425024e-05,bilancio
"bilancio[3361MV,2013]",-3.983335939e-05,bilancio
"bilancio[3364OT,2013]",-4.226432816e-05,bilancio
"bilancio[337,2013]",-7.784549749e-05,bilancio
"bilancio[339,2013]",-5.430567142e-05,bilancio
"bilancio[311FT,2013]",-4.952278789e-05,bilancio
"bilancio[313TT,2013]",-6.184089047e-05,bilancio
"bilancio[315AL,2013]",0,bilancio
"bilancio[322,2013]",-5.016566091e-05,bilancio
"bilancio[323,2013]",-7.408662312e-05,bilancio
"bilancio[324,2013]",-1.340570437e-05,bilancio
"bilancio[325,2013]",-2.922205075e-05,bilancio
"bilancio[326,2013]",-5.220400809e-05,bilancio
"bilancio[42,2013]",-5.335741203e-05,bilancio
"bilancio[441,2013]",-7.208751626e-05,bilancio
"bilancio[445,2013]",-0.0001289614537,bilancio
"bilancio[452,2013]",-0.0001310077095,bilancio
"bilancio[4A0,2013]",-9.246268197e-05,bilancio
"bilancio[481,2013]",-4.276943265e-05,bilancio
"bilancio[482,2013]",-4.364818512e-05,bilancio
"bilancio[483,2013]",-4.458201069e-05,bilancio
"bilancio[484,2013]",-6.862723291e-05,bilancio
"bilancio[485,2013]",-8.282387764e-05,bilancio
