industria,tipo,K_2012,K_2017
111CA,E,210.8151004,113.1485438
111CA,N,0.05686190476,3145.447482
111CA,S,253.4878801,224.1665945
113FF,E,33.95736731,19.62587323
113FF,N,0.1353743207,0.05533204895
113FF,S,18.68330894,16.45409099
211,E,54.15260434,152.0080933
211,N,8.744039609,2.131798489
211,S,1464.481286,1889.237627
212,E,43.68310231,18.94988828
212,N,1.383163222,0.334394645
212,S,110.7721479,265.9924218
213,E,71.60372302,162.2907617
213,N,1.94726701,0.1534382502
213,S,53.88716062,39.61033338
22,E,498.8863593,336.1010759
22,N,8.973254686,0.2077616669
22,S,1505.63737,1342.134233
23,E,183.1757609,100.5880942
23,N,6.39643848,0.6023973218
23,S,87.07276629,76.33112167
311FT,E,149.705923,99.97639106
311FT,N,23.24760722,6.461808648
311FT,S,126.7860721,108.2332658
313TT,E,16.49193837,9.123433808
313TT,N,2.396261023,0.6829095257
313TT,S,23.15844203,19.84109236
315AL,E,5.06548826,2.603833405
315AL,N,2.341639321,0.7121836617
315AL,S,11.13799958,9.619136899
321,E,16.31526976,7.098099773
321,N,0.5560048475,0.07894256285
321,S,21.31381491,18.20484492
322,E,67.48857659,55.70664121
322,N,7.231220313,1.980646622
322,S,38.38679298,32.75693595
323,E,27.32460115,13.79627072
323,N,4.282662133,6.246840748
323,S,18.73995726,16.02855838
324,E,107.1077839,102.3234931
324,N,35.10354741,10.87159512
324,S,61.9230723,52.73715796
325,E,154.4417217,79.7792213
325,N,463.0426602,517.768464
325,S,147.7768688,126.358928
326,E,51.36746559,38.87039712
326,N,11.8334633,3.493153162
326,S,30.69607442,26.18066278
327,E,42.75331973,23.43203191
327,N,15.81854138,5.67650129
327,S,32.77286679,27.97191798
331,E,91.30628183,106.1599734
331,N,12.08105594,4.025883856
331,S,65.82985942,56.29724779
332,E,96.44695894,81.52199832
332,N,17.65924245,5.544274857
332,S,55.79038069,47.69744221
333,E,96.50768754,147.7342084
333,N,49.9582669,15.95042617
333,S,67.20331404,57.61965142
334,E,141.3073137,1433.304771
334,N,209.6528218,27.41749892
334,S,145.6690008,124.7527094
335,E,22.01426169,17.80999751
335,N,19.08424505,6.380064376
335,S,27.80493004,23.95551453
3361MV,E,100.3025956,112.8196311
3361MV,N,42.66127606,3.682037284
3361MV,S,52.75937096,44.94750857
3364OT,E,40.53067471,51.74202533
3364OT,N,61.96724788,13.68791914
3364OT,S,55.13153927,47.09873728
337,E,8.883094812,4.142711838
337,N,2.293837685,2.178359025
337,S,10.68697826,9.148292821
339,E,33.09627379,27.02777654
339,N,28.32608025,8.467849152
339,S,32.31551226,27.63096716
42,E,217.433884,96.7923588
42,N,47.98880001,4.160039721
42,S,255.5203295,533.2480859
441,E,24.50774389,41.02560888
441,N,2.995298627,5.546454154
441,S,162.5208066,142.7902766
445,E,53.87013612,24.5274245
445,N,3.9402112,0.4769003286
445,S,164.0914028,143.9510444
452,E,39.87762812,16.99820413
452,N,5.515083357,1.894821142
452,S,158.6623253,139.2716713
481,E,169.9555743,171.762616
481,N,1.901043095,0.08273372687
481,S,55.13350897,48.979387
482,E,37.69195881,28.21863147
482,N,1.262299015,0.04594473269
482,S,335.8662689,300.5670529
483,E,37.85231363,25.7869102
483,N,0.3348976792,0.0007663297771
483,S,6.344409979,5.589563088
484,E,89.3781813,56.04320311
484,N,1.012380112,0.02868572756
484,S,23.24945409,20.08219402
485,E,16.51144675,11.18703375
485,N,0.3751261555,0.7401245962
485,S,26.13901079,23.1593178
486,E,24.73219144,19.01394377
486,N,0.8457069534,0.3828353633
486,S,154.9468262,135.1565039
487OS,E,64.4785873,52.71902032
487OS,N,2.034364871,1.695762127
487OS,S,62.49675122,56.15417129
493,E,8.326452011,5.435493901
493,N,0.4803613952,0.5037996084
493,S,33.40922586,29.6884009
4A0,E,145.8821968,98.84054994
4A0,N,19.20196322,9.237615853
4A0,S,418.6396069,366.947737
511,E,28.01920185,1004.532307
511,N,195.4395279,50.32158415
511,S,46.92528637,69.15602828
512,E,11.31562742,4.713375258
512,N,215.2011549,158.0427583
512,S,33.00386922,28.59070173
513,E,318.0504281,8624.07673
513,N,146.610058,39.21222839
513,S,779.0080586,687.4333538
514,E,32.55786603,70.48993954
514,N,55.4421594,5.713881547
514,S,22.18616527,111.1893002
521CI,E,361.1551055,202.4796596
521CI,N,32.60079412,20.22464229
521CI,S,360.9658062,317.6362593
523,E,32.67694363,35.0117443
523,N,21.8860249,2.890002309
523,S,101.6536928,89.27567632
524,E,45.43025252,16.10389218
524,N,40.54066977,1.238046471
524,S,155.2299235,229.4637127
525,E,1.076318711,1.397583834
525,N,0.7212405543,0.03377706095
525,S,39.04315067,34.45115996
532RL,E,350.0176297,261.8025938
532RL,N,1.394439607,0.01323935339
532RL,S,23.43321742,20.44672077
5411,E,15.70822796,5.132715522
5411,N,2.823971676,0.04137729549
5411,S,24.3919438,26.91134756
5412OP,E,120.3759716,185.2796287
5412OP,N,211.4784606,52.41811342
5412OP,S,116.36844,101.3666942
5415,E,26.43076569,93.11144574
5415,N,42.74917061,1.816228856
5415,S,25.50381458,68.16342736
55,E,43.92572316,94.78938074
55,N,44.86030756,9.306490726
55,S,282.2088194,248.024614
561,E,75.72634786,29.50867311
561,N,29.3933864,13.42322691
561,S,56.57037519,138.1159071
562,E,26.02256444,13.13033224
562,N,0.8500440075,2.303455041
562,S,71.24242695,63.30660945
61,E,46.84317551,19.14942659
61,N,24.20399241,9.19939409
61,S,430.3049448,389.7808977
621,E,130.4308934,84.0406376
621,N,11.85024694,1.61566047
621,S,182.6237919,162.4254762
622,E,184.233821,92.12233979
622,N,18.02041754,10.71026014
622,S,608.1899699,551.7646439
623,E,17.93800704,7.76442909
623,N,2.109645159,1.775268075
623,S,61.79085904,55.3881479
624,E,10.79884626,4.31881766
624,N,0.9969905765,0.8339734835
624,S,44.14672098,39.04837282
711AS,E,18.23495259,7.588892054
711AS,N,48.15662244,39.33150267
711AS,S,83.95324162,73.58606538
713,E,31.52898862,12.96644706
713,N,1.188472624,1.857431368
713,S,119.7705527,103.14267
721,E,36.1609432,16.06626601
721,N,2.384141448,2.524147272
721,S,299.2710495,259.4276409
722,E,73.50393591,36.22193967
722,N,1.765890399,4.215948091
722,S,150.5740896,131.5390359
81,E,86.45073048,44.89369274
81,N,26.78292288,15.44424706
81,S,464.332665,417.0412396
HS,R,16320.95131,16320.95131
ORE,E,62.713481,24.50066152
ORE,N,3.754532699,4.059470427
ORE,S,1075.119626,941.4690921
