anno,industria,x,x_oss
2012,111CA,477.7589033,404.166
2012,113FF,52.13079607,46.892
2012,211,415.2701432,362.616
2012,212,135.3614367,124.611
2012,213,144.5135884,126.19
2012,22,473.7218386,461.578
2012,23,1075.873736,1075.477
2012,321,91.02751916,80.398
2012,327,105.6014813,99.294
2012,331,295.946727,269.218
2012,332,371.668185,343.079
2012,333,484.5811891,404.552
2012,334,290.8665747,354.253
2012,335,121.8526928,122.794
2012,3361MV,522.7326063,516.699
2012,3364OT,349.5713405,290.815
2012,337,55.94745212,65.729
2012,339,146.9129102,156.592
2012,311FT,958.4188959,895.874
2012,313TT,56.52620524,51.802
2012,315AL,19.73782307,19.244
2012,322,189.8904046,179.235
2012,323,83.01688509,83.081
2012,324,975.523331,833.174
2012,325,994.9756277,794.029
2012,326,233.6932761,216.486
2012,42,1721.111654,1655.028
2012,441,216.1599048,221.875
2012,445,208.1910315,207.679
2012,452,210.1723421,210.838
2012,4A0,752.5292707,763.319
2012,481,190.5201294,195.415
2012,482,86.14122583,79.141
2012,483,51.13180187,50.023
2012,484,314.229893,297.774
2012,485,50.71716473,50.992
2012,486,42.64592625,36.442
2012,487OS,189.1636485,187.233
2012,493,109.2276006,108.888
2012,511,234.5371723,296.233
2012,512,97.72494636,131.699
2012,513,700.3446025,733.128
2012,514,201.411544,221.543
2012,521CI,764.6994329,761.619
2012,523,479.9522959,478.47
2012,524,806.9131438,798.591
2012,525,117.2677703,117.259
2012,HS,1726.663,1726.663
2012,ORE,963.3017321,889.093
2012,532RL,300.1875305,298.617
2012,5411,320.3482964,306.935
2012,5415,223.2779726,354.223
2012,5412OP,1042.387067,1123.861
2012,55,481.5075423,478.846
2012,561,654.175399,661.562
2012,562,85.32280727,83.564
2012,61,305.9889785,309.61
2012,621,868.8209912,869.254
2012,622,707.9996815,709.379
2012,623,208.969244,208.979
2012,624,169.6489118,169.679
2012,711AS,137.5178354,144.767
2012,713,119.7191713,119.836
2012,721,214.2984643,214.978
2012,722,613.375432,613.983
2012,81,577.5112758,576.029
2012,GFGD,673.8071671,676.303
2012,GFGN,368.4129939,370.378
2012,GFE,99.44516486,98.913
2012,GSLG,1942.121379,1947.062
2012,GSLE,304.3366503,298.57
2013,111CA,392.7873396,420.0646127
2013,113FF,46.28994674,48.1981787
2013,211,535.6421939,391.494883
2013,212,154.2394222,118.9735655
