vincolo,duale,famiglia
"bilancio[111CA,2012]",-0.5751779437,bilancio
"bilancio[113FF,2012]",-1.444387855,bilancio
"bilancio[211,2012]",-0.706676054,bilancio
"bilancio[212,2012]",-0.5454170261,bilancio
"bilancio[213,2012]",-0.9281500034,bilancio
"bilancio[22,2012]",-0.5630044205,bilancio
"bilancio[23,2012]",-1.319093486,bilancio
"bilancio[321,2012]",-1.105264911,bilancio
"bilancio[327,2012]",-0.8492033145,bilancio
"bilancio[331,2012]",-0.628553477,bilancio
"bilancio[332,2012]",-0.9196705407,bilancio
"bilancio[333,2012]",-0.9632104742,bilancio
"bilancio[334,2012]",-0.6184117483,bilancio
"bilancio[335,2012]",-0.751181339,bilancio
"bilancio[3361MV,2012]",-0.6925335418,bilancio
"bilancio[3364OT,2012]",-0.6631105932,bilancio
"bilancio[337,2012]",-1.159648911,bilancio
"bilancio[339,2012]",-0.7936118786,bilancio
"bilancio[311FT,2012]",-0.7382591516,bilancio
"bilancio[313TT,2012]",-0.9858109643,bilancio
"bilancio[315AL,2012]",-1.442341014,bilancio
"bilancio[322,2012]",-0.7712433018,bilancio
"bilancio[323,2012]",-1.106631014,bilancio
"bilancio[324,2012]",-0.488834742,bilancio
"bilancio[325,2012]",-0.488834742,bilancio
"bilancio[326,2012]",-0.8029995713,bilancio
"bilancio[42,2012]",-0.7165930865,bilancio
"bilancio[441,2012]",-0.9842358665,bilancio
"bilancio[445,2012]",-1.771292437,bilancio
"bilancio[452,2012]",-1.835999471,bilancio
"bilancio[4A0,2012]",-1.292693743,bilancio
"bilancio[481,2012]",-0.7028281871,bilancio
"bilancio[482,2012]",-0.6719667993,bilancio
"bilancio[483,2012]",-0.7734838597,bilancio
"bilancio[484,2012]",-1.044152025,bilancio
"bilancio[485,2012]",-1.223016192,bilancio
"bilancio[486,2012]",-0.4451010092,bilancio
"bilancio[487OS,2012]",-1.166246713,bilancio
"bilancio[493,2012]",-1.223384366,bilancio
"bilancio[511,2012]",-0.6065860542,bilancio
"bilancio[512,2012]",-0.571804574,bilancio
"bilancio[513,2012]",-0.5587415344,bilancio
"bilancio[514,2012]",-0.6721167608,bilancio
"bilancio[521CI,2012]",-0.6873739466,bilancio
"bilancio[523,2012]",-0.6091947285,bilancio
"bilancio[524,2012]",-0.7282100158,bilancio
"bilancio[525,2012]",-0.7066756502,bilancio
"bilancio[HS,2012]",-27.88456179,bilancio
"bilancio[ORE,2012]",-0.7109261317,bilancio
"bilancio[532RL,2012]",-0.6388375966,bilancio
"bilancio[5411,2012]",-0.702052884,bilancio
"bilancio[5415,2012]",-0.8443405966,bilancio
"bilancio[5412OP,2012]",-0.8450112603,bilancio
"bilancio[55,2012]",-0.7867544428,bilancio
"bilancio[561,2012]",-1.653895573,bilancio
"bilancio[562,2012]",-1.000959047,bilancio
"bilancio[61,2012]",-1.385567801,bilancio
"bilancio[621,2012]",-1.140246787,bilancio
"bilancio[622,2012]",-1.198918086,bilancio
"bilancio[623,2012]",-2.127251052,bilancio
"bilancio[624,2012]",-2.318052056,bilancio
"bilancio[711AS,2012]",-0.6701770147,bilancio
"bilancio[713,2012]",-1.400711075,bilancio
"bilancio[721,2012]",-1.337154258,bilancio
"bilancio[722,2012]",-1.915967092,bilancio
"bilancio[81,2012]",-1.421303576,bilancio
"bilancio[GFGD,2012]",-0.5965848206,bilancio
"bilancio[GFGN,2012]",-0.9712980147,bilancio
"bilancio[GFE,2012]",-1.124182582,bilancio
"bilancio[GSLG,2012]",-1.214201195,bilancio
"bilancio[GSLE,2012]",-0.9746485499,bilancio
"bilancio[111CA,2013]",-0.7020872807,bilancio
"bilancio[113FF,2013]",-1.745015946,bilancio
"bilancio[211,2013]",-0.6764978373,bilancio
"bilancio[212,2013]",-0.8106153588,bilancio
"bilancio[213,2013]",-0.9408094784,bilancio
"bilancio[22,2013]",-0.6657131462,bilancio
"bilancio[23,2013]",-1.276340687,bilancio
"bilancio[321,2013]",-1.345544476,bilancio
"bilancio[327,2013]",-1.024322381,bilancio
"bilancio[331,2013]",-0.7304913554,bilancio
"bilancio[332,2013]",-1.109478213,bilancio
"bilancio[333,2013]",-0.9290916622,bilancio
"bilancio[334,2013]",-0.7261664186,bilancio
"bilancio[335,2013]",-0.8724462093,bilancio
"bilancio[3361MV,2013]",-0.839001113,bilancio
"bilancio[3364OT,2013]",-0.800410208,bilancio
"bilancio[337,2013]",-1.383875768,bilancio
"bilancio[339,2013]",-0.9682697539,bilancio
"bilancio[311FT,2013]",-0.881189366,bilancio
"bilancio[313TT,2013]",-1.158790073,bilancio
"bilancio[315AL,2013]",-1.696532238,bilancio
"bilancio[322,2013]",-0.9253546027,bilancio
"bilancio[323,2013]",-1.295510185,bilancio
"bilancio[324,2013]",-0.5193676415,bilancio
"bilancio[325,2013]",-0.5905847759,bilancio
"bilancio[326,2013]",-0.9802573346,bilancio
"bilancio[42,2013]",-0.8853397981,bilancio
"bilancio[441,2013]",-1.165856416,bilancio
"bilancio[445,2013]",-2.139748074,bilancio
"bilancio[452,2013]",-2.161226135,bilancio
"bilancio[4A0,2013]",-1.526573029,bilancio
"bilancio[481,2013]",-0.7836538206,bilancio
"bilancio[482,2013]",-0.7858527226,bilancio
"bilancio[483,2013]",-0.8135377338,bilancio
"bilancio[484,2013]",-1.213069313,bilancio
"bilancio[485,2013]",-1.41793371,bilancio
"bilancio[486,2013]",-0.5215329053,bilancio
"bilancio[487OS,2013]",-1.371633049,bilancio
"bilancio[493,2013]",-1.442794664,bilancio
"bilancio[511,2013]",-0.7004462638,bilancio
"bilancio[512,2013]",-0.6771533486,bilancio
"bilancio[513,2013]",-0.6155216676,bilancio
"bilancio[514,2013]",-0.7767217091,bilancio
"bilancio[521CI,2013]",-0.8720847167,bilancio
"bilancio[523,2013]",-0.7658039224,bilancio
"bilancio[524,2013]",-0.9150807103,bilancio
"bilancio[525,2013]",-0.8408575891,bilancio
"bilancio[HS,2013]",-0.1148482393,bilancio
"bilancio[ORE,2013]",-0.8083584528,bilancio
"bilancio[532RL,2013]",-0.7682518801,bilancio
"bilancio[5411,2013]",-0.8515831473,bilancio
"bilancio[5415,2013]",-1.017830698,bilancio
"bilancio[5412OP,2013]",-1.007211766,bilancio
"bilancio[55,2013]",-0.9395414278,bilancio
"bilancio[561,2013]",-1.97752569,bilancio
"bilancio[562,2013]",-1.197039581,bilancio
"bilancio[61,2013]",-1.657363722,bilancio
"bilancio[621,2013]",-1.349509373,bilancio
"bilancio[622,2013]",-1.409960656,bilancio
"bilancio[623,2013]",-2.493743354,bilancio
"bilancio[624,2013]",-2.884126338,bilancio
"bilancio[711AS,2013]",-0.8122225302,bilancio
"bilancio[713,2013]",-1.644947713,bilancio
"bilancio[721,2013]",-1.573639503,bilancio
"bilancio[722,2013]",-2.28082149,bilancio
"bilancio[81,2013]",-1.679625191,bilancio
"bilancio[GFGD,2013]",-0.6917092235,bilancio
"bilancio[GFGN,2013]",-1.156095167,bilancio
"bilancio[GFE,2013]",-1.356284241,bilancio
"bilancio[GSLG,2013]",-1.419124341,bilancio
"bilancio[GSLE,2013]",-1.086532389,bilancio
"bilancio[111CA,2014]",-0.7780109767,bilancio
"bilancio[113FF,2014]",-1.774399656,bilancio
"bilancio[211,2014]",-0.7780109767,bilancio
"bilancio[212,2014]",-0.6662655014,bilancio
"bilancio[213,2014]",-0.809897802,bilancio
"bilancio[22,2014]",-0.7167166183,bilancio
"bilancio[23,2014]",-1.255074236,bilancio
"bilancio[321,2014]",-1.46998053,bilancio
"bilancio[327,2014]",-1.040822756,bilancio
"bilancio[331,2014]",-0.7780109767,bilancio
"bilancio[332,2014]",-1.226500831,bilancio
"bilancio[333,2014]",-1.062721434,bilancio
"bilancio[334,2014]",-0.7780109767,bilancio
"bilancio[335,2014]",-0.9452803767,bilancio
"bilancio[3361MV,2014]",-0.9138448525,bilancio
"bilancio[3364OT,2014]",-0.8447572623,bilancio
"bilancio[337,2014]",-1.437535224,bilancio
"bilancio[339,2014]",-1.0292542,bilancio
"bilancio[311FT,2014]",-0.937825871,bilancio
"bilancio[313TT,2014]",-1.178509745,bilancio
"bilancio[315AL,2014]",-1.739078513,bilancio
"bilancio[322,2014]",-0.9544286556,bilancio
"bilancio[323,2014]",-1.313166742,bilancio
"bilancio[324,2014]",-0.5695270493,bilancio
"bilancio[325,2014]",-0.6291655191,bilancio
"bilancio[326,2014]",-1.040075784,bilancio
"bilancio[42,2014]",-0.8851150383,bilancio
"bilancio[441,2014]",-1.116608775,bilancio
"bilancio[445,2014]",-2.173626287,bilancio
"bilancio[452,2014]",-2.142959898,bilancio
"bilancio[4A0,2014]",-1.543215775,bilancio
"bilancio[481,2014]",-0.7782114232,bilancio
"bilancio[482,2014]",-0.8387980408,bilancio
"bilancio[483,2014]",-0.8873099133,bilancio
"bilancio[484,2014]",-1.242659328,bilancio
"bilancio[485,2014]",-1.418348179,bilancio
"bilancio[486,2014]",-0.6796767766,bilancio
"bilancio[487OS,2014]",-1.416844347,bilancio
"bilancio[493,2014]",-1.501867795,bilancio
"bilancio[511,2014]",-0.7989730309,bilancio
"bilancio[512,2014]",-0.7136484265,bilancio
"bilancio[513,2014]",-0.7628558672,bilancio
"bilancio[514,2014]",-0.7985213159,bilancio
"bilancio[521CI,2014]",-0.9063157791,bilancio
"bilancio[523,2014]",-0.8941574579,bilancio
"bilancio[524,2014]",-0.827790959,bilancio
