caso,variabile,anno,valore
osservato,produzione_lorda,2012,29232.151
osservato,consumo_privato,2012,11065.391
osservato,investimento_E,2012,979.968
osservato,investimento_S,2012,461.451
osservato,investimento_N,2012,655.697
osservato,investimento_R,2012,432.014
osservato,produzione_lorda,2013,29888.3702
osservato,consumo_privato,2013,11221.41039
osservato,investimento_E,2013,1040.300973
osservato,investimento_S,2013,467.9013577
osservato,investimento_N,2013,694.3590635
osservato,investimento_R,2013,486.640999
osservato,produzione_lorda,2014,30756.33925
osservato,consumo_privato,2014,11485.59399
osservato,investimento_E,2014,1120.873196
osservato,investimento_S,2014,519.2513389
osservato,investimento_N,2014,736.3419464
osservato,investimento_R,2014,508.1175307
osservato,produzione_lorda,2015,31442.76287
osservato,consumo_privato,2015,11875.06634
osservato,investimento_E,2015,1162.908353
osservato,investimento_S,2015,515.2587226
osservato,investimento_N,2015,771.8410725
osservato,investimento_R,2015,562.3000943
osservato,produzione_lorda,2016,32015.74003
osservato,consumo_privato,2016,12189.77949
osservato,investimento_E,2016,1160.192713
osservato,investimento_S,2016,494.6712135
osservato,investimento_N,2016,845.5307864
osservato,investimento_R,2016,602.4324513
osservato,stock_E,2012,5482.556292
osservato,stock_S,2012,12034.73719
osservato,stock_N,2012,2308.266901
osservato,stock_R,2012,16320.95131
osservato,stock_E,2013,5697.245
osservato,stock_S,2013,12111.938
osservato,stock_N,2013,2392.597
osservato,stock_R,2013,16352.383
osservato,stock_E,2014,5939.767384
osservato,stock_S,2014,12201.77995
osservato,stock_N,2014,2486.697176
osservato,stock_R,2014,16463.18883
osservato,stock_E,2015,6224.30194
osservato,stock_S,2015,12338.34192
osservato,stock_N,2015,2591.449439
osservato,stock_R,2015,16592.58793
osservato,stock_E,2016,6509.75935
osservato,stock_S,2016,12467.24791
osservato,stock_N,2016,2698.174801
osservato,stock_R,2016,16773.35508
osservato,stock_E,2017,6754.034715
osservato,stock_S,2017,12574.478
osservato,stock_N,2017,2838.099865
osservato,stock_R,2017,16989.36543
O1,produzione_lorda,2012,29462.20341
O1,consumo_privato,2012,11042.01976
O1,investimento_E,2012,480.7972861
O1,investimento_S,2012,190.524919
O1,investimento_N,2012,78.11554904
O1,investimento_R,2012,1300.777106
O1,produzione_lorda,2013,29134.92368
O1,consumo_privato,2013,11699.1292
O1,investimento_E,2013,495.9430712
O1,investimento_S,2013,222.4861184
O1,investimento_N,2013,12.78914394
O1,investimento_R,2013,1784.364922
O1,produzione_lorda,2014,30057.69601
O1,consumo_privato,2014,13063.96303
O1,investimento_E,2014,630.9747067
O1,investimento_S,2014,455.9760052
O1,investimento_N,2014,307.3145594
O1,investimento_R,2014,0
O1,produzione_lorda,2015,31159.35012
O1,consumo_privato,2015,13212.98639
O1,investimento_E,2015,941.0080196
O1,investimento_S,2015,280.5338354
O1,investimento_N,2015,552.9543822
O1,investimento_R,2015,0
O1,produzione_lorda,2016,32259.47675
O1,consumo_privato,2016,13177.56246
O1,investimento_E,2016,1129.606467
O1,investimento_S,2016,729.1020976
O1,investimento_N,2016,1108.519384
O1,investimento_R,2016,0
O1,stock_E,2012,5482.556292
O1,stock_S,2012,12034.73719
O1,stock_N,2012,2308.266901
O1,stock_R,2012,16320.95131
O1,stock_E,2013,5197.776026
O1,stock_S,2013,11851.67755
O1,stock_N,2013,1808.65065
O1,stock_R,2013,17244.36287
O1,stock_E,2014,4972.19317
O1,stock_S,2014,11701.36839
O1,stock_N,2014,1395.138649
O1,stock_R,2014,18630.01155
O1,stock_E,2015,4896.946666
O1,stock_S,2015,11783.25058
O1,stock_N,2015,1395.296474
O1,stock_R,2015,18199.25698
O1,stock_E,2016,5133.155242
O1,stock_S,2016,11685.38591
O1,stock_N,2016,1621.921915
O1,stock_R,2016,17778.46211
O1,stock_E,2017,5482.556292
O1,stock_S,2017,12034.73719
O1,stock_N,2017,2308.266901
O1,stock_R,2017,17367.39668
O2,produzione_lorda,2012,29097.79959
O2,consumo_privato,2012,12133.50661
O2,investimento_E,2012,230.4953178
O2,investimento_S,2012,152.3635457
O2,investimento_N,2012,0
O2,investimento_R,2012,1302.479727
O2,produzione_lorda,2013,30033.55992
O2,consumo_privato,2013,12550.0954
O2,investimento_E,2013,447.0495495
O2,investimento_S,2013,430.9155454
O2,investimento_N,2013,107.1952828
O2,investimento_R,2013,660.1794093
O2,produzione_lorda,2014,30937.97425
O2,consumo_privato,2014,12916.59533
O2,investimento_E,2014,597.7614833
O2,investimento_S,2014,748.4924718
O2,investimento_N,2014,332.7204345
O2,investimento_R,2014,0
O2,produzione_lorda,2015,31796.51624
O2,consumo_privato,2015,13451.61789
O2,investimento_E,2015,821.7789939
O2,investimento_S,2015,211.2761563
O2,investimento_N,2015,524.4825642
O2,investimento_R,2015,0
O2,produzione_lorda,2016,32516.23605
O2,consumo_privato,2016,13676.28391
O2,investimento_E,2016,1382.330053
O2,investimento_S,2016,363.0663832
O2,investimento_N,2016,1161.438481
O2,investimento_R,2016,0
O2,stock_E,2012,5482.556292
O2,stock_S,2012,12034.73719
