variabile,anno,O1,O2,O3,O4,osservato
consumo_privato,2012,11042.01976,12133.50661,11065.391,11064.9997,11065.391
consumo_privato,2013,11699.1292,12550.0954,11065.391,11210.78541,11221.41039
consumo_privato,2014,13063.96303,12916.59533,11065.391,11485.59387,11485.59399
consumo_privato,2015,13212.98639,13451.61789,11065.391,11857.62802,11875.06634
consumo_privato,2016,13177.56246,13676.28391,11065.391,12126.76483,12189.77949
investimento_E,2012,480.7972861,230.4953178,769.9530774,979.968,979.968
investimento_E,2013,495.9430712,447.0495495,1080.325847,1040.300973,1040.300973
investimento_E,2014,630.9747067,597.7614833,2340.784692,1120.873196,1120.873196
investimento_E,2015,941.0080196,821.7789939,4990.810154,1162.908353,1162.908353
investimento_E,2016,1129.606467,1382.330053,5311.024103,1160.192713,1160.192713
investimento_N,2012,78.11554904,0,264.5051605,655.697,655.697
investimento_N,2013,12.78914394,107.1952828,4.072866366,694.3590635,694.3590635
investimento_N,2014,307.3145594,332.7204345,211.7903149,736.8713031,736.3419464
investimento_N,2015,552.9543822,524.4825642,214.9648474,771.8410725,771.8410725
investimento_N,2016,1108.519384,1161.438481,3155.13714,845.5307864,845.5307864
investimento_R,2012,1300.777106,1302.479727,829.0001304,432.014,432.014
investimento_R,2013,1784.364922,660.1794093,958.2580284,486.640999,486.640999
investimento_R,2014,0,0,160.6509837,508.1175307,508.1175307
investimento_R,2015,0,0,0,562.3000943,562.3000943
investimento_R,2016,0,0,0,602.4324513,602.4324513
investimento_S,2012,190.524919,152.3635457,161.206255,461.451,461.451
investimento_S,2013,222.4861184,430.9155454,998.6461342,467.9013577,467.9013577
investimento_S,2014,455.9760052,748.4924718,640.3722208,519.2513389,519.2513389
investimento_S,2015,280.5338354,211.2761563,0,515.2587226,515.2587226
investimento_S,2016,729.1020976,363.0663832,174.4770462,494.6712135,494.6712135
produzione_lorda,2012,29462.20341,29097.79959,29777.05876,29246.98163,29232.151
produzione_lorda,2013,29134.92368,30033.55992,30220.8754,29879.17929,29888.3702
produzione_lorda,2014,30057.69601,30937.97425,31899.1808,30760.18336,30756.33925
produzione_lorda,2015,31159.35012,31796.51624,33037.21751,31425.87696,31442.76287
produzione_lorda,2016,32259.47675,32516.23605,33802.72406,31963.874,32015.74003
stock_E,2012,5482.556292,5482.556292,5482.556292,5482.556292,5482.556292
stock_E,2013,5197.776026,4947.474058,5486.931817,5696.94674,5697.245
stock_E,2014,4972.19317,4709.007242,5816.56733,5940.729293,5939.767384
stock_E,2015,4896.946666,4647.466685,7366.169632,6229.042116,6224.30194
stock_E,2016,5133.155242,4817.879011,11333.82865,6516.779545,6509.75935
stock_E,2017,5482.556292,5482.556292,14957.22979,6759.55938,6754.034715
stock_N,2012,2308.266901,2308.266901,2308.266901,2308.266901,2308.266901
stock_N,2013,1808.65065,1730.535101,1995.040261,2386.232101,2392.597
stock_N,2014,1395.138649,1435.263749,1564.602249,2479.418915,2486.697176
stock_N,2015,1395.296474,1436.138446,1458.481466,2587.780076,2591.449439
stock_N,2016,1621.921915,1595.224147,1400.674379,2698.114198,2698.174801
stock_N,2017,2308.266901,2308.266901,4263.602801,2847.333751,2838.099865
stock_R,2012,16320.95131,16320.95131,16320.95131,16320.95131,16320.95131
stock_R,2013,17244.36287,17246.06549,16772.58589,16375.59976,16352.383
stock_R,2014,18630.01155,17507.48929,17343.03589,16483.61166,16463.18883
stock_R,2015,18199.25698,17102.68916,17102.68916,16610.60269,16592.58793
stock_R,2016,17778.46211,16707.24864,16707.24864,16788.84006,16773.35508
stock_R,2017,17367.39668,16320.95131,16320.95131,17003.08866,16989.36543
stock_S,2012,12034.73719,12034.73719,12034.73719,12034.73719,12034.73719
stock_S,2013,11851.67755,11813.51618,11822.35889,12122.60363,12111.938
stock_S,2014,11701.36839,11874.44278,12451.1897,12212.74451,12201.77995
stock_S,2015,11783.25058,12243.07575,12679.4344,12350.02141,12338.34192
stock_S,2016,11685.38591,12061.29562,12260.88195,12477.49702,12467.24791
stock_S,2017,12034.73719,12034.73719,12034.73719,12581.41143,12574.478
