anno,industria,x,x_oss
2012,111CA,446.0639551,404.166
2012,113FF,44.52744062,46.892
2012,211,415.2701432,362.616
2012,212,121.1430471,124.611
2012,213,144.5135884,126.19
2012,22,502.5681391,461.578
2012,23,961.2583395,1075.477
2012,321,70.88315813,80.398
2012,327,90.19568598,99.294
2012,331,224.1308776,269.218
2012,332,307.4215947,343.079
2012,333,348.1261077,404.552
2012,334,284.9008806,354.253
2012,335,128.3813535,122.794
2012,3361MV,415.6573145,516.699
2012,3364OT,305.5210286,290.815
2012,337,52.94744636,65.729
2012,339,133.017717,156.592
2012,311FT,969.6797923,895.874
2012,313TT,46.37058559,51.802
2012,315AL,1.328612349,19.244
2012,322,175.5982386,179.235
2012,323,82.93536955,83.081
2012,324,981.5827031,833.174
2012,325,927.2621035,794.029
2012,326,202.6675058,216.486
2012,42,1631.399387,1655.028
2012,441,241.6661836,221.875
2012,445,208.434823,207.679
2012,452,210.2078848,210.838
2012,4A0,746.9144774,763.319
2012,481,208.5252605,195.415
2012,482,78.48304546,79.141
2012,483,53.42069032,50.023
2012,484,298.9314142,297.774
2012,485,51.36797096,50.992
2012,486,38.65962421,36.442
2012,487OS,190.0151596,187.233
2012,493,107.9195441,108.888
2012,511,262.5440602,296.233
2012,512,170.5945596,131.699
2012,513,794.6586939,733.128
2012,514,221.1634297,221.543
2012,521CI,814.1223321,761.619
2012,523,536.7069811,478.47
2012,524,883.8039537,798.591
2012,525,139.8585652,117.259
2012,HS,1726.663,1726.663
2012,ORE,903.6003161,889.093
2012,532RL,312.6636767,298.617
2012,5411,327.8313569,306.935
2012,5415,250.5180181,354.223
2012,5412OP,1141.603559,1123.861
2012,55,474.7443577,478.846
2012,561,662.7274466,661.562
2012,562,88.95083453,83.564
2012,61,309.0622686,309.61
2012,621,969.1623189,869.254
2012,622,709.3183068,709.379
2012,623,209.0745546,208.979
2012,624,169.6529548,169.679
2012,711AS,159.525503,144.767
2012,713,119.9382347,119.836
2012,721,215.873681,214.978
2012,722,616.9982765,613.983
2012,81,577.7254921,576.029
2012,GFGD,675.9771301,676.303
2012,GFGN,369.7427975,370.378
2012,GFE,103.6522491,98.913
2012,GSLG,1949.643252,1947.062
2012,GSLE,322.5259799,298.57
2013,111CA,446.1962687,420.0646127
2013,113FF,47.61531996,48.1981787
2013,211,538.3045302,391.494883
2013,212,122.0953835,118.9735655
2013,213,204.2154925,125.8668437
2013,22,508.8012419,466.0971225
2013,23,868.0576329,1128.512488
2013,321,74.80916727,83.89403777
2013,327,93.14536404,102.9350132
2013,331,239.3244546,278.3293753
2013,332,310.2978018,348.5399126
2013,333,297.6098346,391.446297
2013,334,313.242486,355.2192175
2013,335,104.5483082,123.7550645
2013,3361MV,467.3667252,550.3998909
2013,3364OT,267.290801,299.0793759
2013,337,57.45415534,66.59806607
