vincolo,duale,famiglia
"bilancio[111CA,2012]",-5.454591432e-06,bilancio
"bilancio[113FF,2012]",-1.154644505e-05,bilancio
"bilancio[211,2012]",-4.106946114e-06,bilancio
"bilancio[212,2012]",-4.30607287e-06,bilancio
"bilancio[213,2012]",-6.404792246e-06,bilancio
"bilancio[22,2012]",-4.378875434e-06,bilancio
"bilancio[23,2012]",-8.312309155e-06,bilancio
"bilancio[321,2012]",-9.06390837e-06,bilancio
"bilancio[327,2012]",-6.971503589e-06,bilancio
"bilancio[331,2012]",-5.303169496e-06,bilancio
"bilancio[332,2012]",-7.570023901e-06,bilancio
"bilancio[333,2012]",-6.34124718e-06,bilancio
"bilancio[334,2012]",-5.135110232e-06,bilancio
"bilancio[335,2012]",-6.249986935e-06,bilancio
"bilancio[3361MV,2012]",-5.8418144e-06,bilancio
"bilancio[3364OT,2012]",-5.558111495e-06,bilancio
"bilancio[337,2012]",-9.498526606e-06,bilancio
"bilancio[339,2012]",-6.551708931e-06,bilancio
"bilancio[311FT,2012]",-6.343566404e-06,bilancio
"bilancio[313TT,2012]",-8.088065066e-06,bilancio
"bilancio[315AL,2012]",-1.161476514e-05,bilancio
"bilancio[322,2012]",-6.36168865e-06,bilancio
"bilancio[323,2012]",-8.936261687e-06,bilancio
"bilancio[324,2012]",-3.67068544e-06,bilancio
"bilancio[325,2012]",-4.106946114e-06,bilancio
"bilancio[326,2012]",-6.615957909e-06,bilancio
"bilancio[42,2012]",-6.161661958e-06,bilancio
"bilancio[441,2012]",-8.716787647e-06,bilancio
"bilancio[445,2012]",-1.427918563e-05,bilancio
"bilancio[452,2012]",-1.501793336e-05,bilancio
"bilancio[4A0,2012]",-1.058967858e-05,bilancio
"bilancio[481,2012]",-5.539171713e-06,bilancio
"bilancio[482,2012]",-5.279216521e-06,bilancio
"bilancio[483,2012]",-6.140199536e-06,bilancio
"bilancio[484,2012]",-8.268211652e-06,bilancio
"bilancio[485,2012]",-9.594345659e-06,bilancio
"bilancio[486,2012]",-3.50636909e-06,bilancio
"bilancio[487OS,2012]",-9.205652609e-06,bilancio
"bilancio[493,2012]",-9.645202894e-06,bilancio
"bilancio[511,2012]",-4.83425493e-06,bilancio
"bilancio[512,2012]",-8.747183894e-06,bilancio
"bilancio[513,2012]",-4.656623582e-06,bilancio
"bilancio[514,2012]",-5.358383806e-06,bilancio
"bilancio[521CI,2012]",-5.444563578e-06,bilancio
"bilancio[523,2012]",-4.831564222e-06,bilancio
"bilancio[524,2012]",-5.779020845e-06,bilancio
"bilancio[525,2012]",-5.604797023e-06,bilancio
"bilancio[HS,2012]",-9.037186305e-06,bilancio
"bilancio[ORE,2012]",-5.513001883e-06,bilancio
"bilancio[532RL,2012]",-5.114045591e-06,bilancio
"bilancio[5411,2012]",-5.561217193e-06,bilancio
"bilancio[5415,2012]",-6.710481431e-06,bilancio
"bilancio[5412OP,2012]",-6.737729917e-06,bilancio
"bilancio[55,2012]",-6.239793607e-06,bilancio
"bilancio[561,2012]",-1.308461042e-05,bilancio
"bilancio[562,2012]",-7.927018387e-06,bilancio
"bilancio[61,2012]",-1.094276651e-05,bilancio
"bilancio[621,2012]",-9.037537304e-06,bilancio
"bilancio[622,2012]",-9.49770247e-06,bilancio
"bilancio[623,2012]",-1.682281639e-05,bilancio
"bilancio[624,2012]",-1.83493101e-05,bilancio
"bilancio[711AS,2012]",-5.308137223e-06,bilancio
"bilancio[713,2012]",-1.105644041e-05,bilancio
"bilancio[721,2012]",-1.058846102e-05,bilancio
"bilancio[722,2012]",-1.520191002e-05,bilancio
"bilancio[81,2012]",-1.137822184e-05,bilancio
"bilancio[GFGD,2012]",-4.734277668e-06,bilancio
"bilancio[GFGN,2012]",-7.682247206e-06,bilancio
"bilancio[GFE,2012]",-8.882998549e-06,bilancio
"bilancio[GSLG,2012]",-9.573999466e-06,bilancio
"bilancio[GSLE,2012]",-7.390895669e-06,bilancio
"bilancio[111CA,2013]",-5.480225041e-06,bilancio
"bilancio[113FF,2013]",-1.115863558e-05,bilancio
"bilancio[211,2013]",-4.051999839e-06,bilancio
"bilancio[212,2013]",-4.070854625e-06,bilancio
"bilancio[213,2013]",-4.982115555e-06,bilancio
"bilancio[22,2013]",-4.27866486e-06,bilancio
"bilancio[23,2013]",-8.361431537e-06,bilancio
"bilancio[321,2013]",-8.891019061e-06,bilancio
"bilancio[327,2013]",-6.690018057e-06,bilancio
"bilancio[331,2013]",-4.966454812e-06,bilancio
"bilancio[332,2013]",-7.369464764e-06,bilancio
"bilancio[333,2013]",-6.250116042e-06,bilancio
"bilancio[334,2013]",-4.868789163e-06,bilancio
"bilancio[335,2013]",-5.883099064e-06,bilancio
"bilancio[3361MV,2013]",-5.80147839e-06,bilancio
"bilancio[3364OT,2013]",-5.439170889e-06,bilancio
"bilancio[337,2013]",-9.117352976e-06,bilancio
"bilancio[339,2013]",-6.45442981e-06,bilancio
"bilancio[311FT,2013]",-6.144785722e-06,bilancio
"bilancio[313TT,2013]",-7.654385428e-06,bilancio
"bilancio[315AL,2013]",-1.093138985e-05,bilancio
"bilancio[322,2013]",-6.170205323e-06,bilancio
"bilancio[323,2013]",-8.407510317e-06,bilancio
"bilancio[324,2013]",-3.482769475e-06,bilancio
"bilancio[325,2013]",-4.051999839e-06,bilancio
"bilancio[326,2013]",-6.527547901e-06,bilancio
"bilancio[42,2013]",-6.164563551e-06,bilancio
"bilancio[441,2013]",-8.452319945e-06,bilancio
"bilancio[445,2013]",-1.380243527e-05,bilancio
"bilancio[452,2013]",-1.41837763e-05,bilancio
"bilancio[4A0,2013]",-1.004641467e-05,bilancio
"bilancio[481,2013]",-5.014599171e-06,bilancio
"bilancio[482,2013]",-5.042172599e-06,bilancio
"bilancio[483,2013]",-5.232736755e-06,bilancio
"bilancio[484,2013]",-7.744684513e-06,bilancio
"bilancio[485,2013]",-8.971220746e-06,bilancio
"bilancio[486,2013]",-3.357321681e-06,bilancio
"bilancio[487OS,2013]",-8.717438642e-06,bilancio
"bilancio[493,2013]",-9.149024155e-06,bilancio
"bilancio[511,2013]",-4.450301402e-06,bilancio
"bilancio[512,2013]",-6.126751599e-06,bilancio
"bilancio[513,2013]",-4.024040396e-06,bilancio
"bilancio[514,2013]",-4.760900912e-06,bilancio
"bilancio[521CI,2013]",-5.52569134e-06,bilancio
"bilancio[523,2013]",-4.870784763e-06,bilancio
"bilancio[524,2013]",-5.885813897e-06,bilancio
"bilancio[525,2013]",-5.368491864e-06,bilancio
"bilancio[HS,2013]",-4.455767883e-05,bilancio
"bilancio[ORE,2013]",-5.1585189e-06,bilancio
"bilancio[532RL,2013]",-4.919760321e-06,bilancio
"bilancio[5411,2013]",-5.381194807e-06,bilancio
"bilancio[5415,2013]",-6.452424984e-06,bilancio
"bilancio[5412OP,2013]",-6.411600979e-06,bilancio
"bilancio[55,2013]",-5.932384698e-06,bilancio
"bilancio[561,2013]",-1.243532686e-05,bilancio
"bilancio[562,2013]",-7.616699791e-06,bilancio
"bilancio[61,2013]",-1.045253022e-05,bilancio
"bilancio[621,2013]",-8.569327397e-06,bilancio
"bilancio[622,2013]",-8.927234246e-06,bilancio
"bilancio[623,2013]",-1.571269785e-05,bilancio
