vincolo,duale,famiglia
"bilancio[111CA,2012]",-5.35935826e-06,bilancio
"bilancio[113FF,2012]",-1.153583684e-05,bilancio
"bilancio[211,2012]",-4.074359599e-06,bilancio
"bilancio[212,2012]",-4.289367882e-06,bilancio
"bilancio[213,2012]",-6.28229068e-06,bilancio
"bilancio[22,2012]",-4.36823533e-06,bilancio
"bilancio[23,2012]",-8.2962452e-06,bilancio
"bilancio[321,2012]",-9.029652767e-06,bilancio
"bilancio[327,2012]",-6.942362938e-06,bilancio
"bilancio[331,2012]",-5.264407873e-06,bilancio
"bilancio[332,2012]",-7.535848604e-06,bilancio
"bilancio[333,2012]",-6.30448094e-06,bilancio
"bilancio[334,2012]",-5.110492147e-06,bilancio
"bilancio[335,2012]",-6.214697049e-06,bilancio
"bilancio[3361MV,2012]",-5.796029819e-06,bilancio
"bilancio[3364OT,2012]",-5.524355576e-06,bilancio
"bilancio[337,2012]",-9.46490683e-06,bilancio
"bilancio[339,2012]",-6.522507435e-06,bilancio
"bilancio[311FT,2012]",-6.290195974e-06,bilancio
"bilancio[313TT,2012]",-8.056010698e-06,bilancio
"bilancio[315AL,2012]",-1.159620874e-05,bilancio
"bilancio[322,2012]",-6.330786748e-06,bilancio
"bilancio[323,2012]",-8.916416945e-06,bilancio
"bilancio[324,2012]",-3.632246705e-06,bilancio
"bilancio[325,2012]",-4.074359599e-06,bilancio
"bilancio[326,2012]",-6.585211925e-06,bilancio
"bilancio[42,2012]",-6.111251915e-06,bilancio
"bilancio[441,2012]",-8.626142075e-06,bilancio
"bilancio[445,2012]",-1.425487736e-05,bilancio
"bilancio[452,2012]",-1.497306058e-05,bilancio
"bilancio[4A0,2012]",-1.055522968e-05,bilancio
"bilancio[481,2012]",-5.52969449e-06,bilancio
"bilancio[482,2012]",-5.270832607e-06,bilancio
"bilancio[483,2012]",-6.128150349e-06,bilancio
"bilancio[484,2012]",-8.258451123e-06,bilancio
"bilancio[485,2012]",-9.593460675e-06,bilancio
"bilancio[486,2012]",-3.500471412e-06,bilancio
"bilancio[487OS,2012]",-9.199811568e-06,bilancio
"bilancio[493,2012]",-9.642577424e-06,bilancio
"bilancio[511,2012]",-4.831013643e-06,bilancio
"bilancio[512,2012]",-8.441473461e-06,bilancio
"bilancio[513,2012]",-4.637448014e-06,bilancio
"bilancio[514,2012]",-5.354091346e-06,bilancio
"bilancio[521CI,2012]",-5.443384343e-06,bilancio
"bilancio[523,2012]",-4.829329129e-06,bilancio
"bilancio[524,2012]",-5.778287233e-06,bilancio
"bilancio[525,2012]",-5.600532907e-06,bilancio
"bilancio[HS,2012]",-9.037186305e-06,bilancio
"bilancio[ORE,2012]",-5.508508065e-06,bilancio
"bilancio[532RL,2012]",-5.107485858e-06,bilancio
"bilancio[5411,2012]",-5.561069817e-06,bilancio
"bilancio[5415,2012]",-6.707714223e-06,bilancio
"bilancio[5412OP,2012]",-6.731673933e-06,bilancio
"bilancio[55,2012]",-6.238651724e-06,bilancio
"bilancio[561,2012]",-1.308835172e-05,bilancio
"bilancio[562,2012]",-7.92175465e-06,bilancio
"bilancio[61,2012]",-1.09449306e-05,bilancio
"bilancio[621,2012]",-9.037539624e-06,bilancio
"bilancio[622,2012]",-9.496743606e-06,bilancio
"bilancio[623,2012]",-1.682778747e-05,bilancio
"bilancio[624,2012]",-1.835278664e-05,bilancio
"bilancio[711AS,2012]",-5.30776213e-06,bilancio
"bilancio[713,2012]",-1.105324648e-05,bilancio
"bilancio[721,2012]",-1.058891306e-05,bilancio
"bilancio[722,2012]",-1.520053147e-05,bilancio
"bilancio[81,2012]",-1.136514542e-05,bilancio
"bilancio[GFGD,2012]",-4.728875103e-06,bilancio
"bilancio[GFGN,2012]",-7.682837377e-06,bilancio
"bilancio[GFE,2012]",-8.880454809e-06,bilancio
"bilancio[GSLG,2012]",-9.573636477e-06,bilancio
"bilancio[GSLE,2012]",-7.382404582e-06,bilancio
"bilancio[111CA,2013]",-5.613916769e-06,bilancio
"bilancio[113FF,2013]",-1.133414057e-05,bilancio
"bilancio[211,2013]",-4.131389137e-06,bilancio
"bilancio[212,2013]",-4.139976432e-06,bilancio
"bilancio[213,2013]",-5.071408565e-06,bilancio
"bilancio[22,2013]",-4.352169419e-06,bilancio
"bilancio[23,2013]",-8.489972325e-06,bilancio
"bilancio[321,2013]",-9.045205966e-06,bilancio
"bilancio[327,2013]",-6.806695413e-06,bilancio
"bilancio[331,2013]",-5.062421795e-06,bilancio
"bilancio[332,2013]",-7.49992852e-06,bilancio
"bilancio[333,2013]",-6.364994571e-06,bilancio
"bilancio[334,2013]",-4.956922792e-06,bilancio
"bilancio[335,2013]",-5.99093995e-06,bilancio
"bilancio[3361MV,2013]",-5.914976422e-06,bilancio
"bilancio[3364OT,2013]",-5.540505067e-06,bilancio
"bilancio[337,2013]",-9.273886832e-06,bilancio
"bilancio[339,2013]",-6.569038877e-06,bilancio
"bilancio[311FT,2013]",-6.266328085e-06,bilancio
"bilancio[313TT,2013]",-7.787448281e-06,bilancio
"bilancio[315AL,2013]",-1.11079872e-05,bilancio
"bilancio[322,2013]",-6.280798731e-06,bilancio
"bilancio[323,2013]",-8.549718012e-06,bilancio
"bilancio[324,2013]",-3.559229024e-06,bilancio
"bilancio[325,2013]",-4.131389137e-06,bilancio
"bilancio[326,2013]",-6.643817434e-06,bilancio
"bilancio[42,2013]",-6.285493922e-06,bilancio
"bilancio[441,2013]",-8.639461794e-06,bilancio
"bilancio[445,2013]",-1.402598302e-05,bilancio
"bilancio[452,2013]",-1.442556829e-05,bilancio
"bilancio[4A0,2013]",-1.021799716e-05,bilancio
"bilancio[481,2013]",-5.096648615e-06,bilancio
"bilancio[482,2013]",-5.123938446e-06,bilancio
"bilancio[483,2013]",-5.318129248e-06,bilancio
"bilancio[484,2013]",-7.866683195e-06,bilancio
"bilancio[485,2013]",-9.107539476e-06,bilancio
"bilancio[486,2013]",-3.635452411e-06,bilancio
"bilancio[487OS,2013]",-8.853228228e-06,bilancio
"bilancio[493,2013]",-9.28882098e-06,bilancio
"bilancio[511,2013]",-4.626969355e-06,bilancio
"bilancio[512,2013]",-6.140212598e-06,bilancio
"bilancio[513,2013]",-4.082945159e-06,bilancio
"bilancio[514,2013]",-4.724650286e-06,bilancio
"bilancio[521CI,2013]",-5.608144724e-06,bilancio
"bilancio[523,2013]",-4.942357045e-06,bilancio
"bilancio[524,2013]",-5.884234293e-06,bilancio
"bilancio[525,2013]",-5.44914744e-06,bilancio
"bilancio[HS,2013]",-4.455767883e-05,bilancio
"bilancio[ORE,2013]",-5.236024175e-06,bilancio
"bilancio[532RL,2013]",-4.994367242e-06,bilancio
"bilancio[5411,2013]",-5.461517803e-06,bilancio
"bilancio[5415,2013]",-6.549399918e-06,bilancio
"bilancio[5412OP,2013]",-6.509152929e-06,bilancio
"bilancio[55,2013]",-6.030867486e-06,bilancio
"bilancio[561,2013]",-1.262414782e-05,bilancio
"bilancio[562,2013]",-7.7348229e-06,bilancio
"bilancio[61,2013]",-1.061168271e-05,bilancio
"bilancio[621,2013]",-8.704063215e-06,bilancio
