anno,industria,x,x_oss
2012,111CA,441.9566903,404.166
2012,113FF,44.90551332,46.892
2012,211,415.2701432,362.616
2012,212,119.251523,124.611
2012,213,144.5135884,126.19
2012,22,500.6610351,461.578
2012,23,949.1151272,1075.477
2012,321,70.11798793,80.398
2012,327,88.93744889,99.294
2012,331,218.8134887,269.218
2012,332,303.734975,343.079
2012,333,341.7005165,404.552
2012,334,277.9712387,354.253
2012,335,128.8249963,122.794
2012,3361MV,372.4021163,516.699
2012,3364OT,293.8490426,290.815
2012,337,50.96414639,65.729
2012,339,136.0974904,156.592
2012,311FT,966.8085331,895.874
2012,313TT,45.52458692,51.802
2012,315AL,1.06466808,19.244
2012,322,173.8061042,179.235
2012,323,82.08361587,83.081
2012,324,972.5488672,833.174
2012,325,840.6480931,794.029
2012,326,199.4724982,216.486
2012,42,1607.195738,1655.028
2012,441,240.1687041,221.875
2012,445,208.4067729,207.679
2012,452,210.0579881,210.838
2012,4A0,743.6827688,763.319
2012,481,208.2990938,195.415
2012,482,77.13316903,79.141
2012,483,53.27992101,50.023
2012,484,294.3946445,297.774
2012,485,51.38804156,50.992
2012,486,38.40375611,36.442
2012,487OS,192.4007746,187.233
2012,493,107.1899642,108.888
2012,511,253.7525698,296.233
2012,512,170.5945596,131.699
2012,513,788.2651666,733.128
2012,514,217.5264872,221.543
2012,521CI,812.0808186,761.619
2012,523,536.5528436,478.47
2012,524,886.7194035,798.591
2012,525,139.878606,117.259
2012,HS,1726.663,1726.663
2012,ORE,911.2965844,889.093
2012,532RL,311.2655314,298.617
2012,5411,328.5594208,306.935
2012,5415,240.675019,354.223
2012,5412OP,1112.167607,1123.861
2012,55,470.0930267,478.846
2012,561,661.2267829,661.562
2012,562,88.83546021,83.564
2012,61,308.2790741,309.61
2012,621,1037.35654,869.254
2012,622,742.7146716,709.379
2012,623,209.1466664,208.979
2012,624,169.6637119,169.679
2012,711AS,159.1026063,144.767
2012,713,119.9270493,119.836
2012,721,215.8189392,214.978
2012,722,617.914587,613.983
2012,81,577.4259171,576.029
2012,GFGD,675.3912145,676.303
2012,GFGN,369.3904229,370.378
2012,GFE,103.2932161,98.913
2012,GSLG,1956.753811,1947.062
2012,GSLE,322.2473532,298.57
2013,111CA,444.5828395,420.0646127
2013,113FF,47.48205938,48.1981787
2013,211,481.0126193,391.494883
2013,212,120.7709066,118.9735655
2013,213,195.3800881,125.8668437
2013,22,507.7728203,466.0971225
2013,23,886.9697706,1128.512488
2013,321,75.01015871,83.89403777
2013,327,92.9512421,102.9350132
2013,331,232.2287598,278.3293753
2013,332,305.0507137,348.5399126
2013,333,267.9295011,391.446297
2013,334,302.8478852,355.2192175
2013,335,103.5846273,123.7550645
2013,3361MV,457.9221302,550.3998909
2013,3364OT,255.2783244,299.0793759
2013,337,55.21467718,66.59806607
2013,339,158.8301537,165.9540944
2013,311FT,1016.587602,913.0265358
2013,313TT,49.99506633,53.18469398
2013,315AL,3.379435325,18.89724949
2013,322,179.4656461,179.9165585
2013,323,80.56062062,82.72247182
2013,324,1044.546107,863.2053806
2013,325,831.0738367,823.2479886
2013,326,209.218013,219.7654445
2013,42,1698.101764,1721.203425
2013,441,267.2967791,245.1925543
2013,445,208.5667932,207.6042028
2013,452,214.1854632,215.2028244
2013,4A0,773.0548621,799.0861312
2013,481,216.7489388,202.4961396
2013,482,80.25404789,80.11151624
2013,483,54.1972443,50.56052114
2013,484,305.1215933,304.5854531
2013,485,60.58135955,54.63903366
2013,486,42.7638161,36.73040608
2013,487OS,196.8540249,190.8201192
2013,493,110.8174246,111.7750646
2013,511,280.9917197,310.9524895
2013,512,218.0256221,136.619994
2013,513,798.8096782,749.7202742
2013,514,227.3836291,240.2347354
2013,521CI,828.3421755,777.0406913
2013,523,535.2844762,474.2308528
2013,524,930.5381595,827.3564829
2013,525,161.6123962,135.5303097
2013,HS,1737.300369,1743.029863
2013,ORE,981.4018075,960.4627846
2013,532RL,328.7169114,315.3567273
2013,5411,320.539845,297.716879
2013,5415,260.6124576,369.3379096
2013,5412OP,969.6732286,1131.560509
2013,55,486.2927277,488.6777069
2013,561,678.9227757,681.2134559
2013,562,91.11397807,85.47727804
2013,61,307.8372409,312.3842837
2013,621,1034.357512,865.5747508
2013,622,850.1440427,718.0263465
2013,623,211.8036869,211.6676564
2013,624,171.1750615,171.2084374
2013,711AS,177.9431339,148.7714629
2013,713,123.0205115,122.9797275
2013,721,222.1388881,221.7037595
2013,722,629.2386634,625.6137757
2013,81,577.1592759,574.6962508
2013,GFGD,629.5589106,633.1510606
2013,GFGN,358.0736848,360.5372605
2013,GFE,97.62201646,93.45068235
2013,GSLG,1992.388675,1962.204783
2013,GSLE,328.5752564,302.5492615
2014,111CA,473.2394602,426.9591743
2014,113FF,53.39515211,53.00329593
2014,211,535.0014293,426.7537306
2014,212,118.5079688,122.4624409
2014,213,208.5976316,159.7072121
2014,22,512.7418375,472.1610722
2014,23,904.2337704,1191.792556
2014,321,74.63957367,84.86816984
2014,327,95.63146684,107.0695856
2014,331,235.7457726,278.4018351
2014,332,312.4864324,355.5833421
2014,333,271.2370625,398.1527264
2014,334,310.3832323,354.7213471
2014,335,105.8471435,127.3907201
2014,3361MV,511.7724304,587.2035562
2014,3364OT,266.4107413,311.5349482
2014,337,56.57404398,67.44260484
2014,339,159.5031237,160.4764343
2014,311FT,1018.759929,910.5577956
2014,313TT,51.0205693,53.96859719
2014,315AL,5.123426936,18.15784282
2014,322,179.297033,178.583728
2014,323,79.68577394,81.53338845
2014,324,998.8648024,834.613092
2014,325,829.5632244,810.5917251
2014,326,216.1577,224.507892
2014,42,1802.144072,1802.327272
2014,441,298.5884187,271.6411199
2014,445,210.9310363,209.9680384
2014,452,217.9823259,219.1929247
2014,4A0,799.6366434,827.1238123
2014,481,225.3969527,210.6764134
2014,482,84.73273878,84.81309337
2014,483,56.80154348,52.98547068
2014,484,326.3917904,326.4871626
2014,485,67.22160275,60.86070485
2014,486,44.80994227,39.1053764
2014,487OS,206.7304991,200.4218243
2014,493,112.2426739,112.3573748
2014,511,298.7374864,327.2902762
2014,512,228.9709649,138.2572914
2014,513,847.5388207,792.944715
2014,514,247.3788551,260.4244569
2014,521CI,847.8172353,794.9007774
2014,523,525.3127312,466.0142255
2014,524,986.6055673,884.5774773
2014,525,164.1391098,137.51382
2014,HS,1752.318132,1738.811048
2014,ORE,999.4177607,1008.8257
2014,532RL,347.8286529,334.1377749
2014,5411,312.9118629,295.0836616
2014,5415,307.1379097,399.2951331
2014,5412OP,1013.994164,1185.159305
2014,55,522.6408488,519.4258455
2014,561,734.8495596,737.2642375
2014,562,95.66728657,90.3897978
2014,61,310.5495494,315.283236
2014,621,1066.379312,892.2740288
2014,622,859.3561232,719.8774351
2014,623,216.3919245,216.2839925
2014,624,177.659045,177.6651074
2014,711AS,171.6809307,156.8679416
2014,713,125.831497,125.8390589
2014,721,233.4450334,233.392097
2014,722,653.2032978,650.1047981
2014,81,604.3973706,602.0764871
2014,GFGD,607.7110413,611.1507441
2014,GFGN,359.0804819,361.275454
2014,GFE,95.11356863,91.01968091
2014,GSLG,2008.165272,1974.686571
2014,GSLE,326.8085419,302.0676769
2015,111CA,474.6358632,436.0488367
2015,113FF,50.53952764,51.65745506
2015,211,556.0278515,385.4277226
2015,212,119.2457226,116.0829032
2015,213,336.04585,130.5363462
2015,22,506.6010844,467.807517
2015,23,820.7329029,1295.417935
2015,321,74.06495573,90.20827436
2015,327,92.342322,109.2318949
2015,331,227.7853279,263.6489986
2015,332,299.6459266,347.9478634
2015,333,267.7150942,365.7140668
2015,334,325.9070149,357.9108663
2015,335,104.6895758,127.9215545
2015,3361MV,534.2666467,612.0777708
2015,3364OT,269.9642433,312.476085
2015,337,57.92461296,71.61670546
2015,339,159.1985513,162.2099672
2015,311FT,1048.852735,942.6697447
