anno,industria,tipo,I
2012,111CA,E,0
2012,111CA,S,0
2012,111CA,N,0
2012,113FF,E,5.0340706
2012,113FF,S,0
2012,113FF,N,0
2012,211,E,0
2012,211,S,186.7825393
2012,211,N,46.86469221
2012,212,E,0
2012,212,S,0
2012,212,N,0
2012,213,E,72.71293719
2012,213,S,0
2012,213,N,0
2012,22,E,202.2912764
2012,22,S,0
2012,22,N,0
2012,23,E,0
2012,23,S,0
2012,23,N,0
2012,311FT,E,57.61232232
2012,311FT,S,0
2012,311FT,N,0
2012,313TT,E,0
2012,313TT,S,0
2012,313TT,N,0
2012,315AL,E,0
2012,315AL,S,0
2012,315AL,N,0
2012,321,E,0
2012,321,S,0
2012,321,N,0
2012,322,E,0
2012,322,S,0
2012,322,N,0
2012,323,E,0
2012,323,S,0
2012,323,N,0
2012,324,E,72.99485649
2012,324,S,0
2012,324,N,0
2012,325,E,0
2012,325,S,0
2012,325,N,301.4137949
2012,326,E,0
2012,326,S,0
2012,326,N,0
2012,327,E,0
2012,327,S,0
2012,327,N,0
2012,331,E,0
2012,331,S,0
2012,331,N,0
2012,332,E,4.960271713
2012,332,S,0
2012,332,N,0
2012,333,E,0
2012,333,S,0
2012,333,N,0
2012,334,E,0
2012,334,S,0
2012,334,N,0
2012,335,E,0
2012,335,S,0
2012,335,N,0.2584794177
2012,3361MV,E,0
2012,3361MV,S,0
2012,3361MV,N,0
2012,3364OT,E,31.84391101
2012,3364OT,S,0
2012,3364OT,N,0
2012,337,E,0
2012,337,S,0
2012,337,N,0
2012,339,E,0
2012,339,S,0
2012,339,N,7.680931901
2012,42,E,0
2012,42,S,0
2012,42,N,0
2012,441,E,0
2012,441,S,0
2012,441,N,0.2712996183
2012,445,E,0
2012,445,S,0
2012,445,N,0
2012,452,E,0
2012,452,S,0
2012,452,N,0
2012,481,E,62.92464478
2012,481,S,0
2012,481,N,0
2012,482,E,0
2012,482,S,0
2012,482,N,0
2012,483,E,5.736421348
2012,483,S,0
2012,483,N,0
2012,484,E,0
2012,484,S,0
2012,484,N,0
2012,485,E,7.91437897
2012,485,S,0
2012,485,N,0
2012,486,E,0
2012,486,S,0
2012,486,N,0
2012,487OS,E,20.6978159
2012,487OS,S,0
2012,487OS,N,0
2012,493,E,0
2012,493,S,0
2012,493,N,0
2012,4A0,E,0
2012,4A0,S,0
2012,4A0,N,0
2012,511,E,0
2012,511,S,0
2012,511,N,0
2012,512,E,0
2012,512,S,0
2012,512,N,97.89126271
2012,513,E,0
2012,513,S,0
2012,513,N,0
2012,514,E,0
2012,514,S,47.68133415
2012,514,N,0
2012,521CI,E,0
2012,521CI,S,0
2012,521CI,N,0
2012,523,E,0
2012,523,S,0
2012,523,N,7.594252005
2012,524,E,0
2012,524,S,72.89686745
2012,524,N,0
2012,525,E,3.15978429
2012,525,S,0
2012,525,N,0
2012,532RL,E,72.91586568
2012,532RL,S,0
2012,532RL,N,0
2012,5411,E,0
2012,5411,S,1.119082124
2012,5411,N,0
2012,5412OP,E,0
2012,5412OP,S,0
2012,5412OP,N,0
2012,5415,E,0
2012,5415,S,0
2012,5415,N,0
2012,55,E,9.014586217
2012,55,S,0
2012,55,N,0
2012,561,E,4.84193883
2012,561,S,0
2012,561,N,0
2012,562,E,0
2012,562,S,0
2012,562,N,0
2012,61,E,0
2012,61,S,0
2012,61,N,0
2012,621,E,10.68142973
2012,621,S,0
2012,621,N,0
2012,622,E,21.53384387
2012,622,S,0
2012,622,N,0
2012,623,E,0
2012,623,S,0
2012,623,N,0
2012,624,E,0
2012,624,S,0
2012,624,N,0
2012,711AS,E,0
2012,711AS,S,0
2012,711AS,N,7.284455268
2012,713,E,0
2012,713,S,0
2012,713,N,0
2012,721,E,0
2012,721,S,0
2012,721,N,0
2012,722,E,0
2012,722,S,0
2012,722,N,0
2012,81,E,0
2012,81,S,0
2012,81,N,0
2012,ORE,E,0
2012,ORE,S,0
2012,ORE,N,0
2012,HS,R,477.9132331
2013,111CA,E,0
2013,111CA,S,0
2013,111CA,N,8.083845447
2013,113FF,E,0
2013,113FF,S,0
2013,113FF,N,0
2013,211,E,0
2013,211,S,284.02059
2013,211,N,0
2013,212,E,0
2013,212,S,0
2013,212,N,0
2013,213,E,10.93248107
2013,213,S,0
2013,213,N,0
2013,22,E,0
2013,22,S,0
2013,22,N,0
2013,23,E,0
2013,23,S,0
2013,23,N,0
2013,311FT,E,0
2013,311FT,S,0
2013,311FT,N,0
2013,313TT,E,0
2013,313TT,S,0
2013,313TT,N,0
2013,315AL,E,0
2013,315AL,S,0
2013,315AL,N,0
2013,321,E,0
2013,321,S,0
2013,321,N,0
2013,322,E,0
2013,322,S,0
2013,322,N,15.20383598
2013,323,E,0
2013,323,S,0
2013,323,N,0
2013,324,E,0
2013,324,S,0
2013,324,N,0
2013,325,E,0
2013,325,S,0
2013,325,N,0
2013,326,E,0
2013,326,S,0
2013,326,N,13.84363188
2013,327,E,0
2013,327,S,0
2013,327,N,0
2013,331,E,0
2013,331,S,0
2013,331,N,0
2013,332,E,0
2013,332,S,0
2013,332,N,0
2013,333,E,0
2013,333,S,0
2013,333,N,0
2013,334,E,59.99840042
2013,334,S,0
2013,334,N,0
2013,335,E,0
2013,335,S,0
2013,335,N,0
2013,3361MV,E,24.71783052
2013,3361MV,S,0
2013,3361MV,N,0
2013,3364OT,E,0
2013,3364OT,S,0
2013,3364OT,N,0
2013,337,E,0
2013,337,S,0
2013,337,N,0
2013,339,E,0
2013,339,S,0
2013,339,N,14.96097059
2013,42,E,36.83990387
2013,42,S,0
2013,42,N,0
2013,441,E,0
2013,441,S,0
2013,441,N,11.28130072
2013,445,E,0
2013,445,S,0
2013,445,N,0
2013,452,E,0
2013,452,S,0
2013,452,N,0
2013,481,E,0
2013,481,S,0
2013,481,N,0
2013,482,E,0
2013,482,S,0
2013,482,N,0
2013,483,E,0
2013,483,S,0
2013,483,N,0
2013,484,E,16.04767688
2013,484,S,0
2013,484,N,0
2013,485,E,0
2013,485,S,0
2013,485,N,0
2013,486,E,7.615701035
2013,486,S,0
2013,486,N,0
2013,487OS,E,0
2013,487OS,S,0
2013,487OS,N,0
2013,493,E,0
2013,493,S,0
2013,493,N,0
2013,4A0,E,0
2013,4A0,S,0
2013,4A0,N,2.645314629
2013,511,E,0
2013,511,S,0
2013,511,N,62.33629854
2013,512,E,0
2013,512,S,0
2013,512,N,145.5978145
2013,513,E,82.33004936
2013,513,S,0
2013,513,N,0
2013,514,E,9.263482235
2013,514,S,0
2013,514,N,0
2013,521CI,E,74.28938269
2013,521CI,S,0
2013,521CI,N,0
2013,523,E,0
2013,523,S,0
2013,523,N,10.515945
2013,524,E,0
2013,524,S,0
2013,524,N,0
2013,525,E,2.059813621
2013,525,S,0
2013,525,N,0
2013,532RL,E,0
2013,532RL,S,0
2013,532RL,N,0
2013,5411,E,0
2013,5411,S,0
2013,5411,N,0
2013,5412OP,E,0
2013,5412OP,S,0
2013,5412OP,N,13.19942148
2013,5415,E,23.52606068
2013,5415,S,0
2013,5415,N,0
2013,55,E,50.10880228
2013,55,S,0
2013,55,N,0
2013,561,E,35.87050079
2013,561,S,0
2013,561,N,0
2013,562,E,2.54582055
2013,562,S,0
2013,562,N,0
2013,61,E,0
2013,61,S,0
2013,61,N,0
2013,621,E,34.08949129
2013,621,S,0
2013,621,N,0
2013,622,E,44.93494317
2013,622,S,0
2013,622,N,0
2013,623,E,0
2013,623,S,0
2013,623,N,0
2013,624,E,0
2013,624,S,0
2013,624,N,0.4714085594
2013,711AS,E,0
2013,711AS,S,0
2013,711AS,N,53.09197083
2013,713,E,0
2013,713,S,0
2013,713,N,0
2013,721,E,0
2013,721,S,0
2013,721,N,0
2013,722,E,0
2013,722,S,0
2013,722,N,0
2013,81,E,0
2013,81,S,0
