vincolo,duale,famiglia
"bilancio[111CA,2012]",-5.692904872e-06,bilancio
"bilancio[113FF,2012]",-1.186670742e-05,bilancio
"bilancio[211,2012]",-4.248078933e-06,bilancio
"bilancio[212,2012]",-4.438993884e-06,bilancio
"bilancio[213,2012]",-6.806156747e-06,bilancio
"bilancio[22,2012]",-4.505716406e-06,bilancio
"bilancio[23,2012]",-8.548143039e-06,bilancio
"bilancio[321,2012]",-9.33969207e-06,bilancio
"bilancio[327,2012]",-7.185823581e-06,bilancio
"bilancio[331,2012]",-5.482429462e-06,bilancio
"bilancio[332,2012]",-7.806222156e-06,bilancio
"bilancio[333,2012]",-6.546404563e-06,bilancio
"bilancio[334,2012]",-5.296264006e-06,bilancio
"bilancio[335,2012]",-6.45145438e-06,bilancio
"bilancio[3361MV,2012]",-6.042332345e-06,bilancio
"bilancio[3364OT,2012]",-5.739380789e-06,bilancio
"bilancio[337,2012]",-9.785261015e-06,bilancio
"bilancio[339,2012]",-6.7550684e-06,bilancio
"bilancio[311FT,2012]",-6.564970136e-06,bilancio
"bilancio[313TT,2012]",-8.335709994e-06,bilancio
"bilancio[315AL,2012]",-1.194426699e-05,bilancio
"bilancio[322,2012]",-6.561672614e-06,bilancio
"bilancio[323,2012]",-9.194438438e-06,bilancio
"bilancio[324,2012]",-3.805808158e-06,bilancio
"bilancio[325,2012]",-4.248078933e-06,bilancio
"bilancio[326,2012]",-6.822648126e-06,bilancio
"bilancio[42,2012]",-6.374190876e-06,bilancio
"bilancio[441,2012]",-9.037186305e-06,bilancio
"bilancio[445,2012]",-1.46843071e-05,bilancio
"bilancio[452,2012]",-1.546434166e-05,bilancio
"bilancio[4A0,2012]",-1.090465347e-05,bilancio
"bilancio[481,2012]",-5.696156928e-06,bilancio
"bilancio[482,2012]",-5.427850286e-06,bilancio
"bilancio[483,2012]",-6.315503182e-06,bilancio
"bilancio[484,2012]",-8.498648729e-06,bilancio
"bilancio[485,2012]",-9.852002849e-06,bilancio
"bilancio[486,2012]",-3.602006282e-06,bilancio
"bilancio[487OS,2012]",-9.457219137e-06,bilancio
"bilancio[493,2012]",-9.9055376e-06,bilancio
"bilancio[511,2012]",-4.964943665e-06,bilancio
"bilancio[512,2012]",-7.473279669e-06,bilancio
"bilancio[513,2012]",-4.712417674e-06,bilancio
"bilancio[514,2012]",-5.500341336e-06,bilancio
"bilancio[521CI,2012]",-5.58989194e-06,bilancio
"bilancio[523,2012]",-4.960836314e-06,bilancio
"bilancio[524,2012]",-5.934101854e-06,bilancio
"bilancio[525,2012]",-5.756186033e-06,bilancio
"bilancio[HS,2012]",-9.037186305e-06,bilancio
"bilancio[ORE,2012]",-5.662908311e-06,bilancio
"bilancio[532RL,2012]",-5.250718806e-06,bilancio
"bilancio[5411,2012]",-5.708488653e-06,bilancio
"bilancio[5415,2012]",-6.890279805e-06,bilancio
