vincolo,duale,famiglia
"bilancio[111CA,2012]",-4.77104371e-06,bilancio
"bilancio[113FF,2012]",-1.094398019e-05,bilancio
"bilancio[211,2012]",-1.991111903e-06,bilancio
"bilancio[212,2012]",-3.767597581e-06,bilancio
"bilancio[213,2012]",-4.345153815e-06,bilancio
"bilancio[22,2012]",-3.896052121e-06,bilancio
"bilancio[23,2012]",-8.062496179e-06,bilancio
"bilancio[321,2012]",-8.214022035e-06,bilancio
"bilancio[327,2012]",-6.367932894e-06,bilancio
"bilancio[331,2012]",-4.479284335e-06,bilancio
"bilancio[332,2012]",-6.74670137e-06,bilancio
"bilancio[333,2012]",-5.451800627e-06,bilancio
"bilancio[334,2012]",-4.63066244e-06,bilancio
"bilancio[335,2012]",-5.399443424e-06,bilancio
"bilancio[3361MV,2012]",-4.551995962e-06,bilancio
"bilancio[3364OT,2012]",-4.782452879e-06,bilancio
"bilancio[337,2012]",-8.619079076e-06,bilancio
"bilancio[339,2012]",-5.938035994e-06,bilancio
"bilancio[311FT,2012]",-5.62215787e-06,bilancio
"bilancio[313TT,2012]",-7.051863624e-06,bilancio
"bilancio[315AL,2012]",-1.071822689e-05,bilancio
"bilancio[322,2012]",-5.576237496e-06,bilancio
"bilancio[323,2012]",-8.282838333e-06,bilancio
"bilancio[324,2012]",-1.624004087e-06,bilancio
"bilancio[325,2012]",-3.267479617e-06,bilancio
"bilancio[326,2012]",-5.705834657e-06,bilancio
"bilancio[42,2012]",-5.794184441e-06,bilancio
"bilancio[441,2012]",-8.273570466e-06,bilancio
"bilancio[445,2012]",-1.37804125e-05,bilancio
"bilancio[452,2012]",-1.450597755e-05,bilancio
"bilancio[4A0,2012]",-1.018179803e-05,bilancio
"bilancio[481,2012]",-4.917226102e-06,bilancio
"bilancio[482,2012]",-4.792875178e-06,bilancio
"bilancio[483,2012]",-5.480604821e-06,bilancio
"bilancio[484,2012]",-7.595497513e-06,bilancio
"bilancio[485,2012]",-9.132727936e-06,bilancio
"bilancio[486,2012]",-3.285509964e-06,bilancio
"bilancio[487OS,2012]",-8.653100741e-06,bilancio
"bilancio[493,2012]",-9.172644982e-06,bilancio
"bilancio[511,2012]",-4.582801627e-06,bilancio
"bilancio[512,2012]",-4.318870344e-06,bilancio
"bilancio[513,2012]",-4.146431368e-06,bilancio
"bilancio[514,2012]",-5.033063718e-06,bilancio
"bilancio[521CI,2012]",-5.218309033e-06,bilancio
"bilancio[523,2012]",-4.587099224e-06,bilancio
"bilancio[524,2012]",-5.456795226e-06,bilancio
"bilancio[525,2012]",-5.273718271e-06,bilancio
"bilancio[HS,2012]",-4.518593152e-05,bilancio
"bilancio[ORE,2012]",-5.204470926e-06,bilancio
"bilancio[532RL,2012]",-4.836068082e-06,bilancio
"bilancio[5411,2012]",-5.349567251e-06,bilancio
"bilancio[5415,2012]",-6.40564932e-06,bilancio
"bilancio[5412OP,2012]",-6.354382273e-06,bilancio
"bilancio[55,2012]",-5.964783607e-06,bilancio
"bilancio[561,2012]",-1.263158677e-05,bilancio
"bilancio[562,2012]",-7.409238836e-06,bilancio
"bilancio[61,2012]",-1.054936246e-05,bilancio
"bilancio[621,2012]",-8.658328468e-06,bilancio
"bilancio[622,2012]",-9.062425145e-06,bilancio
"bilancio[623,2012]",-1.627040444e-05,bilancio
"bilancio[624,2012]",-1.768308618e-05,bilancio
"bilancio[711AS,2012]",-5.110608374e-06,bilancio
"bilancio[713,2012]",-1.057055836e-05,bilancio
"bilancio[721,2012]",-1.019641066e-05,bilancio
"bilancio[722,2012]",-1.465833285e-05,bilancio
"bilancio[81,2012]",-1.088508494e-05,bilancio
"bilancio[GFGD,2012]",-4.318568335e-06,bilancio
"bilancio[GFGN,2012]",-7.327595742e-06,bilancio
"bilancio[GFE,2012]",-8.340533538e-06,bilancio
"bilancio[GSLG,2012]",-9.11946016e-06,bilancio
"bilancio[GSLE,2012]",-6.733720014e-06,bilancio
"bilancio[111CA,2013]",-4.589031159e-06,bilancio
"bilancio[113FF,2013]",-1.104226498e-05,bilancio
"bilancio[211,2013]",-2.305939327e-06,bilancio
"bilancio[212,2013]",-3.853078246e-06,bilancio
"bilancio[213,2013]",-4.824984616e-06,bilancio
"bilancio[22,2013]",-4.048313451e-06,bilancio
"bilancio[23,2013]",-8.183253909e-06,bilancio
"bilancio[321,2013]",-8.427757721e-06,bilancio
"bilancio[327,2013]",-6.353991135e-06,bilancio
"bilancio[331,2013]",-4.423386235e-06,bilancio
"bilancio[332,2013]",-6.904899858e-06,bilancio
"bilancio[333,2013]",-5.71604235e-06,bilancio
"bilancio[334,2013]",-4.560991862e-06,bilancio
"bilancio[335,2013]",-5.388856357e-06,bilancio
"bilancio[3361MV,2013]",-4.995107306e-06,bilancio
"bilancio[3364OT,2013]",-4.931247916e-06,bilancio
"bilancio[337,2013]",-8.669373264e-06,bilancio
"bilancio[339,2013]",-6.073571681e-06,bilancio
"bilancio[311FT,2013]",-5.571112356e-06,bilancio
"bilancio[313TT,2013]",-7.118102796e-06,bilancio
"bilancio[315AL,2013]",-2.71828051e-06,bilancio
"bilancio[322,2013]",-5.720292128e-06,bilancio
"bilancio[323,2013]",-8.14698365e-06,bilancio
"bilancio[324,2013]",-2.26910865e-06,bilancio
"bilancio[325,2013]",-3.528766714e-06,bilancio
"bilancio[326,2013]",-6.021928027e-06,bilancio
"bilancio[42,2013]",-5.754564823e-06,bilancio
"bilancio[441,2013]",-7.77851006e-06,bilancio
"bilancio[445,2013]",-1.371107112e-05,bilancio
"bilancio[452,2013]",-1.393920536e-05,bilancio
"bilancio[4A0,2013]",-9.831986935e-06,bilancio
"bilancio[481,2013]",-4.783038131e-06,bilancio
"bilancio[482,2013]",-4.851275302e-06,bilancio
"bilancio[483,2013]",-4.998157743e-06,bilancio
"bilancio[484,2013]",-7.535434981e-06,bilancio
"bilancio[485,2013]",-8.934917713e-06,bilancio
"bilancio[486,2013]",-3.285804844e-06,bilancio
"bilancio[487OS,2013]",-8.620900513e-06,bilancio
"bilancio[493,2013]",-9.109290012e-06,bilancio
"bilancio[511,2013]",-4.433444301e-06,bilancio
"bilancio[512,2013]",-4.287339507e-06,bilancio
"bilancio[513,2013]",-3.869785241e-06,bilancio
"bilancio[514,2013]",-4.859650143e-06,bilancio
"bilancio[521CI,2013]",-5.538589932e-06,bilancio
"bilancio[523,2013]",-4.964917842e-06,bilancio
"bilancio[524,2013]",-5.943540446e-06,bilancio
"bilancio[525,2013]",-5.430015155e-06,bilancio
"bilancio[HS,2013]",-8.911535767e-06,bilancio
"bilancio[ORE,2013]",-5.107175169e-06,bilancio
"bilancio[532RL,2013]",-4.871721125e-06,bilancio
"bilancio[5411,2013]",-5.419334453e-06,bilancio
"bilancio[5415,2013]",-6.460116515e-06,bilancio
"bilancio[5412OP,2013]",-6.364844621e-06,bilancio
"bilancio[55,2013]",-6.093271954e-06,bilancio
"bilancio[561,2013]",-1.25899362e-05,bilancio
"bilancio[562,2013]",-7.518146589e-06,bilancio
"bilancio[61,2013]",-1.053183524e-05,bilancio
"bilancio[621,2013]",-8.649376755e-06,bilancio
"bilancio[622,2013]",-8.932800143e-06,bilancio
"bilancio[623,2013]",-1.587471659e-05,bilancio
"bilancio[624,2013]",-1.83395748e-05,bilancio
"bilancio[711AS,2013]",-5.165433189e-06,bilancio
"bilancio[713,2013]",-1.042136137e-05,bilancio
