anno,industria,x,x_oss
2010,111CA,472.7184585,410.635968
2010,113FF,50.90373781,47.97230405
2010,211,288.4667327,310.2504248
2010,212,124.6201479,122.5519868
2010,213,17.09827317,90.07869719
2010,22,535.5350059,484.3502015
2010,23,1461.596754,1072.812018
2010,321,89.1641171,74.19156597
2010,327,108.3178157,95.87725762
2010,331,224.3714023,252.4715087
2010,332,304.49829,310.3419818
2010,333,228.7300274,333.6215223
2010,334,255.9633715,349.1128872
2010,335,112.6958411,113.7506109
2010,3361MV,348.6282585,450.373889
2010,3364OT,214.0539846,258.369358
2010,337,53.17918256,59.88056791
2010,339,140.5892758,165.57078
2010,311FT,1017.540943,901.9630011
2010,313TT,53.24520241,54.22248795
2010,315AL,13.43442241,24.45383947
2010,322,177.3228106,175.7695379
2010,323,78.92363757,85.58333584
2010,324,897.4995148,794.8962343
2010,325,795.2912099,789.840828
2010,326,203.0257927,203.1143406
2010,42,1376.416893,1431.256907
2010,441,193.9102057,203.930149
2010,445,216.4314974,215.2000665
2010,452,231.2893593,231.4790434
2010,4A0,718.3731739,711.8769266
2010,481,194.3753686,183.2040915
2010,482,76.68306326,74.83133139
2010,483,50.73040716,47.2954469
2010,484,263.4209444,274.2471601
2010,485,48.02592178,48.13693776
2010,486,35.80719499,33.19677558
2010,487OS,179.5984809,182.0347979
2010,493,83.48682851,85.26549403
2010,511,228.0090871,288.8876666
2010,512,101.6410422,132.338888
2010,513,704.3655414,692.5783474
2010,514,144.6383277,163.9690117
2010,521CI,775.8777553,723.1898399
2010,523,548.6417827,496.4579255
2010,524,762.3610021,679.690766
2010,525,141.7284105,118.6887055
2010,HS,1709.351405,1709.351405
2010,ORE,977.3006144,813.7397603
2010,532RL,287.0923777,277.3149204
2010,5411,361.0039883,305.5937754
2010,5415,183.4327473,304.0280435
2010,5412OP,828.6403837,1055.164244
2010,55,408.9413779,429.75256
2010,561,599.5831525,601.835638
2010,562,91.98409778,86.06860898
2010,61,301.2908048,308.004095
2010,621,825.6793362,825.6834837
2010,622,659.5400645,660.9254589
2010,623,202.7541877,202.752989
2010,624,170.0816184,170.038702
2010,711AS,144.8327284,138.1331143
2010,713,117.734087,117.744059
2010,721,195.1214306,195.0397039
2010,722,574.8494899,574.4082853
2010,81,561.9726229,560.2502366
2010,GFGD,698.0257486,703.4826768
2010,GFGN,382.4743184,386.3430023
2010,GFE,101.2042446,99.90879426
2010,GSLG,2015.332221,2017.489888
2010,GSLE,307.3863821,280.1599134
2011,111CA,437.1541361,398.7032071
2011,113FF,51.13314504,49.85670241
2011,211,346.0899631,338.9433348
2011,212,137.2744228,131.1202909
2011,213,96.8955549,102.0075197
2011,22,511.5348652,465.8249772
2011,23,1436.141435,1046.056824
2011,321,86.81790579,75.24390211
2011,327,105.8784842,96.30291717
2011,331,229.8769353,271.4797559
2011,332,313.319304,331.4110827
2011,333,253.9982071,377.0353514
2011,334,266.1647037,357.1258249
2011,335,113.225753,120.0001713
2011,3361MV,414.9329284,508.659353
2011,3364OT,216.1312421,262.9648768
2011,337,52.2962345,58.73263825
2011,339,138.5474455,164.2295121
2011,311FT,989.2079655,887.9799837
2011,313TT,51.32498027,53.04934453
2011,315AL,13.68409806,25.50676976
2011,322,175.3298243,176.1601432
2011,323,77.72093398,84.6510011
2011,324,974.0700969,826.1336318
2011,325,786.7976869,784.2614949
2011,326,201.9502826,206.0256866
2011,42,1502.459166,1568.324004
2011,441,193.0632691,200.4171631
2011,445,213.3415505,212.3239302
2011,452,230.3813052,230.402262
2011,4A0,739.515659,732.0315603
2011,481,215.9532896,203.6993295
2011,482,80.15319474,79.14806081
2011,483,51.6163597,48.13883694
2011,484,275.9520946,287.2535148
2011,485,49.98544986,50.06238943
2011,486,39.23278129,35.64376506
2011,487OS,183.6123984,185.1248499
2011,493,93.44918617,95.6336742
2011,511,237.3224897,297.0505292
2011,512,103.2153428,131.2464387
2011,513,730.5331232,714.725948
2011,514,167.8845163,189.4518897
2011,521CI,772.8626356,717.0025217
2011,523,524.6254681,467.7634456
2011,524,827.2393406,736.4327988
2011,525,145.4035797,121.7599658
2011,HS,1801.576489,1722.491859
2011,ORE,963.4526463,829.3992038
2011,532RL,300.1421303,289.0748767
2011,5411,348.5766753,306.9022026
2011,5415,216.1560285,329.001204
2011,5412OP,870.8749677,1097.080217
2011,55,430.2628109,450.2351811
2011,561,625.0330722,635.0897946
2011,562,90.51376604,84.54366441
2011,61,307.9665955,314.3741475
2011,621,844.2507722,844.3196697
2011,622,678.9716573,680.613136
2011,623,204.9021183,204.8857365
2011,624,167.9782312,167.932696
2011,711AS,147.4785132,139.4718213
2011,713,118.8521982,118.8989106
2011,721,204.755284,204.5294087
2011,722,597.1661439,596.8380964
2011,81,561.9222149,561.1668861
2011,GFGD,690.1270176,695.6493049
2011,GFGN,365.8730103,369.4600803
2011,GFE,96.6908597,95.35480452
2011,GSLG,1969.497488,1971.467636
2011,GSLE,312.4204308,285.9603986
2012,111CA,446.4336232,404.166
2012,113FF,46.01720176,46.892
2012,211,378.764857,362.616
2012,212,120.42482,124.611
2012,213,57.72274644,126.19
2012,22,504.6809741,461.578
2012,23,1423.921303,1075.477
2012,321,86.85693547,80.398
2012,327,103.0995297,99.294
2012,331,210.3385624,269.218
2012,332,315.8630583,343.079
2012,333,297.5805328,404.552
2012,334,280.9197915,354.253
2012,335,108.7926584,122.794
2012,3361MV,362.8544058,516.699
2012,3364OT,231.6584627,290.815
2012,337,56.43118455,65.729
2012,339,137.7488112,156.592
2012,311FT,967.3814913,895.874
2012,313TT,46.78494653,51.802
2012,315AL,2.830048568,19.244
2012,322,173.4476981,179.235
2012,323,77.53737983,83.081
2012,324,991.7144175,833.174
2012,325,768.9546816,794.029
2012,326,201.9985963,216.486
2012,42,1591.091198,1655.028
2012,441,216.3098604,221.875
2012,445,208.4204548,207.679
2012,452,211.2402197,210.838
2012,4A0,774.3677321,763.319
2012,481,207.5161985,195.415
2012,482,77.81114958,79.141
2012,483,53.38490889,50.023
2012,484,296.6324169,297.774
2012,485,51.05409157,50.992
2012,486,38.320531,36.442
2012,487OS,187.6837627,187.233
2012,493,107.000022,108.888
2012,511,267.5265323,296.233
2012,512,137.1457361,131.699
2012,513,765.4758182,733.128
2012,514,206.6207392,221.543
2012,521CI,821.5059287,761.619
2012,523,534.5525957,478.47
2012,524,887.437669,798.591
2012,525,139.8823719,117.259
2012,HS,1869.987217,1726.663
2012,ORE,1006.047345,889.093
2012,532RL,310.1666019,298.617
2012,5411,343.002542,306.935
2012,5415,272.7544458,354.223
2012,5412OP,952.826862,1123.861
2012,55,459.1516075,478.846
2012,561,654.7234386,661.562
2012,562,89.26744957,83.564
2012,61,305.3324987,309.61
