anno,industria,tipo,I
2010,111CA,E,0
2010,111CA,S,0
2010,111CA,N,0
2010,113FF,E,0
2010,113FF,S,0
2010,113FF,N,0
2010,211,E,0
2010,211,S,0
2010,211,N,0
2010,212,E,0
2010,212,S,0
2010,212,N,0
2010,213,E,0
2010,213,S,0
2010,213,N,0
2010,22,E,0
2010,22,S,0
2010,22,N,0
2010,23,E,33.23422141
2010,23,S,0
2010,23,N,0
2010,311FT,E,0
2010,311FT,S,0
2010,311FT,N,0
2010,313TT,E,0
2010,313TT,S,0
2010,313TT,N,0
2010,315AL,E,0
2010,315AL,S,0
2010,315AL,N,0
2010,321,E,0
2010,321,S,0
2010,321,N,0
2010,322,E,0
2010,322,S,0
2010,322,N,0
2010,323,E,0
2010,323,S,0
2010,323,N,0
2010,324,E,21.66616049
2010,324,S,0
2010,324,N,0
2010,325,E,0
2010,325,S,0
2010,325,N,0
2010,326,E,0
2010,326,S,0
2010,326,N,0
2010,327,E,0
2010,327,S,0
2010,327,N,0
2010,331,E,0
2010,331,S,0
2010,331,N,0
2010,332,E,0
2010,332,S,0
2010,332,N,0
2010,333,E,0
2010,333,S,0
2010,333,N,0
2010,334,E,0
2010,334,S,0
2010,334,N,0
2010,335,E,0
2010,335,S,0
2010,335,N,0
2010,3361MV,E,0
2010,3361MV,S,0
2010,3361MV,N,0
2010,3364OT,E,0
2010,3364OT,S,0
2010,3364OT,N,0
2010,337,E,0
2010,337,S,0
2010,337,N,0
2010,339,E,0
2010,339,S,0
2010,339,N,0
2010,42,E,0
2010,42,S,0
2010,42,N,0
2010,441,E,0
2010,441,S,0
2010,441,N,0
2010,445,E,0
2010,445,S,0
2010,445,N,0
2010,452,E,0
2010,452,S,0
2010,452,N,0
2010,481,E,0
2010,481,S,0
2010,481,N,0
2010,482,E,0
2010,482,S,0
2010,482,N,0
2010,483,E,0
2010,483,S,0
2010,483,N,0
2010,484,E,0
2010,484,S,0
2010,484,N,0
2010,485,E,0
2010,485,S,0
2010,485,N,0
2010,486,E,0
2010,486,S,0
2010,486,N,0
2010,487OS,E,0
2010,487OS,S,0
2010,487OS,N,0
2010,493,E,0
2010,493,S,0
2010,493,N,0
2010,4A0,E,0
2010,4A0,S,0
2010,4A0,N,0
2010,511,E,0
2010,511,S,0
2010,511,N,0
2010,512,E,0
2010,512,S,0
2010,512,N,0
2010,513,E,0
2010,513,S,0
2010,513,N,0
2010,514,E,0
2010,514,S,7.194643482
2010,514,N,0
2010,521CI,E,0
2010,521CI,S,0
2010,521CI,N,0
2010,523,E,0
2010,523,S,0
2010,523,N,3.76947856
2010,524,E,0
2010,524,S,19.65763849
2010,524,N,0
2010,525,E,0
2010,525,S,0
2010,525,N,0
2010,532RL,E,0
2010,532RL,S,0
2010,532RL,N,0
2010,5411,E,0
2010,5411,S,0
2010,5411,N,0
2010,5412OP,E,0
2010,5412OP,S,0
2010,5412OP,N,0
2010,5415,E,0
2010,5415,S,0
2010,5415,N,0
2010,55,E,0
2010,55,S,0
2010,55,N,0
2010,561,E,0
2010,561,S,0
2010,561,N,0
2010,562,E,0
2010,562,S,0
2010,562,N,0
2010,61,E,0
2010,61,S,0
2010,61,N,0
2010,621,E,0
2010,621,S,0
2010,621,N,0
2010,622,E,0
2010,622,S,0
2010,622,N,0
2010,623,E,0
2010,623,S,0
2010,623,N,0
2010,624,E,0
2010,624,S,0
2010,624,N,0
2010,711AS,E,0
2010,711AS,S,0
2010,711AS,N,0
2010,713,E,0
2010,713,S,0
2010,713,N,0
2010,721,E,0
2010,721,S,0
2010,721,N,0
2010,722,E,0
2010,722,S,0
2010,722,N,0
2010,81,E,0
2010,81,S,0
2010,81,N,0
2010,ORE,E,0
2010,ORE,S,0
2010,ORE,N,0
2010,HS,R,1258.509877
2011,111CA,E,0
2011,111CA,S,0
2011,111CA,N,0
2011,113FF,E,0
2011,113FF,S,0
2011,113FF,N,0
2011,211,E,0
2011,211,S,135.9467591
2011,211,N,0
2011,212,E,0
2011,212,S,0
2011,212,N,0
2011,213,E,0
2011,213,S,0
2011,213,N,0
2011,22,E,0
2011,22,S,0
2011,22,N,0.3734073633
2011,23,E,34.35274887
2011,23,S,0
2011,23,N,0
2011,311FT,E,1.854921728
2011,311FT,S,0
2011,311FT,N,0
2011,313TT,E,0
2011,313TT,S,0
2011,313TT,N,0
2011,315AL,E,0
2011,315AL,S,0
2011,315AL,N,0
2011,321,E,0
2011,321,S,0
2011,321,N,0
2011,322,E,1.526385754
2011,322,S,0
2011,322,N,0
2011,323,E,0
2011,323,S,0
2011,323,N,0
2011,324,E,27.57299858
2011,324,S,0
2011,324,N,0
2011,325,E,0
2011,325,S,0
2011,325,N,0
2011,326,E,0
2011,326,S,0
2011,326,N,0
2011,327,E,0
2011,327,S,0
2011,327,N,0
2011,331,E,0
2011,331,S,0
2011,331,N,0
2011,332,E,0
2011,332,S,0
2011,332,N,0
2011,333,E,0
2011,333,S,0
2011,333,N,0
2011,334,E,0
2011,334,S,0
2011,334,N,14.05930111
2011,335,E,0
2011,335,S,0
2011,335,N,0
2011,3361MV,E,0
2011,3361MV,S,0
2011,3361MV,N,0
2011,3364OT,E,0
2011,3364OT,S,0
2011,3364OT,N,0
2011,337,E,0
2011,337,S,0
2011,337,N,0
2011,339,E,0
2011,339,S,0
2011,339,N,0
2011,42,E,0
2011,42,S,27.72538077
2011,42,N,0
2011,441,E,0
2011,441,S,0
2011,441,N,0
2011,445,E,0
2011,445,S,0
2011,445,N,0
2011,452,E,0
2011,452,S,0
2011,452,N,0
2011,481,E,0
2011,481,S,0
2011,481,N,0
2011,482,E,0
2011,482,S,0
2011,482,N,0
2011,483,E,0
2011,483,S,0
2011,483,N,0
2011,484,E,10.09253977
2011,484,S,0
2011,484,N,0
2011,485,E,0
2011,485,S,0
2011,485,N,0
2011,486,E,0
2011,486,S,0
2011,486,N,0
2011,487OS,E,0
2011,487OS,S,0
2011,487OS,N,0
2011,493,E,0
2011,493,S,2.592524854
2011,493,N,0
2011,4A0,E,0
2011,4A0,S,0
2011,4A0,N,0
2011,511,E,13.76006311
2011,511,S,0
2011,511,N,0
2011,512,E,0
2011,512,S,0
2011,512,N,0
2011,513,E,0
2011,513,S,0
2011,513,N,0
2011,514,E,0
2011,514,S,48.36703797
2011,514,N,0
2011,521CI,E,54.04913123
2011,521CI,S,0
2011,521CI,N,0
2011,523,E,0
2011,523,S,0
2011,523,N,9.263724674
2011,524,E,0
2011,524,S,50.7130828
2011,524,N,0
2011,525,E,0
2011,525,S,0
2011,525,N,0
2011,532RL,E,31.10060553
2011,532RL,S,0
2011,532RL,N,0
2011,5411,E,0
2011,5411,S,2.77120584
2011,5411,N,0
2011,5412OP,E,0
2011,5412OP,S,0
2011,5412OP,N,0
2011,5415,E,23.0498234
2011,5415,S,0
2011,5415,N,0
2011,55,E,0
2011,55,S,0
2011,55,N,14.73637623
2011,561,E,0
2011,561,S,39.0097944
2011,561,N,0
2011,562,E,0
2011,562,S,0
2011,562,N,0
2011,61,E,0
2011,61,S,0
2011,61,N,0
2011,621,E,0
2011,621,S,0
2011,621,N,0
2011,622,E,0
2011,622,S,0
2011,622,N,3.416727382
2011,623,E,0
2011,623,S,0
2011,623,N,0
2011,624,E,0
2011,624,S,0
2011,624,N,0
2011,711AS,E,0
2011,711AS,S,0
2011,711AS,N,6.990006506
2011,713,E,0
2011,713,S,0
2011,713,N,0
2011,721,E,0
2011,721,S,0
2011,721,N,0
2011,722,E,0
2011,722,S,0
2011,722,N,0
2011,81,E,0
2011,81,S,0
2011,81,N,0
2011,ORE,E,0
2011,ORE,S,0
2011,ORE,N,0.522215454
2011,HS,R,1051.650904
2012,111CA,E,0
2012,111CA,S,0
2012,111CA,N,5.179930019
2012,113FF,E,0
2012,113FF,S,0
2012,113FF,N,0.5421714812
2012,211,E,0
2012,211,S,51.42286625
2012,211,N,0
2012,212,E,0
2012,212,S,0
2012,212,N,0
2012,213,E,0
2012,213,S,0
2012,213,N,0
2012,22,E,0
2012,22,S,0
2012,22,N,17.98817264
2012,23,E,0
2012,23,S,0
2012,23,N,0
2012,311FT,E,34.35804614
2012,311FT,S,0
2012,311FT,N,0
2012,313TT,E,0
2012,313TT,S,0
2012,313TT,N,0
2012,315AL,E,0
2012,315AL,S,0
2012,315AL,N,0
2012,321,E,0
2012,321,S,0
2012,321,N,0
2012,322,E,12.43800877
2012,322,S,0
2012,322,N,0
2012,323,E,0
2012,323,S,0
2012,323,N,0
2012,324,E,0
2012,324,S,19.84383428
2012,324,N,0
2012,325,E,108.7556885
2012,325,S,0
2012,325,N,0
2012,326,E,7.405324319
2012,326,S,0
2012,326,N,0
2012,327,E,0
2012,327,S,0
2012,327,N,0
2012,331,E,0
2012,331,S,0
2012,331,N,0
2012,332,E,9.778309287
2012,332,S,0
2012,332,N,0
2012,333,E,0
2012,333,S,0
2012,333,N,0
2012,334,E,0
2012,334,S,0
2012,334,N,32.73106998
2012,335,E,0.02751340869
2012,335,S,0
2012,335,N,0
2012,3361MV,E,16.60032253
2012,3361MV,S,0
2012,3361MV,N,0
2012,3364OT,E,25.5871546
2012,3364OT,S,0
2012,3364OT,N,0
2012,337,E,0
2012,337,S,0
2012,337,N,0
2012,339,E,10.91158408
2012,339,S,0
2012,339,N,0
2012,42,E,0
2012,42,S,66.58136186
2012,42,N,0
2012,441,E,0
2012,441,S,0
2012,441,N,8.837242627
2012,445,E,0
2012,445,S,0
2012,445,N,0
2012,452,E,0
2012,452,S,0
2012,452,N,0
2012,481,E,0
2012,481,S,0
2012,481,N,5.000662226
2012,482,E,0
2012,482,S,0
2012,482,N,0
2012,483,E,0
2012,483,S,0
