vincolo,duale,famiglia
"bilancio[111CA,2012]",-4.803657502e-06,bilancio
"bilancio[113FF,2012]",-1.100680273e-05,bilancio
"bilancio[211,2012]",-2.004404079e-06,bilancio
"bilancio[212,2012]",-3.804957335e-06,bilancio
"bilancio[213,2012]",-4.380024843e-06,bilancio
"bilancio[22,2012]",-3.947404623e-06,bilancio
"bilancio[23,2012]",-8.759057602e-06,bilancio
"bilancio[321,2012]",-8.261599358e-06,bilancio
"bilancio[327,2012]",-6.408874267e-06,bilancio
"bilancio[331,2012]",-4.50667775e-06,bilancio
"bilancio[332,2012]",-6.784646573e-06,bilancio
"bilancio[333,2012]",-5.48018225e-06,bilancio
"bilancio[334,2012]",-4.655941581e-06,bilancio
"bilancio[335,2012]",-5.427867996e-06,bilancio
"bilancio[3361MV,2012]",-4.571339399e-06,bilancio
"bilancio[3364OT,2012]",-4.806963588e-06,bilancio
"bilancio[337,2012]",-8.668132468e-06,bilancio
"bilancio[339,2012]",-5.971527332e-06,bilancio
"bilancio[311FT,2012]",-5.65558559e-06,bilancio
"bilancio[313TT,2012]",-7.090089141e-06,bilancio
"bilancio[315AL,2012]",-1.077708654e-05,bilancio
"bilancio[322,2012]",-5.610331854e-06,bilancio
"bilancio[323,2012]",-8.331932315e-06,bilancio
"bilancio[324,2012]",-1.628400563e-06,bilancio
"bilancio[325,2012]",-3.285466366e-06,bilancio
"bilancio[326,2012]",-5.737707981e-06,bilancio
"bilancio[42,2012]",-5.830457939e-06,bilancio
"bilancio[441,2012]",-8.323991025e-06,bilancio
"bilancio[445,2012]",-1.386728684e-05,bilancio
"bilancio[452,2012]",-1.459387636e-05,bilancio
"bilancio[4A0,2012]",-1.024599423e-05,bilancio
"bilancio[481,2012]",-4.946735145e-06,bilancio
"bilancio[482,2012]",-4.837748391e-06,bilancio
"bilancio[483,2012]",-5.514508416e-06,bilancio
"bilancio[484,2012]",-7.640728664e-06,bilancio
"bilancio[485,2012]",-9.207930371e-06,bilancio
"bilancio[486,2012]",-3.323505052e-06,bilancio
"bilancio[487OS,2012]",-8.714292523e-06,bilancio
"bilancio[493,2012]",-9.240474238e-06,bilancio
"bilancio[511,2012]",-4.610552805e-06,bilancio
"bilancio[512,2012]",-4.345106367e-06,bilancio
"bilancio[513,2012]",-4.173370389e-06,bilancio
"bilancio[514,2012]",-5.063831865e-06,bilancio
"bilancio[521CI,2012]",-5.253041341e-06,bilancio
"bilancio[523,2012]",-4.617957201e-06,bilancio
"bilancio[524,2012]",-5.488982375e-06,bilancio
"bilancio[525,2012]",-5.311076207e-06,bilancio
"bilancio[HS,2012]",-4.518593152e-05,bilancio
"bilancio[ORE,2012]",-5.278105055e-06,bilancio
"bilancio[532RL,2012]",-4.866943111e-06,bilancio
"bilancio[5411,2012]",-5.383832413e-06,bilancio
"bilancio[5415,2012]",-6.44381844e-06,bilancio
"bilancio[5412OP,2012]",-6.392980159e-06,bilancio
"bilancio[55,2012]",-6.002055136e-06,bilancio
"bilancio[561,2012]",-1.270526661e-05,bilancio
"bilancio[562,2012]",-7.453435443e-06,bilancio
"bilancio[61,2012]",-1.061676436e-05,bilancio
"bilancio[621,2012]",-8.710489688e-06,bilancio
"bilancio[622,2012]",-9.118324866e-06,bilancio
"bilancio[623,2012]",-1.636907618e-05,bilancio
"bilancio[624,2012]",-1.7789797e-05,bilancio
"bilancio[711AS,2012]",-5.143841928e-06,bilancio
"bilancio[713,2012]",-1.065127219e-05,bilancio
"bilancio[721,2012]",-1.025957132e-05,bilancio
"bilancio[722,2012]",-1.474795515e-05,bilancio
"bilancio[81,2012]",-1.095357903e-05,bilancio
"bilancio[GFGD,2012]",-4.348744567e-06,bilancio
