anno,comparto,stock,minimo,violato
2010,2,236.9247071,201.3860011,False
2010,3,96.67575429,82.17439115,False
2010,5,375.7619804,319.3976834,False
2010,6,310.2679926,263.7277937,False
2010,8,299.4571585,254.5385847,False
2010,9,283.6012899,241.0610964,False
2010,11,133.7631916,113.6987129,False
2010,12,48.6308191,41.33619624,False
2010,13,87.05254272,73.99466132,False
2010,14,227.2862565,193.193318,False
2010,15,155.0320623,131.777253,False
2011,2,234.4113151,195.5338809,False
2011,3,92.30842596,82.32884492,False
2011,5,397.8809689,340.0926623,False
2011,6,312.5945256,264.9398248,False
2011,8,325.5019285,278.9149666,False
2011,9,281.7368351,264.1467805,False
2011,11,136.2315268,111.7400914,False
2011,12,48.47473573,40.78374039,False
2011,13,88.05418976,73.65045705,False
2011,14,225.22473,198.6630002,False
2011,15,156.5899486,135.4477449,False
2012,2,215.62,198.2129692,False
2012,3,98.972,84.95675301,False
2012,5,413.601,350.4953673,False
2012,6,315.987,267.4777435,False
2012,8,351.052,294.3346389,False
2012,9,289.316,278.7500011,False
2012,11,159.204,123.7036409,False
2012,12,48.568,39.89152994,False
2012,13,88.112,67.39653912,False
2012,14,229.494,207.1539683,False
2012,15,160.227,139.9445464,False
2013,2,225.5978212,206.0100408,False
2013,3,92.12170797,88.13592324,False
2013,5,429.4912612,358.6278881,False
2013,6,326.973628,274.5318533,False
2013,8,367.791221,306.1034549,False
2013,9,304.7341142,289.8956735,False
2013,11,180.3196911,136.7040527,False
2013,12,49.12945204,39.8771627,False
2013,13,90.52240049,68.79180022,False
2013,14,243.487916,216.8606613,False
2013,15,167.4668346,143.1001726,False
2014,2,222.4528698,209.3913038,False
2014,3,96.81449427,93.74310673,False
2014,5,444.7353307,367.2748006,False
2014,6,330.2341585,270.9237087,False
2014,8,393.6621867,320.5307382,False
2014,9,319.469551,303.5590509,False
2014,11,190.6549589,151.4501209,False
2014,12,50.03983526,40.33121448,False
2014,13,89.37829294,70.0672769,False
2014,14,249.7832345,224.4696909,False
2014,15,179.333509,148.558318,False
2015,2,223.5199965,213.8490983,False
2015,3,118.5776266,94.62786202,False
2015,5,463.1502768,365.7344152,False
2015,6,349.8344013,271.1635315,False
2015,8,403.141465,326.3045671,False
2015,9,347.4211618,309.027163,False
2015,11,202.2929101,172.4751848,False
2015,12,52.17294301,40.53085111,False
2015,13,92.20934444,72.50441968,False
2015,14,264.922468,236.0494196,False
2015,15,189.345268,153.2017502,False
2016,2,217.3591616,226.3789169,True
2016,3,127.471616,94.00161746,False
2016,5,450.1499159,356.0476272,False
2016,6,363.4609477,276.8007338,False
2016,8,406.9485745,327.7425197,False
2016,9,357.7431587,310.3889779,False
2016,11,221.7707649,198.4291261,False
2016,12,53.80719598,40.36685522,False
2016,13,91.38077843,72.42696097,False
2016,14,271.3014191,246.367388,False
2016,15,180.5162954,157.2691338,False
2017,2,210.900113,229.8155713,True
2017,3,112.1785271,95.90988525,False
2017,5,447.1794624,357.5114171,False
2017,6,367.5555012,275.4284993,False
2017,8,427.8361229,342.4462727,False
2017,9,368.1244608,324.3141863,False
2017,11,236.06313,215.0369759,False
2017,12,55.86505124,41.9364616,False
2017,13,88.1844802,73.96907145,False
2017,14,276.2045205,255.6430917,False
2017,15,184.1263942,162.313112,False
2018,2,201.7872263,229.2561111,True
2018,3,98.78177412,101.3586509,True
2018,5,457.0307937,368.9165669,False
2018,6,372.1371522,278.4747193,False
2018,8,460.0962502,352.8504956,False
2018,9,367.16044,334.167519,False
2018,11,254.0073748,221.9482024,False
2018,12,57.48320633,41.33828225,False
2018,13,91.449051,76.91827003,False
2018,14,280.2449967,268.0435301,False
2018,15,187.6581081,167.736283,False
2019,2,184.0577938,226.4085298,True
2019,3,115.0561222,102.8944766,False
2019,5,484.8987858,362.1886056,False
2019,6,387.7125383,278.0046723,False
2019,8,471.6731049,349.7651396,False
2019,9,376.2276278,331.2455286,False
2019,11,259.2211792,221.3770989,False
2019,12,58.42159265,42.24638139,False
2019,13,89.09237016,75.2156254,False
2019,14,283.0198657,272.787668,False
2019,15,191.1771902,172.899682,False
