anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2010,28311.58914,11646.70777,3298.316228,558.992479,397.0912361,487.3959709,454.4329421,1897.912628,1983.770742,2020.103644,-122.191016,-251.6734565,1600.844595,2131.091685,0,1.078059792,16146.87419,14126.77055,2480.062778
2011,29150.47897,11789.48594,3204.017473,475.1436071,337.5275507,414.2865753,522.5978834,1749.555616,1810.175014,1860.77782,-111.2222038,67.21806422,1737.959754,2281.33261,0,1.091275837,16327.52364,14466.74581,2677.259876
2012,29403.23121,12155.38943,3142.018,403.8720661,286.8984181,352.143589,600.9875659,1643.901639,1698.286169,1781.857728,-137.9560885,15.32159894,1789.203,2359.7,0,1.125145137,16440.5182,14658.66047,2503.271041
2013,29916.58079,12500.20571,3066.668636,444.7952111,243.8636554,299.3220506,537.9195005,1525.900418,1581.344629,1746.542053,-220.641635,49.41216572,1813.000954,2314.001983,0,1.157062531,16696.63011,14950.08806,2449.882349
2014,30896.31127,12818.94223,3043.148649,511.5144927,280.4432037,330.232525,457.2315755,1579.421797,1640.110161,1742.461006,-163.0392093,171.523834,1861.772477,2400.943252,0,1.186565893,17134.5541,15392.09309,2573.150862
2015,31651.22866,13270.83652,3099.013496,588.2416666,320.1471101,379.7674037,388.6468391,1676.80302,1725.832583,1747.979107,-71.1760872,288.4908504,1786.331162,2449.018461,0,1.228394801,17721.48615,15973.50705,2702.670523
2016,32283.97354,13619.34995,3153.230443,676.4779166,368.1691766,436.7325143,330.3498133,1811.729421,1858.880036,1759.326729,52.402692,155.280364,1792.891133,2422.09463,0,1.260654416,18157.5373,16398.21057,2778.860617
2017,32845.33333,14062.11481,3174.345219,777.9496041,423.3945531,502.2423914,280.7973413,1984.38389,2027.643733,1801.192419,183.1914714,-120.0361306,1869.897522,2503.170818,0,1.301638271,18510.79433,16709.60191,2647.487107
2018,33911.75475,14369.71342,3247.706474,894.6420448,486.9037361,577.5787501,238.6777401,2197.802271,2067.789162,1888.275473,309.5267984,47.31611499,1924.276746,2597.656693,0,1.33011067,19059.14523,17170.86976,2801.156331
2019,34370.20271,14783.83584,3372.528694,1028.838351,559.9392965,664.2155626,202.8760791,2455.86929,2054.765454,2036.362144,419.5071456,-79.14751088,1937.66587,2611.710152,0,1.368443282,19457.9382,17421.57605,2637.740211
