anno,industria,x,x_oss
2010,111CA,454.9308356,410.635968
2010,113FF,46.29122102,47.97230405
2010,211,372.3081049,310.2504248
2010,212,123.2111304,122.5519868
2010,213,108.0966418,90.07869719
2010,22,527.5962625,484.3502015
2010,23,1108.173641,1072.812018
2010,321,69.6626079,74.19156597
2010,327,93.54210036,95.87725762
2010,331,213.9007259,252.4715087
2010,332,291.898412,310.3419818
2010,333,264.1767552,333.6215223
2010,334,280.4506178,349.1128872
2010,335,155.7787062,113.7506109
2010,3361MV,314.0452931,450.373889
2010,3364OT,284.5291108,258.369358
2010,337,48.68634588,59.88056791
2010,339,137.3290388,165.57078
2010,311FT,985.8314951,901.9630011
2010,313TT,49.6323013,54.22248795
2010,315AL,8.355819946,24.45383947
2010,322,173.6172776,175.7695379
2010,323,84.5905891,85.58333584
2010,324,974.3637484,794.8962343
2010,325,846.1601191,789.840828
2010,326,192.0729708,203.1143406
2010,42,1414.575059,1431.256907
2010,441,196.6577356,203.930149
2010,445,216.1114814,215.2000665
2010,452,230.739406,231.4790434
2010,4A0,699.6825652,711.8769266
2010,481,195.3187429,183.2040915
2010,482,74.69009272,74.83133139
2010,483,50.47311086,47.2954469
2010,484,266.208341,274.2471601
2010,485,48.40164861,48.13693776
2010,486,35.58052972,33.19677558
2010,487OS,183.1806145,182.0347979
2010,493,84.0319312,85.26549403
2010,511,256.1448181,288.8876666
2010,512,180.2982126,132.338888
2010,513,749.4016335,692.5783474
2010,514,162.3816623,163.9690117
2010,521CI,776.6834531,723.1898399
2010,523,552.2338452,496.4579255
2010,524,755.2633242,679.690766
2010,525,141.6933261,118.6887055
2010,HS,1709.351405,1709.351405
2010,ORE,837.5279469,813.7397603
2010,532RL,290.4824427,277.3149204
2010,5411,329.4261913,305.5937754
2010,5415,201.7596926,304.0280435
2010,5412OP,1066.767872,1055.164244
2010,55,421.2508027,429.75256
2010,561,600.0455829,601.835638
2010,562,91.00731453,86.06860898
2010,61,307.1811265,308.004095
2010,621,825.5059594,825.6834837
2010,622,660.2590948,660.9254589
2010,623,202.7484712,202.752989
2010,624,170.0264408,170.038702
2010,711AS,155.5666175,138.1331143
2010,713,117.7825533,117.744059
2010,721,195.5907957,195.0397039
2010,722,575.6312295,574.4082853
2010,81,561.3372381,560.2502366
2010,GFGD,702.7798746,703.4826768
2010,GFGN,385.3918833,386.3430023
2010,GFE,102.4962453,99.90879426
2010,GSLG,2020.272453,2017.489888
2010,GSLE,302.4165039,280.1599134
2011,111CA,445.9424416,398.7032071
2011,113FF,50.74917425,49.85670241
2011,211,395.6194903,338.9433348
2011,212,138.7028468,131.1202909
2011,213,151.5425259,102.0075197
2011,22,511.3055652,465.8249772
2011,23,1006.140531,1046.056824
2011,321,75.00885935,75.24390211
2011,327,94.72246292,96.30291717
2011,331,246.4358981,271.4797559
2011,332,321.0252898,331.4110827
2011,333,332.9353036,377.0353514
2011,334,288.6853226,357.1258249
2011,335,111.1539807,120.0001713
2011,3361MV,422.7301122,508.659353
2011,3364OT,256.0270046,262.9648768
2011,337,50.97590753,58.73263825
2011,339,152.092203,164.2295121
2011,311FT,1001.656587,887.9799837
2011,313TT,52.77525284,53.04934453
2011,315AL,15.05914254,25.50676976
2011,322,180.0503294,176.1601432
2011,323,82.4969561,84.6510011
2011,324,1039.189265,826.1336318
2011,325,909.4501646,784.2614949
2011,326,205.0078697,206.0256866
2011,42,1581.877403,1568.324004
2011,441,195.1277632,200.4171631
2011,445,213.4738786,212.3239302
2011,452,229.7443806,230.402262
2011,4A0,719.8677148,732.0315603
2011,481,217.1826363,203.6993295
2011,482,82.04331181,79.14806081
2011,483,51.74134626,48.13883694
2011,484,297.6101984,287.2535148
2011,485,50.47870645,50.06238943
2011,486,41.40793702,35.64376506
2011,487OS,189.7769232,185.1248499
2011,493,95.33818043,95.6336742
2011,511,289.3490425,297.0505292
2011,512,234.1977971,131.2464387
2011,513,763.757424,714.725948
2011,514,183.3982886,189.4518897
2011,521CI,772.1221916,717.0025217
2011,523,526.6084054,467.7634456
2011,524,824.2590718,736.4327988
2011,525,145.3913072,121.7599658
2011,HS,1717.322731,1722.491859
2011,ORE,868.1934387,829.3992038
2011,532RL,304.4995248,289.0748767
2011,5411,333.33783,306.9022026
2011,5415,223.3571895,329.001204
2011,5412OP,961.3576482,1097.080217
2011,55,448.3816099,450.2351811
2011,561,631.9611404,635.0897946
2011,562,90.11281507,84.54366441
2011,61,310.8871174,314.3741475
2011,621,844.0810439,844.3196697
2011,622,679.0889362,680.613136
2011,623,204.8764144,204.8857365
2011,624,167.8957324,167.932696
2011,711AS,200.7768217,139.4718213
2011,713,118.9617653,118.8989106
2011,721,205.4188831,204.5294087
2011,722,597.6733432,596.8380964
2011,81,563.0569457,561.1668861
2011,GFGD,692.0664756,695.6493049
2011,GFGN,366.9714125,369.4600803
2011,GFE,98.5867795,95.35480452
2011,GSLG,1968.944948,1971.467636
2011,GSLE,310.4340269,285.9603986
2012,111CA,463.3548304,404.166
2012,113FF,48.1865962,46.892
2012,211,441.4548897,362.616
2012,212,118.3940272,124.611
2012,213,78.86993001,126.19
2012,22,502.2856861,461.578
2012,23,1095.91853,1075.477
2012,321,79.56404646,80.398
2012,327,96.86376366,99.294
2012,331,226.1402963,269.218
2012,332,310.822412,343.079
2012,333,281.8075492,404.552
2012,334,284.4139019,354.253
2012,335,106.1971291,122.794
2012,3361MV,434.0342164,516.699
2012,3364OT,249.208444,290.815
2012,337,55.85842726,65.729
2012,339,142.4368613,156.592
2012,311FT,996.6489526,895.874
2012,313TT,49.21358078,51.802
2012,315AL,6.832753855,19.244
2012,322,179.052963,179.235
2012,323,80.57608251,83.081
2012,324,878.2829469,833.174
2012,325,801.6833771,794.029
2012,326,208.8906025,216.486
2012,42,1611.098343,1655.028
2012,441,239.2448239,221.875
2012,445,208.6553561,207.679
2012,452,210.4040888,210.838
2012,4A0,751.5963455,763.319
2012,481,207.847518,195.415
2012,482,78.77325058,79.141
2012,483,53.56848831,50.023
2012,484,297.9737881,297.774
2012,485,51.09807035,50.992
2012,486,39.2542835,36.442
2012,487OS,192.4283079,187.233
2012,493,107.558321,108.888
2012,511,268.6093471,296.233
2012,512,230.1713441,131.699
2012,513,776.6444445,733.128
2012,514,210.9782236,221.543
2012,521CI,812.6504686,761.619
2012,523,534.8941368,478.47
2012,524,883.8995315,798.591
2012,525,139.851796,117.259
2012,HS,1732.251716,1726.663
2012,ORE,934.1856536,889.093
2012,532RL,310.6938331,298.617
2012,5411,330.7184492,306.935
2012,5415,259.8078833,354.223
2012,5412OP,956.1433107,1123.861
2012,55,467.7518389,478.846
2012,561,655.764172,661.562
2012,562,88.86138246,83.564
2012,61,304.9799477,309.61
2012,621,1037.057334,869.254
2012,622,719.4409821,709.379
2012,623,209.143866,208.979
2012,624,169.6999785,169.679
2012,711AS,158.1900559,144.767
2012,713,119.9133366,119.836
2012,721,215.439243,214.978
2012,722,616.5508469,613.983
2012,81,576.6872083,576.029
2012,GFGD,672.3794851,676.303
2012,GFGN,367.779676,370.378
2012,GFE,103.0432969,98.913
2012,GSLG,1949.572882,1947.062
2012,GSLE,322.9817626,298.57
2013,111CA,442.9835722,420.0646127
2013,113FF,48.58297431,48.1981787
2013,211,443.9892727,391.494883
2013,212,111.054798,118.9735655
2013,213,70.24431427,125.8668437
2013,22,506.0116056,466.0971225
2013,23,1035.683664,1128.512488
2013,321,78.52173868,83.89403777
2013,327,97.20458115,102.9350132
2013,331,233.4005178,278.3293753
2013,332,310.8213052,348.5399126
2013,333,261.575878,391.446297
