vincolo,duale,famiglia
"bilancio[111CA,2010]",-5.260934541e-06,bilancio
"bilancio[113FF,2010]",-1.248422902e-05,bilancio
"bilancio[211,2010]",-4.128454112e-06,bilancio
"bilancio[212,2010]",-4.114331301e-06,bilancio
"bilancio[213,2010]",-6.828485858e-06,bilancio
"bilancio[22,2010]",-5.041575732e-06,bilancio
"bilancio[23,2010]",-9.485936602e-06,bilancio
"bilancio[321,2010]",-1.0629109e-05,bilancio
"bilancio[327,2010]",-7.930729681e-06,bilancio
"bilancio[331,2010]",-5.691408069e-06,bilancio
"bilancio[332,2010]",-8.316551569e-06,bilancio
"bilancio[333,2010]",-7.162203801e-06,bilancio
"bilancio[334,2010]",-5.838859326e-06,bilancio
"bilancio[335,2010]",-6.746646456e-06,bilancio
"bilancio[3361MV,2010]",-6.586254383e-06,bilancio
"bilancio[3364OT,2010]",-6.115207983e-06,bilancio
"bilancio[337,2010]",-1.080523928e-05,bilancio
"bilancio[339,2010]",-6.999363994e-06,bilancio
"bilancio[311FT,2010]",-6.581585259e-06,bilancio
"bilancio[313TT,2010]",-8.787899795e-06,bilancio
"bilancio[315AL,2010]",-1.203202379e-05,bilancio
"bilancio[322,2010]",-6.947475005e-06,bilancio
"bilancio[323,2010]",-1.005986153e-05,bilancio
"bilancio[324,2010]",-2.881094426e-06,bilancio
"bilancio[325,2010]",-4.128454112e-06,bilancio
"bilancio[326,2010]",-7.18619397e-06,bilancio
"bilancio[42,2010]",-6.858379931e-06,bilancio
"bilancio[441,2010]",-9.905282994e-06,bilancio
"bilancio[445,2010]",-1.493592207e-05,bilancio
"bilancio[452,2010]",-1.511662769e-05,bilancio
"bilancio[4A0,2010]",-1.222328822e-05,bilancio
"bilancio[481,2010]",-5.487883379e-06,bilancio
"bilancio[482,2010]",-5.64089508e-06,bilancio
"bilancio[483,2010]",-6.52116291e-06,bilancio
"bilancio[484,2010]",-9.256347921e-06,bilancio
"bilancio[485,2010]",-1.101177815e-05,bilancio
"bilancio[486,2010]",-4.164824352e-06,bilancio
"bilancio[487OS,2010]",-9.871613024e-06,bilancio
"bilancio[493,2010]",-1.167953633e-05,bilancio
"bilancio[511,2010]",-5.639087624e-06,bilancio
"bilancio[512,2010]",-6.098920217e-06,bilancio
"bilancio[513,2010]",-4.82348358e-06,bilancio
"bilancio[514,2010]",-5.558229131e-06,bilancio
"bilancio[521CI,2010]",-6.832821653e-06,bilancio
"bilancio[523,2010]",-5.624239906e-06,bilancio
"bilancio[524,2010]",-6.600209744e-06,bilancio
"bilancio[525,2010]",-6.514134832e-06,bilancio
"bilancio[HS,2010]",-4.62817396e-05,bilancio
"bilancio[ORE,2010]",-6.899163142e-06,bilancio
"bilancio[532RL,2010]",-5.846057878e-06,bilancio
"bilancio[5411,2010]",-6.161833234e-06,bilancio
"bilancio[5415,2010]",-8.092399574e-06,bilancio
"bilancio[5412OP,2010]",-7.582120373e-06,bilancio
"bilancio[55,2010]",-7.33303055e-06,bilancio
"bilancio[561,2010]",-1.477304241e-05,bilancio
"bilancio[562,2010]",-8.09189418e-06,bilancio
"bilancio[61,2010]",-1.212992421e-05,bilancio
"bilancio[621,2010]",-1.005831016e-05,bilancio
"bilancio[622,2010]",-1.072894649e-05,bilancio
"bilancio[623,2010]",-1.889655185e-05,bilancio
"bilancio[624,2010]",-1.831205301e-05,bilancio
"bilancio[711AS,2010]",-6.46665039e-06,bilancio
"bilancio[713,2010]",-1.255691663e-05,bilancio
"bilancio[721,2010]",-1.213519501e-05,bilancio
"bilancio[722,2010]",-1.686758429e-05,bilancio
"bilancio[81,2010]",-1.286015971e-05,bilancio
"bilancio[GFGD,2010]",-5.380151825e-06,bilancio
"bilancio[GFGN,2010]",-8.698453297e-06,bilancio
"bilancio[GFE,2010]",-9.906291762e-06,bilancio
"bilancio[GSLG,2010]",-1.061132461e-05,bilancio
"bilancio[GSLE,2010]",-8.830629764e-06,bilancio
"bilancio[111CA,2011]",-5.92541438e-06,bilancio
"bilancio[113FF,2011]",-1.169919917e-05,bilancio
"bilancio[211,2011]",-4.747715513e-06,bilancio
"bilancio[212,2011]",-5.113939778e-06,bilancio
"bilancio[213,2011]",-5.836088362e-06,bilancio
"bilancio[22,2011]",-4.731383645e-06,bilancio
"bilancio[23,2011]",-9.102017836e-06,bilancio
"bilancio[321,2011]",-9.806657439e-06,bilancio
"bilancio[327,2011]",-7.607076988e-06,bilancio
"bilancio[331,2011]",-5.970110549e-06,bilancio
"bilancio[332,2011]",-7.998111926e-06,bilancio
"bilancio[333,2011]",-6.801191307e-06,bilancio
"bilancio[334,2011]",-5.649370152e-06,bilancio
"bilancio[335,2011]",-6.769065923e-06,bilancio
"bilancio[3361MV,2011]",-6.37019117e-06,bilancio
"bilancio[3364OT,2011]",-5.845204585e-06,bilancio
"bilancio[337,2011]",-1.029721235e-05,bilancio
"bilancio[339,2011]",-6.945594925e-06,bilancio
"bilancio[311FT,2011]",-6.801020237e-06,bilancio
"bilancio[313TT,2011]",-8.907620109e-06,bilancio
"bilancio[315AL,2011]",-1.110888692e-05,bilancio
"bilancio[322,2011]",-6.91223036e-06,bilancio
"bilancio[323,2011]",-9.454242996e-06,bilancio
"bilancio[324,2011]",-3.795882671e-06,bilancio
"bilancio[325,2011]",-4.506970693e-06,bilancio
"bilancio[326,2011]",-7.144687739e-06,bilancio
"bilancio[42,2011]",-6.765954978e-06,bilancio
"bilancio[441,2011]",-9.865159672e-06,bilancio
"bilancio[445,2011]",-1.444044708e-05,bilancio
"bilancio[452,2011]",-1.455793489e-05,bilancio
"bilancio[4A0,2011]",-1.141624276e-05,bilancio
"bilancio[481,2011]",-5.605899972e-06,bilancio
"bilancio[482,2011]",-5.488035729e-06,bilancio
"bilancio[483,2011]",-6.309003088e-06,bilancio
"bilancio[484,2011]",-8.56532344e-06,bilancio
"bilancio[485,2011]",-1.015251183e-05,bilancio
"bilancio[486,2011]",-4.122312299e-06,bilancio
"bilancio[487OS,2011]",-9.375159042e-06,bilancio
"bilancio[493,2011]",-1.04118896e-05,bilancio
"bilancio[511,2011]",-5.180352413e-06,bilancio
"bilancio[512,2011]",-5.007997937e-06,bilancio
"bilancio[513,2011]",-4.625713577e-06,bilancio
"bilancio[514,2011]",-4.966116776e-06,bilancio
"bilancio[521CI,2011]",-5.963469669e-06,bilancio
"bilancio[523,2011]",-5.809238123e-06,bilancio
"bilancio[524,2011]",-6.223924921e-06,bilancio
"bilancio[525,2011]",-6.395791592e-06,bilancio
"bilancio[HS,2011]",-4.573638404e-05,bilancio
"bilancio[ORE,2011]",-6.030615179e-06,bilancio
"bilancio[532RL,2011]",-5.463733684e-06,bilancio
"bilancio[5411,2011]",-5.635777529e-06,bilancio
"bilancio[5415,2011]",-7.357902575e-06,bilancio
"bilancio[5412OP,2011]",-7.05669339e-06,bilancio
"bilancio[55,2011]",-6.914647376e-06,bilancio
"bilancio[561,2011]",-1.358736382e-05,bilancio
"bilancio[562,2011]",-8.213186059e-06,bilancio
"bilancio[61,2011]",-1.126099645e-05,bilancio
"bilancio[621,2011]",-9.334720664e-06,bilancio
"bilancio[622,2011]",-9.911623225e-06,bilancio
"bilancio[623,2011]",-1.749790243e-05,bilancio
"bilancio[624,2011]",-1.710032179e-05,bilancio
"bilancio[711AS,2011]",-5.793510035e-06,bilancio
"bilancio[713,2011]",-1.156460006e-05,bilancio
"bilancio[721,2011]",-1.111292476e-05,bilancio
"bilancio[722,2011]",-1.560804528e-05,bilancio
"bilancio[81,2011]",-1.199142438e-05,bilancio
"bilancio[GFGD,2011]",-4.971288576e-06,bilancio
"bilancio[GFGN,2011]",-8.046734904e-06,bilancio
"bilancio[GFE,2011]",-9.375166957e-06,bilancio
"bilancio[GSLG,2011]",-9.902950099e-06,bilancio
"bilancio[GSLE,2011]",-8.143763422e-06,bilancio
"bilancio[111CA,2012]",-5.205670702e-06,bilancio
"bilancio[113FF,2012]",-1.088127921e-05,bilancio
"bilancio[211,2012]",-2.280244539e-06,bilancio
"bilancio[212,2012]",-3.905105814e-06,bilancio
"bilancio[213,2012]",-4.465217103e-06,bilancio
"bilancio[22,2012]",-3.994651316e-06,bilancio
"bilancio[23,2012]",-7.783051953e-06,bilancio
"bilancio[321,2012]",-8.411732537e-06,bilancio
"bilancio[327,2012]",-6.503720275e-06,bilancio
"bilancio[331,2012]",-4.800745875e-06,bilancio
"bilancio[332,2012]",-6.979661343e-06,bilancio
"bilancio[333,2012]",-5.770437183e-06,bilancio
"bilancio[334,2012]",-4.885110796e-06,bilancio
"bilancio[335,2012]",-5.695575886e-06,bilancio
"bilancio[3361MV,2012]",-5.102608093e-06,bilancio
"bilancio[3364OT,2012]",-5.066358151e-06,bilancio
"bilancio[337,2012]",-8.818419189e-06,bilancio
"bilancio[339,2012]",-6.09900419e-06,bilancio
"bilancio[311FT,2012]",-5.914136411e-06,bilancio
"bilancio[313TT,2012]",-7.368769641e-06,bilancio
"bilancio[315AL,2012]",-1.081836015e-05,bilancio
"bilancio[322,2012]",-5.826356645e-06,bilancio
"bilancio[323,2012]",-8.365076113e-06,bilancio
"bilancio[324,2012]",-2.395800026e-06,bilancio
"bilancio[325,2012]",-3.610334717e-06,bilancio
"bilancio[326,2012]",-6.005363534e-06,bilancio
"bilancio[42,2012]",-5.939040892e-06,bilancio
"bilancio[441,2012]",-8.382293167e-06,bilancio
"bilancio[445,2012]",-1.359884659e-05,bilancio
"bilancio[452,2012]",-1.43536536e-05,bilancio
"bilancio[4A0,2012]",-1.012067454e-05,bilancio
"bilancio[481,2012]",-5.042417311e-06,bilancio
"bilancio[482,2012]",-4.893124461e-06,bilancio
"bilancio[483,2012]",-5.629754601e-06,bilancio
"bilancio[484,2012]",-7.75855965e-06,bilancio
"bilancio[485,2012]",-9.040784308e-06,bilancio
"bilancio[486,2012]",-3.55243188e-06,bilancio
"bilancio[487OS,2012]",-8.627884099e-06,bilancio
"bilancio[493,2012]",-9.094835302e-06,bilancio
"bilancio[511,2012]",-4.754039461e-06,bilancio
"bilancio[512,2012]",-4.295718333e-06,bilancio
"bilancio[513,2012]",-4.434000496e-06,bilancio
"bilancio[514,2012]",-5.069795023e-06,bilancio
"bilancio[521CI,2012]",-5.367711172e-06,bilancio
"bilancio[523,2012]",-4.657892047e-06,bilancio
"bilancio[524,2012]",-5.512055452e-06,bilancio
"bilancio[525,2012]",-5.32803124e-06,bilancio
"bilancio[HS,2012]",-9.037186305e-06,bilancio
"bilancio[ORE,2012]",-5.193482909e-06,bilancio
"bilancio[532RL,2012]",-4.977831309e-06,bilancio
"bilancio[5411,2012]",-5.306640002e-06,bilancio
"bilancio[5415,2012]",-6.449007569e-06,bilancio
"bilancio[5412OP,2012]",-6.420715971e-06,bilancio
"bilancio[55,2012]",-6.039730084e-06,bilancio
"bilancio[561,2012]",-1.248000378e-05,bilancio
"bilancio[562,2012]",-7.4207086e-06,bilancio
"bilancio[61,2012]",-1.037746028e-05,bilancio
"bilancio[621,2012]",-8.61930403e-06,bilancio
"bilancio[622,2012]",-9.057587975e-06,bilancio
"bilancio[623,2012]",-1.596716108e-05,bilancio
"bilancio[624,2012]",-1.738501256e-05,bilancio
"bilancio[711AS,2012]",-5.037195196e-06,bilancio
"bilancio[713,2012]",-1.044966656e-05,bilancio
"bilancio[721,2012]",-1.005090665e-05,bilancio
"bilancio[722,2012]",-1.442995926e-05,bilancio
"bilancio[81,2012]",-1.078409686e-05,bilancio
"bilancio[GFGD,2012]",-4.379754775e-06,bilancio
"bilancio[GFGN,2012]",-7.25031782e-06,bilancio
"bilancio[GFE,2012]",-8.326567871e-06,bilancio
"bilancio[GSLG,2012]",-9.019135657e-06,bilancio
"bilancio[GSLE,2012]",-6.795574854e-06,bilancio
"bilancio[111CA,2013]",-4.695505652e-06,bilancio
"bilancio[113FF,2013]",-1.037679662e-05,bilancio
