anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2010,28330.8919,11565.64626,3298.316228,624.7563,443.8078521,544.7366734,414.9170341,2028.21786,2125.372001,2020.103644,8.114215539,-292.0761522,1600.844595,2131.091685,0,1.070556457,16167.01124,14146.9076,2581.261342
2011,29418.58423,11667.41386,3204.017473,591.8743895,420.4495441,516.0663222,434.6749881,1963.065244,2026.946229,1905.221039,57.84420461,115.4870003,1737.959754,2281.33261,0,1.079976421,16470.49171,14565.27067,2897.856808
2012,29706.95841,11996.09471,3142.018,562.6330646,397.0912361,487.3959709,454.4329421,1901.553214,1976.000284,1849.150107,52.40310706,46.86743299,1789.203,2359.7,0,1.110400264,16590.48343,14741.33332,2745.23861
2013,30328.13548,12290.21022,3066.668636,595.5149752,373.7329281,458.7256197,474.1908961,1902.164419,1969.870933,1829.424756,72.73966323,57.77126323,1813.000954,2314.001983,0,1.137624619,16883.52003,15054.09527,2763.885048
2014,30920.41484,12708.11279,3043.148649,628.3968857,350.3746201,430.0552685,454.4329421,1863.259716,1930.045142,1845.474127,17.78558904,53.22712589,1861.772477,2400.943252,0,1.176307134,17195.36293,15349.8888,2641.776013
2015,31401.20218,13244.49786,3099.013496,661.2787962,327.0163121,401.3849172,434.6749881,1824.355014,1876.451856,1855.110591,-30.75557695,67.51567158,1786.331162,2449.018461,0,1.225956802,17624.79158,15769.68099,2525.183134
2016,32130.51477,13590.18229,3153.230443,694.1607067,349.7083322,405.2589218,414.9170341,1864.044995,1920.363121,1850.212153,13.83284211,52.41691203,1792.891133,2422.09463,0,1.257954555,18086.98926,16236.77711,2646.594826
2017,32930.51901,13924.90396,3174.345219,727.0426173,373.0666402,433.929273,395.1590801,1929.197611,1978.902337,1864.987856,64.20975478,78.85008077,1869.897522,2503.170818,0,1.288937558,18523.7283,16658.74044,2733.836485
2018,33930.37453,14362.92959,3247.706474,759.9245278,396.4249482,462.5996243,375.401126,1994.350226,1909.131734,1917.609143,76.74108366,180.2290507,1924.276746,2597.656693,0,1.329482734,19026.6169,17109.00776,2746.078169
2019,34124.99386,14826.45549,3372.528694,792.8064383,419.7832562,491.2699755,355.643172,2059.502842,1774.657593,2024.923167,34.57967527,-28.77895076,1937.66587,2611.710152,0,1.372388305,19270.81855,17245.89538,2419.439888
