vincolo,duale,famiglia
"bilancio[111CA,2010]",-7.14250171e-06,bilancio
"bilancio[113FF,2010]",-1.67776189e-05,bilancio
"bilancio[211,2010]",-5.569166233e-06,bilancio
"bilancio[212,2010]",-5.545703008e-06,bilancio
"bilancio[213,2010]",-9.833073384e-06,bilancio
"bilancio[22,2010]",-6.77738829e-06,bilancio
"bilancio[23,2010]",-1.261379879e-05,bilancio
"bilancio[321,2010]",-1.430395106e-05,bilancio
"bilancio[327,2010]",-1.068217417e-05,bilancio
"bilancio[331,2010]",-7.67769972e-06,bilancio
"bilancio[332,2010]",-1.120160156e-05,bilancio
"bilancio[333,2010]",-9.655690813e-06,bilancio
"bilancio[334,2010]",-7.869585233e-06,bilancio
"bilancio[335,2010]",-9.538741648e-06,bilancio
"bilancio[3361MV,2010]",-8.88652771e-06,bilancio
"bilancio[3364OT,2010]",-8.241085736e-06,bilancio
"bilancio[337,2010]",-1.45393429e-05,bilancio
"bilancio[339,2010]",-9.426639643e-06,bilancio
"bilancio[311FT,2010]",-8.881594211e-06,bilancio
"bilancio[313TT,2010]",-1.182951052e-05,bilancio
"bilancio[315AL,2010]",-1.617603541e-05,bilancio
"bilancio[322,2010]",-9.355724971e-06,bilancio
"bilancio[323,2010]",-1.352881113e-05,bilancio
"bilancio[324,2010]",-3.893773775e-06,bilancio
"bilancio[325,2010]",-5.569166233e-06,bilancio
"bilancio[326,2010]",-9.67645846e-06,bilancio
"bilancio[42,2010]",-9.256347921e-06,bilancio
"bilancio[441,2010]",-1.337264622e-05,bilancio
"bilancio[445,2010]",-2.00816273e-05,bilancio
"bilancio[452,2010]",-2.033593163e-05,bilancio
"bilancio[4A0,2010]",-1.644977682e-05,bilancio
"bilancio[481,2010]",-7.377025716e-06,bilancio
"bilancio[482,2010]",-7.581929522e-06,bilancio
"bilancio[483,2010]",-8.767777858e-06,bilancio
"bilancio[484,2010]",-1.243806886e-05,bilancio
"bilancio[485,2010]",-1.478729273e-05,bilancio
"bilancio[486,2010]",-5.600880833e-06,bilancio
"bilancio[487OS,2010]",-1.32608847e-05,bilancio
"bilancio[493,2010]",-1.568708698e-05,bilancio
"bilancio[511,2010]",-7.581220796e-06,bilancio
"bilancio[512,2010]",-1.138756825e-05,bilancio
"bilancio[513,2010]",-6.655885293e-06,bilancio
"bilancio[514,2010]",-7.476792195e-06,bilancio
"bilancio[521CI,2010]",-9.18173256e-06,bilancio
"bilancio[523,2010]",-7.560886175e-06,bilancio
"bilancio[524,2010]",-8.865904103e-06,bilancio
"bilancio[525,2010]",-8.757619087e-06,bilancio
"bilancio[HS,2010]",-4.62817396e-05,bilancio
"bilancio[ORE,2010]",-9.264110208e-06,bilancio
"bilancio[532RL,2010]",-7.867124104e-06,bilancio
"bilancio[5411,2010]",-8.279622413e-06,bilancio
"bilancio[5415,2010]",-1.087494951e-05,bilancio
"bilancio[5412OP,2010]",-1.020436515e-05,bilancio
"bilancio[55,2010]",-9.854396671e-06,bilancio
"bilancio[561,2010]",-1.984211052e-05,bilancio
"bilancio[562,2010]",-1.087387149e-05,bilancio
"bilancio[61,2010]",-1.629324934e-05,bilancio
"bilancio[621,2010]",-1.351080326e-05,bilancio
"bilancio[622,2010]",-1.441231917e-05,bilancio
"bilancio[623,2010]",-2.537696812e-05,bilancio
