vincolo,duale,famiglia
"bilancio[111CA,2010]",-5.40533738e-06,bilancio
"bilancio[113FF,2010]",-1.328910075e-05,bilancio
"bilancio[211,2010]",-2.498261144e-06,bilancio
"bilancio[212,2010]",-4.199830119e-06,bilancio
"bilancio[213,2010]",-5.441058123e-06,bilancio
"bilancio[22,2010]",-5.063811634e-06,bilancio
"bilancio[23,2010]",-1.001246565e-05,bilancio
"bilancio[321,2010]",-1.106068271e-05,bilancio
"bilancio[327,2010]",-8.277304805e-06,bilancio
"bilancio[331,2010]",-5.652732771e-06,bilancio
"bilancio[332,2010]",-8.559512409e-06,bilancio
"bilancio[333,2010]",-7.263939002e-06,bilancio
"bilancio[334,2010]",-5.998516119e-06,bilancio
"bilancio[335,2010]",-6.845044396e-06,bilancio
"bilancio[3361MV,2010]",-6.284902531e-06,bilancio
"bilancio[3364OT,2010]",-6.237931238e-06,bilancio
"bilancio[337,2010]",-1.127551806e-05,bilancio
"bilancio[339,2010]",-7.26920729e-06,bilancio
"bilancio[311FT,2010]",-6.7772573e-06,bilancio
"bilancio[313TT,2010]",-8.917332096e-06,bilancio
"bilancio[315AL,2010]",-1.257481411e-05,bilancio
"bilancio[322,2010]",-7.085228683e-06,bilancio
"bilancio[323,2010]",-1.056511713e-05,bilancio
"bilancio[324,2010]",-1.853636609e-06,bilancio
"bilancio[325,2010]",-3.97506593e-06,bilancio
"bilancio[326,2010]",-7.249097286e-06,bilancio
"bilancio[42,2010]",-7.325472774e-06,bilancio
"bilancio[441,2010]",-1.064009322e-05,bilancio
"bilancio[445,2010]",-1.61114953e-05,bilancio
"bilancio[452,2010]",-1.631538028e-05,bilancio
"bilancio[4A0,2010]",-1.317293574e-05,bilancio
"bilancio[481,2010]",-5.683544934e-06,bilancio
"bilancio[482,2010]",-5.862607251e-06,bilancio
"bilancio[483,2010]",-6.815447966e-06,bilancio
"bilancio[484,2010]",-9.810349312e-06,bilancio
"bilancio[485,2010]",-1.175115897e-05,bilancio
"bilancio[486,2010]",-4.390599572e-06,bilancio
"bilancio[487OS,2010]",-1.05254e-05,bilancio
"bilancio[493,2010]",-1.249489474e-05,bilancio
"bilancio[511,2010]",-6.013863539e-06,bilancio
"bilancio[512,2010]",-4.756001123e-06,bilancio
"bilancio[513,2010]",-4.989077756e-06,bilancio
"bilancio[514,2010]",-5.918206838e-06,bilancio
"bilancio[521CI,2010]",-7.319249542e-06,bilancio
"bilancio[523,2010]",-5.998072921e-06,bilancio
"bilancio[524,2010]",-7.013423837e-06,bilancio
"bilancio[525,2010]",-6.91283186e-06,bilancio
"bilancio[HS,2010]",-4.62817396e-05,bilancio
"bilancio[ORE,2010]",-7.331391563e-06,bilancio
"bilancio[532RL,2010]",-6.240979494e-06,bilancio
"bilancio[5411,2010]",-6.627816316e-06,bilancio
"bilancio[5415,2010]",-8.665034081e-06,bilancio
"bilancio[5412OP,2010]",-8.066015967e-06,bilancio
"bilancio[55,2010]",-7.848606821e-06,bilancio
"bilancio[561,2010]",-1.592160765e-05,bilancio
"bilancio[562,2010]",-8.577961027e-06,bilancio
"bilancio[61,2010]",-1.304622177e-05,bilancio
"bilancio[621,2010]",-1.078344095e-05,bilancio
"bilancio[622,2010]",-1.147397897e-05,bilancio
"bilancio[623,2010]",-2.039035176e-05,bilancio
"bilancio[624,2010]",-1.966348472e-05,bilancio
