anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2010,28018.678,11047.83861,3298.316228,667.7816938,481.8323363,526.0596803,691.6584309,2367.332141,2483.217282,2020.103644,347.2284973,-279.5682663,1600.844595,2131.091685,0,1.02262638,16019.55677,13999.45312,2951.614509
2011,29174.36318,11197.26799,3204.017473,718.0416189,490.6405675,529.2081412,671.1602951,2409.050623,2503.253069,2038.861537,370.1890861,64.53437337,1737.959754,2281.33261,0,1.036458083,16425.70005,14386.83851,3189.570524
2012,30042.57808,11651.01146,3142.018,750.6183393,498.1248022,522.6950408,637.6091891,2409.047371,2508.292698,2153.362351,255.6850205,54.42967441,1789.203,2359.7,0,1.078458157,16785.25483,14631.89248,2980.881022
2013,30677.67241,11974.00928,3066.668636,772.8912614,504.2417667,496.7228844,631.1103691,2404.966282,2489.785023,2108.54337,296.4229119,83.89852805,1813.000954,2314.001983,0,1.108355959,17113.36043,15004.81706,3030.807788
2014,31587.8014,12390.74745,3043.148649,804.4319942,510.9619912,484.635706,590.9201434,2390.949835,2519.552117,2010.21597,380.7338645,110.2504644,1861.772477,2400.943252,0,1.146930694,17524.52791,15514.31194,3123.564484
2015,31915.67527,12926.55267,3099.013496,810.5924274,514.4955429,494.1534311,566.0022261,2385.243627,2498.201505,2024.275585,360.9680421,27.26624415,1786.331162,2449.018461,0,1.196526689,17888.34661,15864.07103,2937.518361
2016,32663.32571,13190.87153,3153.230443,834.3356311,519.4692486,513.9636724,560.0784979,2427.84705,2527.535156,2071.332625,356.5144253,120.1602286,1792.891133,2422.09463,0,1.220992962,18362.59386,16291.26123,3100.389706
2017,33339.17486,13678.43225,3174.345219,857.2064424,524.23143,535.0180731,546.7935075,2463.249453,2530.936529,2133.562109,329.6873438,14.50479501,1869.897522,2503.170818,0,1.266123279,18764.9455,16631.38339,2952.951138
2018,34355.95999,14022.7146,3247.706474,890.6900635,530.0188429,557.003656,547.3406709,2525.053233,2444.894532,2241.820374,283.2328593,228.2451665,1924.276746,2597.656693,0,1.297991251,19270.18082,17028.36045,3005.645851
2019,34533.65353,14617.53796,3372.528694,889.2504966,531.6812071,565.6109374,572.7707557,2559.313397,2257.519327,2367.399852,191.913545,-79.72464763,1937.66587,2611.710152,0,1.353050171,19493.81705,17126.4172,2508.87924
