vincolo,duale,famiglia
"bilancio[111CA,2010]",-9.855935172e-06,bilancio
"bilancio[113FF,2010]",-2.163941982e-05,bilancio
"bilancio[211,2010]",-7.801285017e-06,bilancio
"bilancio[212,2010]",-7.817899369e-06,bilancio
"bilancio[213,2010]",-1.671583576e-05,bilancio
"bilancio[22,2010]",-9.262239296e-06,bilancio
"bilancio[23,2010]",-1.650207354e-05,bilancio
"bilancio[321,2010]",-1.889266831e-05,bilancio
"bilancio[327,2010]",-1.43056594e-05,bilancio
"bilancio[331,2010]",-1.070391976e-05,bilancio
"bilancio[332,2010]",-1.499085892e-05,bilancio
"bilancio[333,2010]",-1.30585854e-05,bilancio
"bilancio[334,2010]",-1.059778392e-05,bilancio
"bilancio[335,2010]",-1.230046269e-05,bilancio
"bilancio[3361MV,2010]",-1.234228182e-05,bilancio
"bilancio[3364OT,2010]",-1.1213033e-05,bilancio
"bilancio[337,2010]",-1.914177133e-05,bilancio
"bilancio[339,2010]",-1.264541717e-05,bilancio
"bilancio[311FT,2010]",-1.226413697e-05,bilancio
"bilancio[313TT,2010]",-1.584824425e-05,bilancio
"bilancio[315AL,2010]",-2.103331605e-05,bilancio
"bilancio[322,2010]",-1.278874753e-05,bilancio
"bilancio[323,2010]",-1.782027053e-05,bilancio
"bilancio[324,2010]",-5.887405017e-06,bilancio
"bilancio[325,2010]",-7.972985927e-06,bilancio
"bilancio[326,2010]",-1.315607691e-05,bilancio
"bilancio[42,2010]",-1.226251213e-05,bilancio
"bilancio[441,2010]",-1.726302464e-05,bilancio
"bilancio[445,2010]",-2.565380711e-05,bilancio
"bilancio[452,2010]",-2.599359732e-05,bilancio
"bilancio[4A0,2010]",-2.117091572e-05,bilancio
"bilancio[481,2010]",-1.007620941e-05,bilancio
"bilancio[482,2010]",-1.036703282e-05,bilancio
"bilancio[483,2010]",-1.201809641e-05,bilancio
"bilancio[484,2010]",-1.64424054e-05,bilancio
"bilancio[485,2010]",-1.907736877e-05,bilancio
"bilancio[486,2010]",-7.757422326e-06,bilancio
"bilancio[487OS,2010]",-1.734931764e-05,bilancio
"bilancio[493,2010]",-2.044161735e-05,bilancio
"bilancio[511,2010]",-1.16301266e-05,bilancio
"bilancio[512,2010]",-8.173438022e-06,bilancio
"bilancio[513,2010]",-8.808553701e-06,bilancio
"bilancio[514,2010]",-1.018409086e-05,bilancio
"bilancio[521CI,2010]",-1.225070463e-05,bilancio
"bilancio[523,2010]",-1.032536477e-05,bilancio
"bilancio[524,2010]",-1.191066342e-05,bilancio
"bilancio[525,2010]",-1.213159028e-05,bilancio
"bilancio[HS,2010]",-4.62817396e-05,bilancio
"bilancio[ORE,2010]",-1.25169272e-05,bilancio
"bilancio[532RL,2010]",-1.060694986e-05,bilancio
"bilancio[5411,2010]",-1.10268757e-05,bilancio
"bilancio[5415,2010]",-1.430857207e-05,bilancio
"bilancio[5412OP,2010]",-1.35247574e-05,bilancio
"bilancio[55,2010]",-1.306482283e-05,bilancio
"bilancio[561,2010]",-2.540896472e-05,bilancio
"bilancio[562,2010]",-1.430748054e-05,bilancio
"bilancio[61,2010]",-2.089577274e-05,bilancio
"bilancio[621,2010]",-1.756182473e-05,bilancio
"bilancio[622,2010]",-1.864591401e-05,bilancio
"bilancio[623,2010]",-3.232989939e-05,bilancio
"bilancio[624,2010]",-3.141642112e-05,bilancio
"bilancio[711AS,2010]",-1.158146182e-05,bilancio
"bilancio[713,2010]",-2.173380691e-05,bilancio
"bilancio[721,2010]",-2.103131373e-05,bilancio
"bilancio[722,2010]",-2.899792891e-05,bilancio
"bilancio[81,2010]",-2.225560179e-05,bilancio
"bilancio[GFGD,2010]",-9.316753865e-06,bilancio
"bilancio[GFGN,2010]",-1.477194757e-05,bilancio
"bilancio[GFE,2010]",-1.686746706e-05,bilancio
"bilancio[GSLG,2010]",-1.797328369e-05,bilancio
"bilancio[GSLE,2010]",-1.527407567e-05,bilancio
"bilancio[111CA,2011]",-1.123569152e-05,bilancio
"bilancio[113FF,2011]",-2.032096386e-05,bilancio
"bilancio[211,2011]",-8.3814774e-06,bilancio
"bilancio[212,2011]",-8.461180926e-06,bilancio
"bilancio[213,2011]",-9.890759994e-06,bilancio
"bilancio[22,2011]",-8.606033563e-06,bilancio
"bilancio[23,2011]",-1.54647262e-05,bilancio
"bilancio[321,2011]",-1.750816995e-05,bilancio
"bilancio[327,2011]",-1.366787714e-05,bilancio
"bilancio[331,2011]",-1.116219983e-05,bilancio
"bilancio[332,2011]",-1.445125311e-05,bilancio
"bilancio[333,2011]",-1.246797433e-05,bilancio
"bilancio[334,2011]",-1.02863354e-05,bilancio
"bilancio[335,2011]",-1.239680469e-05,bilancio
"bilancio[3361MV,2011]",-1.198711581e-05,bilancio
"bilancio[3364OT,2011]",-1.076601458e-05,bilancio
"bilancio[337,2011]",-1.827768583e-05,bilancio
"bilancio[339,2011]",-1.257232275e-05,bilancio
"bilancio[311FT,2011]",-1.272878851e-05,bilancio
"bilancio[313TT,2011]",-1.605306905e-05,bilancio
"bilancio[315AL,2011]",-1.947787964e-05,bilancio
"bilancio[322,2011]",-1.2731964e-05,bilancio
"bilancio[323,2011]",-1.677015743e-05,bilancio
"bilancio[324,2011]",-7.346907879e-06,bilancio
"bilancio[325,2011]",-8.634659784e-06,bilancio
"bilancio[326,2011]",-1.309551577e-05,bilancio
"bilancio[42,2011]",-1.224389421e-05,bilancio
"bilancio[441,2011]",-1.737576344e-05,bilancio
"bilancio[445,2011]",-2.484328962e-05,bilancio
"bilancio[452,2011]",-2.50792615e-05,bilancio
"bilancio[4A0,2011]",-1.987406136e-05,bilancio
"bilancio[481,2011]",-1.026860929e-05,bilancio
"bilancio[482,2011]",-1.006377419e-05,bilancio
"bilancio[483,2011]",-1.159995169e-05,bilancio
"bilancio[484,2011]",-1.522790204e-05,bilancio
"bilancio[485,2011]",-1.7546654e-05,bilancio
"bilancio[486,2011]",-7.65706928e-06,bilancio
"bilancio[487OS,2011]",-1.645873885e-05,bilancio
"bilancio[493,2011]",-1.825892246e-05,bilancio
"bilancio[511,2011]",-1.006240828e-05,bilancio
"bilancio[512,2011]",-8.3814774e-06,bilancio
"bilancio[513,2011]",-8.553818983e-06,bilancio
"bilancio[514,2011]",-9.096225081e-06,bilancio
"bilancio[521CI,2011]",-1.067881129e-05,bilancio
"bilancio[523,2011]",-1.055305059e-05,bilancio
"bilancio[524,2011]",-1.125311214e-05,bilancio
"bilancio[525,2011]",-1.181738526e-05,bilancio
"bilancio[HS,2011]",-1.676174426e-05,bilancio
"bilancio[ORE,2011]",-1.095189122e-05,bilancio
"bilancio[532RL,2011]",-9.932316537e-06,bilancio
