tipo,anno,K,I,X,i,x_su_k
E,1997,3523.548977,587.2118575,19613.55183,0.166653525,5.566419529
E,1998,3655.5102,644.6014018,20564.95025,0.1763369179,5.625740083
E,1999,3821.975314,694.9949429,21511.11691,0.1818418189,5.628272069
E,2000,4010.966465,728.6326854,22393.17952,0.181660129,5.582988467
E,2001,4204.994912,688.1235593,22268.38404,0.1636443263,5.295698212
E,2002,4330.714606,652.1084048,22324.29908,0.1505775522,5.15487653
E,2003,4411.647136,665.6017302,22770.47015,0.1508737462,5.161444115
E,2004,4494.237765,721.7955021,23652.41748,0.1606046542,5.262831811
E,2005,4611.445597,794.1408374,24641.17718,0.1722108221,5.343482139
E,2006,4772.709679,860.2367412,25152.01701,0.1802407435,5.269965848
E,2007,4979.870301,885.7669116,25646.76586,0.1778694741,5.150087114
E,2008,5179.442418,843.002192,25228.13332,0.1627592555,4.870820308
E,2009,5309.931138,657.1951042,23518.16013,0.1237671614,4.429089478
E,2010,5253.68273,787.2637488,24385.6425,0.1498498842,4.641628311
E,2011,5326.714042,888.9684513,25079.95189,0.1668887131,4.708334574
E,2012,5482.556292,979.968,25840.925,0.178742898,4.713298619
E,2013,5697.245,1040.287097,26536.47715,0.1825947623,4.657773564
E,2014,5939.767384,1120.84685,27416.13913,0.1887021456,4.615692392
E,2015,6224.30194,1162.870771,28039.50533,0.1868275001,4.50484337
E,2016,6509.75935,1160.145574,28550.82324,0.1782163536,4.385849263
E,2017,6754.034715,1216.487004,29282.16054,0.1801126371,4.335506371
E,2018,7014.021488,1275.812968,30224.6284,0.1818946478,4.309172484
E,2019,7298.683131,1293.197492,30732.10504,0.1771823038,4.210636972
S,1997,10009.10997,498.1953543,19613.55183,0.04977419127,1.95957002
S,1998,10186.74755,511.7366727,20564.95025,0.05023553104,2.018794532
S,1999,10374.57262,501.8110655,21511.11691,0.04836932412,2.073446079
S,2000,10546.6163,550.8889247,22393.17952,0.05223371261,2.12325725
S,2001,10765.59631,557.5765639,22268.38404,0.05179244585,2.068476599
S,2002,10973.07053,448.2698777,22324.29908,0.04085181777,2.03446237
S,2003,11078.43881,439.4170417,22770.47015,0.03966416651,2.05538619
S,2004,11173.42621,437.639273,23652.41748,0.03916786713,2.116845544
S,2005,11256.60133,448.6376469,24641.17718,0.03985551534,2.189042364
S,2006,11336.86314,480.5651836,25152.01701,0.04238960791,2.218604626
S,2007,11467.36484,542.1673185,25646.76586,0.04727915491,2.236500385
S,2008,11656.41556,573.2142032,25228.13332,0.04917585514,2.164313135
S,2009,11866.39139,464.5400797,23518.16013,0.03914754405,1.981913402
S,2010,11966.29598,396.5889293,24385.6425,0.03314216278,2.037860549
S,2011,11994.62152,410.5206645,25079.95189,0.03422539542,2.09093316
S,2012,12034.73719,461.451,25840.925,0.03834325524,2.14719479
S,2013,12111.938,467.8837205,26536.47715,0.0386299633,2.190935683
S,2014,12201.77995,519.214539,27416.13913,0.04255236049,2.246896702
S,2015,12338.34192,515.2121662,28039.50533,0.04175700183,2.272550518
S,2016,12467.24791,494.6129633,28550.82324,0.03967298693,2.290066216
S,2017,12574.478,504.0425835,29282.16054,0.04008457316,2.328697901
S,2018,12674.4067,539.1882044,30224.6284,0.04254149461,2.384697691
S,2019,12820.10486,549.6175415,30732.10504,0.04287153245,2.397180473
N,1997,1138.655324,326.946979,19613.55183,0.287134282,17.22518783
N,1998,1212.575195,357.0467484,20564.95025,0.2944532841,16.95973193
N,1999,1294.974638,398.1520943,21511.11691,0.3074593762,16.61122642
N,2000,1393.066891,434.6995767,22393.17952,0.3120450135,16.07473386
N,2001,1499.39926,438.7230508,22268.38404,0.2925992178,14.8515373
N,2002,1583.652425,431.7126563,22324.29908,0.2726056865,14.09671639
N,2003,1643.791635,445.4521274,22770.47015,0.270990628,13.85240663
N,2004,1702.639013,463.1989374,23652.41748,0.2720476471,13.89162194
N,2005,1762.341538,496.0031079,24641.17718,0.2814455071,13.98206684
N,2006,1835.657447,525.2377762,25152.01701,0.2861306052,13.70191212
N,2007,1918.364248,558.1745796,25646.76586,0.2909638147,13.3690804
N,2008,2011.408076,577.8848369,25228.13332,0.2873036277,12.54252363
N,2009,2100.179005,573.4072424,23518.16013,0.2730277948,11.19816933
N,2010,2163.778443,589.2148707,24385.6425,0.2723083191,11.26993504
N,2011,2227.548387,625.6789954,25079.95189,0.2808823364,11.25899309
N,2012,2308.266901,655.697,25840.925,0.2840646373,11.19494673
N,2013,2392.597,694.3590635,26536.47715,0.2902114579,11.09107683
N,2014,2486.697176,736.3419464,27416.13913,0.2961124311,11.02512175
N,2015,2591.449439,771.8410725,28039.50533,0.2978414554,10.82000864
N,2016,2698.174801,845.5307864,28550.82324,0.3133713894,10.58153209
N,2017,2838.099865,902.5941762,29282.16054,0.3180276309,10.31752297
N,2018,2985.826491,984.9626808,30224.6284,0.3298794098,10.12270086
N,2019,3159.392321,1064.490259,30732.10504,0.3369287987,9.727220274
R,1997,12089.96306,554.7923943,1277.872539,0.04588867571,0.1056969762
R,1998,12384.09618,600.8295326,1315.078618,0.04851621984,0.1061909242
R,1999,12717.41579,637.7005256,1357.974829,0.05014387642,0.1067807211
R,2000,13073.96164,641.6522069,1396.085942,0.04907863618,0.1067836958
R,2001,13425.91441,646.684808,1440.880171,0.04816690977,0.107320822
R,2002,13769.85297,684.4900008,1443.676394,0.04970931804,0.1048432686
R,2003,14144.60202,744.1293651,1461.786718,0.05260871701,0.1033459065
R,2004,14567.4062,816.0391598,1507.866138,0.05601815099,0.1035095828
R,2005,15028.26681,870.0802763,1571.12072,0.05789624894,0.1045443723
R,2006,15469.50618,807.6419531,1598.305857,0.05220864479,0.1033197724
R,2007,15911.29187,660.7161381,1626.584966,0.04152498385,0.1022283407
R,2008,16193.77171,503.7756754,1678.219852,0.03110922423,0.1036336612
R,2009,16301.62969,395.1590801,1674.749924,0.02424046477,0.1027351226
R,2010,16313.21928,382.9823414,1709.351405,0.0234768095,0.1047832053
R,2011,16316.06153,382.3305865,1722.491859,0.02343277425,0.1055703214
R,2012,16320.95131,432.014,1726.663,0.02646990313,0.1057942621
R,2013,16352.383,486.640999,1743.029863,0.02975963803,0.1065917954
R,2014,16463.18883,508.1175307,1738.811048,0.03086385851,0.1056181197
R,2015,16592.58793,562.3000943,1738.697539,0.03388863129,0.1047876044
R,2016,16773.35508,602.4324513,1748.037831,0.03591603758,0.1042151569
R,2017,16989.36543,629.0185563,1754.65195,0.03702425256,0.1032794284
R,2018,17164.48709,627.4769191,1765.550665,0.03655669499,0.1028606714
R,2019,17362.16861,622.2039545,1790.550003,0.03583676489,0.1031293983
