anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2010,28565.98542,11380.97515,3298.316228,787.641367,397.7260542,589.2146946,382.9823414,2157.564457,2279.108514,2020.103644,137.4608133,-211.9985728,1600.844595,2131.091685,0,1.053462656,16216.15422,14196.05058,2815.075434
2011,29393.78251,11414.35087,3204.017473,889.147231,411.1623063,625.6788907,382.3305865,2308.319015,2404.295951,1989.048741,319.270273,63.67991507,1737.959754,2281.33261,0,1.056552029,16542.97135,14553.92261,3139.571742
2012,30210.61327,11648.64789,3142.018,979.968,461.451,655.697,432.014,2529.13,2649.723673,1988.722171,540.4078288,18.72326204,1789.203,2359.7,0,1.078239377,16888.61583,14899.89366,3251.245764
2013,30936.90919,11786.7197,3066.668636,1040.300973,467.9064184,694.3590635,486.640999,2689.207454,2790.589268,2054.211049,634.9964049,97.10815732,1813.000954,2314.001983,0,1.091019784,17240.08473,15185.87368,3399.153984
2014,31684.65024,12106.99647,3043.148649,1120.873071,519.2634825,736.3419462,508.1175307,2884.59603,2993.999447,2164.426466,720.1695644,34.86011701,1861.772477,2400.943252,0,1.120665716,17639.83391,15475.40744,3368.410971
2015,32337.77562,12718.56896,3099.013496,1162.908228,515.2763645,771.8410725,562.3000943,3012.325759,2980.010893,2548.706997,463.6187628,69.80216946,1786.331162,2449.018461,0,1.177274994,18204.70822,15656.00123,2937.432263
2016,32733.70594,12988.07245,3153.230443,1160.192463,494.6857711,845.5307864,602.4324513,3102.841472,2983.511312,2667.979458,434.8620137,24.91026159,1792.891133,2422.09463,0,1.202221175,18520.52097,15852.54152,2864.469062
2017,33673.65081,13243.34115,3174.345219,1217.722438,505.3221883,902.5941762,629.0185563,3254.657359,3132.89317,2603.067619,651.5897397,84.6047135,1869.897522,2503.170818,0,1.225849733,19001.91095,16398.84333,3155.502187
2018,34708.19907,13610.96232,3247.706474,1277.112406,541.3342036,984.9626808,627.4769191,3430.886209,3251.120419,2731.398081,699.4881286,95.22820102,1924.276746,2597.656693,0,1.259878028,19531.63747,16800.23939,3189.277066
2019,35334.88701,14196.09105,3372.528694,1294.274697,552.0009372,1064.490259,622.2039545,3532.969848,3034.309733,2909.334028,623.6358194,59.42076255,1937.66587,2611.710152,0,1.314039579,19988.30596,17078.97193,2882.88088
