vincolo,duale,famiglia
"bilancio[111CA,2010]",-7.638233362e-06,bilancio
"bilancio[113FF,2010]",-1.813772383e-05,bilancio
"bilancio[211,2010]",-5.9960432e-06,bilancio
"bilancio[212,2010]",-6.015868458e-06,bilancio
"bilancio[213,2010]",-1.262752865e-05,bilancio
"bilancio[22,2010]",-7.303862785e-06,bilancio
"bilancio[23,2010]",-1.32504729e-05,bilancio
"bilancio[321,2010]",-1.544034277e-05,bilancio
"bilancio[327,2010]",-1.152240849e-05,bilancio
"bilancio[331,2010]",-8.267505867e-06,bilancio
"bilancio[332,2010]",-1.208908268e-05,bilancio
"bilancio[333,2010]",-1.040486642e-05,bilancio
"bilancio[334,2010]",-8.482645848e-06,bilancio
"bilancio[335,2010]",-9.798148227e-06,bilancio
"bilancio[3361MV,2010]",-9.567476515e-06,bilancio
"bilancio[3364OT,2010]",-8.883648119e-06,bilancio
"bilancio[337,2010]",-1.569720672e-05,bilancio
"bilancio[339,2010]",-1.016823371e-05,bilancio
"bilancio[311FT,2010]",-9.559326601e-06,bilancio
"bilancio[313TT,2010]",-1.276553064e-05,bilancio
"bilancio[315AL,2010]",-1.747935972e-05,bilancio
"bilancio[322,2010]",-1.009049956e-05,bilancio
"bilancio[323,2010]",-1.461359069e-05,bilancio
"bilancio[324,2010]",-4.181257617e-06,bilancio
"bilancio[325,2010]",-5.9960432e-06,bilancio
"bilancio[326,2010]",-1.043811484e-05,bilancio
"bilancio[42,2010]",-9.964975795e-06,bilancio
"bilancio[441,2010]",-1.43901158e-05,bilancio
"bilancio[445,2010]",-2.169743066e-05,bilancio
"bilancio[452,2010]",-2.196049243e-05,bilancio
"bilancio[4A0,2010]",-1.775735845e-05,bilancio
"bilancio[481,2010]",-7.971921028e-06,bilancio
"bilancio[482,2010]",-8.183324673e-06,bilancio
"bilancio[483,2010]",-9.472068368e-06,bilancio
"bilancio[484,2010]",-1.344597887e-05,bilancio
"bilancio[485,2010]",-1.597983234e-05,bilancio
"bilancio[486,2010]",-6.033808308e-06,bilancio
"bilancio[487OS,2010]",-1.433475723e-05,bilancio
"bilancio[493,2010]",-1.695852819e-05,bilancio
"bilancio[511,2010]",-8.193341409e-06,bilancio
"bilancio[512,2010]",-9.960849176e-06,bilancio
"bilancio[513,2010]",-7.064617072e-06,bilancio
"bilancio[514,2010]",-8.077242999e-06,bilancio
"bilancio[521CI,2010]",-9.92410256e-06,bilancio
"bilancio[523,2010]",-8.169795902e-06,bilancio
"bilancio[524,2010]",-9.588210828e-06,bilancio
"bilancio[525,2010]",-9.460337115e-06,bilancio
"bilancio[HS,2010]",-9.256347921e-06,bilancio
"bilancio[ORE,2010]",-9.987473444e-06,bilancio
