tipo,anno,I_osservato,I_acceleratore,I_tasso_costante
E,1997,587.2118575,632.3936006,575.640404
E,1998,644.6014018,665.3153643,597.1988419
E,1999,694.9949429,696.0248407,624.394163
E,2000,728.6326854,722.7046375,655.2695512
E,2001,688.1235593,706.2010451,686.9678799
E,2002,652.1084048,701.3343797,707.5066424
E,2003,665.6017302,715.6752482,720.7285486
E,2004,721.7955021,748.4849283,734.2213376
E,2005,794.1408374,783.8489569,753.3695216
E,2006,860.2367412,796.3130448,779.7151526
E,2007,885.7669116,805.445362,813.558878
E,2008,843.002192,776.1044434,846.1628733
E,2009,657.1951042,695.7345719,867.480749
E,2010,787.2637488,735.9331529,858.2914753
E,2011,888.9684513,761.3004753,870.2225635
E,2012,979.968,784.7330486,895.6824327
E,2013,1040.287097,801.985694,930.7560177
E,2014,1120.84685,825.476742,970.3767762
E,2015,1162.870771,835.627068,1016.861042
E,2016,1160.145574,840.9508389,1063.496074
E,2017,1216.487004,858.0220655,1103.403216
E,2018,1275.812968,883.18174,1145.877123
E,2019,1293.197492,888.3877514,1192.382151
S,1997,498.1953543,443.4735605,436.092272
S,1998,511.7366727,454.2403063,443.8318587
S,1999,501.8110655,465.3374816,452.0153096
S,2000,550.8889247,475.5761542,459.5111729
S,2001,557.5765639,482.6194994,469.0520303
S,2002,448.2698777,490.12879,478.0915857
S,2003,439.4170417,495.9479925,482.6824328
S,2004,437.639273,503.4968394,486.8209894
S,2005,448.6376469,511.1461885,490.4448908
S,2006,480.5651836,516.3996143,493.9418609
S,2007,542.1673185,523.3291723,499.6277589
S,2008,573.2142032,527.9174213,507.8646113
S,2009,464.5400797,527.0368932,517.0131607
S,2010,396.5889293,534.6879121,521.3659573
S,2011,410.5206645,539.0095001,522.6000879
S,2012,461.451,544.0625832,524.3479091
S,2013,467.8837205,550.0958887,527.7115123
S,2014,519.214539,557.4541884,531.6258842
S,2015,515.2121662,565.2126768,537.575826
S,2016,494.6129633,572.1660842,543.1921999
S,2017,504.0425835,579.4192011,547.8641654
S,2018,539.1882044,587.4310283,552.2180124
S,2019,549.6175415,594.9520441,558.5660135
N,1997,326.946979,345.6934665,323.1210833
N,1998,357.0467484,366.3065117,344.0976407
N,1999,398.1520943,388.6343198,367.4804823
N,2000,434.6995767,413.8263598,395.3165399
N,2001,438.7230508,434.9928863,425.4909304
N,2002,431.7126563,452.6438499,449.3998105
N,2003,445.4521274,467.551235,466.4657711
N,2004,463.1989374,484.6688354,483.1651429
N,2005,496.0031079,502.5692474,500.1071832
N,2006,525.2377762,520.5548866,520.9123518
N,2007,558.1745796,540.3810735,544.3824138
N,2008,577.8848369,557.1442543,570.7858582
N,2009,573.4072424,565.6912741,595.9767638
N,2010,589.2148707,583.7043215,614.024648
N,2011,625.6789954,600.7685171,632.1209171
N,2012,655.697,621.6982829,655.0267546
N,2013,694.3590635,642.999347,678.9574668
N,2014,736.3419464,667.3564636,705.6606756
N,2015,771.8410725,692.4488022,735.3866725
N,2016,845.5307864,717.3104305,765.6725843
N,2017,902.5941762,750.2522797,805.379717
N,2018,984.9626808,785.9987278,847.3007326
N,2019,1064.490259,824.589512,896.5542493
R,1997,554.7923943,590.4699323,500.4750629
R,1998,600.8295326,616.4170018,512.6509718
R,1999,637.7005256,647.209255,526.4490415
R,2000,641.6522069,665.428065,541.2085828
R,2001,646.684808,696.9950758,555.777989
R,2002,684.4900008,650.2582831,570.0156401
R,2003,744.1293651,627.8551707,585.5287192
R,2004,816.0391598,651.1370864,603.0310841
R,2005,870.0802763,701.1801228,622.10883
R,2006,807.6419531,685.9000037,640.3743368
R,2007,660.7161381,672.6084894,658.6624591
R,2008,503.7756754,727.6369939,670.3559701
R,2009,395.1590801,704.7505293,674.8208494
R,2010,382.9823414,768.5093677,675.3006112
R,2011,382.3305865,792.9586428,675.4182687
R,2012,432.014,800.1162746,675.6206855
R,2013,486.640999,826.3492086,676.9218292
R,2014,508.1175307,801.5988995,681.5087377
R,2015,562.3000943,781.8085129,686.8653314
R,2016,602.4324513,772.1463651,694.3483528
R,2017,629.0185563,751.9910791,703.2902984
R,2018,627.4769191,746.1335935,710.5396196
R,2019,622.2039545,763.5604225,718.7228269
