anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2010,28286.25821,11053.37194,3298.316228,772.4622665,469.2293616,552.6221832,607.7705501,2402.084361,2537.71344,2020.103644,381.9807173,-268.6086178,1600.844595,2131.091685,0,1.023138563,16090.54589,14070.44225,3017.070314
2011,29263.96714,11204.42304,3204.017473,778.955736,473.1027704,555.0804849,616.3176,2423.456591,2527.939751,2104.616125,318.8404664,68.16632485,1737.959754,2281.33261,0,1.037120379,16461.17373,14356.55761,3152.134569
2012,30030.35779,11674.69843,3142.018,782.0091648,476.9670878,546.623597,624.9848466,2430.584696,2532.085453,2297.864388,132.7203086,37.96933414,1789.203,2359.7,0,1.080650705,16816.27422,14518.40983,2843.711399
2013,30733.84365,12007.26375,3066.668636,784.8568523,480.202498,494.2501891,633.7739803,2393.08352,2478.531733,2221.129046,171.9544736,92.71181288,1813.000954,2314.001983,0,1.111434108,17144.1749,14923.04586,2915.782107
2014,31587.20678,12451.8661,3043.148649,787.6637524,482.8454066,454.979652,642.6867152,2368.175526,2493.781873,2051.644081,316.5314448,93.72970242,1861.772477,2400.943252,0,1.152588048,17543.35554,15491.71146,3039.845367
2015,32024.3909,12973.17501,3099.013496,789.2133411,484.9317681,457.5832263,651.7247895,2383.453125,2495.540726,2035.839189,347.6139359,59.04921519,1786.331162,2449.018461,0,1.200842216,17964.09115,15928.25196,2955.076949
2016,32693.57014,13302.00028,3153.230443,789.1656051,486.5506338,473.0733017,660.8899659,2409.679506,2512.901274,2065.608567,344.0709393,68.17152865,1792.891133,2422.09463,0,1.231279426,18407.10003,16341.49146,3039.491182
2017,33487.87547,13719.31616,3174.345219,787.6116148,487.9430467,490.8662475,670.1840317,2436.604941,2537.243195,2113.038516,323.5664249,56.64796173,1869.897522,2503.170818,0,1.269907636,18854.27924,16741.24072,3021.924563
2018,34382.21719,14124.42333,3247.706474,784.34434,489.1181073,593.1744056,679.6087995,2546.245652,2526.968052,2195.718023,350.5276292,112.2203188,1924.276746,2597.656693,0,1.307405765,19337.93822,17142.2202,3017.796874
2019,34798.9739,14626.93715,3372.528694,778.9286765,489.9257786,653.9765578,689.1661074,2611.99712,2346.430381,2318.455616,293.5415045,-3.320092626,1937.66587,2611.710152,0,1.353920192,19668.53185,17350.07623,2723.139085
