anno,industria,x,x_oss
2010,111CA,407.7595488,410.635968
2010,113FF,44.61567937,47.97230405
2010,211,372.3081049,310.2504248
2010,212,134.294807,122.5519868
2010,213,108.0966418,90.07869719
2010,22,521.7351234,484.3502015
2010,23,1283.534208,1072.812018
2010,321,75.95568984,74.19156597
2010,327,98.18665945,95.87725762
2010,331,219.2196415,252.4715087
2010,332,288.5056647,310.3419818
2010,333,265.7044039,333.6215223
2010,334,288.2842108,349.1128872
2010,335,97.28449514,113.7506109
2010,3361MV,541.2778415,450.373889
2010,3364OT,215.0576246,258.369358
2010,337,48.61401968,59.88056791
2010,339,127.2689785,165.57078
2010,311FT,862.5177269,901.9630011
2010,313TT,48.09307833,54.22248795
2010,315AL,8.040260374,24.45383947
2010,322,168.7214862,175.7695379
2010,323,84.381106,85.58333584
2010,324,981.5776618,794.8962343
2010,325,928.7599468,789.840828
2010,326,192.3664214,203.1143406
2010,42,1364.987502,1431.256907
2010,441,201.8528299,203.930149
2010,445,214.8017396,215.2000665
2010,452,231.5868505,231.4790434
2010,4A0,720.0302441,711.8769266
2010,481,178.3287165,183.2040915
2010,482,73.49445612,74.83133139
2010,483,47.37025843,47.2954469
2010,484,264.2669449,274.2471601
2010,485,48.03030021,48.13693776
2010,486,35.27050569,33.19677558
2010,487OS,179.5069419,182.0347979
2010,493,84.32415641,85.26549403
2010,511,393.5799273,288.8876666
2010,512,151.1986331,132.338888
2010,513,746.7247181,692.5783474
2010,514,164.085933,163.9690117
2010,521CI,724.8217334,723.1898399
2010,523,495.7804391,496.4579255
2010,524,675.5175229,679.690766
2010,525,118.6423362,118.6887055
2010,HS,1709.351405,1709.351405
2010,ORE,858.7591986,813.7397603
2010,532RL,279.3673913,277.3149204
2010,5411,316.8787914,305.5937754
2010,5415,263.8699446,304.0280435
2010,5412OP,974.7321925,1055.164244
2010,55,428.7504324,429.75256
2010,561,601.3797314,601.835638
2010,562,87.1596824,86.06860898
2010,61,305.4903726,308.004095
2010,621,825.7607557,825.6834837
2010,622,660.4571422,660.9254589
2010,623,202.7532115,202.752989
2010,624,170.0680398,170.038702
2010,711AS,135.9738345,138.1331143
2010,713,117.74286,117.744059
2010,721,194.9445181,195.0397039
2010,722,573.9465769,574.4082853
2010,81,560.697872,560.2502366
2010,GFGD,701.5641285,703.4826768
2010,GFGN,385.1985818,386.3430023
2010,GFE,100.1328506,99.90879426
2010,GSLG,2015.243493,2017.489888
2010,GSLE,289.671481,280.1599134
2011,111CA,400.0790196,398.7032071
2011,113FF,48.31322537,49.85670241
2011,211,586.1197867,338.9433348
2011,212,153.0488052,131.1202909
2011,213,290.376489,102.0075197
2011,22,512.1680458,465.8249772
2011,23,994.3752005,1046.056824
2011,321,74.59197118,75.24390211
2011,327,92.93774705,96.30291717
2011,331,252.7743336,271.4797559
2011,332,316.190116,331.4110827
2011,333,344.2164945,377.0353514
2011,334,313.0838292,357.1258249
2011,335,105.575489,120.0001713
2011,3361MV,496.0501027,508.659353
2011,3364OT,292.9611168,262.9648768
2011,337,48.35120967,58.73263825
2011,339,140.609676,164.2295121
2011,311FT,883.1962739,887.9799837
2011,313TT,50.22171278,53.04934453
2011,315AL,14.96389078,25.50676976
2011,322,175.3835632,176.1601432
2011,323,85.87286342,84.6510011
2011,324,1034.095044,826.1336318
2011,325,855.8255808,784.2614949
2011,326,200.3458754,206.0256866
2011,42,1551.985371,1568.324004
2011,441,198.981673,200.4171631
2011,445,212.2731135,212.3239302
2011,452,230.0520478,230.402262
2011,4A0,728.4086549,732.0315603
2011,481,199.2868652,203.6993295
2011,482,80.2092041,79.14806081
2011,483,48.62053011,48.13883694
2011,484,285.4348587,287.2535148
2011,485,50.00001719,50.06238943
