vincolo,duale,famiglia
"bilancio[111CA,2010]",-9.671796221e-06,bilancio
"bilancio[113FF,2010]",-2.29510416e-05,bilancio
"bilancio[211,2010]",-7.59483531e-06,bilancio
"bilancio[212,2010]",-7.651385422e-06,bilancio
"bilancio[213,2010]",-1.761624177e-05,bilancio
"bilancio[22,2010]",-9.263075186e-06,bilancio
"bilancio[23,2010]",-1.710295265e-05,bilancio
"bilancio[321,2010]",-1.954428647e-05,bilancio
"bilancio[327,2010]",-1.45898941e-05,bilancio
"bilancio[331,2010]",-1.047306986e-05,bilancio
"bilancio[332,2010]",-1.530959245e-05,bilancio
"bilancio[333,2010]",-1.31731123e-05,bilancio
"bilancio[334,2010]",-1.073978838e-05,bilancio
"bilancio[335,2010]",-1.240410255e-05,bilancio
"bilancio[3361MV,2010]",-1.211452924e-05,bilancio
"bilancio[3364OT,2010]",-1.124902091e-05,bilancio
"bilancio[337,2010]",-1.986971495e-05,bilancio
"bilancio[339,2010]",-1.287447351e-05,bilancio
"bilancio[311FT,2010]",-1.210281726e-05,bilancio
"bilancio[313TT,2010]",-1.615920644e-05,bilancio
"bilancio[315AL,2010]",-2.212359835e-05,bilancio
"bilancio[322,2010]",-1.27761312e-05,bilancio
"bilancio[323,2010]",-1.855827638e-05,bilancio
"bilancio[324,2010]",-5.297744007e-06,bilancio
"bilancio[325,2010]",-7.59483531e-06,bilancio
"bilancio[326,2010]",-1.321507615e-05,bilancio
"bilancio[42,2010]",-1.262635849e-05,bilancio
"bilancio[441,2010]",-1.820927828e-05,bilancio
"bilancio[445,2010]",-2.745523276e-05,bilancio
"bilancio[452,2010]",-2.779240815e-05,bilancio
"bilancio[4A0,2010]",-2.247234448e-05,bilancio
"bilancio[481,2010]",-1.008923059e-05,bilancio
"bilancio[482,2010]",-1.036876405e-05,bilancio
"bilancio[483,2010]",-1.199590623e-05,bilancio
"bilancio[484,2010]",-1.701623951e-05,bilancio
"bilancio[485,2010]",-2.023338189e-05,bilancio
"bilancio[486,2010]",-7.644932219e-06,bilancio
"bilancio[487OS,2010]",-1.814448042e-05,bilancio
"bilancio[493,2010]",-2.146873946e-05,bilancio
