anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2010,28303.63913,10839.19841,3298.316228,825.4094967,498.0076493,585.3542968,655.5426572,2564.3141,2707.95281,2020.103644,544.2104559,-237.2737105,1600.844595,2131.091685,0,1.003313916,16077.94664,14057.843,3218.644592
2011,29007.39551,10969.47141,3204.017473,841.2744249,503.5652935,597.3742748,667.0169493,2609.230942,2726.017172,2133.492295,475.7386476,16.55041707,1737.959754,2281.33261,0,1.015372439,16372.68362,14239.19133,3269.719913
2012,29952.93418,11382.37368,3142.018,851.7377596,508.9813866,598.8365026,678.7001027,2638.255751,2748.324928,2382.54438,255.7113716,76.16168926,1789.203,2359.7,0,1.053592109,16778.38129,14395.83691,3013.463238
2013,30758.66759,11819.95531,3066.668636,861.2522141,513.6814562,542.7145881,690.5959192,2608.244178,2701.027557,2410.77351,197.4706677,70.0538496,1813.000954,2314.001983,0,1.094096188,17156.70432,14745.93081,2925.975504
2014,31715.15123,12306.0754,3043.148649,869.6145736,517.7082355,474.9675221,702.7082699,2564.998601,2706.388651,2180.389076,384.6095255,85.46418139,1861.772477,2400.943252,0,1.139093154,17601.9061,15421.51703,3115.44163
2015,32211.99887,12869.53688,3099.013496,878.1671274,521.095834,462.6469616,715.0410962,2576.951019,2707.925338,2097.652478,479.298541,56.46687138,1786.331162,2449.018461,0,1.191249109,18070.25528,15972.6028,3103.065928
2016,32848.05366,13190.21533,3153.230443,885.5143894,523.8870942,481.6354419,727.5984114,2618.635337,2733.29901,2113.533267,505.1020697,60.74470207,1792.891133,2422.09463,0,1.220932222,18508.28598,16394.75272,3204.537391
2017,33738.99504,13570.08302,3174.345219,891.3109523,526.3386784,511.2853224,740.3843016,2669.319255,2790.061004,2191.200739,478.1185153,82.39833522,1869.897522,2503.170818,0,1.256094098,18983.61428,16792.41355,3222.330522
2018,34677.46343,13990.72978,3247.706474,895.3505395,528.3414488,594.9983013,753.4029276,2772.093217,2752.225602,2284.833105,487.2601118,167.0792361,1924.276746,2597.656693,0,1.295030625,19484.36114,17199.52804,3208.798259
2019,34906.04596,14590.25434,3372.528694,897.3275832,529.8892243,628.8863526,766.6585258,2822.761686,2530.537641,2415.209779,407.5519073,-79.16443221,1937.66587,2611.710152,0,1.350524704,19740.11196,17324.90218,2734.647842
