vincolo,duale,famiglia
"bilancio[111CA,2010]",-1.310382574e-05,bilancio
"bilancio[113FF,2010]",-3.10954108e-05,bilancio
"bilancio[211,2010]",-1.029162147e-05,bilancio
"bilancio[212,2010]",-1.036793393e-05,bilancio
"bilancio[213,2010]",-2.403301688e-05,bilancio
"bilancio[22,2010]",-1.254699128e-05,bilancio
"bilancio[23,2010]",-2.302087177e-05,bilancio
"bilancio[321,2010]",-2.648134979e-05,bilancio
"bilancio[327,2010]",-1.976869904e-05,bilancio
"bilancio[331,2010]",-1.41912516e-05,bilancio
"bilancio[332,2010]",-2.074499453e-05,bilancio
"bilancio[333,2010]",-1.785001526e-05,bilancio
"bilancio[334,2010]",-1.455359541e-05,bilancio
"bilancio[335,2010]",-1.680740448e-05,bilancio
"bilancio[3361MV,2010]",-1.641575964e-05,bilancio
"bilancio[3364OT,2010]",-1.524370971e-05,bilancio
"bilancio[337,2010]",-2.692289815e-05,bilancio
"bilancio[339,2010]",-1.744620229e-05,bilancio
"bilancio[311FT,2010]",-1.639889601e-05,bilancio
"bilancio[313TT,2010]",-2.189477494e-05,bilancio
"bilancio[315AL,2010]",-2.997627924e-05,bilancio
"bilancio[322,2010]",-1.731090409e-05,bilancio
"bilancio[323,2010]",-2.517039521e-05,bilancio
"bilancio[324,2010]",-7.177935105e-06,bilancio
"bilancio[325,2010]",-1.029162147e-05,bilancio
"bilancio[326,2010]",-1.79060488e-05,bilancio
"bilancio[42,2010]",-1.711448463e-05,bilancio
"bilancio[441,2010]",-2.467256314e-05,bilancio
"bilancio[445,2010]",-3.719825596e-05,bilancio
"bilancio[452,2010]",-3.765605908e-05,bilancio
"bilancio[4A0,2010]",-3.044934153e-05,bilancio
"bilancio[481,2010]",-1.367003669e-05,bilancio
"bilancio[482,2010]",-1.404796563e-05,bilancio
"bilancio[483,2010]",-1.625654243e-05,bilancio
"bilancio[484,2010]",-2.305504219e-05,bilancio
"bilancio[485,2010]",-2.740882804e-05,bilancio
"bilancio[486,2010]",-1.035569386e-05,bilancio
"bilancio[487OS,2010]",-2.458210694e-05,bilancio
"bilancio[493,2010]",-2.908619249e-05,bilancio
"bilancio[511,2010]",-1.854708604e-05,bilancio
"bilancio[512,2010]",-1.120165746e-05,bilancio
"bilancio[513,2010]",-1.181819924e-05,bilancio
"bilancio[514,2010]",-1.423970506e-05,bilancio
"bilancio[521CI,2010]",-1.703339955e-05,bilancio
"bilancio[523,2010]",-1.403100504e-05,bilancio
"bilancio[524,2010]",-1.644300056e-05,bilancio
"bilancio[525,2010]",-1.624613706e-05,bilancio
"bilancio[HS,2010]",-4.62817396e-05,bilancio
"bilancio[ORE,2010]",-1.71552288e-05,bilancio
"bilancio[532RL,2010]",-1.457579952e-05,bilancio
"bilancio[5411,2010]",-1.536741104e-05,bilancio
"bilancio[5415,2010]",-2.026351746e-05,bilancio
"bilancio[5412OP,2010]",-1.910126633e-05,bilancio
"bilancio[55,2010]",-1.829182312e-05,bilancio
"bilancio[561,2010]",-3.681734706e-05,bilancio
"bilancio[562,2010]",-2.016147799e-05,bilancio
"bilancio[61,2010]",-3.026688242e-05,bilancio
"bilancio[621,2010]",-2.506074743e-05,bilancio
"bilancio[622,2010]",-2.673286846e-05,bilancio
