anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2010,27882.96829,10802.44719,3298.316228,787.641367,397.7260542,589.2146946,382.9823414,2157.564457,2295.120018,2020.103644,137.4608133,30.83405127,1600.844595,2131.091685,25.22290638,0.9999120961,15921.69331,13901.58966,3099.142468
2011,28502.45711,10931.38764,3204.017473,889.147231,411.1623063,625.6788907,382.3305865,2308.319015,2426.573812,2037.467429,270.8515856,12.46253186,1737.959754,2281.33261,35.23460341,1.011847272,16066.3032,14028.83577,3097.448136
2012,29249.34649,11063.8866,3142.018,979.968,461.451,655.7560887,432.014,2529.189089,2649.795587,2082.660298,446.5287905,41.27500524,1789.203,2359.7,29.07155387,1.024111837,16355.54975,14272.88945,3209.002847
2013,29902.5213,11221.20042,3066.668636,1040.300973,467.9064184,697.4134587,486.640999,2692.261849,2801.886356,2146.239855,546.021994,77.08229681,1813.000954,2314.001983,25.36594493,1.038673352,16691.20263,14544.96277,3323.76235
2014,30741.60177,11484.17542,3043.148649,1120.873071,519.2634825,736.3419464,508.1175307,2884.59603,3011.469661,2219.573504,665.0225269,-13.97826601,1861.772477,2400.943252,85.82490992,1.063015233,17071.4696,14851.89609,3367.720674
2015,31448.75707,11871.08545,3099.013496,1162.908228,515.2763645,771.8410725,562.3000943,3012.325759,3133.907347,2304.588747,707.7370124,91.46243786,1786.331162,2449.018461,59.15670897,1.098828972,17591.93815,15287.3494,3416.263944
2016,32024.67723,12189.32445,3153.230443,1160.192463,494.6857711,845.5307864,602.4324513,3102.841472,3213.322113,2389.59059,713.2508816,-11.88385508,1792.891133,2422.09463,57.17591701,1.128286281,17971.96557,15582.37498,3393.050531
2017,32790.47246,12449.46675,3174.345219,1217.722438,505.3221883,902.5941762,629.0185563,3254.657359,3363.880268,2480.001206,774.6561525,-2.674033662,1869.897522,2503.170818,45.82939045,1.152365956,18397.5743,15917.57309,3468.106341
2018,33792.05819,12713.07362,3247.706474,1277.112406,541.3342036,984.9626808,627.4769191,3430.886209,3540.192361,2578.422872,852.4633378,28.92807795,1924.276746,2597.656693,30.60943514,1.176766326,18887.13002,16308.70715,3595.633529
2019,34395.68658,12934.15513,3372.528694,1294.274697,552.0009372,1064.490259,622.2039545,3532.969848,3613.921401,2693.647832,839.3220154,48.6623313,1937.66587,2611.710152,27.42391372,1.197230399,19322.64719,16628.99936,3694.844227
