anno,industria,tipo,I
2010,111CA,E,32.15991066
2010,111CA,S,6.446635963
2010,111CA,N,0.03566666667
2010,113FF,E,6.163914682
2010,113FF,S,0.8154724816
2010,113FF,N,0.094410299
2010,211,E,8.746630035
2010,211,S,108.0681733
2010,211,N,2.231901796
2010,212,E,7.05355994
2010,212,S,8.212140726
2010,212,N,0.2924427667
2010,213,E,11.27101556
2010,213,S,2.862732664
2010,213,N,0.6300898059
2010,22,E,48.51172316
2010,22,S,54.46807568
2010,22,N,4.292037119
2010,23,E,25.78876314
2010,23,S,2.025833044
2010,23,N,1.535669906
2010,311FT,E,16.11122777
2010,311FT,S,3.104843556
2010,311FT,N,5.184476366
2010,313TT,E,0.9883137311
2010,313TT,S,0.1287136564
2010,313TT,N,0.5250878788
2010,315AL,E,0.2643689526
2010,315AL,S,0.04137301587
2010,315AL,N,0.4705882966
2010,321,E,1.774894492
2010,321,S,0.247162413
2010,321,N,0.1543668737
2010,322,E,6.022407633
2010,322,S,0.6055197301
2010,322,N,1.628525023
2010,323,E,2.111068198
2010,323,S,0.165797619
2010,323,N,1.125670961
2010,324,E,11.82648223
2010,324,S,1.471799852
2010,324,N,7.613631775
2010,325,E,16.4961279
2010,325,S,3.832909898
2010,325,N,73.31882388
2010,326,E,5.890436516
2010,326,S,0.5538299935
2010,326,N,2.589444674
2010,327,E,3.287009029
2010,327,S,0.3941606218
2010,327,N,3.015066095
2010,331,E,7.453838436
2010,331,S,0.8840125492
2010,331,N,2.450273848
2010,332,E,8.12741828
2010,332,S,0.9510310947
2010,332,N,3.666702739
2010,333,E,8.883833732
2010,333,S,1.399891696
2010,333,N,10.37523341
2010,334,E,18.34785777
2010,334,S,3.485724458
2010,334,N,70.95513109
2010,335,E,2.388712518
2010,335,S,0.450537415
2010,335,N,3.877869885
2010,3361MV,E,14.91518392
2010,3361MV,S,1.987423791
2010,3361MV,N,13.72074823
2010,3364OT,E,5.058158165
2010,3364OT,S,1.987455535
2010,3364OT,N,14.86734753
2010,337,E,0.8373409687
2010,337,S,0.1392439024
2010,337,N,0.5570878492
2010,339,E,4.704070409
2010,339,S,0.6978331697
2010,339,N,6.046185097
2010,42,E,32.52414362
2010,42,S,7.074134302
2010,42,N,16.68358924
2010,441,E,3.763987637
2010,441,S,1.649366342
2010,441,N,0.930025646
2010,445,E,9.708619354
2010,445,S,1.951986087
2010,445,N,1.44275054
2010,452,E,5.090151978
2010,452,S,5.724189881
2010,452,N,2.105732943
2010,481,E,12.13163626
2010,481,S,0.2287210915
2010,481,N,0.5959959065
2010,482,E,3.077861574
2010,482,S,8.973559797
2010,482,N,0.3570719278
2010,483,E,3.536700643
2010,483,S,0.1482474041
2010,483,N,0.1315713495
2010,484,E,14.0559905
2010,484,S,0.3875173014
2010,484,N,0.3294886134
2010,485,E,2.415575281
2010,485,S,0.3144458421
2010,485,N,0.2051979167
2010,486,E,3.598286091
2010,486,S,8.801914015
2010,486,N,0.3723118466
2010,487OS,E,4.189109915
2010,487OS,S,1.25916021
2010,487OS,N,0.7099525584
2010,493,E,1.295187545
2010,493,S,1.41482497
2010,493,N,0.2433181535
2010,4A0,E,23.53392314
2010,4A0,S,7.37564453
2010,4A0,N,7.356910863
2010,511,E,6.194742827
2010,511,S,1.270178056
2010,511,N,49.4243026
2010,512,E,2.46624707
2010,512,S,0.737236306
2010,512,N,31.18957234
2010,513,E,61.95546389
2010,513,S,19.3870184
2010,513,N,35.95295386
2010,514,E,11.8354217
2010,514,S,3.698434783
2010,514,N,19.74729671
2010,521CI,E,54.6433509
2010,521CI,S,6.041681828
2010,521CI,N,14.46837667
2010,523,E,7.335098235
2010,523,S,2.166070468
2010,523,N,10.41283823
2010,524,E,7.131550038
2010,524,S,1.614036938
2010,524,N,17.99973949
2010,525,E,0.1911620491
2010,525,S,0.2770104895
2010,525,N,0.3504267143
2010,532RL,E,50.01962097
2010,532RL,S,0.5194874063
2010,532RL,N,0.5773306254
2010,5411,E,3.036181269
2010,5411,S,0.2574620932
2010,5411,N,1.562813699
2010,5412OP,E,24.60050773
2010,5412OP,S,5.405245665
2010,5412OP,N,55.92147651
2010,5415,E,8.881862751
2010,5415,S,0.6933788546
2010,5415,N,18.91755895
2010,55,E,7.359229484
2010,55,S,2.754921627
2010,55,N,18.4139504
2010,561,E,15.35607977
2010,561,S,1.927986416
2010,561,N,13.79004488
2010,562,E,3.777942734
2010,562,S,0.9381123054
2010,562,N,0.2299309215
2010,61,E,9.849182045
2010,61,S,13.91143164
2010,61,N,8.216245874
2010,621,E,29.49097229
2010,621,S,4.420164288
2010,621,N,3.554776934
2010,622,E,35.44627534
2010,622,S,25.6095818
2010,622,N,6.147111694
2010,623,E,3.264262433
2010,623,S,3.015806153
2010,623,N,0.5449793273
2010,624,E,2.08613924
2010,624,S,1.087941241
2010,624,N,0.4333514745
2010,711AS,E,3.198821705
2010,711AS,S,2.823742593
2010,711AS,N,8.05720976
2010,713,E,4.682563245
2010,713,S,5.537035233
2010,713,N,0.3721030376
2010,721,E,4.32333221
2010,721,S,8.744043891
2010,721,N,0.6848174717
2010,722,E,9.004059075
2010,722,S,2.590680211
2010,722,N,0.4335230103
2010,81,E,14.05692034
2010,81,S,9.633933451
2010,81,N,6.842306962
2010,ORE,E,13.34893634
2010,ORE,S,21.93139246
2010,ORE,N,2.251259115
2010,HS,R,382.9823414
2011,111CA,E,36.56264626
2011,111CA,S,7.605135412
2011,111CA,N,0.04138461538
2011,113FF,E,5.796371846
2011,113FF,S,0.5172093561
2011,113FF,N,0.07742524917
2011,211,E,9.018601263
2011,211,S,130.9216861
2011,211,N,2.470933581
2011,212,E,10.19610639
2011,212,S,11.94499285
2011,212,N,0.3943927651
2011,213,E,17.5037444
2011,213,S,4.548121249
2011,213,N,1.045179037
2011,22,E,55.05940261
2011,22,S,51.6029045
2011,22,N,4.679361842
2011,23,E,29.21259555
2011,23,S,2.141168161
2011,23,N,2.093328018
2011,311FT,E,16.85653907
2011,311FT,S,3.5558957
2011,311FT,N,5.632927259
2011,313TT,E,1.126012301
2011,313TT,S,0.1359030837
2011,313TT,N,0.5807242424
2011,315AL,E,0.379871074
2011,315AL,S,0.04146825397
2011,315AL,N,0.5525173407
2011,321,E,1.858865382
2011,321,S,0.2208561485
2011,321,N,0.1530060041
2011,322,E,6.719134861
2011,322,S,0.719358209
2011,322,N,1.74325649
2011,323,E,2.997312841
2011,323,S,0.2185595238
2011,323,N,1.368703508
2011,324,E,9.106557233
2011,324,S,1.747318104
2011,324,N,8.11449436
2011,325,E,22.12134829
2011,325,S,2.865023727
2011,325,N,68.33294942
2011,326,E,6.492960023
2011,326,S,0.7025171299
2011,326,N,2.793343412
2011,327,E,3.376427632
2011,327,S,0.5699512953
2011,327,N,3.383607926
2011,331,E,8.083583724
2011,331,S,1.237141471
2011,331,N,2.733631422
2011,332,E,10.94536631
2011,332,S,1.202547418
2011,332,N,4.182113007
2011,333,E,12.56727104
2011,333,S,1.850523023
2011,333,N,12.07481499
2011,334,E,25.57162693
2011,334,S,4.409639793
2011,334,N,75.90924529
2011,335,E,2.555963375
2011,335,S,0.500144094
2011,335,N,4.254161779
2011,3361MV,E,16.3738082
2011,3361MV,S,1.929758073
2011,3361MV,N,15.37688182
2011,3364OT,E,6.360150306
2011,3364OT,S,1.562360292
2011,3364OT,N,13.70483426
2011,337,E,0.9695321718
2011,337,S,0.1412439024
2011,337,N,0.6245671786
2011,339,E,5.121468208
2011,339,S,0.9258775149
2011,339,N,6.823815861
2011,42,E,39.48823996
2011,42,S,7.785894479
2011,42,N,19.89615869
2011,441,E,4.673717778
2011,441,S,1.803459381
2011,441,N,1.036956086
2011,445,E,7.922804485
2011,445,S,2.338015004
