anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2010,27862.8953,11587.26276,3298.316228,217.004642,458.863832,100.6382062,1063.329051,1839.835732,1942.527737,2020.103644,-180.2679124,-364.770713,1600.844595,2131.091685,0,1.072557355,15933.08892,13912.98527,2325.722516
2011,29074.11247,11846.00451,3204.017473,226.9541479,649.648337,297.6470196,286.191737,1460.441241,1509.2404,1831.328186,-370.8869444,276.9875188,1737.959754,2281.33261,0,1.096507392,16292.87704,14461.54886,2615.544351
2012,29602.28251,11967.89572,3142.018,526.152476,324.9405714,437.9325928,694.0330105,1983.058651,2051.726106,1752.682626,230.3760243,-67.96252713,1789.203,2359.7,0,1.107790066,16523.18029,14770.49767,2802.601953
2013,30301.63938,12166.0404,3066.668636,414.7907072,382.2034903,643.4375452,609.3101209,2049.741864,2104.641722,1778.220789,271.5210746,52.96341416,1813.000954,2314.001983,0,1.126131027,16889.31314,15111.09235,2945.051955
2014,31081.06443,12589.47282,3043.148649,488.3771197,293.8024704,601.3467318,654.5001862,2038.026508,2089.845015,1843.914888,194.1116202,93.80715625,1861.772477,2400.943252,0,1.165325405,17277.10286,15433.18797,2843.715157
2015,31603.65475,13368.01846,3099.013496,685.1205082,233.1385416,681.2853435,375.213655,1974.758048,1990.927098,1889.883894,84.87415459,20.66364755,1786.331162,2449.018461,0,1.237390299,17815.93541,15926.05151,2558.033049
2016,32239.93977,13817.91368,3153.230443,704.3826817,113.006924,765.8431657,254.0722751,1837.305046,1820.550347,1963.288919,-125.9838726,99.23210241,1792.891133,2422.09463,0,1.279034166,18261.72308,16298.43416,2480.520477
2017,32906.97668,14150.77379,3174.345219,659.0059775,139.4829552,1139.480504,37.14221532,1975.111652,1926.822198,2055.102947,-79.99129514,47.04113851,1869.897522,2503.170818,0,1.309844855,18665.70905,16610.6061,2459.832312
2018,34074.06952,14398.97287,3247.706474,452.6186839,536.2082436,1100.091217,0,2088.918145,2019.549378,2257.502776,-168.5846316,228.9210491,1924.276746,2597.656693,0,1.332819026,19221.76983,16964.26705,2565.294178
2019,34493.26963,14883.83497,3372.528694,1764.443294,536.6607731,211.8517279,0,2512.955795,1909.052916,2368.124013,144.8317822,0.1007391963,1937.66587,2611.710152,0,1.377699549,19491.47304,17123.34903,2239.514055
