anno,industria,x,x_oss
2010,111CA,415.6732562,410.635968
2010,113FF,45.63214763,47.97230405
2010,211,299.6072518,310.2504248
2010,212,127.7605197,122.5519868
2010,213,105.8917287,90.07869719
2010,22,528.6082097,484.3502015
2010,23,1603.794729,1072.812018
2010,321,84.89177584,74.19156597
2010,327,106.0076269,95.87725762
2010,331,185.0086322,252.4715087
2010,332,278.3852881,310.3419818
2010,333,189.7893891,333.6215223
2010,334,279.1526551,349.1128872
2010,335,103.4266248,113.7506109
2010,3361MV,268.3576174,450.373889
2010,3364OT,185.1247715,258.369358
2010,337,50.65140848,59.88056791
2010,339,142.3970598,165.57078
2010,311FT,915.7981728,901.9630011
2010,313TT,48.18981905,54.22248795
2010,315AL,6.593339176,24.45383947
2010,322,166.6784094,175.7695379
2010,323,77.79710941,85.58333584
2010,324,911.0105693,794.8962343
2010,325,738.6602743,789.840828
2010,326,186.8700954,203.1143406
2010,42,1350.131148,1431.256907
2010,441,194.814149,203.930149
2010,445,215.4073469,215.2000665
2010,452,231.4184081,231.4790434
2010,4A0,726.5560854,711.8769266
2010,481,193.9805718,183.2040915
2010,482,72.10920243,74.83133139
2010,483,50.20750204,47.2954469
2010,484,250.7382886,274.2471601
2010,485,48.03881025,48.13693776
2010,486,33.14499255,33.19677558
2010,487OS,177.0609135,182.0347979
2010,493,82.95824381,85.26549403
2010,511,246.3673196,288.8876666
2010,512,130.9049981,132.338888
2010,513,717.0946778,692.5783474
2010,514,147.7954322,163.9690117
2010,521CI,775.7145059,723.1898399
2010,523,549.2759701,496.4579255
2010,524,761.0094815,679.690766
2010,525,141.7264386,118.6887055
2010,HS,1743.514628,1709.351405
2010,ORE,949.5186148,813.7397603
2010,532RL,288.036824,277.3149204
2010,5411,353.4779093,305.5937754
2010,5415,200.2537545,304.0280435
2010,5412OP,842.8515575,1055.164244
2010,55,402.2860978,429.75256
2010,561,596.5700611,601.835638
2010,562,87.50755639,86.06860898
2010,61,302.0075204,308.004095
2010,621,825.8898263,825.6834837
2010,622,659.9545629,660.9254589
2010,623,202.7591977,202.752989
2010,624,170.1096973,170.038702
2010,711AS,148.8488378,138.1331143
2010,713,117.783561,117.744059
2010,721,195.1543409,195.0397039
2010,722,574.6395227,574.4082853
2010,81,561.2604921,560.2502366
2010,GFGD,698.458937,703.4826768
2010,GFGN,382.8782206,386.3430023
2010,GFE,100.7071111,99.90879426
2010,GSLG,2016.932682,2017.489888
2010,GSLE,293.280816,280.1599134
2011,111CA,454.5410246,398.7032071
2011,113FF,52.76524641,49.85670241
2011,211,393.0542364,338.9433348
2011,212,136.8894751,131.1202909
2011,213,96.8955549,102.0075197
2011,22,508.8512037,465.8249772
2011,23,1220.033389,1046.056824
2011,321,79.42586752,75.24390211
2011,327,103.6919029,96.30291717
2011,331,253.2219557,271.4797559
2011,332,325.211962,331.4110827
2011,333,268.6572474,377.0353514
2011,334,287.6681231,357.1258249
2011,335,108.5123508,120.0001713
2011,3361MV,460.6261255,508.659353
2011,3364OT,244.8808295,262.9648768
2011,337,48.27521891,58.73263825
2011,339,154.667801,164.2295121
2011,311FT,1020.296109,887.9799837
2011,313TT,53.85636745,53.04934453
2011,315AL,18.11771866,25.50676976
2011,322,182.6149735,176.1601432
2011,323,81.64812268,84.6510011
2011,324,1048.544628,826.1336318
2011,325,827.4635687,784.2614949
2011,326,210.9182115,206.0256866
2011,42,1569.272174,1568.324004
2011,441,193.0457539,200.4171631
2011,445,213.5966409,212.3239302
2011,452,229.7479008,230.402262
2011,4A0,722.5498545,732.0315603
2011,481,216.5776733,203.6993295
2011,482,82.52861714,79.14806081
2011,483,51.91960987,48.13883694
2011,484,283.0850969,287.2535148
2011,485,50.03950022,50.06238943
2011,486,42.40570143,35.64376506
2011,487OS,186.8532121,185.1248499
2011,493,94.68602575,95.6336742
2011,511,290.7550364,297.0505292
2011,512,158.8651421,131.2464387
2011,513,748.8704205,714.725948
2011,514,179.244693,189.4518897
2011,521CI,774.0619479,717.0025217
2011,523,524.901947,467.7634456
2011,524,813.2487142,736.4327988
2011,525,145.3439885,121.7599658
2011,HS,1815.102754,1722.491859
2011,ORE,824.683697,829.3992038
2011,532RL,302.5020118,289.0748767
2011,5411,322.7763528,306.9022026
2011,5415,262.4839063,329.001204
2011,5412OP,915.3914627,1097.080217
2011,55,443.9700024,450.2351811
2011,561,626.0228782,635.0897946
2011,562,85.53177347,84.54366441
2011,61,309.50808,314.3741475
2011,621,844.1696108,844.3196697
2011,622,679.2689962,680.613136
2011,623,204.8798559,204.8857365
2011,624,167.9442702,167.932696
2011,711AS,152.9772216,139.4718213
2011,713,118.8348131,118.8989106
2011,721,204.6083707,204.5294087
2011,722,596.3996488,596.8380964
2011,81,561.7936653,561.1668861
2011,GFGD,691.4248561,695.6493049
2011,GFGN,366.9058469,369.4600803
2011,GFE,97.74163632,95.35480452
2011,GSLG,1969.394462,1971.467636
2011,GSLE,296.8674324,285.9603986
2012,111CA,458.7819323,404.166
