anno,produzione_lorda,consumo_privato,consumo_pubblico_e_inv_pubblici,investimento_E,investimento_S,investimento_N,investimento_R,investimento_totale_FA,domanda_di_prodotti_per_investimento,ammortamento,investimento_netto,variazione_scorte,esportazioni,importazioni,residuo_materiale,gamma,prodotto_finale_lordo,prodotto_netto,surplus_economico
2010,28048.83593,11639.391,3298.316228,54.9003819,26.85228197,3.76947856,1258.509877,1344.032019,1403.346163,2020.103644,-676.0716247,99.81316371,1600.844595,2131.091685,0,1.077382527,15910.61946,13890.51582,2251.124819
2011,28770.74186,11853.70645,3204.017473,197.359218,307.1257857,49.36175873,1051.650904,1605.497667,1649.838455,1762.898406,-157.4007388,-20.79028989,1737.959754,2281.33261,0,1.097220311,16143.39923,14380.50083,2526.794377
2012,29505.07806,12074.52765,3142.018,500.5895094,318.0580956,243.8455993,991.1385949,2053.631799,2121.875218,1631.290889,422.3409103,-267.7868312,1789.203,2359.7,0,1.117660289,16500.13704,14868.84615,2794.318498
2013,30104.9096,12488.66389,3066.668636,297.0956103,507.3321263,421.2636093,458.5418185,1684.233164,1732.346394,1636.404144,47.82902028,69.58400782,1813.000954,2314.001983,0,1.155994181,16856.2619,15219.85776,2731.193865
2014,30694.18601,13081.83213,3043.148649,414.8959977,520.95488,369.2706119,145.8994353,1451.020925,1484.523618,1661.678973,-210.6580484,83.82730127,1861.772477,2400.943252,0,1.210899896,17154.16092,15492.48194,2410.649819
2015,31401.0358,13638.38323,3099.013496,660.4995841,324.3736477,354.9529017,167.5475751,1507.373709,1539.003863,1677.099675,-169.7259661,78.52596714,1786.331162,2449.018461,0,1.262416203,17692.23926,16015.13959,2376.756352
2016,32067.27666,13958.44446,3153.230443,617.241249,346.8791081,579.3179622,0,1543.438319,1553.706454,1712.629169,-169.1908497,103.4872024,1792.891133,2422.09463,0,1.292042184,18139.66507,16427.0359,2468.591433
2017,32995.31324,14206.07174,3174.345219,551.3011259,93.51338159,867.2660218,0,1512.080529,1487.066508,1782.532778,-270.4522485,394.0485299,1869.897522,2503.170818,0,1.314963426,18628.2587,16845.72592,2639.654183
2018,33905.47278,14474.54273,3247.706474,527.1790415,694.6881758,811.5998817,0,2033.467099,1981.53363,1934.717681,98.7494179,102.8752664,1924.276746,2597.656693,0,1.339814035,19133.27816,17198.56047,2724.017742
2019,34660.52384,14828.30629,3372.528694,1937.62312,455.1631579,757.7253221,0,3150.5116,2412.965941,2065.931473,1084.580128,-252.0796483,1937.66587,2611.710152,0,1.372559621,19687.677,17621.74552,2793.439232
