vincolo,duale,famiglia
"bilancio[111CA,2010]",7.160721154e-05,bilancio
"bilancio[113FF,2010]",9.256347921e-05,bilancio
"bilancio[211,2010]",-0,bilancio
"bilancio[212,2010]",-0,bilancio
"bilancio[213,2010]",5.110591449e-05,bilancio
"bilancio[22,2010]",6.188420079e-05,bilancio
"bilancio[23,2010]",8.662518297e-05,bilancio
"bilancio[321,2010]",2.426365426e-05,bilancio
"bilancio[327,2010]",7.95024177e-05,bilancio
"bilancio[331,2010]",-0,bilancio
"bilancio[332,2010]",6.574071627e-05,bilancio
"bilancio[333,2010]",-0,bilancio
"bilancio[334,2010]",-0,bilancio
"bilancio[335,2010]",-0,bilancio
"bilancio[3361MV,2010]",-0,bilancio
"bilancio[3364OT,2010]",-0,bilancio
"bilancio[337,2010]",2.135710196e-05,bilancio
"bilancio[339,2010]",-0,bilancio
"bilancio[311FT,2010]",3.408567932e-06,bilancio
"bilancio[313TT,2010]",9.308972082e-06,bilancio
"bilancio[315AL,2010]",3.626377015e-05,bilancio
"bilancio[322,2010]",-0,bilancio
"bilancio[323,2010]",8.583066013e-05,bilancio
"bilancio[324,2010]",-0,bilancio
"bilancio[325,2010]",-0,bilancio
"bilancio[326,2010]",-0,bilancio
"bilancio[42,2010]",4.649057223e-06,bilancio
"bilancio[441,2010]",2.720217705e-05,bilancio
"bilancio[445,2010]",6.193517057e-05,bilancio
"bilancio[452,2010]",5.86687215e-05,bilancio
"bilancio[4A0,2010]",9.256347921e-05,bilancio
"bilancio[481,2010]",-0,bilancio
"bilancio[482,2010]",-0,bilancio
"bilancio[483,2010]",-0,bilancio
"bilancio[484,2010]",1.324697831e-05,bilancio
"bilancio[485,2010]",9.256347921e-05,bilancio
"bilancio[486,2010]",-0,bilancio
"bilancio[487OS,2010]",2.362241134e-05,bilancio
"bilancio[493,2010]",4.241626612e-05,bilancio
"bilancio[511,2010]",6.795431649e-05,bilancio
"bilancio[512,2010]",7.059163076e-05,bilancio
"bilancio[513,2010]",-0,bilancio
"bilancio[514,2010]",5.805312494e-05,bilancio
"bilancio[521CI,2010]",7.613701472e-05,bilancio
"bilancio[523,2010]",2.588305565e-06,bilancio
"bilancio[524,2010]",9.256347921e-05,bilancio
"bilancio[525,2010]",-0,bilancio
"bilancio[HS,2010]",9.256347921e-05,bilancio
"bilancio[ORE,2010]",8.760390519e-05,bilancio
"bilancio[532RL,2010]",6.675538044e-05,bilancio
"bilancio[5411,2010]",3.708509006e-06,bilancio
"bilancio[5415,2010]",1.837836044e-05,bilancio
"bilancio[5412OP,2010]",1.695306572e-05,bilancio
"bilancio[55,2010]",9.847175698e-06,bilancio
"bilancio[561,2010]",9.256347921e-05,bilancio
"bilancio[562,2010]",7.480274695e-05,bilancio
"bilancio[61,2010]",4.361741675e-05,bilancio
"bilancio[621,2010]",2.702702719e-05,bilancio
"bilancio[622,2010]",3.04266461e-05,bilancio
"bilancio[623,2010]",8.750595027e-05,bilancio
"bilancio[624,2010]",9.256347921e-05,bilancio
"bilancio[711AS,2010]",7.914989338e-05,bilancio
"bilancio[713,2010]",9.256347921e-05,bilancio
"bilancio[721,2010]",9.256347921e-05,bilancio
"bilancio[722,2010]",9.256347921e-05,bilancio
"bilancio[81,2010]",4.746554521e-05,bilancio
"bilancio[GFGD,2010]",-0,bilancio
"bilancio[GFGN,2010]",1.610451649e-05,bilancio
"bilancio[GFE,2010]",2.451018015e-05,bilancio
"bilancio[GSLG,2010]",2.903732767e-05,bilancio
"bilancio[GSLE,2010]",8.949405893e-05,bilancio
"bilancio[111CA,2011]",6.373286653e-05,bilancio
"bilancio[113FF,2011]",9.051064261e-05,bilancio
"bilancio[211,2011]",5.612344705e-05,bilancio
"bilancio[212,2011]",-0,bilancio
"bilancio[213,2011]",5.669256708e-05,bilancio
"bilancio[22,2011]",4.486098055e-05,bilancio
"bilancio[23,2011]",9.517781483e-07,bilancio
"bilancio[321,2011]",5.357688802e-06,bilancio
"bilancio[327,2011]",-0,bilancio
"bilancio[331,2011]",-0,bilancio
"bilancio[332,2011]",-0,bilancio
"bilancio[333,2011]",-0,bilancio
"bilancio[334,2011]",-0,bilancio
"bilancio[335,2011]",-0,bilancio
"bilancio[3361MV,2011]",-0,bilancio
"bilancio[3364OT,2011]",-0,bilancio
"bilancio[337,2011]",6.807985709e-05,bilancio
"bilancio[339,2011]",-0,bilancio
"bilancio[311FT,2011]",-0,bilancio
"bilancio[313TT,2011]",1.084185722e-06,bilancio
"bilancio[315AL,2011]",9.147276807e-05,bilancio
"bilancio[322,2011]",-0,bilancio
"bilancio[323,2011]",6.574185958e-06,bilancio
"bilancio[324,2011]",4.30264821e-05,bilancio
"bilancio[325,2011]",-0,bilancio
"bilancio[326,2011]",-0,bilancio
"bilancio[42,2011]",-0,bilancio
"bilancio[441,2011]",7.796976145e-06,bilancio
"bilancio[445,2011]",3.117609877e-05,bilancio
"bilancio[452,2011]",3.354262558e-05,bilancio
"bilancio[4A0,2011]",2.000375652e-05,bilancio
"bilancio[481,2011]",-0,bilancio
"bilancio[482,2011]",-0,bilancio
"bilancio[483,2011]",-0,bilancio
"bilancio[484,2011]",1.76070469e-06,bilancio
"bilancio[485,2011]",6.515873838e-05,bilancio
"bilancio[486,2011]",5.4045394e-05,bilancio
"bilancio[487OS,2011]",2.333477098e-06,bilancio
"bilancio[493,2011]",1.587624734e-05,bilancio
"bilancio[511,2011]",-0,bilancio
"bilancio[512,2011]",-0,bilancio
"bilancio[513,2011]",6.052882929e-05,bilancio
"bilancio[514,2011]",5.649018458e-05,bilancio
"bilancio[521CI,2011]",-0,bilancio
"bilancio[523,2011]",1.251191615e-05,bilancio
"bilancio[524,2011]",8.441855502e-05,bilancio
"bilancio[525,2011]",-0,bilancio
"bilancio[HS,2011]",9.147276807e-05,bilancio
"bilancio[ORE,2011]",6.884028434e-05,bilancio
"bilancio[532RL,2011]",5.065492341e-05,bilancio
"bilancio[5411,2011]",6.664898603e-05,bilancio
"bilancio[5415,2011]",6.702467345e-05,bilancio
"bilancio[5412OP,2011]",6.105974053e-05,bilancio
"bilancio[55,2011]",7.065784296e-05,bilancio
"bilancio[561,2011]",9.147276807e-05,bilancio
"bilancio[562,2011]",9.468747787e-06,bilancio
"bilancio[61,2011]",8.82200951e-05,bilancio
"bilancio[621,2011]",1.256656671e-05,bilancio
"bilancio[622,2011]",2.766181664e-05,bilancio
"bilancio[623,2011]",9.147276807e-05,bilancio
"bilancio[624,2011]",4.621522e-05,bilancio
"bilancio[711AS,2011]",-0,bilancio
"bilancio[713,2011]",2.222384668e-05,bilancio
"bilancio[721,2011]",3.093545735e-05,bilancio
"bilancio[722,2011]",9.147276807e-05,bilancio
"bilancio[81,2011]",2.11280349e-05,bilancio
"bilancio[GFGD,2011]",6.062198513e-05,bilancio
"bilancio[GFGN,2011]",7.401561219e-05,bilancio
"bilancio[GFE,2011]",1.135428142e-05,bilancio
"bilancio[GSLG,2011]",8.08277556e-05,bilancio
"bilancio[GSLE,2011]",1.928859879e-06,bilancio
"bilancio[111CA,2012]",7.294359836e-05,bilancio
"bilancio[113FF,2012]",9.037186305e-05,bilancio
"bilancio[211,2012]",-0,bilancio
"bilancio[212,2012]",-0,bilancio
"bilancio[213,2012]",-0,bilancio
"bilancio[22,2012]",5.315214437e-05,bilancio
"bilancio[23,2012]",1.029570006e-05,bilancio
"bilancio[321,2012]",1.284017366e-05,bilancio
"bilancio[327,2012]",-0,bilancio
"bilancio[331,2012]",-0,bilancio
"bilancio[332,2012]",-0,bilancio
"bilancio[333,2012]",-0,bilancio
"bilancio[334,2012]",-0,bilancio
"bilancio[335,2012]",-0,bilancio
"bilancio[3361MV,2012]",-0,bilancio
"bilancio[3364OT,2012]",-0,bilancio
"bilancio[337,2012]",1.162063347e-05,bilancio
"bilancio[339,2012]",-0,bilancio
"bilancio[311FT,2012]",2.70211339e-06,bilancio
"bilancio[313TT,2012]",2.000015092e-05,bilancio
"bilancio[315AL,2012]",4.099444901e-05,bilancio
"bilancio[322,2012]",-0,bilancio
"bilancio[323,2012]",7.931530413e-05,bilancio
"bilancio[324,2012]",-0,bilancio
"bilancio[325,2012]",5.386606998e-05,bilancio
"bilancio[326,2012]",8.471215016e-06,bilancio
"bilancio[42,2012]",-0,bilancio
"bilancio[441,2012]",1.956507278e-05,bilancio
"bilancio[445,2012]",5.966806108e-05,bilancio
"bilancio[452,2012]",6.066588396e-05,bilancio
"bilancio[4A0,2012]",3.349521162e-05,bilancio
"bilancio[481,2012]",-0,bilancio
"bilancio[482,2012]",-0,bilancio
"bilancio[483,2012]",-0,bilancio
