vincolo,duale,famiglia
"bilancio[111CA,2012]",-5.198326411e-06,bilancio
"bilancio[113FF,2012]",-1.091230022e-05,bilancio
"bilancio[211,2012]",-2.201820351e-06,bilancio
"bilancio[212,2012]",-3.926711286e-06,bilancio
"bilancio[213,2012]",-4.560112036e-06,bilancio
"bilancio[22,2012]",-4.010128738e-06,bilancio
"bilancio[23,2012]",-7.740665151e-06,bilancio
"bilancio[321,2012]",-8.362187407e-06,bilancio
"bilancio[327,2012]",-6.495693386e-06,bilancio
"bilancio[331,2012]",-4.743962793e-06,bilancio
"bilancio[332,2012]",-6.926844205e-06,bilancio
"bilancio[333,2012]",-5.704315575e-06,bilancio
"bilancio[334,2012]",-4.727898083e-06,bilancio
"bilancio[335,2012]",-5.640809752e-06,bilancio
"bilancio[3361MV,2012]",-5.011427336e-06,bilancio
"bilancio[3364OT,2012]",-5.024772744e-06,bilancio
"bilancio[337,2012]",-8.8215031e-06,bilancio
"bilancio[339,2012]",-6.05568501e-06,bilancio
"bilancio[311FT,2012]",-5.87790097e-06,bilancio
"bilancio[313TT,2012]",-7.364443078e-06,bilancio
"bilancio[315AL,2012]",-1.083080369e-05,bilancio
"bilancio[322,2012]",-5.787024159e-06,bilancio
"bilancio[323,2012]",-8.344157976e-06,bilancio
"bilancio[324,2012]",-2.303442668e-06,bilancio
"bilancio[325,2012]",-3.571039592e-06,bilancio
"bilancio[326,2012]",-5.972190572e-06,bilancio
"bilancio[42,2012]",-5.903906248e-06,bilancio
"bilancio[441,2012]",-8.284189419e-06,bilancio
"bilancio[445,2012]",-1.368697486e-05,bilancio
"bilancio[452,2012]",-1.433451127e-05,bilancio
"bilancio[4A0,2012]",-1.02357091e-05,bilancio
"bilancio[481,2012]",-5.043484397e-06,bilancio
"bilancio[482,2012]",-4.862902778e-06,bilancio
"bilancio[483,2012]",-9.037186305e-06,bilancio
"bilancio[484,2012]",-7.784994276e-06,bilancio
"bilancio[485,2012]",-9.107368695e-06,bilancio
"bilancio[486,2012]",-3.358924652e-06,bilancio
"bilancio[487OS,2012]",-8.717982713e-06,bilancio
"bilancio[493,2012]",-9.564334382e-06,bilancio
"bilancio[511,2012]",-4.623977633e-06,bilancio
"bilancio[512,2012]",-4.398167102e-06,bilancio
"bilancio[513,2012]",-4.254321174e-06,bilancio
"bilancio[514,2012]",-5.114543589e-06,bilancio
"bilancio[521CI,2012]",-5.270455829e-06,bilancio
"bilancio[523,2012]",-4.796867355e-06,bilancio
"bilancio[524,2012]",-9.596028313e-06,bilancio
"bilancio[525,2012]",-5.564609495e-06,bilancio
"bilancio[HS,2012]",-9.037186305e-06,bilancio
"bilancio[ORE,2012]",-8.262343364e-06,bilancio
"bilancio[532RL,2012]",-4.967345691e-06,bilancio
"bilancio[5411,2012]",-5.510936466e-06,bilancio
"bilancio[5415,2012]",-6.406574836e-06,bilancio
"bilancio[5412OP,2012]",-6.41920908e-06,bilancio
"bilancio[55,2012]",-6.015661765e-06,bilancio
"bilancio[561,2012]",-1.244923984e-05,bilancio
"bilancio[562,2012]",-7.490699081e-06,bilancio
"bilancio[61,2012]",-1.057000391e-05,bilancio
"bilancio[621,2012]",-9.037672936e-06,bilancio
"bilancio[622,2012]",-9.240504423e-06,bilancio
"bilancio[623,2012]",-1.625194777e-05,bilancio
"bilancio[624,2012]",-1.76501342e-05,bilancio
"bilancio[711AS,2012]",-5.214764997e-06,bilancio
"bilancio[713,2012]",-1.061808423e-05,bilancio
"bilancio[721,2012]",-1.009279789e-05,bilancio
"bilancio[722,2012]",-1.457715011e-05,bilancio
"bilancio[81,2012]",-1.091687229e-05,bilancio
"bilancio[GFGD,2012]",-4.384624956e-06,bilancio
"bilancio[GFGN,2012]",-7.309101476e-06,bilancio
