anno,industria,utilizzo_implicito,violato,g17
2012,111CA,0.8964817188,False,False
2012,113FF,0.5465389305,False,False
2012,211,0.8732050833,False,True
2012,212,0.8732050833,False,True
2012,213,0.8732050833,False,True
2012,22,0.78432425,False,True
2012,23,0.5052362876,False,False
2012,311FT,0.7687226667,False,True
2012,313TT,0.6448125,False,True
2012,315AL,0.69892525,False,True
2012,321,0.6684085,False,True
2012,322,0.8345801667,False,True
2012,323,0.6378656667,False,True
2012,324,0.82982875,False,True
2012,325,0.71055225,False,True
2012,326,0.7450088333,False,True
2012,327,0.538483,False,True
2012,331,0.7485955,False,True
2012,332,0.81822775,False,True
2012,333,0.83484875,False,True
2012,334,0.7562289167,False,True
2012,335,0.79269825,False,True
2012,3361MV,0.7113693333,False,True
2012,3364OT,0.77605875,False,True
2012,337,0.7028051667,False,True
2012,339,0.7433965833,False,True
2012,42,0.947430935,False,False
2012,441,0.5875784736,False,False
2012,445,0.6449389058,False,False
2012,452,0.7547497073,False,False
2012,481,0.6913944529,False,False
2012,482,0.9701943144,False,False
2012,483,0.9814413474,False,False
2012,484,0.7864405248,False,False
2012,485,0.6759519347,False,False
2012,486,0.550826233,False,False
2012,487OS,0.876977906,False,False
2012,493,0.9780141199,False,False
2012,4A0,0.8002791927,False,False
2012,511,0.5346513657,False,False
2012,512,0.8036956524,False,False
2012,513,0.917583147,False,False
2012,514,0.5961839782,False,False
2012,521CI,0.9120255139,False,False
2012,523,0.5285844636,False,False
2012,524,0.9269584882,False,False
2012,525,0.5791581486,False,False
2012,532RL,0.5513621792,False,False
2012,5411,0.5848825964,False,False
2012,5412OP,0.6469880121,False,False
2012,5415,0.6396496434,False,False
2012,55,0.7999306634,False,False
2012,561,0.554605049,False,False
2012,562,0.8215092367,False,False
2012,61,0.7921888183,False,False
2012,621,0.959779912,False,False
2012,622,0.791561494,False,False
2012,623,0.5527684176,False,False
2012,624,0.7563031571,False,False
2012,711AS,0.8598856092,False,False
2012,713,0.583893692,False,False
2012,721,0.7541715542,False,False
2012,722,0.9324972631,False,False
2012,81,0.6507982894,False,False
2012,ORE,0.8316882156,False,False
2012,HS,0.9857757339,False,False
2013,111CA,0.8824480237,False,False
2013,113FF,0.545810816,False,False
2013,211,0.8815614422,False,True
2013,212,0.7563206402,False,True
2013,213,0.7887566633,False,True
2013,22,0.789173596,False,True
2013,23,0.5280147012,False,False
2013,311FT,0.7800470204,False,True
2013,313TT,0.6779760685,False,True
2013,315AL,0.7115189055,False,True
2013,321,0.7195991381,False,True
2013,322,0.8531346674,False,True
2013,323,0.6602636321,False,True
2013,324,0.8552188417,False,True
2013,325,0.7640070997,False,True
2013,326,0.7810616347,False,True
2013,327,0.5835516645,False,True
2013,331,0.7599667741,False,True
2013,332,0.8280970375,False,True
2013,333,0.8102115478,False,True
2013,334,0.7181858525,False,True
2013,335,0.7943728117,False,True
2013,3361MV,0.7450323701,False,True
2013,3364OT,0.8210941098,False,True
2013,337,0.7354193838,False,True
2013,339,0.8054230774,False,True
2013,42,0.9637880761,False,False
2013,441,0.6412617173,False,False
2013,445,0.6500828092,False,False
2013,452,0.7497097049,False,False
2013,481,0.7204073167,False,False
2013,482,0.9629600641,False,False
2013,483,0.9630070641,False,False
2013,484,0.7707454891,False,False
2013,485,0.7313198895,False,False
2013,486,0.5343187111,False,False
2013,487OS,0.9018846612,False,False
2013,493,1.000747222,True,False
2013,4A0,0.8187790582,False,False
2013,511,0.5544012758,False,False
2013,512,0.8354409002,False,False
2013,513,0.8975735589,False,False
2013,514,0.6003648191,False,False
2013,521CI,0.9090726272,False,False
2013,523,0.5326985468,False,False
2013,524,0.9434128767,False,False
2013,525,0.657047986,False,False
2013,532RL,0.545683316,False,False
2013,5411,0.5586109698,False,False
2013,5412OP,0.6264700597,False,False
2013,5415,0.6887135752,False,False
2013,55,0.7649167794,False,False
2013,561,0.5424556896,False,False
2013,562,0.8470712074,False,False
2013,61,0.7709790253,False,False
2013,621,0.9273717064,False,False
2013,622,0.7593543611,False,False
2013,623,0.5497817133,False,False
2013,624,0.7440726161,False,False
2013,711AS,0.8803140203,False,False
2013,713,0.5932192917,False,False
2013,721,0.7784445855,False,False
2013,722,0.9380148965,False,False
2013,81,0.6469236931,False,False
2013,ORE,0.8960169533,False,False
2013,HS,0.9917989,False,False
2014,111CA,0.8391953452,False,False
2014,113FF,0.5874997662,False,False
2014,211,0.8992185806,False,True
2014,212,0.7374407128,False,True
2014,213,0.9368023837,False,True
2014,22,0.8005845805,False,True
2014,23,0.5449631683,False,False
2014,311FT,0.7718373149,False,True
2014,313TT,0.7013253123,False,True
2014,315AL,0.6932381292,False,True
2014,321,0.720508478,False,True
2014,322,0.8716244982,False,True
2014,323,0.6834527056,False,True
2014,324,0.7865143963,False,True
2014,325,0.7778367426,False,True
2014,326,0.8108568461,False,True
2014,327,0.6299592575,False,True
2014,331,0.748442951,False,True
2014,332,0.8455156432,False,True
2014,333,0.8238640534,False,True
2014,334,0.6835197466,False,True
2014,335,0.8128594492,False,True
2014,3361MV,0.7730181714,False,True
2014,3364OT,0.8515722599,False,True
2014,337,0.7716500233,False,True
2014,339,0.7955099747,False,True
2014,42,1.003942166,True,False
2014,441,0.7128357078,False,False
2014,445,0.6637616681,False,False
2014,452,0.7423474169,False,False
2014,481,0.7375254836,False,False
2014,482,0.9995468507,False,False
2014,483,0.953711114,False,False
2014,484,0.8067845994,False,False
2014,485,0.7774757031,False,False
2014,486,0.5226790976,False,False
2014,487OS,0.986029031,False,False
2014,493,0.9870825378,False,False
2014,4A0,0.832326821,False,False
2014,511,0.5612132744,False,False
2014,512,0.8345131304,False,False
2014,513,0.9111970525,False,False
2014,514,0.5448424341,False,False
2014,521CI,0.9065752503,False,False
2014,523,0.5060437731,False,False
2014,524,0.9756621457,False,False
2014,525,0.6973354194,False,False
2014,532RL,0.5526906207,False,False
2014,5411,0.5426784855,False,False
2014,5412OP,0.6387189506,False,False
2014,5415,0.7363650152,False,False
2014,55,0.8036178555,False,False
2014,561,0.5524169596,False,False
2014,562,0.8918890299,False,False
2014,61,0.7613549417,False,False
2014,621,0.9232114489,False,False
2014,622,0.7220461086,False,False
2014,623,0.5400499495,False,False
2014,624,0.7460407634,False,False
2014,711AS,0.9168897845,False,False
2014,713,0.593087895,False,False
2014,721,0.8153296978,False,False
2014,722,0.942543003,False,False
2014,81,0.6737063255,False,False
2014,ORE,0.9257462335,False,False
2014,HS,0.9829151433,False,False
2015,111CA,0.8036641609,False,False
2015,113FF,0.54531721,False,False
2015,211,0.7594443114,False,True
2015,212,0.6704932375,False,True
2015,213,0.7128043077,False,True
2015,22,0.7892998763,False,True
2015,23,0.5800980371,False,False
2015,311FT,0.7892983356,False,True
2015,313TT,0.6833019517,False,True
2015,315AL,0.6990519463,False,True
2015,321,0.7440104607,False,True
2015,322,0.8714260883,False,True
2015,323,0.703047352,False,True
2015,324,0.7707102565,False,True
2015,325,0.784358519,False,True
2015,326,0.829002711,False,True
2015,327,0.6570446791,False,True
2015,331,0.7052407149,False,True
2015,332,0.8325480055,False,True
2015,333,0.7657127321,False,True
2015,334,0.6559605275,False,True
2015,335,0.8121254704,False,True
2015,3361MV,0.7817493469,False,True
2015,3364OT,0.8547159539,False,True
2015,337,0.8510585594,False,True
2015,339,0.819394047,False,True
2015,42,0.9826679483,False,False
2015,441,0.8063353965,False,False
2015,445,0.6648533936,False,False
2015,452,0.7543399259,False,False
2015,481,0.7547669886,False,False
2015,482,0.9178716424,False,False
2015,483,0.8116140992,False,False
2015,484,0.7621235064,False,False
2015,485,0.8252248428,False,False
2015,486,0.4860542723,False,False
2015,487OS,1.004756405,True,False
2015,493,0.8982081371,False,False
2015,4A0,0.8408202826,False,False
2015,511,0.538219653,False,False
2015,512,0.8682347226,False,False
2015,513,0.9109806514,False,False
2015,514,0.5013659754,False,False
2015,521CI,0.8730619855,False,False
2015,523,0.470812534,False,False
2015,524,0.9993937918,False,False
2015,525,0.7832300212,False,False
2015,532RL,0.5167411664,False,False
2015,5411,0.5562821843,False,False
2015,5412OP,0.6468959834,False,False
2015,5415,0.7702584412,False,False
2015,55,0.8363906846,False,False
2015,561,0.5464553656,False,False
2015,562,0.8994990669,False,False
2015,61,0.7569058884,False,False
2015,621,0.9476826787,False,False
2015,622,0.7262209738,False,False
2015,623,0.5276795613,False,False
2015,624,0.7404791353,False,False
2015,711AS,0.9206327371,False,False
2015,713,0.5878994328,False,False
2015,721,0.8350794485,False,False
2015,722,0.9732926292,False,False
2015,81,0.6665265024,False,False
2015,ORE,0.9771086143,False,False
2015,HS,0.975336907,False,False
2016,111CA,0.8467988188,False,False
2016,113FF,0.4933828441,False,False
2016,211,0.6915463466,False,True
2016,212,0.5942362668,False,True
2016,213,0.3908696,False,True
2016,22,0.7694540647,False,True
2016,23,0.596178313,False,False
2016,311FT,0.7946774556,False,True
2016,313TT,0.6834452562,False,True
2016,315AL,0.7369666695,False,True
2016,321,0.7507847397,False,True
2016,322,0.8685349223,False,True
2016,323,0.7668847067,False,True
2016,324,0.8091325042,False,True
2016,325,0.7978689706,False,True
2016,326,0.8367232538,False,True
2016,327,0.6832682607,False,True
2016,331,0.6680239219,False,True
2016,332,0.825564186,False,True
2016,333,0.7281773506,False,True
2016,334,0.6431828741,False,True
2016,335,0.7875669728,False,True
2016,3361MV,0.7660449535,False,True
2016,3364OT,0.7815633047,False,True
2016,337,0.8676243047,False,True
2016,339,0.7800327795,False,True
2016,42,0.959015739,False,False
2016,441,0.9240529311,False,False
2016,445,0.6550156958,False,False
2016,452,0.711051742,False,False
2016,481,0.7566564401,False,False
2016,482,0.8115739685,False,False
2016,483,0.7172036525,False,False
2016,484,0.7265246706,False,False
2016,485,0.7888082038,False,False
2016,486,0.4539385668,False,False
2016,487OS,0.9671514459,False,False
2016,493,0.9208124261,False,False
2016,4A0,0.8504225795,False,False
2016,511,0.5816028944,False,False
2016,512,0.8603869059,False,False
2016,513,0.9050281256,False,False
2016,514,0.4755767809,False,False
2016,521CI,0.8332660188,False,False
2016,523,0.4251028648,False,False
2016,524,0.9649276897,False,False
2016,525,0.7164740165,False,False
2016,532RL,0.492191391,False,False
2016,5411,0.5488388341,False,False
2016,5412OP,0.6500450257,False,False
2016,5415,0.792159946,False,False
2016,55,0.850533151,False,False
2016,561,0.5547206743,False,False
2016,562,0.9509236962,False,False
2016,61,0.7421764634,False,False
2016,621,0.9638990799,False,False
2016,622,0.7101249063,False,False
2016,623,0.51757001,False,False
2016,624,0.7556819295,False,False
2016,711AS,0.9238146788,False,False
2016,713,0.5844627413,False,False
2016,721,0.831627112,False,False
2016,722,0.98137452,False,False
2016,81,0.6588523767,False,False
2016,ORE,0.9994266844,False,False
2016,HS,0.9701662116,False,False
