anno,prodotto,rho,peso,classe
2012,111CA,1.2,0.005605676293,"=1,2"
2012,113FF,1.2,0.0005145773882,"=1,2"
2012,212,1.2,2.349668439e-05,"=1,2"
2012,22,1.2,0.02191056782,"=1,2"
2012,321,1.2,0.0004525822901,"=1,2"
2012,327,1.2,0.0009439341095,"=1,2"
2012,331,1.2,4.690299692e-05,"=1,2"
2012,332,1.2,0.001394889706,"=1,2"
2012,333,1.2,0.00057142129,"=1,2"
2012,334,1.2,0.007272133447,"=1,2"
2012,335,1.2,0.003541673313,"=1,2"
2012,3361MV,1.2,0.01683166912,"=1,2"
2012,3364OT,1.2,0.001460318935,"=1,2"
2012,337,1.2,0.003606289195,"=1,2"
2012,339,1.2,0.007557437419,"=1,2"
2012,311FT,1.2,0.04702337224,"=1,2"
2012,313TT,1.2,0.002023335642,"=1,2"
2012,315AL,1.2,0.01220734089,"=1,2"
2012,322,1.2,0.001852894308,"=1,2"
2012,323,1.2,0.0005624744756,"=1,2"
2012,324,1.2,0.026262696,"=1,2"
2012,325,1.2,0.02147334875,"=1,2"
2012,326,1.2,0.002921270473,"=1,2"
2012,42,1.2,0.04213687524,"=1,2"
2012,441,1.2,0.01139300003,"=1,2"
2012,445,1,0.01691535347,=1
2012,452,1,0.01750005942,=1
2012,4A0,1,0.05616963739,=1
2012,481,1.2,0.01075389021,"=1,2"
2012,482,1.2,0.0006978515264,"=1,2"
2012,483,1.2,0.001603829453,"=1,2"
2012,484,1.2,0.006677305845,"=1,2"
2012,485,1,0.003001882175,=1
2012,486,1.2,0.0001921305808,"=1,2"
2012,487OS,1.2,0.00163907448,"=1,2"
2012,493,1,1.563433231e-05,=1
2012,511,1.2,0.005708700217,"=1,2"
2012,512,1.2,0.002448716001,"=1,2"
2012,513,1.2,0.02655468749,"=1,2"
2012,514,1.2,0.002606866761,"=1,2"
2012,521CI,1.2,0.01847273178,"=1,2"
2012,523,1.2,0.01861371189,"=1,2"
2012,524,1.2,0.02681053024,"=1,2"
2012,525,1.2,0.01118062615,"=1,2"
2012,HS,0.9978881318,0.1554985269,"0,9-1"
2012,ORE,1.2,0.0004791516179,"=1,2"
2012,532RL,1.2,0.0066411571,"=1,2"
2012,5411,1.2,0.008214892723,"=1,2"
2012,5412OP,1.2,0.005027296369,"=1,2"
2012,561,1,0.004343994713,=1
2012,562,1.2,0.002108375565,"=1,2"
2012,61,1,0.02713080812,=1
2012,621,1.2,0.07669408157,"=1,2"
2012,622,1,0.07713816891,=1
2012,623,1,0.01869531768,=1
2012,624,1,0.01546271614,=1
2012,711AS,1.2,0.005584890764,"=1,2"
2012,713,1,0.0147241069,=1
2012,721,1,0.0111994235,=1
2012,722,1,0.05156672729,=1
2012,81,1,0.0463576931,=1
2012,GFE,1.2,0.0006863742998,"=1,2"
2012,GSLE,1.2,0.005292899275,"=1,2"
2013,111CA,1.2,0.005575091511,"=1,2"
2013,113FF,1.2,0.0005245190622,"=1,2"
2013,212,1.2,2.778253553e-05,"=1,2"
2013,22,1.2,0.02190339085,"=1,2"
2013,321,1.2,0.0004210347362,"=1,2"
2013,327,1.2,0.001007418829,"=1,2"
2013,331,1.2,4.593240079e-05,"=1,2"
2013,332,1.2,0.001470231096,"=1,2"
2013,333,1.2,0.000601129237,"=1,2"
2013,334,1.2,0.006993623093,"=1,2"
2013,335,1.2,0.003494185811,"=1,2"
2013,3361MV,1.2,0.0171240763,"=1,2"
2013,3364OT,1.2,0.001524910482,"=1,2"
2013,337,1.2,0.003511278862,"=1,2"
2013,339,1.2,0.007096284102,"=1,2"
2013,311FT,1.2,0.04654894315,"=1,2"
2013,313TT,1.2,0.001898063325,"=1,2"
2013,315AL,1.2,0.01135364542,"=1,2"
2013,322,1.2,0.001755237976,"=1,2"
2013,323,1.2,0.000501976458,"=1,2"
2013,324,1.2,0.02639195054,"=1,2"
2013,325,1.2,0.02120105028,"=1,2"
2013,326,1.2,0.002809696958,"=1,2"
2013,42,1.2,0.04188586635,"=1,2"
2013,441,1.2,0.01326228532,"=1,2"
2013,445,1,0.01681084667,=1
2013,452,1,0.01775089911,=1
2013,4A0,1,0.05814726513,=1
2013,481,1.2,0.01064027887,"=1,2"
2013,482,1.2,0.0006898305939,"=1,2"
2013,483,1.2,0.001663299668,"=1,2"
2013,484,1.2,0.006759354433,"=1,2"
2013,485,1.2,0.003112559657,"=1,2"
2013,486,1.2,0.000189118038,"=1,2"
2013,487OS,1.2,0.001579864676,"=1,2"
2013,493,1,1.850260607e-05,=1
2013,511,1.2,0.005968241769,"=1,2"
2013,512,1.2,0.00241354678,"=1,2"
2013,513,1.2,0.02724378951,"=1,2"
2013,514,1.2,0.002602323016,"=1,2"
2013,521CI,1.2,0.01745784982,"=1,2"
2013,523,1.2,0.01800793215,"=1,2"
2013,524,1.2,0.02707496689,"=1,2"
2013,525,1.2,0.01208512455,"=1,2"
2013,HS,1.04717216,0.1546850783,"1-1,2"
2013,ORE,1.2,0.0005031369279,"=1,2"
2013,532RL,1.2,0.006717723664,"=1,2"
2013,5411,1.2,0.007792141559,"=1,2"
2013,5412OP,1.2,0.005058505487,"=1,2"
2013,561,1,0.004368440532,=1
2013,562,1.2,0.002088359444,"=1,2"
2013,61,1,0.02698342095,=1
2013,621,1.2,0.07620487837,"=1,2"
2013,622,1.178395005,0.07736780187,"1-1,2"
2013,623,1,0.01869811883,=1
2013,624,1,0.01534955225,=1
2013,711AS,1.2,0.005721690285,"=1,2"
