industria_io,r_a0,anno_massimo,u_inviluppo,u_inviluppo_tendenza,theta_inviluppo_tendenza,anno_scarto_massimo
111CA,0.9206393301,2004,0.9482565275,0.9878816159,-0.006799743786,2004
113FF,0.9912935074,2004,0.6097635996,0.7700798607,-0.03815677949,2004
23,3.75573521,1997,0.4881026273,0.6463203832,-0.02840406576,2019
42,2.816100366,2014,0.839809073,0.8787389919,0.0113927446,2014
441,1.056814843,2018,0.5318198234,0.6112780409,0.01848869936,2017
445,0.9732946641,1997,0.6707042564,0.8400754648,-0.01717113089,1997
452,1.181360406,1999,0.8629463488,0.9854132735,-0.01775220434,2004
481,0.7972085056,1997,0.6402460152,0.6360458229,0.0005064275679,1997
482,0.2039232763,2014,0.9370167584,0.9526259321,0.004468111723,2011
483,1.082111348,2007,0.9454424001,0.9254788248,0.007139268646,2007
484,2.461713876,1997,0.7388358623,0.8344374909,-0.01506315857,2005
485,1.084408569,2019,0.6184911373,0.7496061059,0.02631918013,1998
486,0.1869442516,1998,0.5101069236,0.7579118818,-0.03515594357,2019
487OS,1.375179483,2015,0.8309751131,0.8523440023,0.02105247386,2006
493,2.032377327,2013,0.7706318074,0.8515581714,0.03957603106,2012
4A0,1.249131106,2000,0.7644531111,0.8339758208,-0.009518484697,2018
511,1.167663767,1999,0.5698178664,0.684065988,-0.02721136876,2019
512,0.521557141,2000,0.8260055406,0.8566456167,-0.007442570785,2019
513,0.6010137097,2000,0.9355233911,0.965811585,-0.003213270411,2006
514,1.999884523,1997,0.5929995404,0.8216947243,-0.02477826104,1997
521CI,0.9564466778,1999,0.8644041067,0.9234751004,-0.008789291452,2014
523,3.428340059,2000,0.5916582523,0.7790232508,-0.03799542881,2007
524,2.779576381,2015,0.7782037391,0.8516325557,0.02374554701,2008
525,2.887321952,2000,0.5824242922,0.6645380622,-0.01310269733,2000
532RL,0.7710460187,1997,0.5336478912,0.7742735721,-0.03035794732,1999
5411,6.918520649,1998,0.5658967027,0.7961388434,-0.03197119161,2019
5412OP,2.501102899,1997,0.6453706443,0.8145465293,-0.01885681959,2019
5415,3.242584816,1999,0.5544114665,0.5615431328,-0.001161275907,1999
55,1.254499432,2007,0.7774900342,0.7805480314,-0.001307628001,2007
561,4.073761299,1998,0.5521947847,0.7482442906,-0.02500121595,1998
562,0.8888352027,2018,0.8573339896,0.9255275435,0.01511668213,2006
61,0.6599953116,1997,0.8466373593,1,-0.01438968699,2010
621,2.694580186,2005,0.9666569425,0.9437239991,0.004813531649,2005
622,0.8904121091,1998,0.8052310487,0.9769514058,-0.0194931618,2006
623,2.694215553,1997,0.5832176172,0.8887876416,-0.03326457873,1998
624,3.203032554,1997,0.7986775725,0.9010161735,-0.01357161455,2018
711AS,0.9342020483,2019,0.8342580022,0.8832789542,0.006364429395,2019
713,0.7720830746,1997,0.5736489713,0.753480711,-0.02075736498,1997
721,0.5686389288,2000,0.6738963516,0.7348443114,-0.008620859175,2000
722,2.500677252,2017,0.8577431493,0.912651159,0.01069706711,2006
81,0.9881192641,1998,0.6447825559,0.8156324268,-0.02193782326,2019
HS,0.1047832053,2001,0.9763548521,0.9804055425,-0.0008915808388,2013
ORE,0.7073481505,2019,0.7553632248,0.7209336179,0.02570354553,2005
