caso,h,S,alfa_coperto,r_produzione,r_consumo,r_investimento_tipo,r_stock_tipo,r_importazioni,r_scorte,origine
P0,1,1.123574145,1,1.023439016,1.091891407,0.7405414004,2.215213171,1.189023211,1.197885204,2008
P1|E6|agg+ind|T1,1,1.813110177,1,1.388032764,1.222609654,1.44915638,4.827026853,2.191914703,2.955755097,2008
P1|E6|agg+ind|T2,1,1.273972238,1,1.084289089,1.232377679,0.8076698099,1.585966217,2.281718277,2.895114194,2008
P1|E6|agg+ind|T3,1,1.845901845,1,1.395849711,1.237082752,1.486895594,4.946478478,2.196873553,3.083029229,2008
P1|E6|agg|T1,1,1.785675544,1,1.335970244,1.177585528,1.477257742,4.898794603,2.40982038,2.515735692,2008
P1|E6|agg|T2,1,1.2576483,1,1.058597107,1.234789847,0.8076698099,1.585966217,2.21655004,2.773482556,2008
P1|E6|agg|T3,1,1.835383324,1,1.353239808,1.276102952,1.477257742,4.898794603,2.306625989,2.918363753,2008
P1|E6|ind|T1,1,2.163229353,1,1.155814936,1.177668718,2.4444324,7.034223768,2.258999265,3.158508726,2008
P1|E6|ind|T2,1,1.533761263,1,1.115003688,1.281580864,1.332303507,2.599238534,2.377904205,3.39012264,2008
P1|E6|ind|T3,1,2.177581998,1,1.155814936,1.177668718,2.4444324,7.034223768,2.258999265,3.445561629,2008
P1|E6|nessuna|T1,1,3.11037186,1,1.446673403,1.150821448,4.219734904,12.49005124,1.460111204,3.303314811,2008
P1|E6|nessuna|T2,1,2.282049436,1,1.476617922,1.666585174,2.568197005,6.64884801,2.127764555,1.083521541,2008
P1|E6|nessuna|T3,1,3.108794716,1,1.446673403,1.150821448,4.219734904,12.49005124,1.460111204,3.271771932,2008
P1|largo|agg+ind|T1,1,1.810518825,1,1.387394332,1.221095584,1.445202361,4.814511648,2.19133246,2.958271803,2008
P1|largo|agg+ind|T2,1,1.29309942,1,1.096328811,1.269620483,0.8076698099,1.585966217,2.240941826,3.022739136,2008
