caso,h,gruppo,n,MAE,RMSE,WMAE,WRMSE,sMAPE,errore_tassi,segno,theil_U,rapporto_WMAE
P0,1,aggregati,55,195.1603968,408.1250165,387.7746027,682.249301,0.03361299446,0.03337881932,0.8,0.9824682774,0.6793468879
P0,1,consumo,781,4.108536961,8.306126785,9.956645068,14.62827866,0.05362296133,0.05372720754,0.3434343434,0.8748796925,0.75989797
P0,1,importazioni,781,2.746048433,8.54556324,13.10380972,21.43578488,0.1142687898,0.1171650878,0.3795180723,1.183178864,1.142411922
P0,1,investimento_ind,2156,1.626822651,4.477791459,8.808989053,16.77405732,0.1843881392,0.2022646629,0.2425788497,0.9431020782,0.8624668319
P0,1,investimento_tipo,44,36.50880404,59.44182689,40.04925913,64.85702386,0.05945688678,0.0588602562,0.5909090909,0.9716035069,0.766387012
P0,1,produzione,781,13.98132684,26.04689688,22.34509753,38.28102508,0.04384268841,0.04359869644,0.4737516005,0.9436088429,0.8171195386
P0,1,scorte,121,9.007836305,13.31076583,10.59760765,15.15148041,0.04248881182,0.04278996126,0.4958677686,1.000996027,0.883400514
P0,1,stock_ind,2156,1.599243484,4.811788266,19.01047054,31.6957133,0.02726666128,0.02942261184,0.7435064935,0.3934177111,0.3378911331
P0,1,stock_tipo,44,34.85020968,51.89039437,37.33538695,51.37548287,0.004813813264,0.00491426839,0.9545454545,0.3287172938,0.2940669396
P0,2,aggregati,50,324.6784142,707.518378,620.6034101,1185.653845,0.05610932382,0.05709606134,0.8,1.021979773,0.6284225494
P0,2,consumo,710,7.090484038,14.37698962,18.1886819,26.60969858,0.08815998617,0.08981888782,0.3492063492,0.8764405834,0.7804324408
P0,2,importazioni,710,4.016906728,12.50690938,19.73258635,31.62978027,0.1703745944,0.1831540866,0.3960176991,1.331747738,1.207844628
P0,2,investimento_ind,1960,2.747035185,8.48443246,20.30809696,37.35574001,0.2650434329,0.331509657,0.2576530612,1.151618911,1.16748277
P0,2,investimento_tipo,40,69.57538889,105.2042299,73.92060346,114.0134369,0.1170859355,0.1172379898,0.6,1.079161932,0.8232536472
P0,2,produzione,710,23.19634663,40.43900944,37.89566335,56.99691924,0.07011724582,0.0710246827,0.476056338,0.9443226019,0.8495503033
P0,2,scorte,110,14.45734909,20.64691423,17.55840477,23.66426051,0.06374792948,0.0659170143,0.5454545455,0.967543525,0.8847297342
P0,2,stock_ind,1960,3.58361131,11.1896385,48.21846477,77.23494111,0.05578511339,0.06582083315,0.7260204082,0.4669570131,0.4270770616
P0,2,stock_tipo,40,87.11380754,118.352557,95.27527097,121.5649168,0.01171547096,0.01225514511,0.975,0.3775659148,0.3787350338
P0,3,aggregati,45,533.0850512,1096.812133,1034.100323,1839.04716,0.08801213774,0.09061254366,0.8,1.089272152,0.7404691008
P0,3,consumo,639,10.18393687,21.21844395,27.85498135,41.35859036,0.120284409,0.1264987258,0.3456790123,0.902021597,0.8372650445
P0,3,importazioni,639,5.276103619,17.20666654,26.79055432,44.14478782,0.2120171766,0.2994106326,0.4004914005,1.450739371,1.266257138
P0,3,investimento_ind,1764,3.853608182,13.33754231,32.28210715,62.41364637,0.3361207861,0.4486997948,0.2511337868,1.368527545,1.328253284
P0,3,investimento_tipo,36,105.4641851,155.0614159,114.7216808,168.2132426,0.1737399321,0.1763187897,0.5555555556,1.159040386,0.9247944188
P0,3,produzione,639,32.79728491,57.89740758,53.73351629,82.18331644,0.09692420755,0.09950298088,0.4679186228,0.9871962639,0.8701652914
P0,3,scorte,99,21.0408044,29.42642902,25.23322788,33.44652435,0.09342712181,0.09868502253,0.5050505051,0.9933986334,0.9109620765
P0,3,stock_ind,1764,5.786780905,18.87336258,85.27371987,136.9692075,0.0872737411,0.1148331052,0.7012471655,0.5332724736,0.4977609234
P0,3,stock_tipo,36,147.1571309,199.8314326,161.9746908,206.6416885,0.01960574987,0.02103030591,0.9722222222,0.4267452206,0.4251837618
P0,4,aggregati,40,772.6528973,1528.038236,1507.815581,2564.435711,0.1256858748,0.1303775279,0.725,1.151957373,0.80539055
P0,4,consumo,568,13.78598195,28.59765629,39.32787996,58.17482653,0.1511453524,0.1645663132,0.3511904762,0.9270658492,0.9049168512
P0,4,importazioni,568,7.261097613,22.56498054,37.85409456,58.81836258,0.2703034566,0.3737895427,0.3850415512,1.555653214,1.417833392
P0,4,investimento_ind,1568,5.23426051,19.9571011,46.0216152,92.77183386,0.4071674261,0.6115999551,0.2506377551,1.679206061,1.50885699
P0,4,investimento_tipo,32,149.4568275,212.4753472,165.0521567,231.0677436,0.2402933017,0.2504353555,0.5625,1.254419229,1.035419727
P0,4,produzione,568,43.77908599,79.07036923,72.74395226,113.2087724,0.1259238632,0.1301241591,0.4718309859,1.059669528,0.9203522847
P0,4,scorte,88,27.6244801,38.69575259,33.57893623,43.74978209,0.1195923638,0.1290779325,0.5227272727,1.021883202,0.9372239484
P0,4,stock_ind,1568,8.471566358,28.18224771,140.7282882,215.6860221,0.1202221337,0.1790969629,0.6798469388,0.6037356921,0.6024338397
P0,4,stock_tipo,32,225.4199665,301.8550742,250.8356152,312.4489029,0.02966684679,0.03266751744,0.96875,0.4832053627,0.4855727151
P0,5,aggregati,35,1041.243158,2038.618907,2060.379669,3428.464821,0.1676904245,0.1754750879,0.7142857143,1.227333895,0.8694355849
P0,5,consumo,497,17.41532283,37.20677527,51.31775424,77.24231241,0.1810158713,0.2040441278,0.3492063492,0.978101883,0.9681008382
