caso,h,gruppo,n,MAE,RMSE,WMAE,WRMSE,sMAPE,errore_tassi,segno,theil_U,rapporto_WMAE
P0,1,aggregati,25,105.6861319,139.9386164,169.1121218,206.4552446,0.02059406753,0.02128376234,0.88,0.3982426279,0.3341645861
P0,1,consumo,355,3.369114643,6.426413245,8.82608068,12.37207935,0.04723774434,0.04941562783,0.3492063492,0.6890518515,0.7258695607
P0,1,importazioni,355,2.224309278,7.115947603,11.92945801,19.60434795,0.08091336384,0.07423600904,0.4115044248,1.088119436,1.114982789
P0,1,investimento_ind,980,1.470595856,4.354594374,8.797539698,16.8699515,0.1749704901,0.2061525124,0.2581632653,0.9256259199,0.7557420344
P0,1,investimento_tipo,20,25.70019218,31.005516,26.38359647,31.21537167,0.04078634021,0.04326013892,0.65,0.638224869,0.5841806609
P0,1,produzione,355,10.01088868,15.26403847,15.32850488,20.50174301,0.03253527071,0.03269145997,0.476056338,0.6904243949,0.6529540719
P0,1,scorte,55,8.146463868,10.9665541,8.859603872,11.74244394,0.0400851383,0.04150516493,0.5454545455,0.8692058117,0.7287059512
P0,1,stock_ind,980,1.518982814,4.964502428,21.24481955,32.46560276,0.028301447,0.03115528165,0.7479591837,0.3935947648,0.3267241104
P0,1,stock_tipo,20,27.63164302,34.32849247,32.9469302,38.80287972,0.003376606947,0.003477395641,1,0.2060598311,0.231283135
P1|E6|agg+ind|T1,1,aggregati,25,206.1243721,272.267772,315.1427729,368.4869154,0.03742269066,0.03761053893,0.76,0.774829963,0.6227203178
P1|E6|agg+ind|T1,1,consumo,355,8.779081445,18.97407731,19.85457385,32.62199832,0.1000576814,0.09865751512,0.6666666667,2.034435478,1.63286869
P1|E6|agg+ind|T1,1,importazioni,355,6.116717663,19.89784034,37.15021522,56.37589161,0.157274202,0.1407033432,0.6415929204,3.042634379,3.472232395
P1|E6|agg+ind|T1,1,investimento_ind,980,2.878617774,8.4645751,17.81559911,38.17529176,0.4107054519,0.5424006768,0.1255102041,1.799256013,1.530427549
P1|E6|agg+ind|T1,1,investimento_tipo,20,60.81374889,70.08518297,62.630062,70.34388037,0.09459204534,0.1030779986,0.45,1.44264997,1.386743125
P1|E6|agg+ind|T1,1,produzione,355,19.30748314,35.58977927,30.39649849,46.4652595,0.06230441585,0.05893174882,0.6253521127,1.609800177,1.294811047
P1|E6|agg+ind|T1,1,scorte,55,37.33853518,43.64795154,45.35676439,50.95623507,0.175626603,0.1766807987,0.3272727273,3.459523639,3.730611957
P1|E6|agg+ind|T1,1,stock_ind,980,2.796799325,8.690810629,36.29676838,64.19846994,0.08380916177,0.1108033967,0.8020408163,0.6890232436,0.5582080533
P1|E6|agg+ind|T1,1,stock_tipo,20,55.74940141,66.56520375,58.93369996,74.37550557,0.00913243213,0.009386892785,1,0.3995635594,0.4137068552
P1|E6|agg+ind|T2,1,aggregati,25,209.1977229,276.3522375,277.4610941,345.8428919,0.04139436565,0.04166483905,0.72,0.7864536901,0.548261536
P1|E6|agg+ind|T2,1,consumo,355,9.744274747,20.99051192,22.4720699,36.16959342,0.1018764222,0.1023674477,0.6634920635,2.250641306,1.848135327
P1|E6|agg+ind|T2,1,importazioni,355,6.703271418,21.54279965,38.98251045,58.84934109,0.1607466818,0.1445688999,0.6460176991,3.294169704,3.643487253
P1|E6|agg+ind|T2,1,investimento_ind,980,2.443049244,6.055913228,13.06244259,22.23152426,0.3228956299,0.4950585724,0.09387755102,1.287263467,1.122113372
P1|E6|agg+ind|T2,1,investimento_tipo,20,42.57203962,48.28451629,42.16142419,47.99525177,0.06831489249,0.07081960704,0.4,0.9938998946,0.9335303727
P1|E6|agg+ind|T2,1,produzione,355,20.45565661,39.08635591,32.27455477,51.62505678,0.06414967065,0.06042967048,0.6197183099,1.767957654,1.374811315
P1|E6|agg+ind|T2,1,scorte,55,39.23842613,46.1312762,49.25289036,55.09632867,0.180867361,0.1797374031,0.2181818182,3.656351212,4.051069872
P1|E6|agg+ind|T2,1,stock_ind,980,2.338788066,5.897395522,22.79958953,32.34795276,0.07647148306,0.1039606909,0.8153061224,0.4675562229,0.3506349203
P1|E6|agg+ind|T2,1,stock_tipo,20,37.59786675,42.89483315,36.21411426,41.15585163,0.007401185436,0.00761564984,0.95,0.2574800534,0.2542183392
P1|E6|agg+ind|T3,1,aggregati,25,191.6382461,269.8286187,319.4329978,376.6274665,0.03180952524,0.03179093501,0.76,0.7678885281,0.6311977778
P1|E6|agg+ind|T3,1,consumo,355,8.329119945,18.4441904,19.12112195,32.07026429,0.09655702359,0.09474357847,0.6634920635,1.977620029,1.572548552
