caso,h,gruppo,n,MAE,RMSE,WMAE,WRMSE,sMAPE,errore_tassi,segno,theil_U,rapporto_WMAE
P0,1,aggregati,5,109.8494408,157.6942101,180.8602507,218.1444038,0.0248527221,0.02588560474,0.8,0.4488122283,0.360523768
P0,1,consumo,71,3.632620385,7.31105535,10.71426338,16.67390294,0.05789056303,0.05893893229,0.3174603175,0.951767825,1.069614809
P0,1,importazioni,71,1.808961433,4.650096412,8.006556223,10.56097739,0.08345925461,0.08634681839,0.4222222222,0.6747099718,0.6327664609
P0,1,investimento_ind,196,1.318428115,4.203161313,11.0241989,20.9853387,0.1640648369,0.1944119771,0.25,0.9517787529,0.9325587346
P0,1,investimento_tipo,4,33.4528177,37.9858434,28.94650064,33.47867528,0.06943950249,0.07411123176,0.5,0.6365472068,0.4785329309
P0,1,produzione,71,10.46317171,15.85360053,16.32785876,22.06705262,0.03580122239,0.03620728389,0.4507042254,0.7551447585,0.7320779412
P0,1,scorte,11,7.627749455,10.91397592,7.831992121,10.94806138,0.04078621613,0.04221340386,0.4545454545,0.8248912857,0.655774047
P0,1,stock_ind,196,1.335413985,3.979750957,14.92885361,19.77331715,0.02509455764,0.0267447783,0.6989795918,0.6447220272,0.7654601189
P0,1,stock_tipo,4,29.61626752,35.41652788,32.56405979,34.92382604,0.003635270489,0.003723938747,1,0.2888122124,0.4183250729
P0,2,aggregati,5,227.2223084,279.7139978,319.0583888,370.0246211,0.05676616273,0.06053547552,0.8,0.4220834797,0.334691467
P0,2,consumo,71,5.462328466,11.25377336,18.11655942,27.78955035,0.07808278218,0.08302809521,0.3015873016,0.9267950159,1.085624286
P0,2,importazioni,71,2.773750187,8.789391094,15.79048322,25.64998471,0.1192249833,0.1286413107,0.3777777778,1.128888217,1.101813435
P0,2,investimento_ind,196,2.347755752,8.383879304,21.30209467,43.45080325,0.2819158432,0.3747055692,0.2295918367,1.018006252,0.9836261597
P0,2,investimento_tipo,4,66.83411167,76.2492697,66.63683565,76.24937383,0.1189342214,0.1346600527,0.5,0.7460244417,0.6382412251
P0,2,produzione,71,19.0182245,29.87303219,33.77591211,45.74986447,0.05471539839,0.05590138242,0.4647887324,0.8055055582,0.8640281157
P0,2,scorte,11,12.85664777,18.34924995,13.85148259,17.94598621,0.06020544278,0.0656598246,0.4545454545,0.7854664732,0.6186868432
P0,2,stock_ind,196,3.162820886,11.62461784,65.21021057,90.43759645,0.05782348399,0.06698042581,0.6887755102,0.7644846111,0.8758929256
P0,2,stock_tipo,4,89.67232939,102.9866433,109.0708655,114.2058532,0.01021902186,0.01070858186,1,0.383134582,0.5437736039
P0,3,aggregati,5,384.2073238,475.3366539,602.4448374,681.2778394,0.08038953763,0.08867288662,0.8,0.4403579414,0.3841864665
P0,3,consumo,71,7.595769776,17.77367769,28.04658386,47.12698102,0.1130613688,0.1386940308,0.3174603175,0.9299245308,1.123866424
P0,3,importazioni,71,3.966026657,12.02024126,21.56746263,34.66496451,0.1644780613,0.1944114947,0.4222222222,0.9783926519,0.8581512962
P0,3,investimento_ind,196,3.331014007,10.72296704,27.51566831,53.06702173,0.3503060564,0.5491867539,0.2346938776,1.024706352,0.9800631356
P0,3,investimento_tipo,4,102.086073,115.7599522,105.2678788,120.8270561,0.1677881426,0.1995827798,0.5,0.7565420392,0.6599162342
P0,3,produzione,71,27.75333894,45.40352563,49.35499828,71.21717672,0.07941100507,0.08356336555,0.4788732394,0.7868929857,0.8427061043
P0,3,scorte,11,19.28249043,25.77829135,20.61645699,26.13698817,0.0914766019,0.1012552928,0.4545454545,0.7549304063,0.616416416
P0,3,stock_ind,196,5.459036421,21.44226606,125.3362096,174.6288702,0.0959149156,0.1275604218,0.6887755102,0.8073835944,0.9023503879
P0,3,stock_tipo,4,177.1959207,200.3267291,215.6017133,223.9041885,0.01995309642,0.02145472105,1,0.4489720362,0.608491379
P0,4,aggregati,5,533.2125064,614.466254,799.7817612,861.4516062,0.106316713,0.1200343863,0.8,0.4291117948,0.3812034392
P0,4,consumo,71,11.09562274,25.21422146,39.57286091,65.2423048,0.1430427248,0.1634038885,0.3333333333,0.8539039321,1.020998686
P0,4,importazioni,71,6.436028993,18.52362586,36.74622292,53.37412825,0.2657402763,0.2827972068,0.3777777778,1.23555765,1.16725426
P0,4,investimento_ind,196,4.729766504,15.58856203,40.51381499,76.44665989,0.4248699118,0.6913132414,0.2142857143,1.073870636,1.062779211
P0,4,investimento_tipo,4,148.3407107,176.4970114,164.0983238,195.8304488,0.2151444119,0.2720213798,0.5,0.9443097873,0.8476244403
P0,4,produzione,71,37.01703284,65.76719484,68.01412102,106.320381,0.1018106775,0.1097705716,0.4929577465,0.8629215807,0.8429760873
P0,4,scorte,11,28.81746795,35.44623664,30.26973764,35.77671179,0.1394472937,0.1588876514,0.4545454545,0.7613724007,0.6327511379
P0,4,stock_ind,196,8.152525857,33.65417616,207.3844279,292.1860025,0.1304335086,0.194476052,0.6836734694,0.8355513424,0.9226270901
P0,4,stock_tipo,4,274.2807655,311.9840906,342.0356798,358.3176668,0.02953962049,0.0325024202,1,0.49345843,0.6466034868
P0,5,aggregati,5,629.9993602,699.6391679,901.2385302,948.1971776,0.1254109768,0.1437006184,0.8,0.4065826474,0.3562497696
P0,5,consumo,71,14.64047009,32.98341343,51.64106349,81.4943416,0.1689975721,0.2053293378,0.3333333333,0.8394018348,0.9882166116
P0,5,importazioni,71,8.38194905,24.79138619,50.09948548,71.83502612,0.3266210473,0.3869291496,0.3555555556,1.437372889,1.411429917
P0,5,investimento_ind,196,6.601387157,21.25758926,54.12146028,96.65320277,0.497413162,0.8985647437,0.2142857143,1.151525474,1.09955361
P0,5,investimento_tipo,4,195.0085531,264.3810822,233.9496204,308.6969144,0.2449459501,0.3302476572,0.5,1.255445959,1.085543477
P0,5,produzione,71,47.79248184,86.31515468,85.3847234,138.5222589,0.1328985118,0.1461733088,0.4647887324,0.9302968484,0.8488454877
P0,5,scorte,11,35.01302335,42.11118537,37.39296051,42.06366485,0.1665035955,0.1946008185,0.4545454545,0.8158156413,0.7273356351
P0,5,stock_ind,196,10.96336853,48.40197079,303.8953516,433.5004591,0.1648013519,0.2727342573,0.6530612245,0.8575479786,0.9346002777
P0,5,stock_tipo,4,370.605139,421.9369334,472.0022445,502.3802831,0.03970785239,0.0447561214,1,0.5198138496,0.6664872561
P1|E6|agg+ind|T1,1,aggregati,5,144.0839103,182.9793389,250.8484652,273.0851251,0.02568374039,0.02600353072,0.8,0.5207760307,0.5000370921
P1|E6|agg+ind|T1,1,consumo,71,7.305492662,13.13082216,12.99203541,17.53673043,0.1232047269,0.111903255,0.619047619,1.709396722,1.297006896
P1|E6|agg+ind|T1,1,importazioni,71,5.018655748,17.93201561,28.92996296,50.09755156,0.1366169195,0.1346697429,0.6666666667,2.601862128,2.286365044
P1|E6|agg+ind|T1,1,investimento_ind,196,3.472966928,12.96354359,33.00414326,68.23076939,0.4839373137,0.6014382622,0.1326530612,2.935510782,2.791885593
P1|E6|agg+ind|T1,1,investimento_tipo,4,95.22123853,103.9452088,88.40869528,95.33618066,0.1689699755,0.1997695682,0.5,1.741860293,1.461540122
P1|E6|agg+ind|T1,1,produzione,71,18.38491393,31.15704747,27.09897666,39.86259796,0.0557215199,0.05614862687,0.6338028169,1.484084391,1.215013146
P1|E6|agg+ind|T1,1,scorte,11,30.88637301,35.92381126,37.86184476,42.45398434,0.1621478607,0.158510169,0.2727272727,2.715164398,3.170178772
P1|E6|agg+ind|T1,1,stock_ind,196,3.445188949,14.02686024,85.51919613,123.0153339,0.1003336989,0.1533657002,0.7602040816,2.272359721,4.384900257
P1|E6|agg+ind|T1,1,stock_tipo,4,90.44909856,105.1147934,116.2184338,131.0288146,0.01245603477,0.01271689841,1,0.8571827291,1.492967556
P1|E6|agg+ind|T1,2,aggregati,5,295.1672099,327.7373386,408.9450365,431.1941972,0.06823704951,0.0703153623,0.8,0.4945498522,0.4289823398
P1|E6|agg+ind|T1,2,consumo,71,8.495575131,16.02189751,14.52434453,21.7027694,0.09364025489,0.1006625366,0.6031746032,1.31946986,0.8703628977
P1|E6|agg+ind|T1,2,importazioni,71,3.453504194,8.617612082,16.20897253,20.88187205,0.1652629471,0.1482390824,0.7333333333,1.106825335,1.131014387
P1|E6|agg+ind|T1,2,investimento_ind,196,3.79078004,12.25501637,31.09249859,62.74459493,0.5511908614,0.7455479745,0.137755102,1.488056165,1.435698952
P1|E6|agg+ind|T1,2,investimento_tipo,4,115.517586,119.7108717,117.8923871,121.4635469,0.1845611736,0.2231946692,0.5,1.17125366,1.129161984
P1|E6|agg+ind|T1,2,produzione,71,21.16315229,32.1278824,35.34743488,47.66636549,0.06023928271,0.06184785341,0.7605633803,0.8663060275,0.9042295426
P1|E6|agg+ind|T1,2,scorte,11,44.11186724,53.1459225,57.1560622,63.94092715,0.1998713106,0.1998689531,0.09090909091,2.274988919,2.552918322
P1|E6|agg+ind|T1,2,stock_ind,196,6.492577752,24.94068837,151.0278547,216.7847062,0.1698526449,0.2725149688,0.7346938776,1.640206388,2.028581542
P1|E6|agg+ind|T1,2,stock_tipo,4,188.0507838,204.9229703,225.6737353,242.6768654,0.02690108507,0.02814298009,1,0.7623617396,1.125098071
P1|E6|agg+ind|T1,3,aggregati,5,436.3815654,556.1762109,733.8645977,851.0200236,0.09018179898,0.09646253353,0.8,0.5152487385,0.4679944606
P1|E6|agg+ind|T1,3,consumo,71,10.65178641,19.74080625,23.53462521,29.44108248,0.1106978953,0.1359592776,0.6984126984,1.032845329,0.9430658364
