anno,gruppo,chiave,valore
2008,produzione,111CA,392.0935645
2008,produzione,113FF,49.03430677
2008,produzione,211,287.5546479
2008,produzione,212,136.592871
2008,produzione,213,117.2977081
2008,produzione,22,492.440247
2008,produzione,23,1336.109107
2008,produzione,321,92.00331798
2008,produzione,327,120.3950625
2008,produzione,331,277.6347031
2008,produzione,332,377.9493757
2008,produzione,333,380.3356718
2008,produzione,334,384.0739608
2008,produzione,335,136.7834636
2008,produzione,3361MV,448.2038143
2008,produzione,3364OT,286.1547541
2008,produzione,337,82.73745207
2008,produzione,339,179.854498
2008,produzione,311FT,899.6559063
2008,produzione,313TT,63.62422544
2008,produzione,315AL,28.76257125
2008,produzione,322,191.5856733
2008,produzione,323,101.8921725
2008,produzione,324,824.7611493
2008,produzione,325,828.8983224
2008,produzione,326,221.1167369
2008,produzione,42,1477.042944
2008,produzione,441,200.4882345
2008,produzione,445,211.8884297
2008,produzione,452,217.1991994
2008,produzione,4A0,728.1772198
2008,produzione,481,189.1039668
2008,produzione,482,76.66247451
2008,produzione,483,48.04759143
2008,produzione,484,301.7014828
2008,produzione,485,52.83382166
2008,produzione,486,35.43416404
2008,produzione,487OS,200.9776968
2008,produzione,493,73.40039689
2008,produzione,511,308.7372329
2008,produzione,512,127.8014009
2008,produzione,513,671.4262822
2008,produzione,514,139.7065607
2008,produzione,521CI,692.9413785
2008,produzione,523,496.6346735
2008,produzione,524,757.4808331
2008,produzione,525,128.2674255
2008,produzione,HS,1678.219852
2008,produzione,ORE,804.2168407
2008,produzione,532RL,306.0455749
2008,produzione,5411,323.5552005
2008,produzione,5415,273.5579291
2008,produzione,5412OP,1098.725076
2008,produzione,55,451.049891
2008,produzione,561,621.3947324
2008,produzione,562,86.8973973
2008,produzione,61,280.6364088
2008,produzione,621,799.5391615
2008,produzione,622,614.7768079
2008,produzione,623,196.1869033
2008,produzione,624,156.5771074
2008,produzione,711AS,139.603014
2008,produzione,713,124.0752423
2008,produzione,721,209.287347
2008,produzione,722,587.8707189
2008,produzione,81,602.4194169
2008,produzione,GFGD,640.8429905
2008,produzione,GFGN,340.0723622
2008,produzione,GFE,109.4590249
2008,produzione,GSLG,2014.029406
2008,produzione,GSLE,247.9782148
2008,consumo,111CA,66.72934444
2008,importazioni,111CA,30.03000169
2008,consumo,113FF,6.601818961
2008,importazioni,113FF,16.82384892
2008,consumo,211,0
2008,importazioni,211,263.9845509
2008,consumo,212,0.605025476
2008,importazioni,212,10.67917983
2008,consumo,213,0
2008,importazioni,213,0.7793990995
2008,consumo,22,238.223776
2008,importazioni,22,3.683742469
2008,consumo,23,0
2008,importazioni,23,-0
2008,consumo,321,4.828475012
2008,importazioni,321,15.28413571
2008,consumo,327,13.51650129
2008,importazioni,327,21.81212658
2008,consumo,331,1.153034442
2008,importazioni,331,99.49237315
2008,consumo,332,13.08393095
2008,importazioni,332,53.84288958
2008,consumo,333,8.877653794
2008,importazioni,333,132.229694
2008,consumo,334,79.51023152
2008,importazioni,334,234.4408748
2008,consumo,335,38.72879524
2008,importazioni,335,73.57411278
2008,consumo,3361MV,173.6630295
2008,importazioni,3361MV,224.0462273
2008,consumo,3364OT,25.35058921
2008,importazioni,3364OT,46.2997459
2008,consumo,337,47.22719935
2008,importazioni,337,30.92179025
2008,consumo,339,102.6694723
2008,importazioni,339,86.13236394
2008,consumo,311FT,543.9765554
2008,importazioni,311FT,73.57809651
2008,consumo,313TT,25.93191428
2008,importazioni,313TT,27.62778344
2008,consumo,315AL,138.0682534
2008,importazioni,315AL,131.3851584
2008,consumo,322,24.32473536
2008,importazioni,322,27.12158839
2008,consumo,323,3.92528963
2008,importazioni,323,2.514384177
2008,consumo,324,295.8115285
2008,importazioni,324,144.3917194
2008,consumo,325,255.3923945
2008,importazioni,325,228.9491342
2008,consumo,326,34.37185613
2008,importazioni,326,39.47962045
2008,consumo,42,429.8527129
2008,importazioni,42,0
2008,consumo,441,102.9361562
2008,importazioni,441,-0
2008,consumo,445,187.224172
2008,importazioni,445,-0
2008,consumo,452,205.3377495
2008,importazioni,452,-0
2008,consumo,4A0,578.8173269
2008,importazioni,4A0,-0
2008,consumo,481,108.8842618
2008,importazioni,481,36.74998778
2008,consumo,482,7.333240237
2008,importazioni,482,0
2008,consumo,483,13.24871133
2008,importazioni,483,0
2008,consumo,484,80.05858719
2008,importazioni,484,0
2008,consumo,485,34.54499401
2008,importazioni,485,-0
2008,consumo,486,1.813078009
2008,importazioni,486,-0
2008,consumo,487OS,15.11119923
2008,importazioni,487OS,0
2008,consumo,493,0.09044422955
2008,importazioni,493,-0
2008,consumo,511,69.43050363
2008,importazioni,511,4.32190597
2008,consumo,512,30.77516101
2008,importazioni,512,5.689468247
2008,consumo,513,253.2092276
2008,importazioni,513,0.1621652855
2008,consumo,514,17.68459708
2008,importazioni,514,0.6074209062
2008,consumo,521CI,196.2802137
2008,importazioni,521CI,10.42752659
2008,consumo,523,179.2985677
2008,importazioni,523,0.06429987537
2008,consumo,524,302.7783803
2008,importazioni,524,61.23992935
2008,consumo,525,135.9898696
2008,importazioni,525,-0
2008,consumo,HS,1658.991551
2008,importazioni,HS,-0
2008,consumo,ORE,6.187354773
2008,importazioni,ORE,-0
2008,consumo,532RL,80.78883442
2008,importazioni,532RL,-0
2008,consumo,5411,100.5762345
2008,importazioni,5411,2.562317772
2008,consumo,5415,0
2008,importazioni,5415,16.22556867
2008,consumo,5412OP,58.0949253
2008,importazioni,5412OP,54.74709989
2008,consumo,55,0
2008,importazioni,55,-0
2008,consumo,561,48.6775059
2008,importazioni,561,0.7643413336
2008,consumo,562,19.61189252
2008,importazioni,562,0.0973919448
2008,consumo,61,291.3044455
2008,importazioni,61,1.101754104
2008,consumo,621,791.325945
2008,importazioni,621,0.01823467603
2008,consumo,622,750.7683423
2008,importazioni,622,1.83048078
2008,consumo,623,194.4271594
2008,importazioni,623,0.005406761942
2008,consumo,624,157.3267297
2008,importazioni,624,-0
2008,consumo,711AS,62.94072318
2008,importazioni,711AS,0.3092702044
2008,consumo,713,161.0514109
2008,importazioni,713,-0
2008,consumo,721,109.5775675
2008,importazioni,721,-0
2008,consumo,722,557.3565185
2008,importazioni,722,-0
2008,consumo,81,530.5781838
2008,importazioni,81,2.840871402
2008,consumo,GFGD,0
2008,importazioni,GFGD,-0
2008,consumo,GFGN,0
2008,importazioni,GFGN,-0
2008,consumo,GFE,11.78859645
2008,importazioni,GFE,0.5590783007
2008,consumo,GSLG,0
2008,importazioni,GSLG,-0
2008,consumo,GSLE,57.81056729
2008,importazioni,GSLE,-0
2008,investimento_tipo,E,843.002192
2008,stock_tipo,E,5309.931138
2008,investimento_tipo,S,573.2142032
2008,stock_tipo,S,11866.39139
2008,investimento_tipo,N,577.8848369
2008,stock_tipo,N,2100.179005
2008,investimento_tipo,R,503.7756754
2008,stock_tipo,R,16301.62969
2008,investimento_ind,111CA|E,32.44172434
2008,investimento_ind,111CA|N,0.03348717949
2008,investimento_ind,111CA|S,7.022637256
2008,investimento_ind,113FF|E,5.334947863
2008,investimento_ind,113FF|N,0.1048754153
2008,investimento_ind,113FF|S,0.6171385468
2008,investimento_ind,211|E,7.526720754
2008,investimento_ind,211|N,2.325615095
2008,investimento_ind,211|S,125.8717659
2008,investimento_ind,212|E,7.014127637
2008,investimento_ind,212|N,0.3122223844
2008,investimento_ind,212|S,7.698072716
2008,investimento_ind,213|E,15.54411939
2008,investimento_ind,213|N,0.7142433891
2008,investimento_ind,213|S,6.209569636
2008,investimento_ind,22|E,59.58344714
2008,investimento_ind,22|N,3.807534034
2008,investimento_ind,22|S,51.07008477
2008,investimento_ind,23|E,37.9345661
2008,investimento_ind,23|N,1.755765415
2008,investimento_ind,23|S,8.52568605
2008,investimento_ind,311FT|E,18.38376343
2008,investimento_ind,311FT|N,4.961687096
2008,investimento_ind,311FT|S,4.184527939
2008,investimento_ind,313TT|E,1.343809436
2008,investimento_ind,313TT|N,0.4983090909
2008,investimento_ind,313TT|S,0.1913155918
2008,investimento_ind,315AL|E,0.3484259938
2008,investimento_ind,315AL|N,0.4384856618
2008,investimento_ind,315AL|S,0.0513968254
2008,investimento_ind,321|E,2.435759768
2008,investimento_ind,321|N,0.2013691511
2008,investimento_ind,321|S,0.4041303171
2008,investimento_ind,322|E,6.185994439
2008,investimento_ind,322|N,1.584063896
2008,investimento_ind,322|S,0.6349352075
2008,investimento_ind,323|E,3.887946644
2008,investimento_ind,323|N,1.420312467
2008,investimento_ind,323|S,0.384959707
2008,investimento_ind,324|E,16.98628822
2008,investimento_ind,324|N,6.750906116
2008,investimento_ind,324|S,2.430104225
2008,investimento_ind,325|E,20.40007193
2008,investimento_ind,325|N,76.23885208
2008,investimento_ind,325|S,4.103677641
2008,investimento_ind,326|E,7.203484203
2008,investimento_ind,326|N,2.505593293
2008,investimento_ind,326|S,0.7957676147
2008,investimento_ind,327|E,5.506257975
2008,investimento_ind,327|N,2.807220961
2008,investimento_ind,327|S,0.9005906736
2008,investimento_ind,331|E,10.6922454
2008,investimento_ind,331|N,2.27109181
2008,investimento_ind,331|S,1.493017834
2008,investimento_ind,332|E,11.73903691
2008,investimento_ind,332|N,3.554614468
2008,investimento_ind,332|S,1.769450796
2008,investimento_ind,333|E,10.73307507
2008,investimento_ind,333|N,9.59726343
2008,investimento_ind,333|S,1.778552132
2008,investimento_ind,334|E,24.29460104
2008,investimento_ind,334|N,79.66350924
2008,investimento_ind,334|S,6.374430287
2008,investimento_ind,335|E,3.077928779
2008,investimento_ind,335|N,3.728551302
2008,investimento_ind,335|S,0.5082361482
2008,investimento_ind,3361MV|E,14.09335681
2008,investimento_ind,3361MV|N,15.74111611
2008,investimento_ind,3361MV|S,1.646913304
2008,investimento_ind,3364OT|E,6.998234302
2008,investimento_ind,3364OT|N,18.01392136
2008,investimento_ind,3364OT|S,1.715014159
2008,investimento_ind,337|E,1.12821866
2008,investimento_ind,337|N,0.5860181771
2008,investimento_ind,337|S,0.2341219512
2008,investimento_ind,339|E,4.94331069
2008,investimento_ind,339|N,5.415474979
2008,investimento_ind,339|S,0.9737709632
2008,investimento_ind,42|E,31.98804232
2008,investimento_ind,42|N,17.20448573
2008,investimento_ind,42|S,13.53034962
2008,investimento_ind,441|E,3.266341868
2008,investimento_ind,441|N,0.9853457866
2008,investimento_ind,441|S,2.222419623
2008,investimento_ind,445|E,8.35575936
2008,investimento_ind,445|N,1.379501078
2008,investimento_ind,445|S,4.431045433
2008,investimento_ind,452|E,5.215991747
2008,investimento_ind,452|N,2.033540937
2008,investimento_ind,452|S,11.77992909
2008,investimento_ind,481|E,17.6041128
2008,investimento_ind,481|N,0.7137457557
2008,investimento_ind,481|S,0.791007545
2008,investimento_ind,482|E,4.181652877
2008,investimento_ind,482|N,0.2787576431
2008,investimento_ind,482|S,8.664848324
2008,investimento_ind,483|E,3.356218074
2008,investimento_ind,483|N,0.1220279146
2008,investimento_ind,483|S,0.08278672362
2008,investimento_ind,484|E,14.82928037
2008,investimento_ind,484|N,0.3384703906
2008,investimento_ind,484|S,0.7253786867
2008,investimento_ind,485|E,2.119290507
2008,investimento_ind,485|N,0.09408333333
2008,investimento_ind,485|S,0.1019151485
2008,investimento_ind,486|E,7.544318521
2008,investimento_ind,486|N,0.523407236
2008,investimento_ind,486|S,12.04134708
2008,investimento_ind,487OS|E,5.161138583
2008,investimento_ind,487OS|N,0.833038688
2008,investimento_ind,487OS|S,1.167813727
2008,investimento_ind,493|E,1.645482785
2008,investimento_ind,493|N,0.2076021781
2008,investimento_ind,493|S,2.351140358
2008,investimento_ind,4A0|E,24.00544692
2008,investimento_ind,4A0|N,7.225050483
2008,investimento_ind,4A0|S,17.19557112
2008,investimento_ind,511|E,4.79755807
2008,investimento_ind,511|N,47.10189819
2008,investimento_ind,511|S,3.700703782
2008,investimento_ind,512|E,1.931341227
2008,investimento_ind,512|N,29.6840958
2008,investimento_ind,512|S,0.5052912952
2008,investimento_ind,513|E,49.90302504
2008,investimento_ind,513|N,33.82051261
2008,investimento_ind,513|S,32.54881266
2008,investimento_ind,514|E,4.815139201
2008,investimento_ind,514|N,12.85612031
2008,investimento_ind,514|S,1.599557031
2008,investimento_ind,521CI|E,61.96498794
2008,investimento_ind,521CI|N,12.82582973
2008,investimento_ind,521CI|S,16.16823718
2008,investimento_ind,523|E,6.077401689
2008,investimento_ind,523|N,7.699012748
2008,investimento_ind,523|S,5.047541139
2008,investimento_ind,524|E,7.616170574
2008,investimento_ind,524|N,17.81522373
2008,investimento_ind,524|S,3.506128289
2008,investimento_ind,525|E,0.2863722222
2008,investimento_ind,525|N,0.1668510342
2008,investimento_ind,525|S,1.297741228
2008,investimento_ind,532RL|E,49.1811684
2008,investimento_ind,532RL|N,0.5937876336
2008,investimento_ind,532RL|S,2.319818874
2008,investimento_ind,5411|E,3.729931679
2008,investimento_ind,5411|N,1.591913024
2008,investimento_ind,5411|S,1.460284646
2008,investimento_ind,5412OP|E,23.21323145
2008,investimento_ind,5412OP|N,53.2104773
2008,investimento_ind,5412OP|S,8.883968956
2008,investimento_ind,5415|E,6.703098181
2008,investimento_ind,5415|N,20.2949621
