caso,origine,h,anno,gruppo,chiave,valore
persistenza,2008,1,2009,aggregati,consumo_tot,10742.45505
persistenza,2008,2,2010,aggregati,consumo_tot,10742.45505
persistenza,2008,3,2011,aggregati,consumo_tot,10742.45505
persistenza,2008,4,2012,aggregati,consumo_tot,10742.45505
persistenza,2008,5,2013,aggregati,consumo_tot,10742.45505
persistenza,2008,1,2009,aggregati,importazioni_tot,2219.429062
persistenza,2008,2,2010,aggregati,importazioni_tot,2219.429062
persistenza,2008,3,2011,aggregati,importazioni_tot,2219.429062
persistenza,2008,4,2012,aggregati,importazioni_tot,2219.429062
persistenza,2008,5,2013,aggregati,importazioni_tot,2219.429062
persistenza,2008,1,2009,aggregati,investimento_tot,2497.876908
persistenza,2008,2,2010,aggregati,investimento_tot,2497.876908
persistenza,2008,3,2011,aggregati,investimento_tot,2497.876908
persistenza,2008,4,2012,aggregati,investimento_tot,2497.876908
persistenza,2008,5,2013,aggregati,investimento_tot,2497.876908
persistenza,2008,1,2009,aggregati,produzione_tot,28580.51531
persistenza,2008,2,2010,aggregati,produzione_tot,28580.51531
persistenza,2008,3,2011,aggregati,produzione_tot,28580.51531
persistenza,2008,4,2012,aggregati,produzione_tot,28580.51531
persistenza,2008,5,2013,aggregati,produzione_tot,28580.51531
persistenza,2008,1,2009,aggregati,scorte_tot,2373.66659
persistenza,2008,2,2010,aggregati,scorte_tot,2373.66659
persistenza,2008,3,2011,aggregati,scorte_tot,2373.66659
persistenza,2008,4,2012,aggregati,scorte_tot,2373.66659
persistenza,2008,5,2013,aggregati,scorte_tot,2373.66659
persistenza,2008,1,2009,investimento_tipo,E,843.002192
persistenza,2008,2,2010,investimento_tipo,E,843.002192
persistenza,2008,3,2011,investimento_tipo,E,843.002192
persistenza,2008,4,2012,investimento_tipo,E,843.002192
persistenza,2008,5,2013,investimento_tipo,E,843.002192
persistenza,2008,1,2009,investimento_tipo,N,577.8848369
persistenza,2008,2,2010,investimento_tipo,N,577.8848369
persistenza,2008,3,2011,investimento_tipo,N,577.8848369
persistenza,2008,4,2012,investimento_tipo,N,577.8848369
persistenza,2008,5,2013,investimento_tipo,N,577.8848369
persistenza,2008,1,2009,investimento_tipo,R,503.7756754
persistenza,2008,2,2010,investimento_tipo,R,503.7756754
persistenza,2008,3,2011,investimento_tipo,R,503.7756754
persistenza,2008,4,2012,investimento_tipo,R,503.7756754
persistenza,2008,5,2013,investimento_tipo,R,503.7756754
persistenza,2008,1,2009,investimento_tipo,S,573.2142032
persistenza,2008,2,2010,investimento_tipo,S,573.2142032
persistenza,2008,3,2011,investimento_tipo,S,573.2142032
persistenza,2008,4,2012,investimento_tipo,S,573.2142032
persistenza,2008,5,2013,investimento_tipo,S,573.2142032
persistenza,2008,1,2009,stock_tipo,E,5309.931138
persistenza,2008,2,2010,stock_tipo,E,5309.931138
persistenza,2008,3,2011,stock_tipo,E,5309.931138
persistenza,2008,4,2012,stock_tipo,E,5309.931138
persistenza,2008,5,2013,stock_tipo,E,5309.931138
persistenza,2008,1,2009,stock_tipo,N,2100.179005
persistenza,2008,2,2010,stock_tipo,N,2100.179005
persistenza,2008,3,2011,stock_tipo,N,2100.179005
persistenza,2008,4,2012,stock_tipo,N,2100.179005
persistenza,2008,5,2013,stock_tipo,N,2100.179005
persistenza,2008,1,2009,stock_tipo,R,16301.62969
persistenza,2008,2,2010,stock_tipo,R,16301.62969
persistenza,2008,3,2011,stock_tipo,R,16301.62969
persistenza,2008,4,2012,stock_tipo,R,16301.62969
persistenza,2008,5,2013,stock_tipo,R,16301.62969
persistenza,2008,1,2009,stock_tipo,S,11866.39139
persistenza,2008,2,2010,stock_tipo,S,11866.39139
persistenza,2008,3,2011,stock_tipo,S,11866.39139
persistenza,2008,4,2012,stock_tipo,S,11866.39139
persistenza,2008,5,2013,stock_tipo,S,11866.39139
ultimo_tasso,2008,1,2009,aggregati,consumo_tot,10682.35729
ultimo_tasso,2008,2,2010,aggregati,consumo_tot,10622.59575
ultimo_tasso,2008,3,2011,aggregati,consumo_tot,10563.16853
ultimo_tasso,2008,4,2012,aggregati,consumo_tot,10504.07378
ultimo_tasso,2008,5,2013,aggregati,consumo_tot,10445.30963
ultimo_tasso,2008,1,2009,aggregati,importazioni_tot,2198.742255
ultimo_tasso,2008,2,2010,aggregati,importazioni_tot,2178.248265
ultimo_tasso,2008,3,2011,aggregati,importazioni_tot,2157.945295
ultimo_tasso,2008,4,2012,aggregati,importazioni_tot,2137.831564
ultimo_tasso,2008,5,2013,aggregati,importazioni_tot,2117.905309
ultimo_tasso,2008,1,2009,aggregati,investimento_tot,2357.310804
ultimo_tasso,2008,2,2010,aggregati,investimento_tot,2224.65495
ultimo_tasso,2008,3,2011,aggregati,investimento_tot,2099.464202
ultimo_tasso,2008,4,2012,aggregati,investimento_tot,1981.318467
ultimo_tasso,2008,5,2013,aggregati,investimento_tot,1869.821293
ultimo_tasso,2008,1,2009,aggregati,produzione_tot,28234.37169
ultimo_tasso,2008,2,2010,aggregati,produzione_tot,27892.42027
ultimo_tasso,2008,3,2011,aggregati,produzione_tot,27554.61028
ultimo_tasso,2008,4,2012,aggregati,produzione_tot,27220.89157
ultimo_tasso,2008,5,2013,aggregati,produzione_tot,26891.21458
ultimo_tasso,2008,1,2009,aggregati,scorte_tot,2342.896217
ultimo_tasso,2008,2,2010,aggregati,scorte_tot,2312.524727
