origine,scelta,S_validazione,n_validazione,motivo
2008,P1|E6|agg|T1,,0,storia di validazione insufficiente: configurazione predefinita
2009,P1|E6|agg|T1,,1,storia di validazione insufficiente: configurazione predefinita
2010,P1|stretto|agg|T2,1.556953972,2,
2011,P1|tetto100|agg|T2,1.445443046,3,
2012,P1|tetto100|agg|T2,1.384969425,4,
2013,P1|tetto100|agg|T2,1.291419198,5,
2014,P1|tetto100|agg|T2,1.267980833,6,
2015,P1|tetto100|agg|T2,1.260516742,7,
2016,P2|inv1.0|m1.0|S1.0|T3,1.277882673,8,
2017,P2|inv1.0|m1.0|S1.0|T3,1.230697395,9,
2018,P2|inv1.0|m1.0|S1.0|T3,1.163366283,10,
