caso,h,S,alfa_coperto,r_produzione,r_consumo,r_investimento_tipo,r_stock_tipo,r_importazioni,r_scorte
P0,1,0.7218776999,1,0.7729511475,0.7175104052,0.7725437543,0.2215770822,1.132667132,0.8287883688
trend_mobile,1,0.8036705259,1,0.8942734988,0.7097128488,0.8901722045,0.4634930654,1.072829626,0.8889878583
ultimo_tasso,1,0.8317346242,1,0.9373422069,0.8289670378,0.8023002339,0.2215770822,1.452512358,0.9319695584
P2|inv1.0|m1.0|S1.0|T3,1,0.9816853552,1,0.9806747196,1.021672466,1.169346106,0.5334565902,1.040993524,0.834332863
P2|inv1.0|m1.0|S1.0|T1,1,0.9860226774,1,0.979439005,1.022308506,1.190885251,0.5355506116,1.040993395,0.834332863
persistenza,1,1,1,1,1,1,1,1,1
P2|inv1.0|m0.0|S0.0|T3,1,1.200611707,1,0.986685071,1.011613333,1.164579872,0.5315677186,2.276669223,4.024319558
P2|inv1.0|m0.0|S0.0|T1,1,1.205254208,1,0.9865619075,1.014008977,1.177439305,0.5327764008,2.27070458,4.055644241
P2|lx2.0|li0.5|T3,1,1.207160379,1,0.9528965895,1.047096977,1.371732506,0.5537409008,1.941759611,3.607074734
P2|lx0.5|li0.5|T3,1,1.228276291,1,1.017229556,1.045829205,1.366165347,0.5524449833,1.757726238,3.859895667
P2|lx2.0|li0.5|T1,1,1.229280441,1,0.9526761941,1.049106637,1.371816596,0.5538117078,2.106550067,3.873471961
P2|lx0.5|li0.5|T1,1,1.239427434,1,1.015209231,1.045591342,1.366827102,0.5530530647,2.076499879,3.773830824
selezionata,1,1.252219214,1,1.263796193,1.075457458,1.166983095,0.4059488139,2.159975886,3.369056483
P1|tetto100|agg|T2,1,1.272188252,1,1.450329231,1.075340368,0.6526883173,0.2028846425,2.841323845,4.43190104
P1|tetto100|agg+ind|T2,1,1.307485163,1,1.436297364,1.095027585,0.8342148705,0.2370000584,2.054449973,5.096443993
P2|lx0.5|li0.1|T3,1,1.312544981,1,0.9591110264,0.967868379,1.944650409,0.7236041439,1.777963507,3.685249758
P2|lx2.0|li0.1|T3,1,1.328553983,1,0.8845818473,0.9863587008,1.992137851,0.779732496,1.988363853,3.829056126
P2|lx0.5|li0.1|T1,1,1.334268219,1,0.9599970728,0.9631753833,2.018997525,0.7521317205,2.049916373,3.516159724
P2|lx2.0|li0.1|T1,1,1.357499482,1,0.8844405957,0.9844367421,2.083285875,0.8059946941,2.175278704,3.816314026
P1|tetto100|agg+ind|T3,1,1.420973963,1,1.421227852,1.114762334,1.30963424,0.5495916277,2.038289314,4.827528624
P1|tetto100|agg|T3,1,1.439148297,1,1.463630025,1.102943588,1.247869746,0.5438759261,2.839720316,4.4645731
P1|tetto100|ind|T2,1,1.448892201,1,1.431168818,0.9085007682,1.778069189,0.4699749048,2.145665256,4.741934689
P1|tetto100|agg+ind|T1,1,1.477351651,1,1.42799308,1.105186289,1.565647995,0.5934746577,2.076981896,4.821433616
P1|stretto|agg+ind|T2,1,1.486545965,1,1.256224622,1.727166287,0.9478981249,0.2404130113,3.226715769,4.331439545
P1|tetto110|agg+ind|T2,1,1.50183605,1,1.283179625,1.812291907,0.9262933235,0.2427125542,3.253422802,4.019870605
P1|stretto|agg+ind|T3,1,1.535400543,1,1.251618587,1.584606728,1.411684117,0.5588862488,2.919285566,4.006864438
P1|tetto110|agg|T2,1,1.54234343,1,1.379822343,2.007105256,0.857001776,0.1992671121,3.118555799,3.580205883
P1|tetto110|agg+ind|T3,1,1.546869344,1,1.258872922,1.633827869,1.355709191,0.5508656764,2.893150401,4.163463613
P1|stretto|agg|T2,1,1.550367047,1,1.34756686,1.897883262,0.8960461497,0.2047543821,3.442409095,4.098537761
P1|largo|agg+ind|T2,1,1.555131974,1,1.401393931,1.786301826,0.9499042246,0.2423032268,3.854231856,3.83800973
P1|tetto100|ind|T1,1,1.586226932,1,1.374165431,0.994622013,2.250422213,0.8064198977,2.346737177,4.550548139
P1|E6|agg+ind|T2,1,1.589074864,1,1.370517416,1.917003137,0.9460121776,0.2417914265,3.73746209,4.051280313
