caso,h,S,alfa_coperto,r_produzione,r_consumo,r_investimento_tipo,r_stock_tipo,r_importazioni,r_scorte
P0,1,0.6457959724,1,0.6529540719,0.7258695607,0.5841806609,0.231283135,1.114982789,0.7287059512
ultimo_tasso,1,0.6960184516,1,0.720614809,0.743998116,0.6422408094,0.231283135,1.353155399,0.7480065761
trend_mobile,1,0.8045980236,1,0.8782044686,0.7297826672,0.9209345168,0.441997749,1.067755633,0.8085484597
P2|inv1.0|m1.0|S1.0|T3,1,0.8093319895,1,0.8448845212,0.9099731792,0.8084624948,0.3113795818,1.012614548,0.7882698962
P2|inv1.0|m1.0|S1.0|T1,1,0.8101084612,1,0.8455375923,0.911915429,0.8084547463,0.3113738375,1.01261454,0.7882698962
persistenza,1,1,1,1,1,1,1,1,1
P2|inv1.0|m0.0|S0.0|T3,1,1.035828035,1,0.8492360441,0.9088137408,0.8037463027,0.3071978257,2.405310345,3.933570777
P2|inv1.0|m0.0|S0.0|T1,1,1.045264356,1,0.8521818172,0.9076616145,0.8037865605,0.3072306695,2.541643304,3.974975645
P2|lx0.5|li0.5|T3,1,1.065734669,1,0.8711852562,0.8985286202,1.157321782,0.3740509767,1.666466052,3.65255498
P2|lx0.5|li0.5|T1,1,1.079131351,1,0.8642004079,0.8989536147,1.158583548,0.3751198204,1.984098017,3.63503104
P2|lx2.0|li0.5|T3,1,1.082916954,1,0.8310654273,0.9282090374,1.184276678,0.3835899475,2.045409716,3.552995961
P2|lx0.5|li0.1|T3,1,1.087525946,1,0.8600039289,0.8959187738,1.248855014,0.3885088776,1.786009624,3.656535267
P2|lx0.5|li0.1|T1,1,1.092598246,1,0.8574044282,0.8960366934,1.273070962,0.4065082706,1.977981712,3.448036087
P2|lx2.0|li0.5|T1,1,1.101854463,1,0.8309868758,0.9283708135,1.184439659,0.3837238603,2.156849216,3.818887548
P2|lx2.0|li0.1|T1,1,1.142156881,1,0.8010423554,0.9164200961,1.390945709,0.4805032571,2.213153491,3.800420069
P2|lx2.0|li0.1|T3,1,1.14471131,1,0.8011164865,0.9167065407,1.378862389,0.4717847887,2.185537048,3.942731865
P1|tetto100|agg|T2,1,1.17880733,1,1.436826771,0.8703325439,0.5529817107,0.1494088834,2.653623941,4.568822151
selezionata,1,1.17880733,1,1.436826771,0.8703325439,0.5529817107,0.1494088834,2.653623941,4.568822151
P1|tetto100|agg|T3,1,1.200886077,1,1.340111527,0.8763788322,0.752121988,0.2874845851,2.636152787,4.499169472
P1|tetto100|agg+ind|T2,1,1.26922871,1,1.580508109,0.8729283409,0.7882963009,0.2330037205,1.624179237,5.420583625
P1|tetto100|agg+ind|T3,1,1.276201196,1,1.455268465,0.8871575308,0.99907487,0.3700248236,1.553992009,5.179126802
P1|tetto110|agg+ind|T3,1,1.321938011,1,1.168255477,1.269281724,1.047058643,0.3797998935,2.640563063,4.225139599
P1|tetto100|agg+ind|T1,1,1.323198102,1,1.482510677,0.8855561324,1.161757476,0.3901986719,1.642335002,5.185798927
P1|stretto|agg+ind|T3,1,1.33946969,1,1.185209056,1.299429375,1.051171438,0.3804076877,2.764608974,4.151453108
P1|tetto100|ind|T2,1,1.359384336,1,1.480116533,0.8841411841,1.379154664,0.3274073908,1.593995712,5.236711268
P2|uniformi|li0.5|T1,1,1.378962924,1,1.060796217,1.645489261,1.19246069,0.3910660841,1.943160026,3.846410661
P1|tetto110|agg+ind|T1,1,1.396528762,1,1.159855162,1.349184184,1.235754558,0.3957636332,2.824515485,4.317278189
P1|tetto100|ind|T3,1,1.397379205,1,1.358503876,0.9014395098,1.638421438,0.4652061593,1.909457303,4.994368415
P1|tetto100|ind|T1,1,1.410161481,1,1.364943398,0.8980365539,1.647666538,0.4801417939,2.054694115,5.019706062
P1|stretto|agg+ind|T1,1,1.416552497,1,1.208640721,1.369037407,1.241871279,0.3971810592,2.804093654,4.299040279
P1|tetto110|agg|T2,1,1.42736836,1,1.30937886,1.6815903,0.913551776,0.1659166722,3.339454281,3.276057509
P1|stretto|agg|T2,1,1.427370122,1,1.266377669,1.622271588,0.8956850207,0.1636273731,3.384485665,3.921026408
P1|stretto|agg+ind|T2,1,1.444501602,1,1.278749572,1.614011835,0.9041840611,0.2460530724,3.050686501,4.373934711
P1|tetto110|agg+ind|T2,1,1.445387187,1,1.308232985,1.637512614,0.914267208,0.2500407297,3.088642306,3.987477556
P1|E6|agg+ind|T3,1,1.446715808,1,1.246528648,1.572548552,1.041418815,0.3781927342,3.141029059,3.956763177
P1|largo|agg+ind|T3,1,1.458701391,1,1.27070114,1.57252725,1.050957244,0.3793374859,3.199240938,3.952912595
P1|tetto110|agg|T3,1,1.476581717,1,1.280381728,1.584488385,1.191123225,0.3198363391,3.412385113,3.525862971
P1|stretto|agg|T3,1,1.4799623,1,1.241343938,1.564624956,1.19008913,0.3192649484,3.370884323,3.993661893
P1|tetto110|ind|T3,1,1.497728302,1,1.111758067,1.313437811,1.892833755,0.5211374254,2.867768946,3.922011962
P1|stretto|ind|T3,1,1.505326279,1,1.135827752,1.331563205,1.871185145,0.5190146042,2.987524219,3.791885837
P1|largo|agg+ind|T2,1,1.536773857,1,1.420775826,1.730244886,0.9357702197,0.2554197526,3.742023528,3.833408964
P1|E6|agg+ind|T1,1,1.557165449,1,1.294811047,1.63286869,1.386743125,0.4137068552,3.472232395,3.730611957
P1|E6|agg+ind|T2,1,1.563739757,1,1.374811315,1.848135327,0.9335303727,0.2542183392,3.643487253,4.051069872
P1|tetto110|ind|T1,1,1.578374413,1,1.155332505,1.367591809,2.062564419,0.5969291615,3.276861033,3.708965348
P1|stretto|ind|T2,1,1.591309817,1,1.213560611,1.569199963,1.709251871,0.3690284934,3.2987821,4.255786328
P1|tetto110|ind|T2,1,1.600579349,1,1.221046446,1.572883893,1.709319382,0.3692319213,3.495202482,4.177061085
P1|E6|ind|T3,1,1.617421403,1,1.24686652,1.550294777,1.936496976,0.5286429344,3.048203832,3.713982674
P1|stretto|ind|T1,1,1.629767334,1,1.200007292,1.426890067,2.054851546,0.5782463354,3.45834665,3.999717027
P1|largo|ind|T3,1,1.629855036,1,1.339102423,1.511149366,1.921693791,0.5253064334,3.298234584,3.459967372
P1|E6|agg|T2,1,1.666549039,1,1.57544287,1.915922043,1.066506261,0.190078557,4.156352611,3.580256536
P1|largo|agg+ind|T1,1,1.672195044,1,1.398103197,1.784648034,1.580212133,0.4385152808,3.460873604,3.688640795
P1|E6|agg|T3,1,1.678288703,1,1.53523446,1.798788916,1.230916587,0.3365752447,4.130387578,3.834429396
P1|largo|ind|T2,1,1.722530204,1,1.449780516,1.697337884,1.74628527,0.3750645326,3.871870817,3.960752707
P1|E6|ind|T2,1,1.746027194,1,1.416007192,1.82618748,1.759160531,0.3762111045,3.76633281,3.911978707
P1|tetto100|agg|T1,1,1.756221665,1,2.181273654,0.8437976229,1.687843369,0.4089226006,3.022565581,6.382221371
condizionata|P1|E6|agg|T1,1,1.757803135,1,1.347752624,2.453451783,0.9775588404,0.2764424454,3.921263339,3.964452674
P1|largo|agg|T2,1,1.760249312,1,1.708805104,2.035148727,1.098574922,0.2088358541,4.37514451,3.554147349
P1|tetto110|agg|T1,1,1.773882448,1,1.344051823,2.080908458,1.769739008,0.4483818685,2.868638581,4.083528931
P1|stretto|agg|T1,1,1.774073304,1,1.321351555,2.072027418,1.720926691,0.4136281234,3.038359923,4.371869304
P1|largo|agg|T3,1,1.806909738,1,1.690222318,1.996283427,1.414646383,0.3742630192,4.21114034,3.400908387
P1|E6|ind|T1,1,1.837383777,1,1.40468665,1.743456139,2.319491159,0.6168645846,3.617363341,3.729761656
P3|q25,1,1.85714878,1,1.69474807,1.889186942,1.768983808,0.4482802631,3.879853846,3.787015915
P1|E6|agg|T1,1,1.93451224,1,1.635479442,2.271965905,1.721863461,0.4419406376,3.924100562,3.550137049
P1|largo|ind|T1,1,1.975847389,1,1.531669552,1.847824821,2.616688957,0.6558745325,3.576378027,3.885098626
P1|largo|agg|T1,1,1.981564443,1,1.744724526,2.193798922,1.673643255,0.435453036,4.364751663,4.069917418
P3|q75,1,2.133061723,1,1.493495665,3.00022,1.642208387,0.427672146,4.637514348,3.637248288
P1|tetto100|nessuna|T2,1,2.299028649,1,1.287279145,0.9206974148,4.950701543,2.042009168,3.780218123,5.06567099
P1|tetto100|nessuna|T3,1,2.304970639,1,1.292351006,0.9208837641,4.940599497,2.043011969,3.777401118,5.194181121
P1|stretto|nessuna|T3,1,2.587647834,1,1.440396711,1.194687241,5.579823703,2.161085614,4.088625746,5.212361175
P1|stretto|nessuna|T2,1,2.601694283,1,1.435687006,1.191666267,5.662332055,2.168616511,4.05074237,5.232462412
P1|tetto110|nessuna|T3,1,2.621888955,1,1.451725863,1.215860935,5.707823859,2.141696086,4.082967764,5.234602936
P1|tetto110|nessuna|T2,1,2.65253102,1,1.449426607,1.219695153,5.810262821,2.16003771,4.062082736,5.412680403
P1|E6|nessuna|T2,1,2.796606252,1,1.57154473,1.395113577,6.034025571,2.162487132,4.323829918,5.347268734
P1|largo|nessuna|T2,1,2.805808272,1,1.594673614,1.390295548,6.038587867,2.157610873,4.511947549,5.224829699
P1|largo|nessuna|T3,1,2.819043969,1,1.608133456,1.387357981,6.099388628,2.165440059,4.622701901,5.056794218
P1|E6|nessuna|T3,1,2.833055387,1,1.587217077,1.41988458,6.145169819,2.194981442,4.361743702,5.28611193
P1|largo|nessuna|T1,1,3.226722174,1,1.902725704,2.549318044,6.106548182,2.25378508,4.66003166,4.22838645
P1|E6|nessuna|T1,1,3.435139795,1,1.755628555,2.843817016,7.057721248,2.429803912,4.110034325,3.905595337
P1|stretto|nessuna|T1,1,3.559293901,1,1.644052815,2.182202835,8.63998803,2.733399855,3.442155127,4.759437171
P1|tetto110|nessuna|T1,1,3.588640647,1,1.655217448,2.195674889,8.752288258,2.742074837,3.436953221,4.737202979
P1|tetto100|nessuna|T1,1,4.737827502,1,3.76273969,0.8250470348,12.27350639,3.22621608,3.20589721,8.477474779
