caso,h,S,alfa_coperto,r_produzione,r_consumo,r_investimento_tipo,r_stock_tipo,r_importazioni,r_scorte
ultimo_tasso,1,0.6720841496,1,0.8568119407,0.7403493402,0.436118957,0.4183250729,0.6803938038,0.5971955301
P0,1,0.742473944,1,0.7320779412,1.069614809,0.4785329309,0.4183250729,0.6327664609,0.655774047
persistenza,1,1,1,1,1,1,1,1,1
P2|inv1.0|m1.0|S1.0|T3,1,1.046533484,1,0.8287484754,0.9369768831,1.354868258,1.672032054,0.76258849,0.8101919094
P2|inv1.0|m1.0|S1.0|T1,1,1.047017328,1,0.8302798028,0.9370585006,1.35486816,1.672031846,0.7625884899,0.8101919094
trend_mobile,1,1.081292629,1,1.207595044,1.15583642,1.204738569,0.3786023653,0.8081685071,1.060936273
P2|lx0.5|li0.5|T3,1,1.182114464,1,0.8740088204,0.938904543,1.427432251,1.626020377,1.040754628,2.76228471
P1|tetto100|agg|T2,1,1.203548564,1,1.740309628,0.8877088725,0.475300355,0.2351803255,1.503274764,4.428023439
P2|lx0.5|li0.1|T3,1,1.209946252,1,0.8365445452,0.9365796501,1.420828046,1.612035405,1.162158101,3.490638769
P2|lx0.5|li0.1|T1,1,1.211805675,1,0.8330932346,0.9371467528,1.497706544,1.752470199,1.067232637,3.051674366
P2|lx0.5|li0.5|T1,1,1.234170625,1,0.8534556953,0.9409804738,1.429783146,1.6309986,1.415006551,3.52065915
P2|lx2.0|li0.5|T3,1,1.239161109,1,0.7915665422,0.9530346192,1.442775179,1.658510348,1.961461791,3.266032002
P2|lx2.0|li0.5|T1,1,1.242100576,1,0.7917749627,0.9523404853,1.442618993,1.658179612,2.04217641,3.248307229
P2|inv1.0|m0.0|S0.0|T1,1,1.247170004,1,0.8540627575,0.943940169,1.33410354,1.628060975,1.914948559,3.647897859
P2|inv1.0|m0.0|S0.0|T3,1,1.248889525,1,0.8520226093,0.9440689451,1.334012041,1.627867219,1.965117694,3.644340874
P1|tetto110|agg|T2,1,1.252648923,1,1.291310265,1.730010339,0.475300355,0.2351803255,2.120303634,2.43318913
P1|tetto100|agg|T3,1,1.259321106,1,1.264867427,0.9230165935,0.9015314976,1.31810214,1.726386969,4.090400752
P1|largo|agg+ind|T3,1,1.261786496,1,1.042473619,1.06595239,1.170765694,1.415186778,1.698102402,3.373635125
P1|tetto100|ind|T2,1,1.265923475,1,1.541493018,0.8625725336,0.9201828156,0.554584865,0.9130502889,5.191124908
P1|tetto100|agg+ind|T2,1,1.267406753,1,1.728635157,0.8542588383,0.6928866984,0.4167491266,0.775138742,5.4705873
P1|stretto|agg+ind|T3,1,1.276886725,1,1.048076754,1.057362758,1.168299663,1.414679651,2.024512426,3.378027049
P1|E6|agg+ind|T3,1,1.279417728,1,1.057506594,1.050938504,1.171625167,1.414988104,1.57840909,3.842798013
P1|tetto110|agg+ind|T3,1,1.280175609,1,1.049719437,1.07153187,1.168870441,1.414704483,2.044711119,3.326402499
P1|tetto100|ind|T1,1,1.294329303,1,1.060304928,0.9290804207,1.284700842,1.375986427,1.998146185,4.06135156
