caso,origine,H,secondi,stato
P1|E6|agg|T1,2008,5,4.570195913,Optimal
P1|E6|agg|T2,2008,5,4.676319599,Optimal
P1|E6|agg|T3,2008,5,4.738484859,Optimal
P1|E6|agg+ind|T1,2008,5,5.037729263,Optimal
P1|E6|agg+ind|T2,2008,5,5.208371639,Optimal
P1|E6|agg+ind|T3,2008,5,5.379223347,Optimal
P1|E6|ind|T1,2008,5,5.024580717,Optimal
P1|E6|ind|T2,2008,5,4.944259167,Optimal
P1|E6|ind|T3,2008,5,5.000274897,Optimal
P1|E6|nessuna|T1,2008,5,4.549902201,Optimal
P1|E6|nessuna|T2,2008,5,4.770298243,Optimal
P1|E6|nessuna|T3,2008,5,4.615249157,Optimal
P1|stretto|agg|T1,2008,5,4.613806486,Optimal
P1|stretto|agg|T2,2008,5,4.589905024,Optimal
P1|stretto|agg|T3,2008,5,4.676759958,Optimal
P1|stretto|agg+ind|T1,2008,5,5.048321247,Optimal
P1|stretto|agg+ind|T2,2008,5,4.988115072,Optimal
P1|stretto|agg+ind|T3,2008,5,5.300053835,Optimal
P1|stretto|ind|T1,2008,5,4.886960983,Optimal
P1|stretto|ind|T2,2008,5,5.053504467,Optimal
P1|stretto|ind|T3,2008,5,5.0408144,Optimal
P1|stretto|nessuna|T1,2008,5,4.599040747,Optimal
P1|stretto|nessuna|T2,2008,5,4.637755394,Optimal
P1|stretto|nessuna|T3,2008,5,4.601532459,Optimal
P1|largo|agg|T1,2008,5,4.64232564,Optimal
P1|largo|agg|T2,2008,5,4.623575687,Optimal
P1|largo|agg|T3,2008,5,4.612700462,Optimal
P1|largo|agg+ind|T1,2008,5,5.013072491,Optimal
P1|largo|agg+ind|T2,2008,5,5.299500465,Optimal
P1|largo|agg+ind|T3,2008,5,5.450855017,Optimal
P1|largo|ind|T1,2008,5,5.104018688,Optimal
P1|largo|ind|T2,2008,5,5.087390423,Optimal
P1|largo|ind|T3,2008,5,5.08398509,Optimal
P1|largo|nessuna|T1,2008,5,4.602600574,Optimal
P1|largo|nessuna|T2,2008,5,4.68907547,Optimal
P1|largo|nessuna|T3,2008,5,4.620976925,Optimal
P1|tetto100|agg|T1,2008,5,4.785029411,Optimal
P1|tetto100|agg|T2,2008,5,4.522178411,Optimal
P1|tetto100|agg|T3,2008,5,4.719334364,Optimal
P1|tetto100|agg+ind|T1,2008,5,4.960316658,Optimal
P1|tetto100|agg+ind|T2,2008,5,4.790282488,Optimal
P1|tetto100|agg+ind|T3,2008,5,5.055092812,Optimal
P1|tetto100|ind|T1,2008,5,4.984008551,Optimal
P1|tetto100|ind|T2,2008,5,4.645926952,Optimal
