vincolo,duale,famiglia
"bilancio[111CA,2010]",-1.434432386e-05,bilancio
"bilancio[113FF,2010]",-1.739149242e-05,bilancio
"bilancio[211,2010]",-3.248681608e-06,bilancio
"bilancio[212,2010]",-5.33459401e-06,bilancio
"bilancio[213,2010]",-6.864969623e-06,bilancio
"bilancio[22,2010]",-6.44376894e-06,bilancio
"bilancio[23,2010]",-1.204630243e-05,bilancio
"bilancio[321,2010]",-1.4010595e-05,bilancio
"bilancio[327,2010]",-1.044002002e-05,bilancio
"bilancio[331,2010]",-7.232330345e-06,bilancio
"bilancio[332,2010]",-1.080357948e-05,bilancio
"bilancio[333,2010]",-9.214907058e-06,bilancio
"bilancio[334,2010]",-7.578462281e-06,bilancio
"bilancio[335,2010]",-8.68081402e-06,bilancio
"bilancio[3361MV,2010]",-8.134128572e-06,bilancio
"bilancio[3364OT,2010]",-7.898084099e-06,bilancio
"bilancio[337,2010]",-1.419047914e-05,bilancio
"bilancio[339,2010]",-9.193883534e-06,bilancio
"bilancio[311FT,2010]",-1.065559878e-05,bilancio
"bilancio[313TT,2010]",-1.179968294e-05,bilancio
"bilancio[315AL,2010]",-1.584728975e-05,bilancio
"bilancio[322,2010]",-9.014414443e-06,bilancio
"bilancio[323,2010]",-1.327658196e-05,bilancio
"bilancio[324,2010]",-3.248681608e-06,bilancio
"bilancio[325,2010]",-5.375903197e-06,bilancio
"bilancio[326,2010]",-9.269777379e-06,bilancio
"bilancio[42,2010]",-9.19879918e-06,bilancio
"bilancio[441,2010]",-1.325353931e-05,bilancio
"bilancio[445,2010]",-2.006175767e-05,bilancio
"bilancio[452,2010]",-2.026837447e-05,bilancio
"bilancio[4A0,2010]",-1.639426365e-05,bilancio
"bilancio[481,2010]",-7.252763033e-06,bilancio
"bilancio[482,2010]",-7.435746495e-06,bilancio
"bilancio[483,2010]",-8.631667758e-06,bilancio
"bilancio[484,2010]",-1.231766708e-05,bilancio
"bilancio[485,2010]",-1.465008521e-05,bilancio
"bilancio[486,2010]",-5.532346677e-06,bilancio
"bilancio[487OS,2010]",-1.315289191e-05,bilancio
"bilancio[493,2010]",-1.556436401e-05,bilancio
"bilancio[511,2010]",-7.556063154e-06,bilancio
"bilancio[512,2010]",-5.951319417e-06,bilancio
"bilancio[513,2010]",-9.25802671e-06,bilancio
"bilancio[514,2010]",-7.464102714e-06,bilancio
"bilancio[521CI,2010]",-9.179962287e-06,bilancio
"bilancio[523,2010]",-7.568030458e-06,bilancio
"bilancio[524,2010]",-8.757649357e-06,bilancio
"bilancio[525,2010]",-8.745588951e-06,bilancio
"bilancio[HS,2010]",-9.256347921e-06,bilancio
"bilancio[ORE,2010]",-9.175517822e-06,bilancio
"bilancio[532RL,2010]",-7.914423845e-06,bilancio
"bilancio[5411,2010]",-8.299416442e-06,bilancio
"bilancio[5415,2010]",-1.083737571e-05,bilancio
"bilancio[5412OP,2010]",-1.028133364e-05,bilancio
"bilancio[55,2010]",-9.822932113e-06,bilancio
"bilancio[561,2010]",-1.982377323e-05,bilancio
"bilancio[562,2010]",-1.076090833e-05,bilancio
"bilancio[61,2010]",-1.62987733e-05,bilancio
"bilancio[621,2010]",-1.344265502e-05,bilancio
"bilancio[622,2010]",-1.4344163e-05,bilancio
"bilancio[623,2010]",-2.536735529e-05,bilancio
"bilancio[624,2010]",-2.454625642e-05,bilancio
"bilancio[711AS,2010]",-8.669371501e-06,bilancio
"bilancio[713,2010]",-1.686917238e-05,bilancio
"bilancio[721,2010]",-1.631175986e-05,bilancio
"bilancio[722,2010]",-2.274257316e-05,bilancio
"bilancio[81,2010]",-1.719882931e-05,bilancio
"bilancio[GFGD,2010]",-7.127124523e-06,bilancio
"bilancio[GFGN,2010]",-1.16409886e-05,bilancio
"bilancio[GFE,2010]",-1.317043622e-05,bilancio
"bilancio[GSLG,2010]",-1.42454049e-05,bilancio
"bilancio[GSLE,2010]",-1.145689957e-05,bilancio
"bilancio[111CA,2011]",-8.50174284e-06,bilancio
"bilancio[113FF,2011]",-1.611113487e-05,bilancio
"bilancio[211,2011]",-5.489275485e-06,bilancio
"bilancio[212,2011]",-5.623877423e-06,bilancio
"bilancio[213,2011]",-7.150247993e-06,bilancio
"bilancio[22,2011]",-6.43348396e-06,bilancio
"bilancio[23,2011]",-1.184147512e-05,bilancio
"bilancio[321,2011]",-1.320205583e-05,bilancio
"bilancio[327,2011]",-1.016814058e-05,bilancio
"bilancio[331,2011]",-7.79573928e-06,bilancio
"bilancio[332,2011]",-1.067603121e-05,bilancio
"bilancio[333,2011]",-9.016778515e-06,bilancio
"bilancio[334,2011]",-7.546175746e-06,bilancio
"bilancio[335,2011]",-8.962920835e-06,bilancio
"bilancio[3361MV,2011]",-8.286648363e-06,bilancio
"bilancio[3364OT,2011]",-7.738808282e-06,bilancio
"bilancio[337,2011]",-1.388208271e-05,bilancio
"bilancio[339,2011]",-9.314411652e-06,bilancio
"bilancio[311FT,2011]",-9.253635781e-06,bilancio
"bilancio[313TT,2011]",-1.200116412e-05,bilancio
"bilancio[315AL,2011]",-1.512929667e-05,bilancio
"bilancio[322,2011]",-9.257688089e-06,bilancio
"bilancio[323,2011]",-1.284936167e-05,bilancio
"bilancio[324,2011]",-4.653436761e-06,bilancio
"bilancio[325,2011]",-5.921333819e-06,bilancio
"bilancio[326,2011]",-9.546777331e-06,bilancio
"bilancio[42,2011]",-9.127367204e-06,bilancio
"bilancio[441,2011]",-1.281913027e-05,bilancio
"bilancio[445,2011]",-1.969556284e-05,bilancio
"bilancio[452,2011]",-2.083720505e-05,bilancio
"bilancio[4A0,2011]",-1.544002717e-05,bilancio
"bilancio[481,2011]",-7.669598253e-06,bilancio
"bilancio[482,2011]",-9.80814331e-06,bilancio
"bilancio[483,2011]",-9.068206531e-06,bilancio
"bilancio[484,2011]",-1.196179983e-05,bilancio
"bilancio[485,2011]",-1.400435768e-05,bilancio
"bilancio[486,2011]",-9.14442097e-06,bilancio
"bilancio[487OS,2011]",-1.290314047e-05,bilancio
"bilancio[493,2011]",-1.43534298e-05,bilancio
"bilancio[511,2011]",-7.193795547e-06,bilancio
"bilancio[512,2011]",-7.072484385e-06,bilancio
"bilancio[513,2011]",-7.937047663e-06,bilancio
"bilancio[514,2011]",-7.117183789e-06,bilancio
"bilancio[521CI,2011]",-9.079915529e-06,bilancio
"bilancio[523,2011]",-8.43240106e-06,bilancio
"bilancio[524,2011]",-8.950603164e-06,bilancio
"bilancio[525,2011]",-9.092845461e-06,bilancio
"bilancio[HS,2011]",-9.147276807e-06,bilancio
"bilancio[ORE,2011]",-8.343225576e-06,bilancio
"bilancio[532RL,2011]",-8.294713095e-06,bilancio
"bilancio[5411,2011]",-7.940057305e-06,bilancio
"bilancio[5415,2011]",-1.022837082e-05,bilancio
"bilancio[5412OP,2011]",-9.851762931e-06,bilancio
"bilancio[55,2011]",-1.004366629e-05,bilancio
"bilancio[561,2011]",-1.901853066e-05,bilancio
"bilancio[562,2011]",-1.131153835e-05,bilancio
"bilancio[61,2011]",-1.645526453e-05,bilancio
"bilancio[621,2011]",-1.319286451e-05,bilancio
"bilancio[622,2011]",-1.43423986e-05,bilancio
"bilancio[623,2011]",-2.445935021e-05,bilancio
"bilancio[624,2011]",-2.382261022e-05,bilancio
"bilancio[711AS,2011]",-8.711249601e-06,bilancio
"bilancio[713,2011]",-1.597466427e-05,bilancio
"bilancio[721,2011]",-1.555131207e-05,bilancio
"bilancio[722,2011]",-2.186283833e-05,bilancio
"bilancio[81,2011]",-1.645862561e-05,bilancio
"bilancio[GFGD,2011]",-6.83418441e-06,bilancio
"bilancio[GFGN,2011]",-1.112077458e-05,bilancio
"bilancio[GFE,2011]",-1.297974415e-05,bilancio
"bilancio[GSLG,2011]",-1.366309085e-05,bilancio
"bilancio[GSLE,2011]",-1.109653539e-05,bilancio
"bilancio[111CA,2012]",-8.784842524e-06,bilancio
"bilancio[113FF,2012]",-1.632336069e-05,bilancio
"bilancio[211,2012]",-6.205177476e-06,bilancio
"bilancio[212,2012]",-6.050146857e-06,bilancio
"bilancio[213,2012]",-7.331516946e-06,bilancio
"bilancio[22,2012]",-8.208239808e-06,bilancio
"bilancio[23,2012]",-1.146518176e-05,bilancio
"bilancio[321,2012]",-1.243612784e-05,bilancio
"bilancio[327,2012]",-9.630132393e-06,bilancio
"bilancio[331,2012]",-7.47436882e-06,bilancio
