vincolo,duale,famiglia
"bilancio[111CA,2010]",-1.383463835e-05,bilancio
"bilancio[113FF,2010]",-1.60198311e-05,bilancio
"bilancio[211,2010]",-2.886433586e-06,bilancio
"bilancio[212,2010]",-4.820271873e-06,bilancio
"bilancio[213,2010]",-6.251851652e-06,bilancio
"bilancio[22,2010]",-5.807784455e-06,bilancio
"bilancio[23,2010]",-1.100608814e-05,bilancio
"bilancio[321,2010]",-1.27863644e-05,bilancio
"bilancio[327,2010]",-9.534910086e-06,bilancio
"bilancio[331,2010]",-6.511397175e-06,bilancio
"bilancio[332,2010]",-9.831318083e-06,bilancio
"bilancio[333,2010]",-8.353802506e-06,bilancio
"bilancio[334,2010]",-6.897687158e-06,bilancio
"bilancio[335,2010]",-7.867372674e-06,bilancio
"bilancio[3361MV,2010]",-7.246067208e-06,bilancio
"bilancio[3364OT,2010]",-7.175726438e-06,bilancio
"bilancio[337,2010]",-1.295947597e-05,bilancio
"bilancio[339,2010]",-8.389669404e-06,bilancio
"bilancio[311FT,2010]",-9.916792811e-06,bilancio
"bilancio[313TT,2010]",-1.073367753e-05,bilancio
"bilancio[315AL,2010]",-1.447506715e-05,bilancio
"bilancio[322,2010]",-8.17680112e-06,bilancio
"bilancio[323,2010]",-1.213964431e-05,bilancio
"bilancio[324,2010]",-2.149406956e-06,bilancio
"bilancio[325,2010]",-4.787949442e-06,bilancio
"bilancio[326,2010]",-8.381698953e-06,bilancio
"bilancio[42,2010]",-8.488681262e-06,bilancio
"bilancio[441,2010]",-1.224497085e-05,bilancio
"bilancio[445,2010]",-1.848999256e-05,bilancio
"bilancio[452,2010]",-1.869258634e-05,bilancio
"bilancio[4A0,2010]",-1.512080976e-05,bilancio
"bilancio[481,2010]",-6.524548254e-06,bilancio
"bilancio[482,2010]",-6.732064307e-06,bilancio
"bilancio[483,2010]",-7.852936047e-06,bilancio
"bilancio[484,2010]",-1.12426706e-05,bilancio
"bilancio[485,2010]",-1.342871446e-05,bilancio
"bilancio[486,2010]",-5.075404372e-06,bilancio
"bilancio[487OS,2010]",-1.204954812e-05,bilancio
"bilancio[493,2010]",-1.429477944e-05,bilancio
"bilancio[511,2010]",-6.950373226e-06,bilancio
"bilancio[512,2010]",-5.475169749e-06,bilancio
"bilancio[513,2010]",-9.258333893e-06,bilancio
"bilancio[514,2010]",-6.868336095e-06,bilancio
"bilancio[521CI,2010]",-8.444834779e-06,bilancio
"bilancio[523,2010]",-6.96544942e-06,bilancio
"bilancio[524,2010]",-8.032057544e-06,bilancio
"bilancio[525,2010]",-8.030743844e-06,bilancio
"bilancio[HS,2010]",-9.256347921e-06,bilancio
"bilancio[ORE,2010]",-8.421867468e-06,bilancio
"bilancio[532RL,2010]",-7.299002309e-06,bilancio
"bilancio[5411,2010]",-7.65125647e-06,bilancio
"bilancio[5415,2010]",-9.972316779e-06,bilancio
"bilancio[5412OP,2010]",-9.48441515e-06,bilancio
"bilancio[55,2010]",-9.03577714e-06,bilancio
"bilancio[561,2010]",-1.82517543e-05,bilancio
"bilancio[562,2010]",-9.850876095e-06,bilancio
"bilancio[61,2010]",-1.499551707e-05,bilancio
"bilancio[621,2010]",-1.235859287e-05,bilancio
"bilancio[622,2010]",-1.317451958e-05,bilancio
"bilancio[623,2010]",-2.335764008e-05,bilancio
"bilancio[624,2010]",-2.257762388e-05,bilancio
"bilancio[711AS,2010]",-7.97735653e-06,bilancio
"bilancio[713,2010]",-1.550633912e-05,bilancio
"bilancio[721,2010]",-1.501350615e-05,bilancio
"bilancio[722,2010]",-2.09451685e-05,bilancio
"bilancio[81,2010]",-1.582617184e-05,bilancio
"bilancio[GFGD,2010]",-6.497338352e-06,bilancio
"bilancio[GFGN,2010]",-1.070300938e-05,bilancio
"bilancio[GFE,2010]",-1.205994811e-05,bilancio
